,https://roic.ai/company/OPTT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378140/000095012308007864/0000950123-08-007864-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012309022225/0000950123-09-022225-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012310065540/0000950123-10-065540-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012311065690/0000950123-11-065690-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774912006912/0001437749-12-006912-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774913008763/0001437749-13-008763-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774914013630/0001437749-14-013630-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774915013346/0001437749-15-013346-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774916035299/optt20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/1378140/000143774917012603/0001437749-17-012603-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315218010086/0001493152-18-010086-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315219010930/0001493152-19-010930-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315220012094/0001493152-20-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1378140/000149315221017188/0001493152-21-017188-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13584814,31957209,107505473,88836304,12267830,4236597,4376136,9353460,6372788,13858659,17335734,6729814,8421000,11499000,16660000,10002000,83028000
32,Short-Term Investments,- -,- -,25202362,482156,8390146,- -,28840399,32536001,26018594,22369484,13996705,14493881,75000,75000,25000,25000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,38787176,32439365,115895619,88836304,41108229,36772598,30394730,31722944,20369493,28352540,17410734,6804814,8446000,11524000,16660000,10002000,83028000
34,Net Receivables,- -,- -,1490461,211000,1178161,2306089,1973567,1923286,1741316,1287846,923930,346141,185128,2537465,344000,592000,78000,358000,561000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,464582,331139,441342,1375249,1082696,1005885,832142,842820,152962,6693337,625202,416348,956000,1139000,881000,1293000,850000
37,Total Current Assets,- -,- -,40742219,32981504,117515122,92517642,44164492,39701769,32968188,33853610,21446385,35392018,18221064,9758627,9746000,13255000,17619000,11653000,84439000
38,PP&E,- -,- -,427613,544285,387923,628454,897718,710563,792092,682933,700968,317513,263898,273049,170000,712000,592000,1664000,1442000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,334809,372448,597280,717288,909727,1036881,1222368,1269457,1044902,828298,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,334809,372448,597280,717288,909727,1036881,1222368,1269457,1044902,828298,- -,- -,- -,- -,- -,- -,274000
42,Investments,- -,- -,- -,- -,- -,12000000,40628865,28865046,16323016,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,91746,97901,1211221,1687581,2193104,2663934,2246914,1635637,1638804,1547006,385924,319450,157000,154000,155000,221000,222000
45,Total Non-Current Assets,- -,- -,854168,1014634,2196424,15033323,44629414,33276424,20584390,3588027,3384674,2692817,649822,592499,327000,866000,747000,1885000,1938000
46,Other Assets,2878947,40747479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2878947,40747479,41596387,33996138,119711546,107550965,88793906,72978193,53552578,37441637,24831059,38084835,18870886,10351126,10073000,14121000,18366000,13538000,86377000
48,Accounts Payable,- -,- -,876968,242624,1708408,1457575,908837,1843378,1224728,440773,510031,501397,352827,372700,586000,290000,312000,220000,687000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,95386,139378,100000,100000,100000,100000,81541,35000,- -,- -,- -,842000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,16788,14405,- -,- -,281570,1101541,344022,1073389,1117115,992447,- -,39146,- -,18000,188000,- -,- -
52,Other Current Liabilities,- -,- -,1945256,1838446,4619519,5189760,3853437,4092113,4302952,3370094,3900623,7640294,2507119,5674841,3982000,3435000,1944000,1682000,3165000
53,Total Current Liabilities,- -,- -,2839012,2095475,6327927,6647335,5043844,7132418,6011080,4984256,5627769,9234138,2959946,6168228,4603000,3743000,2444000,1902000,4694000
54,Long-Term Debt,250000,250000,245844,233959,231585,188784,345386,250000,450000,350000,250000,150000,50000,54567,23000,- -,- -,- -,1215000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,21649,- -,- -,- -,832033,- -,- -,- -,- -,- -,- -,65000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,675000,600000,610825,616237,600000,740685,600000,- -,- -,600000,600000,600000,- -,142000,147000,1078000,- -
58,Total Non-Current Liabilities,250000,250000,920844,833959,842410,805021,967035,990685,1050000,350000,1082033,750000,650000,654567,23000,142000,147000,1143000,1215000
59,Other Liabilities,2638162,3144233,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,- -,1407000,1314000
61,Total Liabilities,2388162,2894233,3759856,2929434,7170337,7452356,6010879,8123103,7061080,5334256,6709802,9984138,3609946,6822795,4626000,3885000,2591000,3045000,5909000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,5151,5171,10186,10210,10210,10391,10419,10407,10403,17594,18388,2352,6000,18000,5000,13000,52000
64,Retained Earnings,-18275132,-21124608,-21553242,-28632153,-38270918,-52927641,-71242791,-90413098,-110848972,-125989474,-140671311,-151640503,-164755055,-177884011,-187370000,-197538000,-209784000,-220136000,-234896000
65,Other Comprehensive Income/Loss,- -,- -,-414447,-602736,-728461,-933993,-1000000,-1000000,-1359087,-1530887,-1512023,-1520786,-1420972,-1499481,-1636000,-1210000,-1238000,-1157000,-171000
66,Other Total Stockholders Equity,18765917,58977854,59799069,60296422,151530402,153950033,155015608,156216907,158667190,159645967,160463709,181618687,181845831,182909471,194447000,208966000,226792000,231773000,315483000
67,Total Stockholders Equity,490785,37853246,37836531,31066704,112541209,100098609,82783027,64814200,46469550,32136013,18290778,28474992,15688192,3528331,5447000,10236000,15775000,10493000,80468000
68,Total Liabilities And Stockholders Equity,2878947,40747479,41596387,33996138,119711546,107550965,88793906,72937303,53530630,37470269,25000580,38459130,19298138,10351126,10073000,14121000,18366000,13538000,86377000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,40890,21948,-28632,-169521,-374295,-427252,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2878947,40747479,41596387,33996138,119711546,107550965,88793906,72978193,53552578,37441637,24831059,38084835,18870886,10351126,10073000,14121000,18366000,13538000,86377000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378140/000095012308007864/0000950123-08-007864-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012309022225/0000950123-09-022225-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012310065540/0000950123-10-065540-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012311065690/0000950123-11-065690-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774912006912/0001437749-12-006912-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774913008763/0001437749-13-008763-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774914013630/0001437749-14-013630-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774915013346/0001437749-15-013346-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774916035299/optt20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/1378140/000143774917012603/0001437749-17-012603-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315218010086/0001493152-18-010086-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315219010930/0001493152-19-010930-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315220012094/0001493152-20-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1378140/000149315221017188/0001493152-21-017188-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-428634,-7078911,-9638765,-14656723,-18315150,-19170307,-20435874,-15140502,-14681837,-10969192,-13114552,-13128956,-9486000,-10157000,-12246000,-10352000,-14760000
74,Depreciation and Amortization,- -,- -,140984,233132,269075,241721,299405,365755,358722,436062,502099,421836,965156,111714,140000,122000,180000,355000,372000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1117935,1448286,1121528,858902,771646,332593,- -,1232000,329000,295000,340000,781000
77,Change in Working Capital,- -,- -,-263366,-7017178,80301166,-25316888,-46749659,-6551297,-5612243,1912246,-13050738,10339264,-10896762,-11670719,1552601,4369000,5663000,-5424000,69994000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,472422,-474407,277115,-126722,264077,787601,205261,103470,-48000,-123000,108000,-42000,-245000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-448138,953815,-891417,-546709,105036,-12363,-144791,21745,213000,-296000,23000,-92000,441000
81,Other Working Capital,- -,- -,37903207,30886029,111187195,85870307,39120648,32569351,26957108,28869354,15818616,26157880,15261118,3590399,5143000,9512000,15175000,9751000,79745000
82,Other Non-Cash Items,- -,- -,-1322471,8791327,-78399274,26069396,48057477,8467230,5471007,-2244177,15525926,-7060632,5539337,13757682,-3476601,-5359000,-6032000,4502000,-68061000
83,Cash Provided by Operating Activities,- -,- -,-1873487,-5071630,-7467798,-13662494,-16707927,-15770684,-18770102,-13914843,-10845648,-6497078,-17174228,-10930279,-10038000,-10696000,-12140000,-10579000,-11674000
84,CAPEX,- -,- -,-560902,-387443,-325034,-532540,-1055434,-393116,-331730,-727263,-394632,-27268,-76390,-24144,-37000,-658000,-54000,-65000,-26000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000
86,Purchases of Investments,- -,- -,-58050287,-62677400,-55309305,-21201607,-28683759,-33884604,-8296513,-18574454,-16678329,-23982431,-13821959,- -,- -,-25000,-25000,- -,- -
87,Sales/Maturities of Investments,- -,- -,33573254,- -,47279314,17358316,- -,41838886,27059601,38559110,25055534,23489021,28240840,- -,50000,25000,50000,- -,- -
88,Other Investing Activites,- -,- -,-78399,87366859,-983376,-27714,-29084339,-405747,-258732,-126075,75000,-5924960,6828896,139018,-189000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-25116334,24302016,-9338401,-4403545,-58579591,7309086,18431358,19311329,8057573,-6445638,21171387,114874,-176000,-658000,-29000,-65000,74000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-42801,-93398,-6008,-139378,-100000,-100000,-100000,-62519,-78000,-35000,-23000,- -,-467000
91,Common Stock Issued,- -,- -,233650,122703,90839609,287795,- -,- -,- -,- -,- -,20525988,650,288941,12150000,14654000,17187000,4464000,80559000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-870116,- -,-6443,-36291,-59654,-21505,-6814,-1309,-5750,-125000,-37000,-1000,-1000,-36000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,250000,- -,250000,- -,- -,8533,- -,- -,- -,- -,20000,-16000,4114000
95,Cash Used/Provided by Financing Activities,- -,- -,233650,122703,90839609,-582321,207199,-99841,207701,-199032,-121505,20427707,-100659,220672,11947000,14582000,17183000,4447000,84170000
96,Effect of Forex Changes on Cash,- -,- -,1500740,-980694,1514854,-20809,-1488155,530206,270582,-220130,-71092,880,-419425,-11187,-42000,88000,-80000,-32000,134000
97,Net Change In Cash,- -,- -,-25255431,18372395,75548264,-18669169,-76568474,-8031233,139539,4977324,-2980672,7485871,3477075,-10605920,1691000,3316000,4934000,-6229000,72704000
98,Cash at the End of Period,- -,- -,13584814,31957209,107505473,88836304,12267830,4236597,4376136,9353460,6372788,13858659,17335734,6729814,8421000,12225000,17159000,10930000,83634000
99,Cash at the Beginning of Period,- -,- -,38840245,13584814,31957209,107505473,88836304,12267830,4236597,4376136,9353460,6372788,13858659,17335734,6730000,8909000,12225000,17159000,10930000
100,Free Cash Flow,- -,- -,-2434389,-5459073,-7792832,-14195034,-17763361,-16163800,-19101832,-14642106,-11240280,-6524346,-17250618,-10954423,-10075000,-11354000,-12194000,-10644000,-11700000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378140/000095012308007864/0000950123-08-007864-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012309022225/0000950123-09-022225-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012310065540/0000950123-10-065540-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000095012311065690/0000950123-11-065690-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774912006912/0001437749-12-006912-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774913008763/0001437749-13-008763-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774914013630/0001437749-14-013630-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774915013346/0001437749-15-013346-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000143774916035299/optt20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/1378140/000143774917012603/0001437749-17-012603-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315218010086/0001493152-18-010086-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315219010930/0001493152-19-010930-index.html,https://www.sec.gov/Archives/edgar/data/1378140/000149315220012094/0001493152-20-012094-index.htm,https://www.sec.gov/Archives/edgar/data/1378140/000149315221017188/0001493152-21-017188-index.htm
102,false,,,,,,,,,,,,,,,,,,,
