,https://roic.ai/company/LFER,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,21750,207057,450641,721413,3069629,5286173,12083696,12901158,13942216
67,Total Stockholders Equity,5677,17511,49468,-78896,-719541,-991416,-2750270,-4285844,-4661791
68,Total Liabilities And Stockholders Equity,15200,91704,79186,56560,1076223,2580140,1320810,3831,5219344
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15200,91704,79186,56560,1076223,2580140,1320810,3831,5219344
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579010/000101738620000330/0001017386-20-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1579010/000101738621000392/0001017386-21-000392-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-26273,-201749,-212593,-400207,-2980030,-2476855,-8077035,-2325907,-1434073
74,Depreciation and Amortization,- -,- -,- -,4765,50133,59837,121500,92000,79273
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,193025,1023625,204719,1759270,579067,28443
77,Change in Working Capital,2023,11834,31957,-73339,-1100782,-1527792,-720320,-913079,-5481634
78,Accounts Receivable,- -,-53447,52241,-486,-158614,14144,232263,89047,-990
79,Inventory,- -,-17121,-1758,5992,-280320,74134,86050,118894,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,913581,467203
81,Other Working Capital,5677,17511,49468,-23871,-1124653,-2652445,-3372765,-4285844,-9767478
82,Other Non-Cash Items,5750,98791,75601,125135,2645382,3612816,6685900,1988934,6395249
83,Cash Provided by Operating Activities,-18500,-91124,-105035,-150621,-361672,-127275,-230685,-578985,-412742
84,CAPEX,- -,- -,- -,- -,-450000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,12216,265,- -,39878
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-380245,-17000,65527,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-455245,-4784,65792,- -,39878
90,Debt Repayment,- -,- -,- -,-37740,-974786,-1215950,-975418,-132598,-41395
91,Common Stock Issued,25200,95260,112000,68001,- -,- -,402100,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-63844,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8500,17000,16000,103500,1982060,1383572,771518,559258,445057
95,Cash Used/Provided by Financing Activities,33700,112260,128000,133761,1007274,103778,198200,426660,403662
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,22965,-16860,190357,-28281,33307,-152325,30798
98,Cash at the End of Period,15200,21136,44101,27241,217598,189317,161053,3831,34629
99,Cash at the Beginning of Period,- -,- -,21136,44101,27241,217598,127746,156156,3831
100,Free Cash Flow,-18500,-91124,-105035,-150621,-811672,-127275,-230685,-578985,-412742
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579010/000101738620000330/0001017386-20-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1579010/000101738621000392/0001017386-21-000392-index.htm
102,false,,,,,,,,,
