,https://roic.ai/company/TAL,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2764,0.2554,-23.5132,-14.6372,-18.2190,0.2119,0.1815,0.1939,0.1247,0.1401,0.1674,0.0272,-0.0008
17,Operating Income,9063492,15464666,25574046,20811601,31421420,57395931,67248114,85051863,134594469,208603328,341582000,137443000,-438224000
18,Operating Income ratio,0.2419,0.2222,0.2312,0.1172,0.1391,0.1828,0.1550,0.1372,0.1290,0.1216,0.1333,0.0420,-0.0975
19,Total Other Income Expenses (Gains),235430,158818,1425954,7688399,6078580,9904069,9994256,51850337,19986491,38390672,115622000,-188096000,213601000
20,Income Before Tax,9298922,15623484,27000000,28500000,37500000,67300000,77242370,136902200,154580960,246994000,457204000,-50653000,-224623000
21,Income Before Tax Ratio,0.2481,0.2245,0.2441,0.1606,0.1660,0.2144,0.1780,0.2208,0.1482,0.1440,0.1784,-0.0155,-0.0500
22,Income Tax expense (Gain),2018253,1378525,-2628090000,-2628090000,-4156450000,-4101000,-6680000,-9369000,-33483000,-34066000,-44653000,69328000,-69897000
23,Net Income,7280669,14244959,24000000,24300000,33400000,60600000,67156580,102878520,116880010,198440000,367236000,-110195000,-115990000
24,Net Income ratio,0.1943,0.2047,0.2170,0.1369,0.1479,0.1931,0.1547,0.1659,0.1121,0.1157,0.1433,-0.0337,-0.0258
25,EPS,0.01,0.04,0.06,0.05,0.07,0.13,0.14,0.21,0.24,0.38,0.64,-0.19,-0.19
26,EPS Diluted,0.01,0.04,0.06,0.05,0.07,0.13,0.14,0.20,0.22,0.34,0.61,-0.19,-0.19
27,Weighted Average Shares Outstanding,370052493,369453021,395734614,462000654,466822373,470180981,475144725,480327507,487645482,524991221,569911920,594612571,610871260
28,Weighted Average Shares Outstanding Diluted,385052493,384453021,409336904,467623141,469893267,478334782,490768947,549168764,565525257,583052220,600734875,594612571,610871260
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499620/000119312511196196/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465912046260/a12-8310_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465913052347/a13-4130_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465914037618/0001104659-14-037618-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000104746915005065/0001047469-15-005065-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420416105878/0001144204-16-105878-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420417034624/v464791_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420418035695/tv488621_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420419026826/0001144204-19-026826-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29692901,50752481,173200000,188600000,185100000,269900000,470157430,434042040,470217000,711519090,1247140000,1873866000,3242953000
32,Short-Term Investments,340418,1918156,500000,400000,400000,- -,21995370,44763070,229456400,787390750,268424000,345457000,2694555000
33,Cash and Short-Term Investments,30033319,52670637,173700000,189000000,185500000,269900000,492152800,478805110,699673400,1498909840,1515564000,2219323000,5937508000
34,Net Receivables,92112,- -,900000,1900000,3700000,12800000,18680160,7601230,103302200,55213070,103393000,138272000,18605000
35,Inventory,1063,121819,100000,200000,400000,200000,544090,600440,2823040,5271710,7750000,25832000,38675000
36,Other Current Assets,1896052,3112238,30700000,19100000,36800000,17500000,28055480,28852790,65322370,102611530,119009000,112354000,2162047000
37,Total Current Assets,32022546,55904694,205400000,210200000,226400000,300400000,539432530,515859570,871121010,1662006150,1745716000,2495781000,8156835000
38,PP&E,2471337,4991490,7500000,76700000,76100000,78600000,93575650,114629680,154306720,247265850,287877000,1815201000,2057150000
39,Goodwill,762272,763802,700000,500000,600000,7500000,12330330,87022520,267162690,291382130,414228000,378913000,454413000
40,Intangible Assets,2226343,1389160,700000,200000,1700000,2500000,3687260,15194420,37966810,43504780,74776000,58985000,282743000
41,Intangible Assets,2988615,2152962,1400000,700000,2300000,10000000,16017590,102216940,305129500,334886910,489004000,437898000,737156000
42,Investments,- -,- -,- -,- -,5491073,27137239,97359075,274356960,347732444,597605775,850695000,564343000,659975000
43,Tax Assets,131289,283968,100000,200000,100000,- -,226790,1304360,13185890,20039040,17738000,7789000,317189000
44,Other Non-Current Assets,939207,2170548,3400000,6900000,5608927,11462761,25803005,53011520,137430386,192755355,344061000,250234000,184004000
45,Total Non-Current Assets,6530448,9598968,12400000,84500000,89600000,127200000,232982110,545519460,957784940,1392552930,1989375000,3075465000,3955474000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38552994,65503662,217800000,294700000,316000000,427600000,772414640,1061379030,1828905950,3054559080,3735091000,5571246000,12112309000
48,Accounts Payable,101043,987742,1000000,2900000,2000000,2300000,4727570,14681940,25679980,66351040,130868000,122131000,353778000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215302000,304960000,652671000
50,Tax Payable,2636095,580225,4648667,2999354,5524581,8221762,12449932,26755795,34252364,36506312,71842000,54476000,93281000
51,Deferred Revenue,18022550,29407994,50678025000,50678025000,50395945000,67743448000,177639939000,280934750000,504147032000,824276004000,433610000,- -,1387493000
52,Other Current Liabilities,7707987,7506245,-50616425000,-50576525000,-50273445000,-67578948000,-177412111550,-280566268510,-503505571640,-823208968000,403938000,1379467000,979909000
53,Total Current Liabilities,25831580,37901981,62600000,104400000,124500000,166800000,232555020,383163430,667140340,1133387040,1183718000,1806558000,3373851000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,226062010,227827300,450148920,236075000,- -,261950000,2300000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,8346457000,14726473000,17980379000,2497000,- -,30005000
56,Deferred Tax Liabilities,203776,175610,668096000,668096000,490222000,538464000,1708212000,6654778000,16188301000,17361013000,- -,- -,10333000
57,Other Non-Current Liabilities,9162293,9500000,-667996000,-667996000,-490122000,-537664000,-1707706970,-14987826600,-30847402210,-35277042750,65129000,987002000,1195339000
58,Total Non-Current Liabilities,9366069,9675610,100000,100000,100000,800000,226567040,241235700,517520710,300424250,67626000,1248952000,3535677000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1254879000,1576235000
61,Total Liabilities,35197649,47577591,62700000,104500000,124600000,167600000,459122060,624399130,1184661050,1433811290,1251344000,3055510000,6909528000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,120000,120000,200000,200000,200000,200000,159830,161770,164590,188960,2175000,200000,215000
64,Retained Earnings,21400,12069734,41000000,65300000,98700000,159300000,226484390,329362910,446242920,603517030,979004000,868809000,624883000
65,Other Comprehensive Income/Loss,113229,219253,1874579,4910364,18842067,22862236,23130175,22032253,84276553,170640459,75737000,53799000,207606000
66,Other Total Stockholders Equity,3100716,5517084,111976645,119706927,73703212,77634165,63518180,85422970,113560843,846401338,1426831000,1592928000,4369125000
67,Total Stockholders Equity,3355345,17926071,155051224,190117291,191445279,259996401,313292575,436979903,644244906,1620747787,2483747000,2515736000,5201829000
68,Total Liabilities And Stockholders Equity,38552994,65503662,217751224,294617291,316045279,427596401,772414635,1061379033,1828905956,3054559077,3735091000,5571246000,12111357000
69,Minority Interest,- -,- -,48776,82709,-45279,3599,5,-3,-6,3,- -,- -,952000
70,Total Liabilities & Equity,38552994,65503662,217800000,294700000,316000000,427600000,772414640,1061379030,1828905950,3054559080,3735091000,5571246000,12112309000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499620/000119312511196196/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465912046260/a12-8310_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465913052347/a13-4130_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465914037618/0001104659-14-037618-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000104746915005065/0001047469-15-005065-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420416105878/0001144204-16-105878-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420417034624/v464791_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420418035695/tv488621_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420419026826/0001144204-19-026826-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,7280669,14244959,24000000,24300000,33400000,60600000,67156580,102878520,116880010,198440000,367236000,-110195000,-115990000
74,Depreciation and Amortization,1017309,2113267,3465578,5694730,7367332,10011334,12465780,19183024,33561797,59214098,88835000,117992000,165335000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,5306472,7901243,8283900,8345290,18441076,25847497,36115200,47149738,77277000,117943000,204945000
77,Change in Working Capital,13922376,10817047,21018525,35042351,15703531,22917431,49952151,86183044,185239338,383588829,-271653000,442335000,571422000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,3603,-120688,9510,-105784,-186556,228408,-362326,207006,-2222598,-2498325,-2368000,-18333000,-16998000
80,Accounts Payable,- -,987204,-60198,1582054,-1582639,106728,1988729,3778512,5357312,30978516,49286000,693000,229003000
81,Other Working Capital,-1237581,-1786680,-1340870,-1727479,16283365,28845004,42831607,65655998,189880435,328231377,-426936000,285216000,286808000
82,Other Non-Cash Items,1247031,- -,32048,459347,654982,-315689,-437600,-46373665,-12238904,-3100120,-67334000,287775000,129020000
83,Cash Provided by Operating Activities,23467385,27175273,53822623,73397671,65409745,101558366,147577987,187718420,359557441,685292545,194361000,855850000,954732000
84,CAPEX,-3565041,-3785897,-5164709,-74523575,-6928392,-10856287,-30835977,-35087893,-71111758,-128422855,-355009000,-188064000,-245741000
85,Acquisitions Net,-1551362,- -,- -,- -,- -,-28911466,-5974001,-21825767,-27200305,-14008541,-66921000,-7026000,-11902000
86,Purchases of Investments,- -,-1464231,- -,-117363,-51580933,-75447829,-119572034,-233692878,-448311105,-1437285757,-827308000,-682744000,-2593554000
87,Sales/Maturities of Investments,- -,- -,1470660,- -,32341342,98422127,22154877,92738533,136938594,676884370,1107472000,578488000,209339000
88,Other Investing Activites,-1422679,- -,-25873900,13653542,-2715830,-629972,-11697440,-17483982,-108580774,60398275,-241421000,-49462000,-294000
89,Cash Used for Investing Activites,-5116403,-5250128,-29567949,-59095759,-28118705,-17402866,-145785010,-215351987,-518265348,-840355992,-166584000,-338815000,-2641469000
90,Debt Repayment,- -,- -,- -,-83022,- -,- -,- -,- -,-25000000,- -,-205000000,-209333000,-3518000
91,Common Stock Issued,- -,- -,129433200,- -,- -,- -,- -,- -,- -,500000012,500000000,- -,2500000000
92,Common Stock Repurchased,- -,- -,- -,- -,-2435037,- -,- -,- -,- -,- -,- -,- -,-9852000
93,Dividends Paid,- -,-1442020,-30000000,- -,-39030038,- -,- -,- -,- -,-41165834,- -,- -,- -
94,Other Financing Activites,5252473,539398,-2819814,-387000,- -,- -,201837942,645989,223296836,-30683682,180019000,340564000,2308183000
95,Cash Used/Provided by Financing Activities,5252473,-902622,96613386,-470022,-41465075,- -,201837942,645989,198296836,428150496,475019000,131231000,4794813000
96,Effect of Forex Changes on Cash,384961,37057,1545120,1582216,674941,694398,-3404060,-9127816,-3413961,-31784962,33208000,3218000,-5277000
97,Net Change In Cash,23988416,21059580,122413180,15414106,-3499094,84849898,200226859,-36115394,36174968,241302087,536004000,651484000,3102799000
98,Cash at the End of Period,29692901,50752481,173165661,188579767,185080673,269930571,470157430,434042036,470217004,711519091,1263701000,1915185000,5017984000
99,Cash at the Beginning of Period,5704485,29692901,50752481,173165661,188579767,185080673,269930571,470157430,434042036,470217004,727697000,1263701000,1915185000
100,Free Cash Flow,19902344,23389376,48657914,-1125904,58481353,90702079,116742010,152630527,288445683,556869690,-160648000,667786000,708991000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499620/000119312511196196/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465912046260/a12-8310_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465913052347/a13-4130_120f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000110465914037618/0001104659-14-037618-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000104746915005065/0001047469-15-005065-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420416105878/0001144204-16-105878-index.html,https://www.sec.gov/Archives/edgar/data/1499620/000114420417034624/v464791_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420418035695/tv488621_20f.htm,https://www.sec.gov/Archives/edgar/data/1499620/000114420419026826/0001144204-19-026826-index.html,- -,- -
102,false,,,,,,,,,,,,,
