,https://roic.ai/company/VITL,2017,2018,2019,2020,2021
36,Other Current Assets,- -,1123000,2706000,3965000,3539000
37,Total Current Assets,- -,27091000,34650000,137256000,141208000
38,PP&E,- -,- -,- -,30118000,44608000
39,Goodwill,- -,3858000,3858000,3858000,3858000
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,3858000,3858000,3858000,3858000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,79000
44,Other Non-Current Assets,- -,18906000,23440000,142000,189000
45,Total Non-Current Assets,- -,22764000,27298000,34118000,48734000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,49855000,61948000,171374000,189942000
48,Accounts Payable,- -,9357000,13510000,15489000,22520000
49,Short-Term Debt,- -,1210000,2609000,471000,327000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6235000,8878000,9954000,15143000
53,Total Current Liabilities,- -,16802000,24997000,25914000,37990000
54,Long-Term Debt,- -,3136000,2896000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,703000,755000,2537000,- -
57,Other Non-Current Liabilities,- -,24947000,1626000,712000,192000
58,Total Non-Current Liabilities,- -,28786000,5277000,3249000,192000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1674000,1246000,798000,327000
61,Total Liabilities,- -,45588000,30274000,29163000,38182000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,3000,5000,5000
64,Retained Earnings,- -,2854000,5239000,14039000,2746000
65,Other Comprehensive Income/Loss,- -,-2336000,-3360000,-31000,-281000
66,Other Total Stockholders Equity,- -,4594000,29713000,128035000,- -
67,Total Stockholders Equity,- -,5115000,31595000,142048000,151470000
68,Total Liabilities And Stockholders Equity,- -,50703000,61869000,171211000,189652000
69,Minority Interest,- -,-848000,79000,163000,290000
70,Total Liabilities & Equity,- -,49855000,61948000,171374000,189942000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1579733/000156459021014969/0001564590-21-014969-index.htm,https://www.sec.gov/Archives/edgar/data/1579733/000156459022009480/0001564590-22-009480-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-1920000,5797000,2385000,8800000,2429000
74,Depreciation and Amortization,821000,1437000,1921000,2550000,3540000
75,Deferred Income Tax,- -,703000,52000,1782000,-2536000
76,Stock Based Compensation,495000,600000,1029000,2509000,4440000
77,Change in Working Capital,-4345000,10413000,- -,-636000,8214000
78,Accounts Receivable,-719000,-3578000,-6182000,-4718000,-6078000
79,Inventory,-216000,-1042000,-9270000,29000,1733000
80,Accounts Payable,-315000,4946000,3192000,1807000,6796000
81,Other Working Capital,-124000,10289000,10289000,9653000,- -
82,Other Non-Cash Items,459000,-7526000,-10739000,-3303000,238000
83,Cash Provided by Operating Activities,-4490000,11424000,-5352000,11702000,16325000
84,CAPEX,-11704000,-1940000,-4799000,-10300000,-16711000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-68388000,-52017000
87,Sales/Maturities of Investments,- -,- -,- -,- -,51645000
88,Other Investing Activites,9000,29000,-824000,846000,- -
89,Cash Used for Investing Activites,-11695000,-1911000,-5623000,-77842000,-17083000
90,Debt Repayment,-5022000,-1080000,-1099000,-14627000,-471000
91,Common Stock Issued,- -,- -,15000000,99671000,- -
92,Common Stock Repurchased,- -,- -,-14289000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,19311000,-429000,822000,9366000,2651000
95,Cash Used/Provided by Financing Activities,14289000,-1509000,434000,94410000,2180000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-1896000,8004000,-10541000,28270000,1422000
98,Cash at the End of Period,3811000,11815000,1274000,29544000,30966000
99,Cash at the Beginning of Period,5707000,3811000,11815000,1274000,29544000
100,Free Cash Flow,-16194000,9484000,-10151000,1402000,-386000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579733/000156459021014969/0001564590-21-014969-index.htm,https://www.sec.gov/Archives/edgar/data/1579733/000156459022009480/0001564590-22-009480-index.htm
102,false,,,,,
