,https://roic.ai/company/IRCP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,3432153,6873466,13180506,23098437,44074760,24950313,38264494,31104697,71649769,21524000,27284000,24620000,102505000,223385000,116706000,303499000,33049000,1807544000,3643131000,4198987000,4626609000,793000000
32,Short-Term Investments,3456821,8236193,9429048,13084727,31455065,41694652,32286310,474349914,289201555,186169000,162448000,150328000,47573000,169174000,216071000,292320000,1772323000,1180249000,5145463000,6072739000,6268377000,8105000000
33,Cash and Short-Term Investments,6888975,15109659,22609554,36183164,75529825,66644964,70550804,505454611,360851324,207693000,189732000,174948000,150078000,392559000,332777000,595819000,1805372000,2987793000,8788594000,10271726000,10894986000,8898000000
34,Net Receivables,45303154,51925390,24834610,33996533,41975153,80620467,127803507,198682522,210111210,305948000,369459000,296711000,344527000,474416000,824077000,673784000,2138954000,1073192000,1809344000,6878472000,3978323000,13708000000
35,Inventory,9896890,3827185,1201373,763326,782977,887733,7998119,7126054,651201,715000,14297000,35570000,7705000,16887000,11582000,18501000,18202000,22722000,25088000,30034000,45622000,46000000
36,Other Current Assets,19817325,11108276,2249260,-3,9019010,7612506,7588535,- -,18924804,- -,23374000,- -,- -,76346000,114484000,135867000,140995000,431578000,47360000,5612000,6436000,- -
37,Total Current Assets,81906343,81970510,50894797,70943021,127306965,155765670,213940965,711263187,590538538,514356000,596862000,507229000,502310000,960208000,1282920000,1423971000,4103523000,4515285000,10670386000,17185844000,14925367000,22652000000
38,PP&E,507451671,484349436,873185169,923688066,898186145,980841507,913809125,1141416946,1311000415,1581723000,1529571000,1504230000,1581770000,20169000,23552000,109394000,116111000,120536000,109437000,332300000,928956000,2183000000
39,Goodwill,- -,- -,- -,- -,- -,- -,11570761,-3399684,-11981302,-6116000,-13523000,-27179000,-14582000,506000,506000,- -,- -,26375000,100861000,63072000,90151000,136000000
40,Intangible Assets,22576504,27660163,45895858,29089797,23702376,22156809,3225855,1674880,1164826,15514000,53502000,42226000,57000000,21932000,65248000,69015000,67139000,85185000,112190000,342698000,927582000,1338000000
41,Intangible Assets,22576504,27660163,45895858,29089797,23702376,22156809,14796616,-1724804,-10816477,9398000,39979000,15047000,42418000,22438000,65754000,69015000,67139000,111560000,213051000,405770000,1017733000,1474000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,176860000,167682000,212476000,280075000,271080000,235358000,435464000,542120000,858343000,1462661000,2056704000,4636259000,4312000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37555000,- -,- -,37404000,40326000,51631000,59781000,59455000,60734000,71971000,220697000,446000000
44,Other Non-Current Assets,24832064,49013258,76452328,86614822,100633294,88590799,214004044,195055848,338745249,169178000,112901000,86996000,81801000,1743505000,1848309000,4255272000,4410814000,36756329000,55227834000,60946248000,122773896000,146337000000
45,Total Non-Current Assets,554860239,561022857,995533355,1039392686,1022521815,1091589115,1142609786,1334747989,1638929188,1937159000,1887688000,1818749000,1986064000,2094596000,2213299000,4920776000,5195965000,37906223000,57073717000,63812993000,129577541000,154752000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,636766582,642993367,1046428151,1110335706,1149828779,1247354785,1356550751,2046011176,2229467726,2451515000,2484550000,2325978000,2488374000,3054804000,3496219000,6344747000,9299488000,42421508000,67744103000,80998837000,144502908000,177404000000
48,Accounts Payable,18783756,17335835,17441696,19584502,31932646,49970511,102062817,175400239,217329556,213715000,225335000,83830000,92039000,335519000,341994000,504639000,631774000,814168000,1870552000,2514326000,3561011000,3976000000
49,Short-Term Debt,122918243,55832921,40170530,24833445,95913001,56393090,90917523,75451036,105867976,235824000,295542000,121615000,82206000,356028000,479237000,471255000,626492000,249868000,305481000,1259464000,12547135000,7787000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,125546000,76842000,102053000,138076000,102022000,85401000,176247000,204671000,340618000,46061000,14960000,4537000,941000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,76721000,- -,131011000,151681000,266000,495000,495000,495000,495000,- -,- -,- -,- -
52,Other Current Liabilities,30373295,24172540,28901869,34425950,46823178,72121201,100902605,143301385,184034098,154125000,139862000,182598000,225539000,213520000,296473000,538417000,563313000,736162000,320795000,281991000,314374000,1359000000
53,Total Current Liabilities,172075295,97341296,86514095,78843897,174668824,178484803,293882945,394152660,507231630,680385000,660739000,519054000,551465000,905333000,1118199000,1514806000,1822074000,1800693000,2496828000,4055781000,16422520000,13122000000
54,Long-Term Debt,88851417,172060396,173202537,219323749,145558490,175064109,146015868,663288411,661522585,692134000,678145000,615503000,697979000,834814000,1046102000,3322488000,5266576000,5918119000,15362726000,22271559000,27181804000,36040000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,93528000,- -,95021000,114079000,8637000,7914000,7420000,6925000,6430000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,56952000,48676000,- -,- -,101942000,107778000,107102000,186368000,11263341000,11425496000,13140903000,23979404000,48817000000
57,Other Non-Current Liabilities,40411367,34409539,154669740,33952233,41165990,75733983,78892129,113632736,135646563,40099000,135687000,51245000,148378000,193263000,210637000,249784000,345430000,416677000,496166000,917696000,1345507000,1412000000
58,Total Non-Current Liabilities,129262784,206469935,327872277,253275982,186724480,250798093,224907997,776921147,797169148,882713000,862508000,761769000,960436000,1138656000,1372431000,3686794000,5805299000,17604567000,27284388000,36330158000,52506715000,86269000000
59,Other Liabilities,- -,- -,- -,- -,373448960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2390000,2396000,2597000,4042000,- -,- -,- -,649383000,905000000
61,Total Liabilities,301338079,303811231,414386372,332119879,361393305,429282895,518790942,1171073807,1304400778,1563098000,1523247000,1280823000,1511901000,2043989000,2490630000,5201600000,7627373000,19405260000,29781216000,40385939000,68929235000,99391000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,69999997,69999999,71847536,70865834,73015833,78008589,78283128,76424706,78114443,78206000,78206000,125961000,125989000,195395000,195395000,195395000,195395000,195395000,195395000,2460465000,3516569000,81293000000
64,Retained Earnings,14382401,17174855,-9318209,73384697,78442371,92554148,106728910,62597214,79875923,-22060000,119102000,129753000,35972000,164224000,138693000,283582000,816600000,18429374000,30578832000,-29364419000,17089538000,-20409000000
65,Other Comprehensive Income/Loss,-102156834,-127678687,-358888176,93479691,12044006,97523727,99338949,155220490,82456369,-848168000,-956194000,-1040896000,-1154005000,64785000,54880000,54880000,54880000,3095868000,5366346000,58580179000,41218523000,11580000000
66,Other Total Stockholders Equity,353202938,379685969,928400628,525644882,609492847,522578796,523385803,510894381,606711557,1557880000,1587846000,1692135000,1820091000,424519000,424519000,424456000,424456000,424442000,424442000,6758921000,9660049000,- -
67,Total Stockholders Equity,335428503,339182136,632041779,763375104,772995057,790665260,807736790,805136791,847158291,765858000,828960000,906953000,828047000,848923000,813487000,958313000,1491331000,22145079000,36565015000,38435146000,71484679000,72464000000
68,Total Liabilities And Stockholders Equity,636766582,642993367,1046428151,1095494982,1134388362,1219948155,1326527732,1976210598,2151559069,2328956000,2352207000,2187776000,2339948000,2892912000,3304117000,6159913000,9118704000,41550339000,66346231000,78821085000,140413914000,171855000000
69,Minority Interest,- -,-0,-0,14840724,15440417,27406630,30023018,69800578,77908657,122559000,132343000,138202000,148426000,161892000,192102000,184834000,180784000,871169000,1397872000,2177752000,4088994000,5549000000
70,Total Liabilities & Equity,636766582,642993367,1046428151,1110335706,1149828779,1247354785,1356550751,2046011176,2229467726,2451515000,2484550000,2325978000,2488374000,3054804000,3496219000,6344747000,9299488000,42421508000,67744103000,80998837000,144502908000,177404000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2849761,2792454,-43522078,77770767,18901639,33241009,44728664,62597214,79875923,-22060000,119102000,260578000,327842000,330098000,377003000,581269000,816598000,3260476000,15099936000,-18032555000,17089537000,-21933000000
74,Depreciation and Amortization,30262638,32856192,65181094,61716668,58603274,63406089,68650055,72907916,79091832,94725000,121959000,115921000,112945000,129806000,121014000,180410000,239494000,28540000,45114000,135929000,292002000,344000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,16782000,79225000,- -,- -,178698000,226700000,290815000,294336000,1609181000,286506000,-4294652000,5373999000,13586000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,6055346,-30189208,27201743,-14831057,-3002249,-36539811,-23180421,-64669985,-142742960,-225620000,-233761000,-77883000,-103392000,-8566000,5611000,-16061000,-420209000,363545000,377718000,-494648000,-465187000,-2094000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132473000,-126999000,-114264000,-61929000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,15574194,6069707,6482966,567144,-21193,-641215,18086853,-184553,5452,465000,-1683000,60664000,36128000,2023000,51445000,502000,-1696000,94272000,98078000,14895000,-12778000,70000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7593000,6441000,15041000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,6089702,-28213305,-36497400,-27239000,-8969000,53316000,11070000,-943000,-2034000,-1813000,-3350000,-8322000,-10879000,196511000,-50964000,-75000000
82,Other Non-Cash Items,10321934,10847561,328860,-92146942,4096070,34271507,80657375,104782146,151684959,207631000,43036000,154098000,286358000,24670000,191136000,221144000,83154000,-2386535000,-12185267000,26595716000,-17400799000,11379000000
83,Cash Provided by Operating Activities,43790157,16306999,49189619,32509435,78598733,94378793,170855673,175617291,167909754,71458000,129561000,452714000,623753000,654706000,921464000,1257577000,1013373000,2875207000,3624007000,3909790000,4889552000,1282000000
84,CAPEX,-21029173,-10490995,-3188244,-2461283,-20466532,-50586066,-91675385,-94139713,-244414436,-200996000,-53829000,-51676000,-117883000,-8406000,-13443000,-26619000,-15330000,-59652000,-57689000,-192610000,-193398000,-222000000
85,Acquisitions Net,-3550265,-9660619,- -,-17769,-3821,-4161470,- -,-43417275,-26306391,- -,-9890000,68769000,-48470000,-58514000,-14262000,-19445000,-73000000,-56865000,-87757000,-41154000,-47219000,-29000000
86,Purchases of Investments,- -,-5045000,- -,- -,- -,-6022120,-23812124,-50829082,-73114381,-91085000,- -,-7724000,-5107000,-106634000,-1285519000,-1554810000,-9916383000,-2517631000,-11330046000,-20526411000,-8959314000,-13036000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58890000,- -,- -,- -,1296369000,1033306000,8453545000,3282471000,8535468000,21468781000,12834547000,19901000000
88,Other Investing Activites,-12000,328923,-232407,2109346,2690135,0,-8673775,8399552,3588206,-6581000,13947000,-64627000,-79976000,-274177000,-503162000,152870000,-314970000,-832183000,-963104000,-4307579000,-6548264000,3094000000
89,Cash Used for Investing Activites,-24591438,-24867691,-3420650,-369707,-17780219,-60769656,-124161285,-179986518,-340247002,-298662000,9118000,-55258000,-251436000,-447164000,-517852000,-414231000,-1864555000,-148074000,-3861213000,-3468920000,-2879459000,9754000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106109000,-259995000,-160444000,-140403000,-202244000,-350086000,-512035000,-6732990000,-585541000,-101296000,-2144568000,-11170440000,-16699000000
91,Common Stock Issued,24743616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1471812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-6230997,-294000,- -,- -,-10034027,-18411371,-29032215,-45929236,-55655859,-60238000,-57158000,-243825000,-252431000,-307573000,-405940000,-148515000,-37019000,-48926000,-680000000,-704959000,-730307000,-2587000000
94,Other Financing Activites,-50855771,11617131,-50113440,-20247383,-10639200,-33771711,-9492754,469614526,9218059,186647000,182912000,98943000,-21081000,419028000,239120000,-393000,7349679000,-323287000,2581727000,1008459000,8339398000,2044000000
95,Cash Used/Provided by Financing Activities,-32343151,11323132,-50113440,-20247383,-20673227,-52183082,-39996780,423685290,-46437800,20300000,-134241000,-305326000,-413915000,-90789000,-516906000,-660943000,579670000,-957754000,1800431000,-1841068000,-3561349000,-17242000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3934000,6615000,4390000,1062000,5116000,272362000,-40141000,214259000,96000000
97,Net Change In Cash,-13144432,2762440,-4344471,11892346,40145287,-18573948,6697608,419316063,-218775050,-206904000,4438000,92130000,-41598000,120687000,-106679000,186793000,-270450000,1774495000,1835587000,-1468740000,-1374705000,-6156000000
98,Cash at the End of Period,6888976,9651416,15033938,28440973,68528859,49692965,56467314,474435694,266150335,48984000,53422000,145552000,103954000,223385000,116706000,303499000,33049000,1807544000,3643131000,4198987000,4626609000,793000000
99,Cash at the Beginning of Period,20033408,6888976,19378409,16548627,28383572,68266913,49769706,55119630,484925385,255888000,48984000,53422000,145552000,102698000,223385000,116706000,303499000,33049000,1807544000,5667727000,6001314000,6949000000
100,Free Cash Flow,22760984,5816004,46001375,30048152,58132201,43792727,79180287,81477578,-76504682,-129538000,75732000,401038000,505870000,646300000,908021000,1230958000,998043000,2815555000,3566318000,3717180000,4696154000,1060000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,0.3465,0.3243,0.3234,0.3307,0.26335,0.25435,0.24325,0.22089,0.18562,0.12296,0.10988,0.06644,0.0601,0.03449,0.02354,0.01419,0.01045
