,https://roic.ai/company/WYY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-9.2593,0.1010,0.0257,-0.4285,-1.0565,-0.0018,-0.0841,-0.0911,-0.5485,0.0021,0.0019,0.0116,0.0663,0.0754,0.0236,0.0505,0.0127,-0.0522,-0.0542,-0.0328,-0.0257,0.0134,0.0279,0.0179,0.0261
17,Operating Income,-5510,-600000,700000,-5319538,-6826263,-215708,-302835,-388592,-2239170,-517594,-607888,-727527,1716130,2804320,105173,1018777,-1175294,-4651008,-5461961,-4163254,-3462969,-190405,885255,3222257,607613
18,Operating Income ratio,-0.0039,-0.0606,0.0257,-0.4112,-1.1565,-0.0617,-0.0919,-0.0701,-0.1688,-0.0288,-0.0430,-0.0205,0.0396,0.0552,0.0025,0.0183,-0.0251,-0.0872,-0.0771,-0.0531,-0.0456,-0.0023,0.0087,0.0179,0.0070
19,Total Other Income Expenses (Gains),-14201189,300000,-1700000,-1075492,39424,156099,11747,-235183,-5561197,82956,90709,-206034,-148783,-71612,-57353,-286163,-156727,-156904,-86457,-44104,-33001,-72745,-266350,-298524,373930
20,Income Before Tax,-14206699,- -,- -,- -,-6786839,-59609,-291088,-623775,-7800367,-434638,-517179,-933561,1567347,2732708,47820,732614,-1332021,-4807912,-5548418,-4207358,-3495970,-263150,618905,2923733,981543
21,Income Before Tax Ratio,-9.9671,- -,- -,- -,-1.1498,-0.0171,-0.0884,-0.1126,-0.5881,-0.0242,-0.0366,-0.0263,0.0362,0.0538,0.0012,0.0131,-0.0284,-0.0902,-0.0783,-0.0537,-0.0461,-0.0031,0.0061,0.0162,0.0112
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-816,-355420,-83,- -,156891,156891,-3648146,-199046,-99687,362764,3592714,-81811,-73446,37967,1193326,392650,-7399951,640447
23,Net Income,-14206699,-300000,-1100000,-6594001,-6786839,-59609,-291088,-622959,-7444947,-434555,-517179,-1090452,1410456,6380854,246866,832301,-1694785,-8400626,-5466607,-4133912,-3533937,-1456476,226255,10323684,341096
24,Net Income ratio,-9.9671,-0.0303,-0.0404,-0.5097,-1.1498,-0.0171,-0.0884,-0.1124,-0.5613,-0.0242,-0.0366,-0.0308,0.0325,0.1256,0.0060,0.0149,-0.0362,-0.1576,-0.0772,-0.0527,-0.0466,-0.0174,0.0022,0.0572,0.0039
25,EPS,-25.80,-0.30,-0.80,-5.10,-5.20,-0.04,-0.20,-0.30,-3.00,-0.10,-0.10,-0.20,0.20,1.00,0.04,0.13,-0.27,-1.15,-0.66,-0.50,-0.40,-0.20,0.03,1.22,0.04
26,EPS Diluted,-25.80,-0.30,-0.80,-5.10,-5.20,-0.04,-0.20,-0.30,-3.00,-0.10,-0.10,-0.20,0.20,1.00,0.04,0.13,-0.27,-1.15,-0.66,-0.50,-0.40,-0.20,0.03,1.20,0.04
27,Weighted Average Shares Outstanding,550266,1063868,1294991,1297905,1298491,1424331,1557991,1866414,2510325,4543715,5240170,5667395,5941938,6155566,6288210,6347487,6380227,7304888,8222897,8268778,8291173,8327417,8397453,8460558,8460558
28,Weighted Average Shares Outstanding Diluted,550266,1063868,1294991,1298491,1298491,1424331,1557991,1866414,5265410,4543715,5240170,5667395,6060898,6286297,6414833,6375863,6380227,7304888,8222897,8268778,8291173,8327417,8401028,8603170,8460558
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1034760/000090445699000030/0000904456-99-000030-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000095013300001262/0000950133-00-001262-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706901000287/0000897069-01-000287-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706902000257/0000897069-02-000257-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706903000387/0000897069-03-000387-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706904000718/0000897069-04-000718-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706905000963/0000897069-05-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706906000992/0000897069-06-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706907000786/0000897069-07-000786-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706908000749/0000897069-08-000749-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000136231009004626/0001362310-09-004626-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420410017584/0001144204-10-017584-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420411017797/0001144204-11-017797-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420412018925/0001144204-12-018925-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420413019279/0001144204-13-019279-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420414019541/0001144204-14-019541-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420415016396/0001144204-15-016396-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420416088207/0001144204-16-088207-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420417017715/0001144204-17-017715-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420418016169/0001144204-18-016169-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495419003090/0001654954-19-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495420003103/0001654954-20-003103-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495421003119/0001654954-21-003119-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495422003918/0001654954-22-003918-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4500000,4200000,1085696,1563544,1208660,949612,463525,2526635,2774813,1831991,4375426,6238788,5816303,2135310,1857614,- -,13154699,7930303,9123498,5272457,2431892,6879627,15996749,6479980
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4500000,4200000,1085696,1563544,1208660,949612,463525,2526635,2774813,1831991,4375426,6238788,5816303,2135310,1857614,- -,13154699,7930303,9123498,5272457,2431892,6879627,15996749,6479980
34,Net Receivables,- -,2500000,5500000,1880165,459983,394227,405662,3007590,3345272,6220444,4808832,7584085,8389980,10854578,10600208,10040391,9174193,14116450,17202700,13308679,16262473,20655485,28557886,13848726,12536584
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286920,61338,37025,28400,123287,157058,183900,213713,- -,- -
36,Other Current Assets,- -,200000,500000,173698,47941,66480,49645,203126,233212,463369,328539,267666,359563,886121,1256292,955819,533944,445320,466189,434214,610886,902786,881134,37646294,14131424
37,Total Current Assets,- -,7200000,10200000,3139559,2071468,1669367,1404919,3674241,6105119,9458626,6969362,12227177,14988331,17557002,13991810,13140744,9769475,27753494,25627592,22989678,22302874,24174063,36532360,67491769,33147988
38,PP&E,- -,500000,700000,335935,63758,11965,6990,80652,55920,205231,435859,431189,538811,1241510,1336134,1428323,1545951,1614182,1513307,736678,1318420,1012684,6614344,573039,7114344
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2526110,2526110,2526110,8575881,9770647,11329917,18193561,16618467,16618467,18555578,18555578,18555578,18555578,18555578,18555578,18555578,22088578
40,Intangible Assets,- -,9700000,10100000,6155850,- -,- -,- -,5997367,1762641,1358212,1165461,2236563,1381580,1104551,5421655,4969241,3613271,5992992,5101523,4298902,3671506,3103753,2450770,2187503,6228886
41,Intangible Assets,- -,9700000,10100000,6155850,- -,- -,- -,5997367,4288751,3884322,3691571,10812444,11152227,12434468,23615216,21587708,20231738,24548570,23657101,22854480,22227084,21659331,21006348,20743081,28317464
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3116705,- -,3346948,4407630,- -,- -,- -,- -,- -,- -,- -,5127482
44,Other Non-Current Assets,- -,- -,- -,59045,58113,240536,53736,161148,227102,56192,167164,110808,75718,46455,3347066,76118,120046,161994,60471,646832,44553,209099,140403,- -,1782060
45,Total Non-Current Assets,- -,10200000,10800000,6550830,121871,252501,60726,6239167,4571773,4145745,4294594,11354441,11766756,16839138,28298416,26439097,26305365,26324746,25230879,24237990,23590057,22881114,27761095,21316120,42341350
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,17400000,21000000,9690389,2193339,1921868,1465645,9913408,10676892,13604371,11263956,23581618,26755087,34396140,42290226,39579841,36074840,54078240,50858471,47227668,45892931,47055177,64293455,88807889,75489338
48,Accounts Payable,- -,1600000,3200000,1237879,110339,78384,52382,1342759,2089717,4364747,2715180,2465394,7120168,7725727,8418854,5555419,3228586,6165477,7812226,8665449,7266212,7363621,13581822,36221981,10263015
49,Short-Term Debt,- -,- -,1000000,29830,18009,6421,- -,1592408,- -,45020,118246,2831006,735505,733311,922178,1258637,2231579,2397638,1054411,230726,234841,253256,599619,577855,794175
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143450,- -,- -,217982,12574,37684,5141,1266321,1325656,1831798,2782228,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,178019,567651,96674,1667969,768504,294541,390506,173655,40911,710275,2007970,1190558,2348578,2072344,2265067,398409,2280894
52,Other Current Liabilities,- -,- -,100000,- -,447159,243611,238902,4724194,814735,786842,707886,2548106,2359492,2787063,1888186,3590906,5404536,6001958,6724738,7918095,9866371,10762770,15081758,17244186,12702426
53,Total Current Liabilities,- -,1600000,4300000,1267709,575507,328416,291284,7659361,3082471,5764260,3637986,9512475,10983669,11540642,11619724,10578617,10905612,15275348,17599345,18004828,19716002,20451991,31528266,54442431,26040510
54,Long-Term Debt,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,1117230,604048,564490,7769143,4918732,2509492,1327800,431756,412180,232109,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7312,98702,- -,25231,82494,56977,24937,- -,264189,466714,363560,- -,400142
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,221959,- -,- -,- -,156891,313782,- -,- -,- -,- -,447811,447811,447811,392229,1523510,1868562,- -,- -
57,Other Non-Current Liabilities,- -,40000,- -,24430,6421,- -,- -,7058,4253,67851,162976,95248,67632,175908,65207,119994,61504,191448,163956,86198,78336,195992,5593649,- -,7372691
58,Total Non-Current Liabilities,- -,40000,1900000,24430,6421,- -,- -,229017,4253,67851,162976,1369369,992774,839100,7834350,5063957,2653490,2024036,1068460,946189,966863,2186216,7825771,- -,7772833
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6330197,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,67851,162976,202389,180208,67632,22908,145122,102244,113266,40714,4097,333700,229365,6193268,6509643,- -
61,Total Liabilities,- -,1600000,6200000,1292139,581928,328416,291284,7888378,3086724,5832111,3800962,10881844,11976443,12379742,19454074,15642574,13559102,17299384,18667805,18951017,20682865,22638207,39354037,60772628,33813343
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2046,- -,195,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,12985,12985,15580,15580,21125,37298,50495,52559,58276,61375,62691,63227,63752,63907,81657,82521,82730,83032,84113,83861,- -,8842
64,Retained Earnings,- -,-26000000,-27100000,-33686219,-40473058,-40532667,-40823755,-41446714,-52549770,-52984325,-53501504,-54591956,-53181500,-46800646,-46553780,-45720875,-47415660,-55816286,-61282893,-65416805,-68950742,-70407218,-70180963,- -,-59516183
65,Other Comprehensive Income/Loss,- -,-200000,-500000,-446674,-201834,-31631,-128003,-66809,21821,38666,38666,-435824,-656020,-917790,-1183982,-1377960,-1773318,-147515,-270140,-309369,-122461,-186485,-242594,-104615,-241586
66,Other Total Stockholders Equity,- -,42000000,42400000,42518158,42273318,42142170,42110539,43515382,60080819,60667229,60873273,67669278,68554789,69672143,70510687,70972350,71640809,92661000,93661178,93920095,94200237,94926560,95279114,40656338,101424922
67,Total Stockholders Equity,- -,15800000,14800000,8398250,1611411,1593452,1174361,2025030,7590168,7772260,7462994,12699774,14778644,22016398,22836152,23937267,22515738,36778856,32190666,28276651,25210066,24416970,24939418,40551723,41675995
68,Total Liabilities And Stockholders Equity,- -,17400000,21000000,9690389,2193339,1921868,1465645,9913408,10676892,13604371,11263956,23581618,26755087,34396140,42290226,39579841,36074840,54078240,50858471,47227668,45892931,47055177,64293455,101324351,75489338
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12516462,- -
70,Total Liabilities & Equity,- -,17400000,21000000,9690389,2193339,1921868,1465645,9913408,10676892,13604371,11263956,23581618,26755087,34396140,42290226,39579841,36074840,54078240,50858471,47227668,45892931,47055177,64293455,88807889,75489338
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1034760/000090445699000030/0000904456-99-000030-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000095013300001262/0000950133-00-001262-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706901000287/0000897069-01-000287-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706902000257/0000897069-02-000257-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706903000387/0000897069-03-000387-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706904000718/0000897069-04-000718-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706905000963/0000897069-05-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706906000992/0000897069-06-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706907000786/0000897069-07-000786-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706908000749/0000897069-08-000749-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000136231009004626/0001362310-09-004626-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420410017584/0001144204-10-017584-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420411017797/0001144204-11-017797-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420412018925/0001144204-12-018925-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420413019279/0001144204-13-019279-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420414019541/0001144204-14-019541-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420415016396/0001144204-15-016396-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420416088207/0001144204-16-088207-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420417017715/0001144204-17-017715-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420418016169/0001144204-18-016169-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495419003090/0001654954-19-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495420003103/0001654954-20-003103-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495421003119/0001654954-21-003119-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495422003918/0001654954-22-003918-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-14206699,-300000,-1100000,-6594001,-6786839,-59609,-291088,-622959,-7444947,-434555,-517179,-1090452,1410456,6380854,246866,832301,-1694785,-8400626,-5466607,-4133912,-3533937,-1456476,226255,10323684,341096
74,Depreciation and Amortization,1008864,1300000,1800000,851562,545290,51792,12777,80596,361042,463524,529845,1006904,1130360,1008839,860958,1792577,1751328,1838456,1566408,1563417,1493215,1307651,1910601,1151,1026080
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-221959,- -,- -,156891,156891,-3843288,-209049,-81823,113491,3693521,-12305,-17937,-1619,1128213,343659,-7466,470355
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563108,146782,110398,157459,217611,227035,324281,299337,310989,387210,683404,717987,810,883763
77,Change in Working Capital,255996,4673961,300000,-4028150,-375889,-155010,-227316,-5098755,7007768,671718,-362990,-616674,1289960,2011698,-3644274,190041,-3698264,13614283,-4449899,-3043397,-2397978,1135200,1282022,8045244,-5941860
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1436910,-805895,-2464598,3283714,570883,652997,-3810821,-2950167,4380778,-2766467,-4502811,- -,-21027,27283860
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170984,25590,66630,8494,-95118,-33060,-26986,-29868,-777,400565
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1155681,-1438975,3862824,2154529,1307585,151732,1190046,10443535,23059452,-30187502
81,Other Working Capital,926039,5600000,5900000,1871850,1495961,1340951,1113635,-3985120,3022648,3694366,3331376,2714702,4004662,6016360,2372086,2562127,-1136137,12478146,8028247,4984850,2586872,3722072,5004094,13049338,7107478
82,Other Non-Cash Items,9127617,-5273961,- -,6540788,7139599,-174798,202249,5118819,544214,-193149,-94580,2658986,940180,-4013088,4015099,-1949957,2148087,-13657461,5162255,8032480,1061348,-4932882,1374318,-18357037,1998003
83,Cash Provided by Operating Activities,-3814222,400000,1000000,-3229801,522161,-337625,-303378,-522299,246118,507538,-444904,2678763,5074629,1655413,1427059,1000750,-1153108,-2587546,-2900811,2711640,-2991761,-2134890,5854842,6386,-1222563
84,CAPEX,-1093524,-1800000,-1300000,-82038,-17733,- -,-7802,-15336,-3403,-72430,-343244,-219790,-288646,-1044393,-783116,-449270,-512986,-401518,-599973,-607553,-1064494,-490346,-516549,-254,-2754696
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-4640729,-6566,- -,- -,- -,-171191,-383701,-7923174,- -,- -,-4079628,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-767379,- -,- -,30000,3250,750,1500,1500,-414694,- -,- -,-5315260,-30397,-764566,-350219,-55898,- -,-105593,-186354,-331787,-77338,-228841,-146227,253291,-7185349
89,Cash Used for Investing Activites,-1093524,-1800000,-1300000,-52038,-14483,750,-6302,-4654565,-424663,-72430,-343244,-5411560,-459837,-2118604,-8705540,-372731,-512986,-4447958,-599973,-606446,-772960,-490346,-516549,-1157,-7443525
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2435367,-3155917,-777157,-754259,-3880014,-2227000,-14090178,-24249499,-19103766,-20501427,-14150439,-7258212,-608,-1144166
91,Common Stock Issued,6339607,- -,- -,168251,- -,- -,- -,3051466,4118667,419942,34710,4080000,- -,- -,- -,- -,- -,22024760,- -,- -,- -,- -,- -,4345,1071074
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166600,- -,-169088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365685,-10,-1243069
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,131054,-500000,- -,-27150,-29830,-18009,50632,1639311,-1877012,-440272,-189384,3800687,404487,817863,4351747,3074266,2035480,12427324,22696762,18222031,20202741,13992741,6779934,3728630,610462
95,Cash Used/Provided by Financing Activities,6470661,-500000,- -,141101,-29830,-18009,50632,4690777,2241655,-186930,-154674,5276232,-2751430,40706,3597488,-805748,-191520,20361906,-1552737,-881735,-298686,-157698,-843963,3732357,-705699
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171703,-170875,-30264,212366,-57631,-46595,155507,-144982
97,Net Change In Cash,1562915,- -,-300000,-3140738,477848,-354884,-259048,-486087,2063110,248178,-942822,2543435,1863362,-422485,-3680993,-177729,- -,- -,-5224396,1193195,-3851041,-2840565,4447735,9117,6463983
98,Cash at the End of Period,6405084,- -,4200000,1085696,1563544,1208660,949612,463525,2526635,2774813,1831991,4375426,6238788,5816303,2135310,1857614,- -,13154699,7930303,9123498,5272457,2431892,6879627,15997,6479980
99,Cash at the Beginning of Period,4842169,6400000,4500000,4226434,1085696,1563544,1208660,949612,463525,2526635,2774813,1831991,4375426,6238788,5816303,2035343,1857614,- -,13154699,7930303,9123498,5272457,2431892,6880,15997
100,Free Cash Flow,-4907746,-1400000,-300000,-3311839,504428,-337625,-311180,-537635,242715,435108,-788148,2458973,4785983,611020,643943,551480,-1666094,-2989064,-3500784,2104087,-4056255,-2625236,5338293,6132,-3977259
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1034760/000090445699000030/0000904456-99-000030-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000095013300001262/0000950133-00-001262-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706901000287/0000897069-01-000287-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706902000257/0000897069-02-000257-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706903000387/0000897069-03-000387-index.html,https://www.sec.gov/Archives/edgar/data/1034760/000089706904000718/0000897069-04-000718-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706905000963/0000897069-05-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706906000992/0000897069-06-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706907000786/0000897069-07-000786-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000089706908000749/0000897069-08-000749-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000136231009004626/0001362310-09-004626-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420410017584/0001144204-10-017584-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420411017797/0001144204-11-017797-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420412018925/0001144204-12-018925-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420413019279/0001144204-13-019279-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420414019541/0001144204-14-019541-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420415016396/0001144204-15-016396-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420416088207/0001144204-16-088207-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420417017715/0001144204-17-017715-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000114420418016169/0001144204-18-016169-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495419003090/0001654954-19-003090-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495420003103/0001654954-20-003103-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495421003119/0001654954-21-003119-index.htm,https://www.sec.gov/Archives/edgar/data/1034760/000165495422003918/0001654954-22-003918-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
