,https://roic.ai/company/MEIP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,13000,45000,50000,64000,58000,85000,53000,80000,109000,285000
15,EBITDA,-122000,-3033000,-8538000,-6421000,-7385000,-13819000,-12407000,-11179000,-7895000,-5979000,-8381000,-11177000,-27178000,-32707000,-20946000,2756000,-40014000,-16738000,-45906000,-50282000
16,EBITDA ratio,-17.4286,-20.9172,-44.2383,-20.8474,-Infinity,-21.4248,-18.4080,-49.0307,-93.9881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1185,-24.6695,-3.4055,-1.5877,-1.9691
17,Operating Income,-122000,-3033000,-8538000,-6421000,-7385000,-13819000,-13081000,-11179000,-7895000,-6451000,-8394000,-11222000,-27228000,-32771000,-21004000,2384000,-28586000,-46245000,-24540000,-69685000
18,Operating Income ratio,-17.4286,-20.9172,-44.2383,-20.8474,-Infinity,-21.4248,-19.4080,-49.0307,-93.9881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1025,-17.6239,-9.4090,-0.8488,-2.7290
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,674000,- -,- -,-329000,872000,37000,81000,78000,143000,287000,-11481000,29427000,-21475000,19118000
20,Income Before Tax,-122000,-3033000,-8538000,-6421000,-7385000,-13819000,-12407000,-11179000,-7895000,-6780000,-7522000,-11185000,-27147000,-32693000,-20861000,2671000,-40067000,-16818000,-46015000,-50567000
21,Income Before Tax Ratio,-17.4286,-20.9172,-44.2383,-20.8474,-Infinity,-21.4248,-18.4080,-49.0307,-93.9881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1149,-24.7022,-3.4218,-1.5915,-1.9803
22,Income Tax expense (Gain),1000,- -,- -,- -,1000,1000,3000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8000
23,Net Income,-123000,-3033000,-8538000,-6421000,-7386000,-13820000,-12410000,-11180000,-7896000,-6781000,-7523000,-11186000,-27148000,-32694000,-20862000,2670000,-40068000,-16819000,-46016000,-50575000
24,Net Income ratio,-17.5714,-20.9172,-44.2383,-20.8474,-Infinity,-21.4264,-18.4125,-49.0351,-94.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1148,-24.7028,-3.4220,-1.5915,-1.9806
25,EPS,-0.15,-3.60,-9.60,-6.60,-7.80,-13.20,-10.80,-9.00,-6.42,-5.34,-3.36,-1.10,-1.35,-1.16,-0.61,0.07,-0.97,-0.24,-0.51,-0.45
26,EPS Diluted,-0.15,-3.60,-9.60,-6.60,-7.80,-13.20,-10.80,-9.00,-6.42,-5.34,-3.36,-1.10,-1.35,-1.16,-0.61,0.07,-0.97,-0.75,-0.51,-0.68
27,Weighted Average Shares Outstanding,829494,867055,915911,948968,948968,1053276,1138378,1217866,1224389,1273903,2247712,10160835,20061387,28204356,34400441,36813000,41431000,71139000,91080000,112527000
28,Weighted Average Shares Outstanding Diluted,829494,867055,915911,948968,948968,1053276,1138378,1217866,1224389,1273903,2247712,10160835,20061387,28204356,34400441,36938000,41431000,72385000,91080000,114481000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000095013304003449/w01755e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013305004137/w12727e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013306004013/w24658e10vk.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000119312512394598/d366975d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312513369722/d550819d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312514336166/d745706d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312515309992/d937976d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312516701415/d215811d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312517276135/d410307d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312518263586/d533269d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312519232454/d783135d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312520242169/0001193125-20-242169-index.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095017021001655/0000950170-21-001655-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9164000,7244000,24819000,9238000,10054000,16158000,19743000,19067000,9031000,3858000,6202000,35573000,13777000,18722000,10837000,8458000,13309000,9590000,12331000,8543000
32,Short-Term Investments,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,35016000,45057000,35081000,45107000,89434000,64899000,170299000,144883000
33,Cash and Short-Term Investments,9164000,7244000,24819000,19238000,10054000,16158000,19743000,19067000,9031000,3858000,6202000,35573000,48793000,63779000,45918000,53565000,102743000,74489000,182630000,153426000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5274000,20420000,7582000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,36000,42000,30000,126000,341000,132000,235000,289000,102000,272000,146000,456000,497000,502000,831000,1758000,1586000,2435000,5594000,3809000
37,Total Current Assets,9200000,7286000,24849000,19364000,10395000,16290000,19978000,19356000,9133000,4130000,6348000,36029000,49290000,64281000,46749000,55323000,104329000,82198000,208644000,164817000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,3000,38000,25000,48000,83000,68000,49000,50000,32000,204000,1084000,9281000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000,435000,401000,366000,331000,296000,261000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000,435000,401000,366000,331000,296000,261000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,3000,38000,25000,518000,518000,469000,415000,381000,328000,465000,1084000,9281000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9185000,7286000,24849000,19364000,10395000,16290000,19978000,19356000,9136000,4168000,6373000,36547000,49808000,64750000,47164000,55704000,104657000,82663000,209728000,174098000
48,Accounts Payable,- -,433000,192000,254000,420000,1197000,1130000,736000,830000,328000,594000,537000,1708000,863000,1079000,585000,3643000,4787000,2437000,6355000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,928000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,996000,788000,4955000,14777000,14609000
52,Other Current Liabilities,300000,920000,1715000,2589000,840000,1316000,2313000,3407000,925000,2046000,1180000,1138000,2908000,4096000,4433000,3285000,3454000,4559000,6090000,8402000
53,Total Current Liabilities,300000,1353000,1907000,2843000,1260000,2513000,3443000,4143000,1755000,2374000,1774000,1675000,4616000,4959000,5512000,4866000,7885000,14301000,23304000,30294000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7370000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2819000,67723000,72717000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46313000,17613000,40483000,22355000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46313000,20432000,108206000,102442000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8298000
61,Total Liabilities,286000,1353000,1907000,2843000,1260000,2513000,3443000,4143000,1755000,2374000,1774000,1675000,4616000,4959000,5512000,4866000,54198000,34733000,131510000,132736000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-3156000,-11694000,-18115000,-25501000,-39321000,-51731000,-62911000,-70807000,-77588000,-85111000,-96297000,-123445000,-156139000,-177001000,-174331000,-214399000,-231218000,-277234000,-327809000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000,-86000,-78000,-45000,-49000,-94000,-62000,- -
66,Other Total Stockholders Equity,8899000,9089000,34636000,34636000,34636000,- -,- -,- -,- -,- -,89710000,131169000,168693000,216016000,218731000,225214000,264907000,279242000,355514000,- -
67,Total Stockholders Equity,8899000,5933000,22942000,16521000,9135000,13777000,16535000,15213000,7381000,1794000,4599000,34872000,45192000,59791000,41652000,50838000,50459000,47930000,78218000,41362000
68,Total Liabilities And Stockholders Equity,9185000,7286000,24849000,19364000,10395000,16290000,19978000,19356000,9136000,4168000,6373000,36547000,49808000,64750000,47164000,55704000,104657000,82663000,209728000,174098000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9185000,7286000,24849000,19364000,10395000,16290000,19978000,19356000,9136000,4168000,6373000,36547000,49808000,64750000,47164000,55704000,104657000,82663000,209728000,174098000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000095013304003449/w01755e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013305004137/w12727e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013306004013/w24658e10vk.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000119312512394598/d366975d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312513369722/d550819d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312514336166/d745706d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312515309992/d937976d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312516701415/d215811d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312517276135/d410307d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312518263586/d533269d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312519232454/d783135d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312520242169/0001193125-20-242169-index.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095017021001655/0000950170-21-001655-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-123000,-3033000,-8538000,-6421000,-7386000,-13820000,-12410000,-11180000,-7896000,-6781000,-7523000,-11186000,-27148000,-32694000,-20862000,2670000,-40068000,-16819000,-46016000,-50575000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,13000,45000,50000,64000,58000,85000,53000,80000,109000,285000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,90000,64000,484000,511000,1506000,4747000,4223000,2723000,2304000,3217000,6562000,6801000,10245000
77,Change in Working Capital,120000,-2967000,17009000,-6421000,-7386000,4642000,2758000,-1322000,-7835000,-5622000,2818000,29780000,10320000,14648000,-18085000,9220000,45987000,-28547000,117443000,-50817000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-394000,-127000,-201000,266000,-57000,1171000,-845000,216000,-494000,3058000,1144000,-2350000,3918000
81,Other Working Capital,8900000,5933000,22942000,16521000,9135000,13777000,16535000,15213000,7378000,1756000,4574000,34354000,44674000,59322000,41237000,50457000,96444000,67897000,185340000,134523000
82,Other Non-Cash Items,3000,4159000,-16443000,7261000,5683000,-1608000,-1846000,1858000,5634000,5405000,-2900000,-30189000,-7420000,-14310000,18309000,-10793000,-30491000,9301000,-44079000,58898000
83,Cash Provided by Operating Activities,- -,-1841000,-7972000,-5581000,-9089000,-10786000,-11498000,-10554000,-10033000,-6501000,-7081000,-10044000,-19451000,-28069000,-17857000,3486000,-21302000,-29423000,34258000,-31964000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-48000,- -,-38000,-50000,-15000,-4000,-51000,- -,-217000,-894000,-708000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35016000,-70077000,-55238000,-60123000,-114233000,-64655000,-190279000,-420153000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60036000,65214000,50097000,69906000,89190000,84879000,445569000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-48000,- -,-38000,-35066000,-10056000,9972000,-10077000,-44327000,24318000,-106294000,24708000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,25578000,- -,- -,16915000,15193000,9878000,- -,711000,9831000,39453000,32721000,43070000,- -,4212000,70151000,220000,74505000,3136000
92,Common Stock Repurchased,9020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,150000,-110000,- -,-10000000,9905000,-25000,-110000,- -,- -,665000,-406000,- -,- -,- -,- -,- -,329000,1166000,272000,332000
95,Cash Used/Provided by Financing Activities,9170000,-110000,25578000,-10000000,9905000,16890000,15083000,9878000,- -,1376000,9425000,39453000,32721000,43070000,- -,4212000,70480000,1386000,74777000,3468000
96,Effect of Forex Changes on Cash,- -,31000,-31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9160000,-1920000,17575000,-15581000,816000,6104000,3585000,-676000,-10036000,-5173000,2344000,29371000,-21796000,4945000,-7885000,-2379000,4851000,-3719000,2741000,-3788000
98,Cash at the End of Period,9160000,7244000,24819000,9238000,10054000,16158000,19743000,19067000,9031000,3858000,6202000,35573000,13777000,18722000,10837000,8458000,13309000,9590000,12331000,8543000
99,Cash at the Beginning of Period,- -,9164000,7244000,24819000,9238000,10054000,16158000,19743000,19067000,9031000,3858000,6202000,35573000,13777000,18722000,10837000,8458000,13309000,9590000,12331000
100,Free Cash Flow,- -,-1841000,-7972000,-5581000,-9089000,-10786000,-11498000,-10554000,-10036000,-6549000,-7081000,-10082000,-19501000,-28084000,-17861000,3435000,-21302000,-29640000,33364000,-32672000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000095013304003449/w01755e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013305004137/w12727e10vk.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095013306004013/w24658e10vk.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262104/000119312512394598/d366975d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312513369722/d550819d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312514336166/d745706d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312515309992/d937976d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312516701415/d215811d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312517276135/d410307d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312518263586/d533269d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312519232454/d783135d10k.htm,https://www.sec.gov/Archives/edgar/data/1262104/000119312520242169/0001193125-20-242169-index.htm,https://www.sec.gov/Archives/edgar/data/1262104/000095017021001655/0000950170-21-001655-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
