,https://roic.ai/company/FFNTF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6314000,56248000,1200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6466362,109089000,124769000,164925000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7264,- -,- -,- -,- -,- -,- -,- -,- -,21948000,53454000,96740000
61,Total Liabilities,- -,- -,46133,213153,120353,267899,152446,300419,540826,512097,619061,266534,404087,16071984,127940000,162553000,214623000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,13274709,12260940,11171904,10974549,10096389,32470136,252656000,250583000,274119000
64,Retained Earnings,- -,- -,-155116,-8705746,-9349191,-12317981,-13926396,-14418800,-14976225,-14015130,-12910612,-12327979,-11498488,-4919120,-202090000,-250548000,-285483000
65,Other Comprehensive Income/Loss,- -,- -,-226,-10564,-22788,-1015,814973,1549162,1335436,1250565,1143454,1095206,1007570,3475788,25618000,-6018000,- -
66,Other Total Stockholders Equity,- -,- -,557913,12368010,10512251,13848695,16516031,15288881,0,0,-0,-0,- -,- -,- -,48134000,52197000
67,Total Stockholders Equity,- -,- -,402571,3651700,1140271,1499296,2543014,820117,-366080,-503625,-595255,-258224,-394529,31026804,76184000,42151000,40833000
68,Total Liabilities And Stockholders Equity,- -,- -,448704,3864854,1260624,1767195,2695461,1120536,174746,8472,23806,8310,9558,47098788,204124000,204704000,255456000
69,Minority Interest,- -,- -,0,- -,- -,- -,-0,- -,0,-0,-0,-0,-0,- -,-205000,52000,73000
70,Total Liabilities & Equity,- -,- -,448704,3864854,1260624,1767195,2695461,1120536,174746,8472,23806,8310,9558,47098788,203919000,204756000,255529000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783875/000156459021017873/0001564590-21-017873-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-155116,-8535448,-1991766,-1201914,-839567,-1000403,-994574,-182616,-140328,37878,-156968,- -,-180603000,-47051000,- -
74,Depreciation and Amortization,- -,- -,226,10315,22241,18958,15186,14794,2946,113,77,- -,- -,- -,5145000,8563000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232000,5124000,- -
76,Stock Based Compensation,- -,- -,- -,- -,45902,60752,181991,8153,- -,- -,- -,- -,- -,- -,5913000,5306000,- -
77,Change in Working Capital,- -,- -,13912,-1604078,119302,773884,-1523263,-561737,202,-91545,337031,-136306,4668203,- -,40950278,-5938000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,12033,5968,-19660,14716,-2189,- -,1192000,-781000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6052000,-9159000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,316760,-16949,129739,92654,32953,- -,2942000,3078000,- -
81,Other Working Capital,- -,- -,2291981,687903,807205,1581089,57826,-503911,-503709,-595255,-258224,-394529,4273674,- -,12890000,6952000,- -
82,Other Non-Cash Items,- -,- -,0,9404293,1146358,-551945,1412174,1114155,1017940,188946,-364183,98652,-4511512,- -,103803722,19955000,- -
83,Cash Provided by Operating Activities,- -,- -,-140979,-724918,-657964,-900265,-753479,-425037,26514,-85102,-167404,224,-276,- -,-25023000,-14041000,- -
84,CAPEX,- -,- -,-20599,-2743326,-540999,-353467,-606740,-147079,-233170,- -,- -,- -,- -,- -,-23032000,-13875000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120591,- -,- -,- -,5685000,- -,- -
86,Purchases of Investments,- -,- -,- -,-5463,-418813,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,9259,89171,205546,73183,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-124137,-0,-72656,574453,31028,-5121,-0,12153,- -,- -,- -,- -,-1751000,53212000,- -
89,Cash Used for Investing Activites,- -,- -,-144737,-2748789,-1032468,220986,-566452,-63029,-27624,85336,120591,- -,- -,- -,-19498000,39337000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-8559,-7718,- -,- -,- -,- -,- -,- -,- -,-7101000,-40130000,- -
91,Common Stock Issued,- -,- -,557686,5685492,- -,1285705,791662,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,11285,-108089,-7455,39684,-26452,-336,-363,-248,45038,- -,- -,- -,55976000,25625000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,568971,5577403,-7455,1316830,757492,-336,-363,-248,45038,- -,- -,- -,48875000,-14505000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,283255,2103696,-1697887,637551,-562439,-488403,-1472,-15,-1775,224,-276,- -,4354000,10791000,- -
98,Cash at the End of Period,- -,- -,283256,2380246,313714,1010553,511189,3949,2357,2162,195,411,102,- -,5789000,18932000,- -
99,Cash at the Beginning of Period,- -,- -,1,276550,2011600,373001,1073628,492352,3829,2177,1970,187,378,- -,1435000,8141000,- -
100,Free Cash Flow,- -,- -,-161578,-3468244,-1198963,-1253732,-1360219,-572116,-206656,-85102,-167404,224,-276,- -,-48055000,-27916000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1783875/000156459021017873/0001564590-21-017873-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,
