,https://roic.ai/company/EYES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1266806/000161577416004462/0001615774-16-004462-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577417001057/0001615774-17-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577418002008/0001615774-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459019008372/0001564590-19-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459020011809/0001564590-20-011809-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459021013636/0001564590-21-013636-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000175392622000356/0001753926-22-000356-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-16279127,-22968925,-35201247,-20018000,-33179000,-28516000,-35094000,-33592000,-14880000,-8921
74,Depreciation and Amortization,324712,315770,279179,335000,432000,457000,435000,397000,164000,70000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,907862,769896,1474645,2687000,3367000,3784000,3589000,2925000,421000,75000
77,Change in Working Capital,-541692,4828461,24420555,-14742991,-9162000,-3070000,-4528000,4129000,-7014000,68908000
78,Accounts Receivable,97433,-148310,-239004,-793000,955000,-1413000,1220000,48000,461000,- -
79,Inventory,-595734,-559887,-3375221,-2488000,10000,3868000,-1178000,-347000,529000,- -
80,Accounts Payable,492483,-417050,198779,197000,446000,-419000,554000,-213000,-1051000,63000
81,Other Working Capital,4275975,9104436,33524991,18782000,9620000,6550000,2022000,6151000,-863000,68045000
82,Other Non-Cash Items,267031,-372064,-8065474,11189991,13472000,3398000,5788000,-1488000,4487000,-78232079
83,Cash Provided by Operating Activities,-15321214,-17426862,-17092342,-20549000,-25070000,-23947000,-29810000,-27629000,-16822000,-9188000
84,CAPEX,-196083,-246004,-560351,-762000,-490000,-265000,-163000,-493000,-330000,-14000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2651176,-4301576,-25387949,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,18279000,5378000,3106000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,398000,- -
89,Cash Used for Investing Activites,-2847259,-4547580,-25948300,17517000,4888000,2841000,-163000,-493000,68000,-14000
90,Debt Repayment,- -,-53666,- -,- -,- -,- -,- -,- -,- -,-2200000
91,Common Stock Issued,7880080,2400685,43294608,- -,- -,- -,25936000,34505000,6679000,77789000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10103936,19627598,509354,2759000,20452000,21168000,665000,484000,1919000,27000
95,Cash Used/Provided by Financing Activities,17984016,21974617,43803962,2759000,20452000,21168000,26601000,34989000,8598000,75616000
96,Effect of Forex Changes on Cash,-43538,-82364,-206474,-107000,30000,3000,4000,-11000,6000,2000
97,Net Change In Cash,-227995,-82189,556846,-380000,300000,65000,-3368000,6856000,-8150000,- -
98,Cash at the End of Period,144754,62565,619411,239000,539000,604000,4471000,11327000,3177000,- -
99,Cash at the Beginning of Period,372749,144754,62565,619000,239000,539000,7839000,4471000,11327000,3177000
100,Free Cash Flow,-15517297,-17672866,-17652693,-21311000,-25560000,-24212000,-29973000,-28122000,-17152000,-9202000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1266806/000161577416004462/0001615774-16-004462-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577417001057/0001615774-17-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577418002008/0001615774-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459019008372/0001564590-19-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459020011809/0001564590-20-011809-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459021013636/0001564590-21-013636-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000175392622000356/0001753926-22-000356-index.htm
102,false,,,,,,,,,,
