,https://roic.ai/company/EXEO,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,Total Current Liabilities,50000,60000,255920,477590,768280,1140460,1443160,1913580,2413378
54,Long-Term Debt,30000,20000,9310,41860,29840,- -,- -,- -,91559
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-10,10,- -,20480,10850,18020,- -
58,Total Non-Current Liabilities,30000,20000,9300,41870,29840,20480,10850,18020,91559
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,120523,208350
61,Total Liabilities,80000,80000,265220,519460,798120,1160940,1454010,1931600,2504937
62,Preferred Stock,- -,- -,3,1207393,1565528,1725666,1888552,2051177,2069778
63,Common Stock,- -,- -,2410,2430,2480,2620,2670,2910,2985
64,Retained Earnings,-790000,-1650000,-2842020,-4210560,-5714980,-7374120,-8582650,-10119540,-11930308
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,959462,2081644,3062255,2027953,3823749,4851772,5548975,6734003,7853768
67,Total Stockholders Equity,169462,431644,222648,-972784,-323223,-794062,-1142453,-1331450,-2003777
68,Total Liabilities And Stockholders Equity,249462,511644,487868,-453324,474897,366878,311557,600150,501160
69,Minority Interest,538,-1644,-64158,1207394,3,2,-7,- -,- -
70,Total Liabilities & Equity,250000,510000,423710,754070,474900,366880,311550,600150,501160
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528760/000119983515000041/0001199835-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983516000645/0001199835-16-000645-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495417002720/0001654954-17-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495418002162/0001654954-18-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495419002782/0001654954-19-002782-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983520000030/0001199835-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983521000131/0001199835-21-000131-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-670200,-856407,-1104793,-1317434,-1346543,-1501500,-1045641,-1378692,-1652946
74,Depreciation and Amortization,6030,25604,27331,29709,31940,27649,8718,21517,22652
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,100616,200004,200004,200004,200004,125004,- -,- -,- -
77,Change in Working Capital,-15029,17667,71035,30404,245969,466070,314266,209501,517171
78,Accounts Receivable,- -,- -,-110,110,- -,- -,-186,186,-645
79,Inventory,- -,- -,-14914,-216653,4586,162948,24681,-245041,12874
80,Accounts Payable,- -,- -,- -,- -,12716,12566,3501,37016,101386
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1598,-20980,9416,91705,- -,175000,- -,87190,402796
83,Cash Provided by Operating Activities,-576985,-634112,-797007,-965612,-868630,-707777,-722657,-1060484,-710327
84,CAPEX,-69522,-24041,-5522,-40701,-3930,- -,- -,-39768,-31705
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-24525
89,Cash Used for Investing Activites,-69522,-24041,-5522,-40701,-3930,- -,- -,-39768,-31705
90,Debt Repayment,-18001,-15789,-9879,22957,-12809,-9356,-9633,-9915,-10250
91,Common Stock Issued,- -,- -,548293,104649,388456,740657,697250,1102605,684560
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-15000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,768359,901565,232500,979687,200250,- -,- -,- -,141651
95,Cash Used/Provided by Financing Activities,750358,885776,770914,1107293,575897,716301,687617,1092690,815961
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,103851,227623,-31615,100980,-296662,8524,-35040,-7562,73929
98,Cash at the End of Period,130676,358299,326684,427663,131001,139525,104485,96923,170852
99,Cash at the Beginning of Period,26825,130676,358299,326683,427663,131001,139525,104485,96923
100,Free Cash Flow,-646507,-658153,-802529,-1006313,-872560,-707777,-722657,-1100252,-742032
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528760/000119983515000041/0001199835-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983516000645/0001199835-16-000645-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495417002720/0001654954-17-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495418002162/0001654954-18-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495419002782/0001654954-19-002782-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983520000030/0001199835-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983521000131/0001199835-21-000131-index.htm
102,false,,,,,,,,,
