,https://roic.ai/company/TRNO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,-1022000,2451000,10718000,14601000,15118000,53095000,63289000,55516000,79795000,87254000
21,Income Before Tax Ratio,- -,- -,- -,-0.0328,0.0538,0.1556,0.1523,0.1394,0.4008,0.4173,0.3246,0.4270,0.3932
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-5390000,-3729000,4065000,6641000,10718000,14601000,15118000,53095000,63289000,55516000,79795000,87254000
24,Net Income ratio,- -,-1.3371,-0.2131,0.1304,0.1459,0.1556,0.1523,0.1394,0.4008,0.4173,0.3246,0.4270,0.3932
25,EPS,- -,-0.59,-0.41,0.19,0.15,0.23,0.26,0.26,0.95,1.09,0.86,1.17,1.29
26,EPS Diluted,- -,-0.59,-0.41,0.19,0.15,0.23,0.26,0.26,0.95,1.09,0.85,1.16,1.28
27,Weighted Average Shares Outstanding,- -,9112000,9161805,13135440,21011276,30433017,42861276,44725936,51357719,57486399,64428406,67762927,67762927
28,Weighted Average Shares Outstanding Diluted,- -,9112000,9161805,13135440,21011276,30433017,42861276,44725936,51357719,57486399,64722976,68170066,68170066
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1476150/000095012311017913/f58082e10vk.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312512071345/0001193125-12-071345-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312513061413/0001193125-13-061413-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312514057907/d658550d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312515042751/d854283d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312516456255/0001193125-16-456255-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312517034620/0001193125-17-034620-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312518034704/0001193125-18-034704-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000162828019001026/0001628280-19-001026-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615020000003/0001476150-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615021000004/0001476150-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1476150/000147615022000006/0001476150-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000,57253000,3249000,5930000,6989000,190601000,22450000,14208000,35710000,31004000,110082000,107180000,204404000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000,57253000,3249000,5930000,6989000,190601000,22450000,14208000,35710000,31004000,110082000,107180000,204404000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,54492000,15858000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2139000,- -,- -,6315000,4979000,- -,- -,- -,- -,- -,397000
37,Total Current Assets,1000,57253000,5388000,5930000,6989000,196916000,27429000,14208000,35710000,85496000,125940000,107180000,204801000
38,PP&E,- -,134861000,257521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,23020000,32093000,42918000,55369000,62580000,76029000,79270000,88594000,88859000,- -
41,Intangible Assets,- -,- -,- -,23020000,32093000,42918000,55369000,62580000,76029000,79270000,88594000,88859000,114126000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2268000,4140000,416368000,606242000,836932000,1069340000,1202193000,1456132000,1631738000,1893930000,- -,2605288000
45,Total Non-Current Assets,- -,137129000,261661000,439388000,638335000,879850000,1124709000,1264773000,1532161000,1711008000,1982524000,88859000,2719414000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1000,194382000,267049000,445318000,645324000,1076766000,1152138000,1278981000,1567871000,1796504000,2108464000,196039000,2924215000
48,Accounts Payable,- -,2425000,6038000,6633000,6205000,9499000,18424000,18220000,21270000,24893000,27699000,26688000,45025000
49,Short-Term Debt,- -,- -,- -,65429000,31000000,- -,- -,51500000,- -,19000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-65429000,-27751000,6859000,7796000,-31278000,24005000,7691000,29791000,- -,25618000
53,Total Current Liabilities,- -,2425000,6038000,6633000,9454000,16358000,26220000,38442000,45275000,51584000,57490000,26688000,70643000
54,Long-Term Debt,- -,17676000,99315000,177044000,189313000,304501000,381475000,415327000,461683000,462097000,491575000,- -,720670000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,8782000,2685000,6367000,7722000,8871000,11361000,13407000,33419000,35026000,42276000,- -,74939000
58,Total Non-Current Liabilities,- -,26458000,102000000,183411000,197035000,313372000,392836000,428734000,495102000,497123000,533851000,- -,795609000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524948000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,28883000,108038000,190044000,206489000,329730000,419056000,467176000,540377000,548707000,591341000,551636000,866252000
62,Preferred Stock,- -,- -,- -,46000000,46000000,46000000,46000000,46000000,- -,- -,- -,- -,- -
63,Common Stock,10,91000,91000,133000,249000,428000,430000,474000,553000,610000,673000,686000,752000
64,Retained Earnings,- -,-5390000,-9119000,-5054000,- -,- -,- -,- -,4803000,14185000,2621000,5926000,2804000
65,Other Comprehensive Income/Loss,- -,-1502000,-7063000,- -,- -,-147000,-796000,-898000,-1046000,-761000,-437000,-183000,- -
66,Other Total Stockholders Equity,990,172300000,175102000,214195000,392586000,700755000,687448000,766229000,1023184000,1233763000,1514266000,1581755000,- -
67,Total Stockholders Equity,1000,165499000,159011000,255274000,438835000,747036000,733082000,811805000,1027494000,1247797000,1517123000,1588184000,2057963000
68,Total Liabilities And Stockholders Equity,- -,194382000,267049000,445318000,645324000,1076766000,1152138000,1278981000,1567871000,1796504000,2108464000,2139820000,2924215000
69,Minority Interest,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1943781000,- -
70,Total Liabilities & Equity,1000,194382000,267049000,445318000,645324000,1076766000,1152138000,1278981000,1567871000,1796504000,2108464000,196039000,2924215000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1476150/000095012311017913/f58082e10vk.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312512071345/0001193125-12-071345-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312513061413/0001193125-13-061413-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312514057907/d658550d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312515042751/d854283d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312516456255/0001193125-16-456255-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312517034620/0001193125-17-034620-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312518034704/0001193125-18-034704-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000162828019001026/0001628280-19-001026-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615020000003/0001476150-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615021000004/0001476150-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1476150/000147615022000006/0001476150-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-5390000,-3729000,4065000,6641000,10718000,14601000,15118000,53095000,63289000,55516000,79795000,87254000
74,Depreciation and Amortization,- -,1551000,5405000,9532000,11617000,18071000,34101000,33061000,35709000,37122000,39333000,-5420000,43001000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,784000,1202000,1121000,2137000,2060000,6081000,9444000,8732000,9270000,10644000,9826000,9554000
77,Change in Working Capital,- -,990000,-55478000,-53000,-1762000,183023000,-179349000,-25443000,14669000,43477000,34538000,12042000,16374000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1708000,-894000,2447000,2600000,5667000,4496000,468000,1542000,678000,20043000
81,Other Working Capital,- -,54828000,-650000,-703000,-2465000,180558000,1209000,-24234000,-9565000,33912000,68450000,80492000,- -
82,Other Non-Cash Items,- -,-147000,54749000,-4916000,-5138000,-184551000,166634000,17061000,-42707000,-75559000,-45343000,4807000,-23975000
83,Cash Provided by Operating Activities,- -,-2212000,2149000,9749000,13495000,29321000,42068000,49241000,69498000,77599000,94688000,101050000,132208000
84,CAPEX,- -,- -,-96926000,-159962000,-201400000,-245526000,-259894000,-149629000,-249118000,-180857000,-251482000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-116388000,-7665000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1293000,-160180000,-201865000,-249916000,-255359000,-151241000,-249118000,-234957000,-251482000,-52088000,-666438000
89,Cash Used for Investing Activites,- -,-116388000,-105884000,-160180000,-201865000,-249916000,-255359000,-151241000,-249118000,-234957000,-251482000,-52088000,-666438000
90,Debt Repayment,- -,-180000,-6889000,-160168000,-99781000,-158267000,-24844000,-110871000,-146416000,-204201000,-87514000,- -,-86271000
91,Common Stock Issued,- -,176914000,- -,55004000,191475000,320263000,3122000,101432000,255295000,208949000,278058000,64767000,462386000
92,Common Stock Repurchased,- -,- -,- -,-79000,-160000,-284000,-512000,-1551000,-49436000,-3870000,-3959000,-9837000,-582000
93,Dividends Paid,- -,- -,-2791000,-7101000,-13234000,-19335000,-31110000,-36747000,-43865000,-51445000,-63565000,-74778000,-84628000
94,Other Financing Activites,- -,-882000,59411000,265456000,111129000,261830000,98484000,141495000,188364000,199604000,112034000,-34017000,340290000
95,Cash Used/Provided by Financing Activities,- -,175852000,49731000,153112000,189429000,404207000,45140000,93758000,203942000,149037000,235054000,-53865000,631195000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,57252000,-54004000,2681000,1059000,183612000,-168151000,-8242000,24322000,-8321000,78260000,-4903000,96965000
98,Cash at the End of Period,- -,57253000,3249000,5930000,6989000,190601000,22450000,14208000,42800000,34479000,112739000,107836000,204801000
99,Cash at the Beginning of Period,- -,1000,57253000,3249000,5930000,6989000,190601000,22450000,18478000,42800000,34479000,112739000,107836000
100,Free Cash Flow,- -,-2212000,-94777000,9749000,13495000,29321000,42068000,49241000,69498000,77599000,94688000,101050000,132208000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1476150/000095012311017913/f58082e10vk.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312512071345/0001193125-12-071345-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312513061413/0001193125-13-061413-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312514057907/d658550d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312515042751/d854283d10k.htm,https://www.sec.gov/Archives/edgar/data/1476150/000119312516456255/0001193125-16-456255-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312517034620/0001193125-17-034620-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000119312518034704/0001193125-18-034704-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000162828019001026/0001628280-19-001026-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615020000003/0001476150-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1476150/000147615021000004/0001476150-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1476150/000147615022000006/0001476150-22-000006-index.htm
102,false,,,,,,,,,,,,,
