,https://roic.ai/company/CI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-854600000,534900000,685600000,472200000,562000000,330000000,449000000,311000000,234000000,554000000,211000000,1056000000,1086000000,1292000000,1774000000,987000000,989000000,-398000000,668000000,1438000000,1625000000,1155000000,1115000000,292000000,1302000000,1345000000,1327000000,1623000000,1476000000,2102000000,2094000000,1867000000,2237000000,2637000000,5104000000,8458000000,5365000000
24,Net Income ratio,-Infinity,Infinity,Infinity,Infinity,0.0489,0.0236,0.0314,0.0223,0.0171,0.0301,0.0111,0.0557,0.0542,0.0603,0.0945,0.0494,0.0517,-0.0206,0.0355,0.0791,0.0974,0.0698,0.0633,0.0153,0.0707,0.0633,0.0603,0.0557,0.0456,0.0602,0.0553,0.0471,0.0538,0.0543,0.0332,0.0527,0.0308
25,EPS,-1.38,0.70,0.90,0.63,0.78,0.48,0.70,0.48,0.36,0.85,0.32,1.54,1.64,2.04,3.04,2.06,2.23,-0.94,1.59,3.51,4.25,3.49,3.94,1.06,4.75,4.93,4.90,5.70,5.28,7.97,8.17,7.31,9.17,10.69,13.58,23.17,15.87
26,EPS Diluted,-1.38,0.70,0.90,0.63,0.78,0.48,0.70,0.48,0.36,0.85,0.32,1.54,1.63,2.02,3.00,2.03,2.20,-0.94,1.58,3.48,4.17,3.43,3.87,1.05,4.73,4.89,4.84,5.61,5.18,7.83,8.04,7.19,9.17,10.54,13.44,22.96,15.73
27,Weighted Average Shares Outstanding,618401534,687132630,713824936,708962931,707574527,683442063,645142750,644092368,644681379,650913838,663986014,686209386,660851927,633333333,583552632,479126214,443497758,421908127,419246862,409297913,382053292,331261950,282994924,274848000,274058000,272866000,270691000,284819000,279296000,263889000,256149000,255360000,243967000,246652000,375919000,364979000,337962000
28,Weighted Average Shares Outstanding Diluted,618401534,687132630,713824936,708962931,707574527,683442063,645142750,644092368,644681379,653284864,663986014,686662272,667622951,640661157,591991101,487006579,450227618,421908127,421894737,413614573,389376997,337062257,288113695,274848000,275357000,275287000,274249000,289530000,284685000,268603000,260592000,259647000,243967000,250225000,379817000,364979000,337962000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739940/000104746919000792/0001047469-19-000792-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994020000006/0001739940-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994021000007/0001739940-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994022000007/0001739940-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1693000000,1559000000,1287000000,2625000000,3028000000,2232000000,2206000000,1933000000,1575000000,1392000000,2519000000,1709000000,1392000000,1970000000,1342000000,924000000,1605000000,4690000000,2978000000,2795000000,1420000000,1968000000,3185000000,2972000000,3855000000,4619000000,10182000000,5081000000
32,Short-Term Investments,- -,- -,- -,- -,25580000000,27548000000,29573000000,32107000000,37044000000,35594000000,39593000000,38311000000,37697000000,34190000000,24690000000,27053000000,25135000000,29228000000,29431000000,16718000000,16025000000,12793000000,12754000000,236000000,493000000,174000000,225000000,154000000,631000000,163000000,381000000,691000000,199000000,2045000000,937000000,1331000000,920000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,25580000000,27548000000,29573000000,32107000000,37044000000,37287000000,41152000000,39598000000,40322000000,37218000000,26922000000,29259000000,27068000000,30803000000,30823000000,19237000000,17734000000,14185000000,14724000000,1578000000,1417000000,1779000000,4915000000,3132000000,3426000000,1583000000,2349000000,3876000000,3171000000,5900000000,5556000000,11513000000,6001000000
34,Net Receivables,- -,- -,- -,- -,3559000000,4167000000,3931000000,3564000000,4065000000,11472000000,11388000000,11516000000,11018000000,17394000000,9243000000,10042000000,9815000000,9981000000,9421000000,16223000000,8616000000,9504000000,8736000000,1407000000,1361000000,1318000000,1358000000,8033000000,9290000000,9837000000,10507000000,9555000000,9426000000,15980000000,15816000000,17391000000,20095000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,26939000000,29480000000,30799000000,31827000000,41674000000,35264000000,41381000000,45948000000,53460000000,56567000000,56498000000,53030000000,51821000000,45468000000,48116000000,43202000000,16253000000,16342000000,14197000000,33219000000,36497000000,37316000000,38810000000,34388000000,33225000000,36276000000,36111000000,37989000000,41084000000,43276000000,8473000000,41184000000,43965000000
37,Total Current Assets,- -,- -,- -,- -,56078000000,61195000000,64303000000,67498000000,82783000000,84023000000,93921000000,97062000000,104800000000,111179000000,92663000000,92331000000,88704000000,86252000000,88360000000,78662000000,42603000000,40031000000,37657000000,36204000000,39275000000,40413000000,45083000000,45553000000,45941000000,47696000000,48967000000,51420000000,53681000000,65156000000,29845000000,70088000000,70061000000
38,PP&E,- -,- -,- -,- -,678000000,850000000,947000000,945000000,930000000,914000000,864000000,802000000,857000000,938000000,715000000,879000000,1077000000,1078000000,973000000,777000000,638000000,632000000,625000000,804000000,862000000,912000000,1024000000,1120000000,1464000000,1502000000,1534000000,1536000000,1563000000,4562000000,4417000000,4205000000,3995000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165000000,1118000000,1068000000,- -,- -,- -,- -,- -,1620000000,1620000000,1620000000,1622000000,1736000000,1783000000,- -,2876000000,3119000000,3164000000,6001000000,6029000000,5989000000,6019000000,5980000000,6164000000,44505000000,44602000000,44648000000,45811000000
40,Intangible Assets,- -,- -,- -,- -,1023000000,1646000000,1487000000,1384000000,1262000000,- -,- -,- -,2542000000,2495000000,1955000000,1878000000,1808000000,- -,- -,- -,- -,- -,- -,4398000000,- -,1238000000,1776000000,1060000000,902000000,709000000,568000000,424000000,345000000,39003000000,36562000000,35179000000,34102000000
41,Intangible Assets,- -,- -,- -,- -,1023000000,1646000000,1487000000,1384000000,1262000000,1165000000,1118000000,1068000000,2542000000,2495000000,1955000000,1878000000,1808000000,1620000000,1620000000,1620000000,1622000000,1736000000,1783000000,4398000000,2876000000,4357000000,4940000000,7061000000,6931000000,6698000000,6587000000,6404000000,6509000000,83508000000,81164000000,79827000000,79913000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29228000000,29431000000,16718000000,16025000000,12793000000,12754000000,12129000000,14049000000,15010000000,16542000000,17970000000,17258000000,19335000000,20026000000,22235000000,23925000000,2045000000,937000000,1331000000,920000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29228000000,-29431000000,-16718000000,-16025000000,-12793000000,-12754000000,-12129000000,-14049000000,-15010000000,-16542000000,-17970000000,-17258000000,-19335000000,-20026000000,-22235000000,-23925000000,-2045000000,39411000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,1701000000,2496000000,2434000000,2329000000,2192000000,2079000000,1982000000,1870000000,3399000000,3433000000,2670000000,2757000000,2885000000,2698000000,2593000000,2397000000,2260000000,2368000000,2408000000,5202000000,3738000000,5269000000,5964000000,8181000000,8395000000,8200000000,8121000000,7940000000,8072000000,88070000000,125929000000,85363000000,84828000000
46,Other Assets,44736200000,50015800000,53495200000,55824500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240814000000,239717000000
47,Total Assets,44736200000,50015800000,53495200000,55824500000,57779000000,63691000000,66737000000,69827000000,84975000000,86102000000,95903000000,98932000000,108199000000,114612000000,95333000000,95088000000,91589000000,88950000000,90953000000,81059000000,44863000000,42399000000,40065000000,41406000000,43013000000,45682000000,51047000000,53734000000,54336000000,55896000000,57088000000,59360000000,61753000000,153226000000,155774000000,155451000000,154889000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4726000000,5408000000,5326000000,6562000000,6765000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8523000000,7506000000,8444000000,8848000000,8946000000,9979000000,15068000000,15544000000,18825000000,6655000000
49,Short-Term Debt,- -,- -,- -,- -,296000000,599000000,385000000,438000000,351000000,271000000,414000000,289000000,690000000,272000000,57000000,146000000,50000000,130000000,- -,- -,100000000,382000000,3000000,301000000,104000000,552000000,104000000,201000000,233000000,147000000,149000000,276000000,240000000,2955000000,5514000000,3374000000,2545000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57546000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,296000000,599000000,385000000,438000000,351000000,4997000000,5822000000,5615000000,7252000000,7037000000,57000000,146000000,50000000,130000000,- -,- -,100000000,382000000,3000000,301000000,104000000,552000000,104000000,8724000000,7739000000,8591000000,8997000000,9222000000,10219000000,18023000000,78604000000,22199000000,9200000000
54,Long-Term Debt,338000000,511600000,315900000,643200000,640000000,832000000,848000000,929000000,1235000000,1389000000,1066000000,1021000000,1465000000,1431000000,1359000000,1163000000,1627000000,1500000000,1500000000,1438000000,1338000000,1294000000,1790000000,2090000000,2436000000,2288000000,4990000000,4986000000,5014000000,5005000000,5020000000,4756000000,5199000000,39523000000,31893000000,29545000000,31125000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9453000000,9387000000,8939000000,8346000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9448000000,- -,- -
58,Total Non-Current Liabilities,338000000,511600000,315900000,643200000,640000000,832000000,848000000,929000000,1235000000,1389000000,1066000000,1021000000,1465000000,1431000000,1359000000,1163000000,1627000000,1500000000,1500000000,1438000000,1338000000,1294000000,1790000000,2090000000,2436000000,2288000000,4990000000,4986000000,5014000000,5005000000,5020000000,4756000000,5199000000,48976000000,31832000000,38484000000,39471000000
59,Other Liabilities,41320200000,45902400000,48838100000,51230100000,52603000000,58682000000,61337000000,64574000000,79284000000,76683000000,83990000000,87130000000,94480000000,100729000000,90486000000,90692000000,88111000000,86453000000,87934000000,77294000000,40741000000,38981000000,37104000000,39603000000,39916000000,40755000000,47589000000,40227000000,41030000000,41521000000,41067000000,41167000000,42998000000,143144000000,- -,121408000000,138030000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000000,- -,- -,- -
61,Total Liabilities,40982200000,45390800000,48522200000,50586900000,52259000000,58449000000,60874000000,64083000000,78400000000,80291000000,88746000000,91724000000,100267000000,106335000000,89184000000,89675000000,86534000000,85083000000,86434000000,75856000000,39503000000,38069000000,35317000000,37814000000,37584000000,39019000000,42703000000,43965000000,43755000000,45107000000,45044000000,45633000000,48018000000,112191000000,110430000000,105123000000,107759000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,87000000,88000000,88000000,66000000,67000000,67000000,68000000,68000000,69000000,40000000,40000000,40000000,88000000,88000000,88000000,88000000,92000000,92000000,92000000,74000000,74000000,74000000,74000000,4000000,4000000,4000000,4000000
64,Retained Earnings,1903300000,2467900000,2931800000,3145600000,3276000000,3377000000,3609000000,3702000000,3717000000,4052000000,4041000000,4855000000,5696000000,6746000000,8290000000,9081000000,9882000000,9299000000,9782000000,3679000000,5162000000,6177000000,7113000000,7374000000,8625000000,9879000000,11143000000,12330000000,13676000000,10289000000,12121000000,13855000000,15824000000,15088000000,20162000000,28575000000,32593000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202000000,-54000000,-336000000,-509000000,-169000000,51000000,-1074000000,-618000000,-614000000,-793000000,-671000000,-520000000,-936000000,-1250000000,-1382000000,-1082000000,-1711000000,-941000000,-861000000,-884000000
66,Other Total Stockholders Equity,1850700000,2157100000,2041200000,2092000000,2244000000,1865000000,2254000000,2042000000,2858000000,1676000000,3029000000,2265000000,2148000000,1465000000,- -,- -,- -,-5298000000,-5278000000,1820000000,667000000,-1718000000,-2504000000,-2796000000,-2678000000,-2708000000,-2098000000,-1982000000,-2681000000,1347000000,1090000000,1176000000,-1081000000,27647000000,26113000000,22603000000,- -
67,Total Stockholders Equity,3754000000,4625000000,4973000000,5237600000,5520000000,5242000000,5863000000,5744000000,6575000000,5811000000,7157000000,7208000000,7932000000,8277000000,6149000000,5413000000,5055000000,3867000000,4519000000,5203000000,5360000000,4330000000,4748000000,3592000000,5417000000,6645000000,8344000000,9769000000,10567000000,10774000000,12035000000,13723000000,13735000000,41028000000,45338000000,50321000000,47112000000
68,Total Liabilities And Stockholders Equity,44736200000,50015800000,53495200000,55824500000,57779000000,63691000000,66737000000,69827000000,84975000000,86102000000,95903000000,98932000000,108199000000,114612000000,95333000000,95088000000,91589000000,88950000000,90953000000,81059000000,44863000000,42399000000,40065000000,41406000000,43001000000,45664000000,51047000000,53734000000,54322000000,55881000000,57079000000,59356000000,61753000000,153219000000,155768000000,155444000000,154871000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,18000000,- -,- -,14000000,15000000,9000000,4000000,- -,7000000,6000000,7000000,18000000
70,Total Liabilities & Equity,44736200000,50015800000,53495200000,55824500000,57779000000,63691000000,66737000000,69827000000,84975000000,86102000000,95903000000,98932000000,108199000000,114612000000,95333000000,95088000000,91589000000,88950000000,90953000000,81059000000,44863000000,42399000000,40065000000,41406000000,43013000000,45682000000,51047000000,53734000000,54336000000,55896000000,57088000000,59360000000,61753000000,153226000000,155774000000,155451000000,154889000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739940/000104746919000792/0001047469-19-000792-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994020000006/0001739940-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994021000007/0001739940-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994022000007/0001739940-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,562000000,330000000,449000000,311000000,234000000,554000000,211000000,1056000000,1086000000,1292000000,1774000000,987000000,989000000,-398000000,668000000,1438000000,1625000000,1155000000,1115000000,292000000,1302000000,1345000000,1327000000,1623000000,1476000000,2102000000,2094000000,1867000000,2237000000,2637000000,5104000000,8458000000,5365000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,318000000,225000000,233000000,244000000,221000000,246000000,230000000,221000000,208000000,194000000,244000000,268000000,292000000,345000000,560000000,597000000,588000000,585000000,610000000,566000000,695000000,3651000000,2802000000,2923000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-335000000,-479000000,27000000,-218000000,126000000,71000000,-123000000,47000000,-73000000,203000000,-41000000,187000000,-72000000,394000000,-23000000,- -,-221000000,319000000,190000000,242000000,134000000,197000000,-22000000,21000000,74000000,242000000,-101000000,-313000000,-386000000,-220000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,2327000000,5117000000,3108000000,3195000000,15285000000,1240000000,9898000000,3141000000,7738000000,6379000000,-18516000000,-332000000,-3627000000,-2452000000,2108000000,-9698000000,-36059000000,-2572000000,-2374000000,-1453000000,3071000000,1138000000,4670000000,470000000,388000000,1755000000,1271000000,2453000000,2261000000,11475000000,-113915000000,48759000000,-872000000
78,Accounts Receivable,- -,- -,- -,- -,-341000000,-352000000,154000000,309000000,121000000,852000000,178000000,-117000000,650000000,-487000000,-99000000,-784000000,-59000000,-100000000,248000000,576000000,272000000,162000000,68000000,- -,- -,- -,- -,-9000000,259000000,-758000000,-890000000,805000000,-19000000,471000000,-990000000,-1266000000,-3232000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1334000000,1068000000,149000000,581000000,1536000000,-972000000,1139000000,-328000000,-337000000,561000000,1238000000,1744000000,28000000,2085000000,-38000000,-1222000000,-345000000,-106000000,126000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-510000000,1151000000,4237000000,1884000000
81,Other Working Capital,- -,- -,- -,- -,56078000000,61195000000,64303000000,67498000000,82783000000,84023000000,93921000000,97062000000,104800000000,111179000000,92663000000,92331000000,88704000000,86252000000,88360000000,78662000000,42603000000,40031000000,37657000000,36204000000,39275000000,40413000000,45083000000,45553000000,45941000000,47696000000,48967000000,51420000000,53681000000,65156000000,-48759000000,- -,333000000
82,Other Non-Cash Items,- -,- -,- -,- -,-1487000000,-4436000000,-2813000000,-2475000000,-13920000000,-1346000000,-8787000000,-3623000000,-7919000000,-7239000000,18287000000,870000000,3277000000,4048000000,-901000000,9538000000,34537000000,1874000000,2407000000,2794000000,-4215000000,-1222000000,-5093000000,-437000000,-1939000000,-2429000000,-1254000000,-978000000,-1220000000,-10936000000,114958000000,-49283000000,-5000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1402000000,1011000000,744000000,696000000,1120000000,475000000,1104000000,700000000,1231000000,627000000,1817000000,1685000000,1086000000,1378000000,2308000000,1436000000,718000000,642000000,1342000000,1656000000,745000000,1743000000,1491000000,2350000000,719000000,1994000000,2717000000,4026000000,4086000000,3770000000,9485000000,10350000000,7191000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3450000000,- -,- -,-303000000,-107000000,-38000000,-61000000,-136000000,-262000000,-257000000,-307000000,-300000000,-422000000,-408000000,-527000000,-473000000,-510000000,-461000000,-471000000,-528000000,-1050000000,-1094000000,-1154000000
