,https://roic.ai/company/AGEN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013501000959/0000950135-01-000959-index.html,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013503002018/0000950135-03-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013504001307/0000950135-04-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013505001784/0000950135-05-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312506054568/0001193125-06-054568-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312507057201/0001193125-07-057201-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312508057666/0001193125-08-057666-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312509055385/0001193125-09-055385-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312510057078/0001193125-10-057078-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312511068337/0001193125-11-068337-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312512098885/0001193125-12-098885-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530513000644/0001445305-13-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530514000937/0001445305-14-000937-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000162828015001809/0001628280-15-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459016014840/0001564590-16-014840-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459017004618/0001564590-17-004618-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459018006093/0001564590-18-006093-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459019008311/0001564590-19-008311-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459020011221/0001564590-20-011221-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459021013619/0001564590-21-013619-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459022007867/0001564590-22-007867-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,46400000,96142726,60867000,33130176,57211895,15979714,33216876,24218683,14479322,24469008,20066817,19781976,10747951,21468269,27351969,25714519,136702873,71448016,60186617,53053531,61808000,99871000,291931000
32,Short-Term Investments,- -,2996750,- -,25595082,32266347,70941163,28530650,15876302,4199996,9993617,9998294,- -,- -,- -,- -,14509570,34964730,4988751,- -,- -,- -,- -,14992000
33,Cash and Short-Term Investments,46400000,99139476,60867000,58725258,89478242,86920877,61747526,40094985,18679318,34462625,30065111,19781976,10747951,21468269,27351969,40224089,171667603,76436767,60186617,53053531,61808000,99871000,306923000
34,Net Receivables,- -,532896,487000,1115793,589698,75631,45586,182493,318707,- -,- -,35000,- -,552334,1200,- -,9800342,11352022,1134493,938141,16293000,1157000,1518000
35,Inventory,- -,669618,1372000,971016,871256,169743,251053,438644,510872,226376,324035,26432,20072,16022,- -,95700,88200,88200,79491,55491,- -,- -,- -
36,Other Current Assets,1300000,1250795,1261000,2587528,2382788,5438015,4917701,1582300,1273087,797475,1143683,1010752,1236056,578063,821409,2350512,2539221,3435213,12152953,20760517,8435000,12755000,23533000
37,Total Current Assets,47700000,101592785,63987000,63399595,93321984,92604266,66961866,42298422,20781984,35486476,31532829,20854160,12004079,22614688,28174578,42670301,184095366,91312202,73553554,74807680,86536000,113783000,331974000
38,PP&E,8000000,14640281,13934000,11369525,25032838,24987730,23350246,18618632,14604243,11535467,8891124,6194465,4136699,5212428,5569845,5997000,15310623,25633985,26178622,25115578,26326000,60270000,91083000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2572203,2572203,2572203,2572203,2572203,2572203,2572203,2572203,17869023,22792778,22392411,23048804,22924870,23188000,25452000,24876000
40,Intangible Assets,- -,2962472,2756000,3081703,11046369,9428040,2594115,4641311,3534048,3267456,1613098,29841,- -,- -,- -,6774000,18759000,16365000,31759000,12338000,10504000,10886000,8488000
41,Intangible Assets,- -,2962472,2756000,3081703,11046369,9428040,2594115,7213514,6106251,5839659,4185301,2602044,2572203,2572203,2572203,24643023,41551778,38757411,54807804,35262870,33692000,36338000,33364000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,8770162,12869000,11211795,10678344,6037911,11244390,4820973,3044364,4083442,1264833,1255990,1094549,-1306696,-1481145,1216204,1270432,1282388,-16137956,1214580,8781000,4123000,9537000
45,Total Non-Current Assets,8300000,26372915,29559000,25663023,46757551,40453681,37188751,30653119,23754858,21458568,14341258,10052499,7803451,6477935,6660903,31856227,58132833,65673784,64848470,61593028,68799000,100731000,133984000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56000000,127965700,93546000,89062618,140079535,133057947,104150617,72951541,44536842,56945044,45874087,30906659,19807530,29092623,34835481,74526528,242228199,156985986,138402024,136400708,155335000,214514000,465958000
48,Accounts Payable,400000,2273631,2948000,1435090,3179567,2923890,2590016,1089567,674473,540529,895338,698554,807928,634752,834740,1710946,4488561,5428452,8086992,13623934,13564000,17015000,30486000
49,Short-Term Debt,800000,2334646,5901000,539370,5622736,5409966,4125913,146061,146061,146061,146061,146061,197684,204088,3518550,1257178,146061,146061,20639735,146061,1993000,2783000,2627000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1413255,1481999,1501902,1540385,1542395,1527883,1660679,184421,3829371,2610719,4484882,1814146,29174000,17186000,12425000
52,Other Current Liabilities,1000000,4002983,7358000,7996437,13302367,10870235,12429452,7842113,6148777,4828391,2811647,3030923,2205632,2446265,4281904,6076878,20470097,32665968,23226512,52478075,77478000,92900000,111405000
53,Total Current Liabilities,2200000,8611260,16207000,9970897,22104670,19204091,19145381,9077741,8382566,6996980,5354948,5415923,4753639,4812988,10295873,9229423,28934090,40851200,56438121,68062216,122209000,129884000,156943000
54,Long-Term Debt,2200000,2642869,194000,11509,10244796,4512035,43823,75333333,77400533,67836416,49494119,34050033,32726004,35713659,5347690,4769359,114326489,130542424,142385024,13211547,13380000,18879000,54932000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2976538,3612156,2078651,4800776,3193809,3009568,15065754,12344782,7748284,1165143,27705000,28282000,11200000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182817015,- -,- -,- -
57,Other Non-Current Liabilities,-100000,8090,1220000,1323272,2484317,2898487,53062392,5933935,5814046,6029727,5023449,2535759,1080201,1365357,20478812,34499791,13174601,12373846,7646387,45690534,223378000,248967000,194974000
58,Total Non-Current Liabilities,2100000,2650959,1414000,1334781,12729113,7410522,53106215,81267268,83214579,73866143,57494106,40197948,35884856,41879792,29020311,42278718,142566844,155261052,157779695,242884239,264463000,296128000,261106000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9367000,36015000,- -
61,Total Liabilities,4300000,11262219,17621000,11305678,34833783,26614613,72251596,90345009,91597145,80863123,62849054,45613871,40638495,46692780,39316184,51508141,171500934,196112252,214217816,310946455,386672000,426012000,418049000
62,Preferred Stock,- -,- -,- -,- -,316,316,316,316,469,369,347,347,347,347,347,316,316,316,316,316,26917000,- -,- -
63,Common Stock,90000000,273162,290000,331130,395226,455360,455912,458438,475570,664977,900154,1118858,215350,246451,363912,627201,863907,877949,1017061,1199964,1378000,1961000,2569000
64,Retained Earnings,-37600000,-84345927,-157886000,-213764488,-279698068,-335859793,-409963347,-461843896,-498638953,-527336602,-562512118,-584418421,-607694596,-619019367,-649092036,-691306343,-779187464,-905329320,-1026475773,-1177311393,-1284993000,-1465907000,-1489833000
65,Other Comprehensive Income/Loss,-1400000,-2942744,-5769000,-172962,90721,-174511,-91177,-21853,-22628000,-25881000,-28613000,-24993000,-26081778,-27405000,-27637000,-1970420,-2053143,-1529559,-2169354,-1539367,-1324000,2772000,1492000
66,Other Total Stockholders Equity,700000,203718990,239290000,291363260,384457557,442021962,441497317,444013527,473730611,528634177,573249650,593585004,607149588,622997288,671884074,715667633,851103934,866854348,951811958,1005183033,1032666000,1257502000,1533681000
67,Total Stockholders Equity,51700000,116703481,75925000,77756940,105245752,106443334,31899021,-17393468,-47060303,-23918079,-16974967,-14707212,-26411089,-23180281,-4480703,23018387,70727550,-39126266,-75815792,-172467447,-225356000,-203672000,47909000
68,Total Liabilities And Stockholders Equity,56000000,127965700,93546000,89062618,140079535,133057947,104150617,72951541,44536842,56945044,45874087,30906659,14227406,23512499,34835481,74526528,242228484,156985986,138402024,138479008,161316000,222340000,465958000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5580124,5580124,- -,- -,-285,- -,- -,-2078300,-5981000,-7826000,- -
70,Total Liabilities & Equity,56000000,127965700,93546000,89062618,140079535,133057947,104150617,72951541,44536842,56945044,45874087,30906659,19807530,29092623,34835481,74526528,242228199,156985986,138402024,136400708,155335000,214514000,465958000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013501000959/0000950135-01-000959-index.html,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013503002018/0000950135-03-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013504001307/0000950135-04-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013505001784/0000950135-05-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312506054568/0001193125-06-054568-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312507057201/0001193125-07-057201-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312508057666/0001193125-08-057666-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312509055385/0001193125-09-055385-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312510057078/0001193125-10-057078-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312511068337/0001193125-11-068337-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312512098885/0001193125-12-098885-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530513000644/0001445305-13-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530514000937/0001445305-14-000937-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000162828015001809/0001628280-15-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459016014840/0001564590-16-014840-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459017004618/0001564590-17-004618-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459018006093/0001564590-18-006093-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459019008311/0001564590-19-008311-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459020011221/0001564590-20-011221-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459021013619/0001564590-21-013619-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459022007867/0001564590-22-007867-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-18100000,-46729174,-73541000,-55877905,-65933580,-56161725,-74103554,-51880549,-36795057,-28697649,-30317293,-21906303,-23276175,-11324771,-30072669,-42486174,-87881121,-126995175,-120692492,-159692116,-107657000,-180914000,-28724000
74,Depreciation and Amortization,1000000,1675816,4149000,5466145,6485355,4809663,5593661,5655595,5420330,4673959,4108538,3437767,2252412,1622736,586343,1583960,14202822,4947787,6006299,6288001,6662000,7179000,6788000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5387067,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,5581731,3130804,3151537,2646767,4303961,4127786,4672256,7438308,13188364,12428655,7625128,9892000,10417000,19577000
77,Change in Working Capital,-1400000,47481525,-45201525,5648698,17788616,2182861,-25583690,-14595804,-20821263,16090078,-2311615,-10739644,-8187797,10551260,77005,15562173,121720398,-104700274,-33345569,-10369969,-42418464,19572000,191132000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,318707,- -,-35000,35000,-552334,551134,1200,-9331622,-1549798,10217529,196352,-15355000,16187000,-394000
79,Inventory,- -,219562,-702000,-158418,-8946,58154,-81310,-187591,-72228,284496,-97659,297603,6360,4050,16022,-95700,7500,- -,8709,24000,55000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133944,296094,-198116,- -,-181848,189638,-45902,2668064,419708,1647430,5366711,-234000,2767000,10824000
81,Other Working Capital,45500000,92981525,47780000,53428698,71217314,73400175,47816485,33220681,12399418,28489496,26177881,15438237,7250440,17801700,17878705,33440878,155161276,50461002,17115433,6745464,-35673000,-16101000,175031000
82,Other Non-Cash Items,5000000,-17562535,77767525,-6070527,-9528111,-11055712,27767791,15881688,25504992,-26559294,1196555,11298608,10315882,-4140584,5748590,-17566800,-97268781,133598487,41377964,25054439,114839464,4650000,-178628000
83,Cash Provided by Operating Activities,-13500000,-15134368,-36826000,-50833589,-51187720,-60224913,-66325792,-44939070,-26690998,-28911175,-24193011,-14758035,-16248911,1012602,-19532945,-38234585,-47175441,-79960811,-94225143,-131094517,-18682000,-139096000,10145000
84,CAPEX,-4900000,-2641852,-1665000,-2307850,-18537216,-3970043,-2660296,-329893,-11208,-206010,-243868,-130437,-54547,-103442,-813520,-2819764,-3591335,-12519738,-3120357,-3597107,-4657000,-3466000,5656000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,514470,-7182069,- -,- -,- -,- -,-975000,- -
86,Purchases of Investments,- -,- -,- -,-46064626,-57229096,-133743995,-100940028,-8399749,-11216841,-29911527,-29986794,-29989763,-4998799,- -,- -,-14507806,-34993100,-54884101,-14936047,- -,- -,- -,-14992000
87,Sales/Maturities of Investments,- -,- -,2997000,20500700,50506860,126054000,143409815,21100000,24415000,24117910,30000000,40000000,5000000,- -,450000,- -,14534486,85000000,20000000,- -,- -,- -,- -
88,Other Investing Activites,- -,1016733,1658000,-300000,-7271049,15594377,1961674,3016435,- -,2000000,2391025,50299,23884,- -,- -,- -,- -,- -,120000,6187,- -,- -,-33814000
89,Cash Used for Investing Activites,-4900000,-1625119,2990000,-28171776,-32530501,3934339,41771165,15386793,13186951,-3999627,2160363,9930099,-29462,-103442,-363520,-16813100,-31232018,17596161,2063596,-3590920,-4657000,-4441000,-43150000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2930000,-255000,-6240963,-28063,-100000,-10555556,-3333334,-1111111,-144658,-330744,-162130628,-320000,-3232000,-462000
91,Common Stock Issued,- -,601339,219000,562584,92594221,54616523,327296,469300,4819354,286930,18589588,11573839,7980375,10464203,26462810,56792252,109669980,2167070,65559706,44918550,30000000,176421000,3126000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-12168,-257681,-54943,- -,- -,-592875,- -,-460963,- -,-667050,-527223,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-817015,-790500,-790500,-790500,-790500,-790500,-790500,-790500,-592875,- -,-460963,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,42600000,65882932,-1658000,50705449,15205719,-5945531,42254993,20875284,-252000,46591739,141312,719,82536,632705,9872911,273718,81020816,-3816402,15836486,245496995,1643000,10666000,222600000
95,Cash Used/Provided by Financing Activities,42600000,66484271,-1439000,51268033,107799940,47853977,41791789,20554084,3764686,42900488,17630457,4543095,7244348,9811158,25780165,52810710,189579685,-2461040,80538225,128284917,31323000,183855000,225264000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599525,-183873,-429167,361923,-732566,770000,379000,-164000
97,Net Change In Cash,24200000,49724784,-35275000,-27737332,24081719,-8436597,17237162,-8998193,-9739361,9989686,-4402191,-284841,-9034025,10720318,5883700,-1637450,110988354,-65254857,-11261399,-7133086,8754000,40697000,192095000
98,Cash at the End of Period,46400000,96142726,60867000,33130176,57211895,15979714,33216876,24218683,14479322,24469008,20066817,19781976,10747951,21468269,27351969,25714519,136702873,71448016,60186617,53053531,61808000,102505000,294600000
99,Cash at the Beginning of Period,22200000,46417942,96142000,60867508,33130176,24416311,15979714,33216876,24218683,14479322,24469008,20066817,19781976,10747951,21468269,27351969,25714519,136702873,71448016,60186617,53054000,61808000,102505000
100,Free Cash Flow,-18400000,-17776220,-38491000,-53141439,-69724936,-64194956,-68986088,-45268963,-26702206,-29117185,-24436879,-14888472,-16303458,909160,-20346465,-41054349,-50766776,-92480549,-97345500,-134691624,-23339000,-142562000,15801000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013501000959/0000950135-01-000959-index.html,- -,https://www.sec.gov/Archives/edgar/data/1098972/000095013503002018/0000950135-03-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013504001307/0000950135-04-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000095013505001784/0000950135-05-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312506054568/0001193125-06-054568-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312507057201/0001193125-07-057201-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312508057666/0001193125-08-057666-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312509055385/0001193125-09-055385-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312510057078/0001193125-10-057078-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312511068337/0001193125-11-068337-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000119312512098885/0001193125-12-098885-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530513000644/0001445305-13-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000144530514000937/0001445305-14-000937-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000162828015001809/0001628280-15-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459016014840/0001564590-16-014840-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459017004618/0001564590-17-004618-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459018006093/0001564590-18-006093-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459019008311/0001564590-19-008311-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459020011221/0001564590-20-011221-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459021013619/0001564590-21-013619-index.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459022007867/0001564590-22-007867-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
