,https://roic.ai/company/VEII,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417664/000107878215001749/0001078782-15-001749-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878216002625/0001078782-16-002625-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878217000378/0001078782-17-000378-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878218000428/0001078782-18-000428-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878219000274/0001078782-19-000274-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878220000335/0001078782-20-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878221000290/0001078782-21-000290-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,20000,10000,- -,- -,- -,- -,- -,101720,434340,448050,23060,729070,234090,523337
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,20000,10000,- -,- -,- -,- -,- -,101720,434340,448050,23060,729070,234090,523337
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2340480,1157810,1319570,1592900,1330950,1565540,2057454
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21490,140600,219590,238147
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,34880,242310,200000,- -,- -,- -,299790
37,Total Current Assets,- -,- -,20000,10000,- -,- -,- -,- -,- -,2477080,1834460,1967620,1637450,2200620,2019220,3118728
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,114350,138460,178620,369770,426270,1178060,942078
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206810,206810,206810,206812
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133760,66880,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340570,273690,206810,206812
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6680,4630,- -,42600,20400,- -,71681
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6680,-4630,- -,-9930,20370,56040,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,114350,138460,178620,743010,740730,1440910,1220571
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,20000,10000,- -,- -,- -,- -,- -,2591430,1972920,2146240,2380460,2941350,3460130,4339299
48,Accounts Payable,- -,- -,- -,- -,40000,80000,100000,111283,98786,147360,28140,255850,499880,704910,685150,1038518
49,Short-Term Debt,- -,- -,30332,- -,4050,14332,16137,- -,- -,- -,- -,- -,31882,1926,370646,342561
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41064,937,151322,18264,33406,94675
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255749,254937
52,Other Current Liabilities,- -,- -,-332,- -,45950,95668,3863,48179,38214,1841110,1371080,1289320,1082598,1295924,586165,1094880
53,Total Current Liabilities,- -,- -,30000,- -,90000,190000,120000,159462,137000,1988470,1399220,1545170,1614360,2002760,1897710,2730896
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1930,- -,478641,62949
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6680,4620,- -,42600,20400,11419,277111
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6680,4620,- -,44530,20400,490060,340060
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,835601,580798
61,Total Liabilities,- -,- -,30000,- -,90000,190000,120000,159462,137000,1995150,1403840,1545170,1658890,2023160,2387770,3070956
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,120,146,270,300,300,300,300,300,297
64,Retained Earnings,- -,- -,-10000,-80000,-620000,-930000,-1160000,-1201182,-1409796,457810,-84870,-30980,39960,245120,320740,414225
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20424,-36945,-58837,-9272,-5335,72667,109779
66,Other Total Stockholders Equity,- -,- -,- -,90000,530000,740000,1040000,1041600,1272650,158627,690590,690589,690583,678105,678659,690589
67,Total Stockholders Equity,- -,- -,-10440,5968,-92336,-186638,-118508,-159462,-137000,596283,569075,601072,721571,918190,1072366,1214890
68,Total Liabilities And Stockholders Equity,- -,- -,19560,10000,-2336,3362,1492,- -,- -,2591433,1972915,2146242,2380461,2941350,3460136,4285846
69,Minority Interest,- -,- -,440,- -,2336,-3362,-1492,- -,- -,-3,5,-2,-1,- -,-6,53453
70,Total Liabilities & Equity,- -,- -,20000,10000,- -,- -,- -,- -,- -,2591430,1972920,2146240,2380460,2941350,3460130,4339299
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417664/000107878215001749/0001078782-15-001749-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878216002625/0001078782-16-002625-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878217000378/0001078782-17-000378-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878218000428/0001078782-18-000428-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878219000274/0001078782-19-000274-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878220000335/0001078782-20-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878221000290/0001078782-21-000290-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-10000,-60000,-550000,-310000,-230000,-208614,-15588,455950,-542680,53890,70930,205160,53440,105504
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,52819,52762,56042,175088,199845,223443,555186
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28201,-9481,37682,-54872,-30299,-35682,-15636
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,104,20000,-100000,-100000,70000,125207,58332,628610,-53370,-12790,-399360,174770,-76350,266322
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-607616,287365,-130871,-341247,382101,-198520,174124
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2795,-119115,-78988,-18555
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,84549,-119228,227718,229744,205024,-19758,353368
81,Other Working Capital,- -,- -,-10000,10000,-90000,-190000,-120000,15676,19675,488610,435240,422450,23090,197860,121510,387832
82,Other Non-Cash Items,- -,- -,-570,-25466,616899,376981,139880,83407,-42744,-1117621,328143,213626,-156715,461193,-670615,-186954
83,Cash Provided by Operating Activities,- -,- -,-10466,-65466,-33101,-33019,-20120,- -,- -,-8443,-224626,348450,-364929,1010669,-505764,724422
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167172,-80972,-102129,-186962,-219092,-89746,-150862
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85788,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,10171,505,5517
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167172,-280972,-102129,-101174,-208921,-89241,-145345
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42189,-83164,-33977,-442122
91,Common Stock Issued,- -,- -,130,81000,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,30332,-30332,27910,29022,20110,- -,- -,210583,852503,-216642,45006,-4835,51869,130573
95,Cash Used/Provided by Financing Activities,- -,- -,30462,50668,27910,33022,20110,- -,- -,210583,852503,-216642,2817,-87999,17892,-311549
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,66755,-14287,-15967,38295,-7742,82133,21720
97,Net Change In Cash,- -,- -,30462,-14798,-5191,3,20110,- -,- -,210583,332618,13712,-424991,706007,-494980,289248
98,Cash at the End of Period,- -,- -,19996,5198,7,10,- -,- -,- -,101723,434341,448053,23062,729069,234089,523337
99,Cash at the Beginning of Period,- -,- -,- -,19996,5198,7,10,- -,- -,- -,101723,434341,448053,23062,729069,234089
100,Free Cash Flow,- -,- -,-10466,-65466,-33101,-33019,-20120,- -,- -,-175615,-305598,246321,-551891,791577,-595510,573560
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417664/000107878215001749/0001078782-15-001749-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878216002625/0001078782-16-002625-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878217000378/0001078782-17-000378-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878218000428/0001078782-18-000428-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878219000274/0001078782-19-000274-index.html,https://www.sec.gov/Archives/edgar/data/1417664/000107878220000335/0001078782-20-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1417664/000107878221000290/0001078782-21-000290-index.htm
102,false,,,,,,,,,,,,,,,,
