,https://roic.ai/company/PAE,2017,2018,2019,2020
63,Common Stock,1078,383982770,385441126,9000
64,Retained Earnings,-23684,1713045,3171421,-130081000
65,Other Comprehensive Income/Loss,- -,- -,- -,-51232000
66,Other Total Stockholders Equity,23922,3285798,1827442,305720000
67,Total Stockholders Equity,1316,388981613,390439989,124416000
68,Total Liabilities And Stockholders Equity,262935,403668983,408957362,1797134000
69,Minority Interest,- -,- -,- -,32236000
70,Total Liabilities & Equity,262935,403668983,408957362,1829370000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1720821/000156459019008306/0001564590-19-008306-index.htm,https://www.sec.gov/Archives/edgar/data/1720821/000119312520070441/0001193125-20-070441-index.htm,https://www.sec.gov/Archives/edgar/data/1720821/000172082121000029/0001720821-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-23680,1736729,1458376,15290000
74,Depreciation and Amortization,- -,- -,- -,43638000
75,Deferred Income Tax,- -,- -,- -,-19278000
76,Stock Based Compensation,- -,- -,- -,12943000
77,Change in Working Capital,-41580,374345,-4563526,105032865
78,Accounts Receivable,- -,- -,- -,-54345000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-4529000
81,Other Working Capital,1316,375661,-4187865,100845000
82,Other Non-Cash Items,- -,147755,8473695,-56763865
83,Cash Provided by Operating Activities,-65260,2258829,5368545,100862000
84,CAPEX,- -,- -,- -,-3835000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-400000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-2605952,-5979767,-312378000
89,Cash Used for Investing Activites,- -,-402605952,-5979767,-316213000
90,Debt Repayment,- -,-150000,- -,-843131000
91,Common Stock Issued,- -,410000000,- -,- -
92,Common Stock Repurchased,25000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-439719000
94,Other Financing Activites,150000,-8756432,- -,1514633000
95,Cash Used/Provided by Financing Activities,175000,401093568,- -,231783000
96,Effect of Forex Changes on Cash,- -,- -,- -,1441000
97,Net Change In Cash,109740,746445,-611222,17873000
98,Cash at the End of Period,109740,856182,244960,85908000
99,Cash at the Beginning of Period,- -,109737,856182,68035000
100,Free Cash Flow,-65260,2258829,5368545,97027000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1720821/000156459019008306/0001564590-19-008306-index.htm,https://www.sec.gov/Archives/edgar/data/1720821/000119312520070441/0001193125-20-070441-index.htm,https://www.sec.gov/Archives/edgar/data/1720821/000172082121000029/0001720821-21-000029-index.htm
102,false,,,,
