,https://roic.ai/company/UI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,16584000,7376000,15035000,71393000,136231000,313168000,422067000,440294000,601159000,315281000,98815000,-295978000,2635000
65,Other Comprehensive Income/Loss,-76000,-220000,-433000,-1028000,-2666000,-5109000,-9741000,-15444000,-21792000,-28136000,393000,9000,1000
66,Other Total Stockholders Equity,1566000,-60032000,77274000,60494000,13784000,27117000,9741000,15444000,22317000,28529000,- -,447000,- -
67,Total Stockholders Equity,18115000,-52835000,91975000,130951000,147436000,335264000,422154000,440376000,601764000,315748000,99277000,-295458000,2699000
68,Total Liabilities And Stockholders Equity,26673000,82090000,131678000,213736000,292340000,476151000,600572000,748051000,972711000,1022577000,875865000,737451000,890985000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26673000,82090000,131678000,213736000,292340000,476151000,600572000,748051000,972711000,1022577000,875865000,737451000,890985000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511737/000119312512408603/0001193125-12-408603-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173713000013/0001511737-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173714000024/0001511737-14-000024-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173715000022/0001511737-15-000022-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173716000040/ubnt-06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/1511737/000162828017008894/0001628280-17-008894-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173718000012/0001511737-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173719000026/0001511737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173720000022/0001511737-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1511737/000151173721000036/0001511737-21-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,9889000,-5456000,49727000,102589000,80490000,176937000,129663000,213616000,257506000,196290000,322694000,380297000,616584000
74,Depreciation and Amortization,84000,144000,213000,602000,1963000,2819000,4971000,6294000,7359000,7310000,7556000,7695000,12100000
75,Deferred Income Tax,536000,-645000,-1163000,-897000,377000,2087000,-911000,-1145000,-938000,2027000,196000,-1194000,-674000
76,Stock Based Compensation,505000,281000,952000,1493000,3376000,4906000,4992000,3719000,2785000,3208000,2890000,2888000,3029000
77,Change in Working Capital,-3749000,34280000,35298000,65161000,68591000,189356000,97803000,126509000,216125000,34590000,-313811000,-252275000,95394000
78,Accounts Receivable,-3490000,-29542000,-5864000,-36648000,38664000,-18329000,-11339000,-16685000,-58164000,-33973000,18728000,13883000,-30136000
79,Inventory,199000,-4082000,-1058000,-2266000,-8996000,-33764000,7030000,-20012000,-86988000,35974000,-163659000,-28053000,52890000
80,Accounts Payable,475000,3926000,9077000,11692000,9725000,-2326000,9735000,7720000,-2554000,-34596000,24329000,116900000,-43343000
81,Other Working Capital,20723000,55003000,90301000,155462000,224053000,413409000,511212000,637721000,853846000,888436000,574625000,322350000,417744000
82,Other Non-Cash Items,- -,-54589000,-22185000,-87160000,-22906000,-254778000,-101971000,-151485000,-370801000,88622000,239733000,322873000,-114411000
83,Cash Provided by Operating Activities,7265000,-25985000,62842000,81788000,131891000,121327000,134547000,197508000,112036000,332047000,259258000,460284000,612022000
84,CAPEX,-280000,-615000,-479000,-3310000,-5363000,-4045000,-12724000,-6248000,-7232000,-9115000,-9684000,-30619000,-18325000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-225076000,-27538000,-1863000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119193000,127741000,922000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000000,- -,- -
89,Cash Used for Investing Activites,-280000,-615000,-479000,-3310000,-5363000,-4045000,-12724000,-6248000,-7232000,-9115000,-157567000,69584000,-19266000
90,Debt Repayment,- -,- -,- -,-73250000,-4333000,-76250000,-74754000,-24000000,-45250000,-488250000,-25000000,-270000000,-273750000
91,Common Stock Issued,- -,- -,- -,32443000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-64619000,-12650000,-108000000,-54354000,- -,-34712000,-193517000,-105229000,-445014000,-468225000,-700125000,-219762000
93,Dividends Paid,- -,- -,- -,- -,-15652000,- -,-15020000,- -,- -,- -,-71358000,-78682000,-100813000
94,Other Financing Activites,753000,105960000,-1767000,116028000,53577000,78239000,101967000,130887000,98842000,672815000,34358000,423409000,108370000
95,Cash Used/Provided by Financing Activities,753000,41341000,-14417000,-32779000,-20762000,1989000,-22519000,-86630000,-51637000,-260449000,-530225000,-625398000,-485955000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7738000,14741000,47946000,45699000,105766000,119271000,99304000,104630000,53167000,62483000,-428534000,-95530000,106801000
98,Cash at the End of Period,13674000,28415000,76361000,122060000,227826000,347097000,446401000,551031000,604198000,666681000,238147000,142617000,249418000
99,Cash at the Beginning of Period,5936000,13674000,28415000,76361000,122060000,227826000,347097000,446401000,551031000,604198000,666681000,238147000,142617000
100,Free Cash Flow,6985000,-26600000,62363000,78478000,126528000,117282000,121823000,191260000,104804000,322932000,249574000,429665000,593697000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511737/000119312512408603/0001193125-12-408603-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173713000013/0001511737-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173714000024/0001511737-14-000024-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173715000022/0001511737-15-000022-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173716000040/ubnt-06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/1511737/000162828017008894/0001628280-17-008894-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173718000012/0001511737-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173719000026/0001511737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173720000022/0001511737-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1511737/000151173721000036/0001511737-21-000036-index.htm
102,false,,,,,,,,,,,,,
