,https://roic.ai/company/ZVO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,164000,7071000,35135000,90199000,103751000,78121000,22779000,7527000,30265000,-7875000,-1174000,-7582000,-770000,- -
23,Net Income,-5150000,3287000,26431000,47105000,127580000,172764000,127963000,41010000,9668000,-70454000,-30040000,10537000,4636000,-54812000,-48952000
24,Net Income ratio,-0.1800,0.0384,0.1211,0.1037,0.1789,0.1851,0.1322,0.0534,0.0151,-0.1254,-0.0570,0.0220,0.0105,-0.1312,-1.2222
25,EPS,-2.15,0.01,0.38,0.85,2.37,3.30,2.42,0.76,0.21,-1.54,-0.65,0.33,0.17,-1.86,-1.53
26,EPS Diluted,-2.15,0.01,0.13,0.74,2.14,3.02,2.29,0.74,0.21,-1.54,-0.65,0.32,0.17,-1.86,-1.53
27,Weighted Average Shares Outstanding,3197000,3311000,3335000,39349000,53724000,52291000,52947000,53923000,45204000,45665000,46228000,32058000,27135000,29492000,31959000
28,Weighted Average Shares Outstanding Diluted,3197000,4446000,10005000,45181000,59631000,57133000,55946000,55487000,46512000,45665000,46228000,32794000,27563000,29492000,31959000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1305323/000104746910001714/0001047469-10-001714-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000104746911001646/a2201797z10-k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532312000016/0001305323-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532313000018/0001305323-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532314000013/bpi201310k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532315000014/bpi201410k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532316000084/0001305323-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532317000016/0001305323-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532318000011/0001305323-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532319000028/0001305323-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532320000019/0001305323-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532321000013/0001305323-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7351000,56483000,125562000,188518000,133921000,255965000,249472000,207003000,282145000,307802000,185098000,166307000,69280000,35462000
32,Short-Term Investments,- -,- -,- -,44988000,90611000,153779000,136967000,65901000,12051000,19387000,49434000,2065000,2068000,2502000,1515000
33,Cash and Short-Term Investments,- -,7351000,56483000,170550000,279129000,287700000,392932000,315373000,219054000,301532000,357236000,187163000,168375000,71782000,36977000
34,Net Receivables,- -,14907000,28946000,43232000,58415000,62156000,77398000,29694000,22701000,61993000,35058000,37158000,32782000,37316000,9252000
35,Inventory,- -,194000,288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,561000,10173000,13633000,19714000,22653000,25817000,36515000,69629000,39750000,39399000,32735000,31107000,41416000,30604000
37,Total Current Assets,- -,23013000,95890000,227415000,357258000,372509000,496147000,381582000,311384000,403275000,431693000,257056000,232264000,150514000,76833000
38,PP&E,- -,13240000,27715000,47362000,66542000,89667000,95966000,91425000,78219000,21742000,12218000,10434000,16860000,52909000,50689000
39,Goodwill,- -,76000,76000,- -,- -,- -,3424000,2567000,2567000,2567000,2567000,2567000,2072000,24578000,23176000
40,Intangible Assets,- -,1821000,1821000,- -,- -,- -,7315000,24311000,22208000,18698000,14852000,12026000,10369000,19841000,8609000
41,Intangible Assets,- -,1897000,1897000,3201000,4123000,7037000,10739000,26878000,24775000,21265000,17419000,14593000,12441000,44419000,31785000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,2366000,13491000,15845000,11200000,13266000,18507000,20175000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,907000,1378000,3762000,27457000,133223000,139211000,55587000,123542000,60484000,2046000,5456000,7927000,2296000,1999000
45,Total Non-Current Assets,- -,16044000,33356000,67816000,113967000,241127000,259182000,192397000,246711000,103491000,31683000,30483000,37228000,99624000,84473000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,39057000,129246000,295231000,471225000,613636000,755329000,573979000,558095000,506766000,463376000,287539000,269492000,250138000,161306000
48,Accounts Payable,- -,2721000,4705000,2870000,5076000,8961000,4588000,5195000,1013000,4762000,4519000,5619000,5313000,6603000,11246000
49,Short-Term Debt,- -,1934000,216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5768000,7875000,6934000
50,Tax Payable,- -,- -,- -,- -,- -,- -,6535000,466000,449000,16000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,16817000,67425000,121752000,173576000,185446000,175057000,132791000,108048000,88756000,74666000,68207000,63834000,55284000,8090000
52,Other Current Liabilities,- -,6111000,16583000,24751000,34895000,40205000,44640000,54756000,51403000,74434000,73347000,65546000,51711000,53682000,44513000
53,Total Current Liabilities,- -,27583000,88929000,149373000,213547000,234612000,224285000,192742000,160464000,167952000,152532000,139372000,126626000,123444000,70783000
54,Long-Term Debt,- -,3960000,468000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27106000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2045000,33740000,11249000,19437000,25376000,34932000,33198000,31750000,35164000,30138000,19709000,15252000,27756000,4200000
58,Total Non-Current Liabilities,- -,6561000,34208000,11249000,19437000,25376000,34932000,33198000,31750000,35164000,30138000,19709000,15252000,27756000,31306000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,25173000,23927000,22098000,20118000,16508000,7001000,17585000,30284000,31059000
61,Total Liabilities,- -,34144000,123137000,160622000,232984000,259988000,259217000,225940000,192214000,203116000,182670000,159081000,141878000,151200000,102089000
62,Preferred Stock,- -,25056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,33000,33000,543000,558000,590000,614000,623000,630000,634000,641000,649000,653000,660000,668000
64,Retained Earnings,- -,-20176000,4373000,50833000,178413000,351177000,479140000,515608000,521775000,451321000,421281000,431818000,429992000,375180000,326319000
65,Other Comprehensive Income/Loss,- -,-2550000,-5003000,-10303000,-18182000,-595000,222000,48000,-175000,-99000,-1000,-50676000,-35770000,-36661000,- -
66,Other Total Stockholders Equity,- -,2550000,6706000,93536000,77452000,2476000,16136000,-168240000,-156349000,-148206000,-141215000,-253333000,-267261000,-240241000,-267770000
67,Total Stockholders Equity,- -,4913000,6109000,134609000,238241000,353648000,496112000,348039000,365881000,303650000,280706000,128458000,127614000,98938000,59217000
68,Total Liabilities And Stockholders Equity,- -,39057000,129246000,295231000,471225000,613636000,755329000,573979000,558095000,506766000,463376000,287539000,269492000,250138000,161306000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,39057000,129246000,295231000,471225000,613636000,755329000,573979000,558095000,506766000,463376000,287539000,269492000,250138000,161306000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1305323/000104746910001714/0001047469-10-001714-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000104746911001646/a2201797z10-k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532312000016/0001305323-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532313000018/0001305323-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532314000013/bpi201310k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532315000014/bpi201410k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532316000084/0001305323-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532317000016/0001305323-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532318000011/0001305323-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532319000028/0001305323-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532320000019/0001305323-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532321000013/0001305323-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,3287000,26431000,47105000,127580000,172764000,127963000,41010000,9668000,-70454000,-30040000,10537000,4636000,-54812000,-48952000
74,Depreciation and Amortization,- -,1236000,2452000,5824000,8565000,12743000,17424000,21666000,23317000,19578000,13082000,8863000,6786000,10229000,11403000
75,Deferred Income Tax,- -,- -,-3264000,-12418000,-5366000,6606000,-7264000,-10506000,-7096000,40944000,28000,-600000,-19000,-36000,119000
76,Stock Based Compensation,- -,- -,- -,35943000,7939000,10595000,13729000,13934000,10558000,9710000,7317000,3632000,4787000,12340000,8291000
77,Change in Working Capital,- -,1656000,11531000,71081000,65669000,-5814000,133965000,-83022000,-37920000,84403000,43838000,-161477000,-12046000,-78568000,-22314000
78,Accounts Receivable,- -,- -,- -,-37491000,-54814000,-60817000,-81577000,-34348000,-27323000,-32383000,-34790000,-32771000,-27007000,-18537000,-17666000
79,Inventory,- -,16000,-94000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-4570000,6961000,78042000,143711000,137897000,271862000,188840000,150920000,235323000,279161000,117684000,105638000,27070000,1706000
82,Other Non-Cash Items,- -,4188000,33598000,-15808000,-14438000,23914000,-142632000,92456000,26692000,-57466000,-23142000,134970000,-11735000,64761000,76779000
83,Cash Provided by Operating Activities,- -,10367000,70748000,131727000,189949000,220808000,143185000,75538000,25219000,26715000,11083000,-4075000,-7591000,-46086000,25326000
84,CAPEX,- -,-3571000,-15884000,-24249000,-26568000,-34492000,-30558000,-34388000,-15063000,-4630000,-2755000,-3940000,-3454000,-31779000,-3425000
85,Acquisitions Net,- -,635000,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19489000,-62325000
86,Purchases of Investments,- -,- -,- -,-44922000,-111690000,-337084000,-179387000,-26759000,-87933000,-20280000,-20260000,-315000,-1067000,-126000,-720000
87,Sales/Maturities of Investments,- -,- -,- -,- -,45000000,167049000,186911000,176343000,70000000,76197000,37756000,47939000,975000,- -,1818000
88,Other Investing Activites,- -,- -,-666000,641000,-1214000,-3521000,25000,- -,-30000,-6665000,- -,- -,- -,- -,-3425000
89,Cash Used for Investing Activites,- -,-2936000,-16550000,-70030000,-94472000,-208048000,-23009000,115196000,-33026000,44622000,14741000,43684000,-3546000,-51394000,-64652000
90,Debt Repayment,- -,- -,- -,-431000,-634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,12000,- -,28720000,1107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-27707000,-42193000,-92778000,-602000,-201496000,- -,- -,- -,-168695000,-2424000,- -,-106000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-146000,-5066000,6800000,9199000,25421000,2470000,4269000,2284000,3805000,-319000,2277000,-1381000,-567000,2392000
95,Cash Used/Provided by Financing Activities,- -,-134000,-5066000,7382000,-32521000,-67357000,1868000,-197227000,2284000,3805000,-319000,-166418000,-3805000,-567000,2286000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,7297000,49132000,69079000,62956000,-54597000,122044000,-6493000,-5523000,75142000,25505000,-126809000,-14942000,-98047000,-37040000
98,Cash at the End of Period,- -,7351000,56483000,125562000,188518000,133921000,255965000,249472000,207003000,282145000,332335000,205526000,190584000,92537000,55497000
99,Cash at the Beginning of Period,- -,54000,7351000,56483000,125562000,188518000,133921000,255965000,212526000,207003000,306830000,332335000,205526000,190584000,92537000
100,Free Cash Flow,- -,6796000,54864000,107478000,163381000,186316000,112627000,41150000,10156000,22085000,8328000,-8015000,-11045000,-77865000,21901000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1305323/000104746910001714/0001047469-10-001714-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000104746911001646/a2201797z10-k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532312000016/0001305323-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532313000018/0001305323-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532314000013/bpi201310k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532315000014/bpi201410k.htm,https://www.sec.gov/Archives/edgar/data/1305323/000130532316000084/0001305323-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532317000016/0001305323-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532318000011/0001305323-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532319000028/0001305323-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532320000019/0001305323-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1305323/000130532321000013/0001305323-21-000013-index.htm
102,false,,,,,,,,,,,,,,,
