,https://roic.ai/company/CYTH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-14.00,-2.00,3.00,6.00,-8.00,-1.00,-0.70,3.60,-2.00,-1.00,-1.00,-1.00,1.00,1.00,-1.00,-5.00,-7.00,-5.00,-5.00,-7.00,-5.60,-2.24
27,Weighted Average Shares Outstanding,37022,43889,47912,50049,72321,120177,148152,179199,235333,287505,337108,358074,366801,371657,505431,562094,633544,720371,817568,1081917,1599223,6368025
28,Weighted Average Shares Outstanding Diluted,37022,43889,47912,50049,72321,120177,148152,179199,235333,287505,337108,358074,366801,371657,505431,562094,633544,720371,817568,1081917,1599223,6368025
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922247/000143774921005946/0001437749-21-005946-index.htm,https://www.sec.gov/Archives/edgar/data/922247/000143774922006039/0001437749-22-006039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,46244,7757,94371,31026,23629,209981,276669,338872,106753,127077,22839,268516,2380054,1842233,960197,1270973,2217412,2783719,12846113,16612711
32,Short-Term Investments,- -,- -,- -,- -,- -,156381,135540,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,46244,7757,94371,187407,159169,309981,276669,338872,106753,127077,22839,268516,2380054,1842233,960197,1270973,2217412,2783719,12846113,16612711
34,Net Receivables,- -,- -,36282,134022,59022,36402,59109,85434,27794,40425,78962,46365,65271,99282,80981,55636,124060,92744,117483,182490,111789,539090
35,Inventory,- -,- -,64146,79183,50999,54585,79747,107624,209975,185262,175364,142017,205155,241005,575176,610166,497397,471221,416531,242630,237909,227437
36,Other Current Assets,- -,- -,- -,48229,67417,- -,24113,78295,2000,- -,5132,820,10945,10056,13277,14851,53879,60846,18185,749230,854426,2057097
37,Total Current Assets,- -,- -,146672,269191,271809,278394,322138,581334,516438,564559,366211,316279,304210,618859,3049488,2522886,1635533,1895784,2769611,3958069,14050237,19436335
38,PP&E,- -,- -,335016,379300,431165,423609,334182,437435,442784,466537,1330973,1722116,1608283,1627254,1645703,1892943,29984,25736,18571,64563,87921,77219
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3229,14476,12879,11872,10267,40967,5000,4000,9500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,3229,14476,12879,11872,10267,40967,5000,4000,9500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,200000,200000,- -,- -,375000,250000,250000,225000,225000,200000,120000,120000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,4854,- -,94045,50402,93875,163985,17069,10363,- -,526870,505744,423354,469888,341424,203028,167128,129674,90596,49806,7279
45,Total Non-Current Assets,- -,- -,343099,593776,738089,485883,438324,1017387,714853,730900,1565473,2473986,2314027,2170608,2235591,2234367,233012,192864,148245,155159,137727,84498
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,489771,862967,1009898,764277,760462,1598721,1231291,1295459,1931684,2790265,2618237,2789467,5285079,4757253,1868545,2088648,2917856,4113228,14187964,19520833
48,Accounts Payable,- -,- -,23195,45791,23840,28091,52166,73664,- -,- -,- -,- -,- -,- -,- -,- -,342542,943030,1925332,- -,- -,- -
49,Short-Term Debt,- -,- -,8876,29941,28441,9649,6182,3942,- -,- -,12606,123468,235284,56318,794496,754033,- -,- -,- -,16385,131512,152957
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,203470,- -,- -,- -,72125,27676,90015,528987,83502,142607,120646,257537,- -,- -,- -,3124735,3541041,3677979
53,Total Current Liabilities,- -,- -,32071,75732,255751,37740,58348,77606,72125,27676,102621,652455,318786,198925,915142,1011570,342542,943030,1925332,3141120,3672553,3830936
54,Long-Term Debt,- -,- -,152513,161003,186198,148745,142002,157462,- -,- -,426369,713338,750776,795457,- -,- -,- -,- -,- -,36126,62929,18034
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,108900,59967,- -,- -,- -,- -,- -,66000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,261413,220970,186198,148745,142002,157462,- -,66000,426369,713338,750776,795457,- -,- -,- -,- -,- -,36126,62929,18034
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52511,35917,19245
61,Total Liabilities,- -,- -,293484,296702,441949,186485,200350,235068,72125,93676,528990,1365793,1069562,994382,915142,1011570,342542,943030,1925332,3177246,3735482,3848970
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,- -,- -,- -,- -
63,Common Stock,- -,- -,480,580,1096,1390,1571,2083,2654,3110,3540,3657,3688,3745,5442,5867,6695,7299,9075,12155,477,841
64,Retained Earnings,- -,- -,-1758691,-1463713,-2048435,-2220896,-2322721,-1669167,-2082399,-2275526,-2313054,-2410821,-2336618,-2131709,-2724396,-5275766,-9499607,-13332667,-17587700,-25120233,-34061836,-48348491
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,1954498,2029398,2615288,2797298,2881262,3030737,3238911,3474199,3712208,3831636,3881605,3923049,7088891,9015582,11018915,14470984,18571149,26044060,44513841,64019513
67,Total Stockholders Equity,- -,- -,196287,566265,567949,577792,560112,1363653,1159166,1201783,1402694,1424472,1548675,1795085,4369937,3745683,1526003,1145618,992524,935982,10452482,15671863
68,Total Liabilities And Stockholders Equity,- -,- -,489771,862967,1009898,764277,760462,1598721,1231291,1295459,1931684,2790265,2618237,2789467,5285079,4757253,1868545,2088648,2917856,4113228,14187964,19520833
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,489771,862967,1009898,764277,760462,1598721,1231291,1295459,1931684,2790265,2618237,2789467,5285079,4757253,1868545,2088648,2917856,4113228,14187964,19520833
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922247/000143774921005946/0001437749-21-005946-index.htm,https://www.sec.gov/Archives/edgar/data/922247/000143774922006039/0001437749-22-006039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-510828,-113882,165580,294978,-561493,-172461,-101825,653554,-413232,-193127,-37528,-97767,74203,204909,-592687,-2551370,-4223841,-3833060,-4255033,-7532533,-8941603,-14286655
74,Depreciation and Amortization,26414,51293,24190,37815,27762,35011,27463,24368,22869,20577,20940,32747,142642,148041,152446,169030,107096,9271,10124,5681,12763,16827
75,Deferred Income Tax,195000,- -,- -,-225000,- -,225000,- -,-450000,200000,- -,25000,- -,25000,80000,- -,120000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,208745,265805,162988,116182,- -,40000,160200,74600,121460,118680,83420,436699,271308,470876
77,Change in Working Capital,177846,- -,114601,78858,-177401,224596,23136,239938,-59415,92570,-273293,-599766,321600,434510,1714412,-623030,-218325,-340237,-108475,-27330,9560735,-1228273
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,57640,-12631,-44537,38597,-18906,-34011,18301,25345,-34031,32807,-23184,-63385,72412,-444023
79,Inventory,28931,24353,-32181,-15037,28184,-3586,-25162,-27877,-102351,24713,9898,33347,-63138,-35850,-327720,-45557,112727,20676,42540,160636,4721,10472
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87706,593428,- -,- -,- -,- -
81,Other Working Capital,- -,- -,114601,193459,16058,240654,263790,503728,444313,536883,263590,-336176,-14576,419934,2134346,1511316,1292991,952754,844279,816949,10377684,-297
82,Other Non-Cash Items,82866,39161,-256240,-121687,916530,-183379,77340,-97643,105773,-77694,311755,734385,-504944,-350920,-2065533,821356,1262672,982864,1081524,527996,-9443388,21927
83,Cash Provided by Operating Activities,-28702,-23428,48131,64964,205398,128767,26114,370217,64740,108131,209862,185781,58501,556540,-631162,-1989414,-2950938,-3062482,-3188440,-6589487,-8540185,-15005298
84,CAPEX,-97007,-9295,-17877,-54716,-80882,-22576,-27628,-84301,-84417,-43406,-449176,-553784,-166172,-156922,-173880,-419239,-9343,-6856,-2959,-1324,-53127,-22500
85,Acquisitions Net,- -,- -,- -,- -,- -,4545,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-116048,-110540,-263985,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,131381,134687,264838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,18349,9687,748,-11174,-3046,-3872,- -,- -,-76322,6706,-6500,- -,- -,2000,- -,700,952278,39059,35899,37456,39079,37322
89,Cash Used for Investing Activites,-78658,392,-17129,-65890,-83928,-137951,-6787,-213599,163352,-36700,-449176,-553784,-166172,-154922,-173880,-418539,942935,32203,32940,36132,-14048,14822
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-161404,- -,-1025,-23420,-46567,-134285,-57279,-95259,-754033,- -,- -,- -,- -,- -
91,Common Stock Issued,30000,- -,- -,- -,3500,- -,- -,- -,- -,- -,7751,- -,50000,- -,3023859,1910595,1880000,3341055,4101939,6989600,18458103,18763852
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9228,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20625,14536,7052,-37561,-38356,-54161,-26724,29734,- -,- -,469,411747,- -,-21656,-50000,54796,- -,- -,- -,130062,158524,-6778
95,Cash Used/Provided by Financing Activities,50625,14536,7052,-37561,-34856,-54161,-26724,29734,-161404,-9228,7195,388327,3433,-155941,2916580,1870132,1125967,3341055,4101939,7119662,18616627,18757074
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-56735,-8500,38054,-38487,86614,-63345,-7397,186352,66688,62203,-232119,20324,-104238,245677,2111538,-537821,-882036,310776,946439,566307,10062394,3766598
98,Cash at the End of Period,16690,8190,46244,7757,94371,31026,23629,209981,276669,338872,106753,127077,22839,268516,2380054,1842233,960197,1270973,2217412,2783719,12846113,16612711
99,Cash at the Beginning of Period,73425,16690,8190,46244,7757,94371,31026,23629,209981,276669,338872,106753,127077,22839,268516,2380054,1842233,960197,1270973,2217412,2783719,12846113
100,Free Cash Flow,-125709,-32723,30254,10248,124516,106191,-1514,285916,-19677,64725,-239314,-368003,-107671,399618,-805042,-2408653,-2960281,-3069338,-3191399,-6590811,-8593312,-15027798
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922247/000143774921005946/0001437749-21-005946-index.htm,https://www.sec.gov/Archives/edgar/data/922247/000143774922006039/0001437749-22-006039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
