,https://roic.ai/company/DYNT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553173,433429,294404,261993,260699,231865,330842,289149,277630,428462,512186,435607,215630
14,Depreciation and Amortization,- -,100000,- -,100000,100000,200000,200000,200000,300000,300000,400000,374483,410292,427616,382189,328331,379656,361544,373371,467016,452938,374384,453932,449011,553701,580915,395596,311982,337547,1311926,1611397,1737896,1606787
15,EBITDA,1100000,800000,500000,700000,500000,400000,500000,-200000,1200000,1300000,1500000,555374,940161,939405,423696,1705775,1530512,570765,102128,-9448539,1191371,1507858,1167200,520763,683275,415615,-672807,-1365681,-1251218,67818,1207335,-1262047,3813684
16,EBITDA ratio,0.1486,0.1212,0.0794,0.1061,0.0833,0.0816,0.0820,-0.0294,0.1176,0.1057,0.0938,0.0366,0.0561,0.0575,0.0251,0.0829,0.0750,0.0293,0.0057,-0.2899,0.0368,0.0457,0.0357,0.0164,0.0231,0.0151,-0.0231,-0.0449,-0.0350,0.0011,0.0193,-0.0236,0.0798
17,Operating Income,1000000,600000,500000,700000,200000,-600000,300000,200000,600000,1100000,1500000,544639,820048,774349,200018,1524745,1248038,296018,-122846,-9322462,707405,1088847,669649,26367,104751,-185790,-1086900,-1694846,-1674414,-1250894,-796097,-2993161,-3760456
18,Operating Income ratio,0.1351,0.0909,0.0794,0.1061,0.0333,-0.1224,0.0492,0.0294,0.0588,0.0894,0.0938,0.0359,0.0489,0.0474,0.0118,0.0741,0.0612,0.0152,-0.0069,-0.2860,0.0218,0.0330,0.0205,0.0008,0.0035,-0.0068,-0.0373,-0.0557,-0.0468,-0.0194,-0.0127,-0.0560,-0.0787
19,Total Other Income Expenses (Gains),100000,100000,- -,-100000,200000,500000,- -,-600000,300000,-200000,-300000,-363748,-290179,-262560,-158511,-147301,-97182,-86797,-148397,-593093,-522145,-388802,-250785,-216608,-235876,-211375,-312345,-271966,-191981,-421676,-120151,-442389,5751723
20,Income Before Tax,1100000,700000,500000,600000,400000,-100000,300000,-400000,900000,900000,1200000,180891,529869,511789,41507,1377444,1150856,209221,-271243,-9915555,185260,700045,418864,-190241,-131125,-397165,-1399245,-1966812,-1866395,-1672570,-916248,-3435550,1991267
21,Income Before Tax Ratio,0.1486,0.1061,0.0794,0.0909,0.0667,-0.0204,0.0492,-0.0588,0.0882,0.0732,0.0750,0.0119,0.0316,0.0313,0.0025,0.0669,0.0564,0.0107,-0.0152,-0.3042,0.0057,0.0212,0.0128,-0.0060,-0.0044,-0.0145,-0.0481,-0.0647,-0.0522,-0.0260,-0.0146,-0.0643,0.0417
22,Income Tax expense (Gain),400000,200000,200000,300000,100000,-100000,100000,-200000,300000,300000,400000,144981,195690,195688,16708,494144,422040,15190,-186201,-1471784,81936,276068,147976,-166706,-86754,-126023,851092,-64551,- -,-70314,5474,-10067,-9982
23,Net Income,700000,500000,300000,300000,300000,300000,200000,-200000,600000,700000,700000,35910,334179,316101,24799,883300,728816,194031,-85042,-8443771,103324,423977,270888,-23535,-44371,-271142,-2250337,-1902261,-1866395,-1602256,-921722,-3425483,2001249
24,Net Income ratio,0.0946,0.0758,0.0476,0.0455,0.0500,0.0612,0.0328,-0.0294,0.0588,0.0569,0.0437,0.0024,0.0199,0.0193,0.0015,0.0429,0.0357,0.0099,-0.0048,-0.2591,0.0032,0.0129,0.0083,-0.0007,-0.0015,-0.0099,-0.0773,-0.0626,-0.0522,-0.0249,-0.0147,-0.0641,0.0419
25,EPS,0.45,0.35,0.20,0.20,0.20,0.40,0.15,-0.10,0.35,0.40,0.40,0.02,0.20,0.20,0.01,0.50,0.40,0.10,-0.05,-3.10,0.05,0.15,0.10,-0.01,-0.02,-0.11,-2.03,-0.84,-1.36,-0.53,-0.21,-0.42,0.08
26,EPS Diluted,0.45,0.35,0.20,0.20,0.20,0.40,0.15,-0.10,0.35,0.35,0.40,0.02,0.20,0.20,0.01,0.50,0.40,0.10,-0.05,-3.10,0.05,0.15,0.10,-0.01,-0.02,-0.11,-2.03,-0.84,-1.36,-0.53,-0.21,-0.42,0.08
27,Weighted Average Shares Outstanding,1555556,1428571,1500000,1500000,1500000,1600000,1585763,2000000,1714286,1686492,1735328,1749093,1757241,1771016,1773867,1774242,1794782,1803883,1783263,2721976,2733084,2726684,2666516,2562203,2526533,2519490,2520723,2706424,3152425,6622429,8246188,10262769,15461339
28,Weighted Average Shares Outstanding Diluted,1555556,1428571,1500000,1500000,1500000,1600000,2000000,2000000,1714286,2000000,1805161,1754725,1830062,1779684,1773867,1842643,1842761,1834054,1783263,2721976,2733429,2729519,2673409,2562203,2526533,2519490,2520723,2706424,3152425,6622429,8246188,10262769,15461339
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720875/000072087596000007/0000720875-96-000007-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720875/000109690608001995/0001096906-08-001995-index.htm,https://www.sec.gov/Archives/edgar/data/720875/000109690609001157/0001096906-09-001157-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690610001204/0001096906-10-001204-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690611002274/0001096906-11-002274-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690612002461/0001096906-12-002461-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690613001538/0001096906-13-001538-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690614001367/0001096906-14-001367-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690615001028/0001096906-15-001028-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690616001922/0001096906-16-001922-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690617000628/0001096906-17-000628-index.html,https://www.sec.gov/Archives/edgar/data/720875/000165495418010537/0001654954-18-010537-index.html,https://www.sec.gov/Archives/edgar/data/720875/000165495419011076/dynt_10k2019.htm,https://www.sec.gov/Archives/edgar/data/720875/000165495420010386/0001654954-20-010386-index.htm,https://www.sec.gov/Archives/edgar/data/720875/000165495421010323/0001654954-21-010323-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,800000,400000,500000,700000,600000,233756,258884,396803,404276,573027,472899,423184,1301105,288481,141714,383756,384904,278263,302050,332800,3925967,966183,254705,1696116,155520,2215665,6102447
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,800000,400000,500000,700000,600000,233756,258884,396803,404276,573027,472899,423184,1301105,288481,141714,383756,384904,278263,302050,332800,3925967,966183,254705,1696116,155520,2215665,6102447
34,Net Receivables,- -,- -,- -,- -,- -,- -,1200000,1700000,2300000,2200000,2900000,3352239,3618249,3214638,2476784,3813633,3097444,3239838,4040225,5214722,4838837,3806170,3686292,3678804,3273909,3180990,3353518,3534677,5314736,7959166,7498085,4893861,6844904
35,Inventory,- -,- -,- -,- -,- -,- -,1800000,1600000,2200000,2700000,4500000,4038845,4746323,3836751,4644489,4687797,4712523,4982990,5313984,6283068,6199251,5766800,5647815,6098597,6407553,6157848,5421787,4997254,7397682,10987855,11527521,8371842,6526095
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,200000,100000,500000,400000,405823,507167,635905,899048,787754,792713,959485,996613,1195415,823266,653087,713800,598494,895937,707289,611737,256735,503800,778654,732571,593340,1432420
37,Total Current Assets,- -,- -,- -,- -,- -,- -,3800000,3900000,5100000,6100000,8400000,8030663,9130623,8084097,8424597,9862211,9075579,9605497,11651927,12981686,12003068,10609813,10432811,10654158,10879449,10378927,13313009,9754849,13470923,21421791,19913697,16074708,20905866
38,PP&E,- -,- -,- -,- -,- -,- -,2700000,2600000,2600000,3600000,3500000,3337924,3277458,3345059,3202553,3310083,3221944,3671216,3453495,3527153,3349239,3561271,3722749,3677898,3324947,2980677,5025076,4777565,4973477,5850899,5677419,8288895,5784724
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1100000,968020,876637,- -,- -,- -,- -,789422,2758572,- -,- -,- -,- -,- -,- -,- -,- -,- -,4302486,7116614,7116614,7116614,7116614
40,Intangible Assets,- -,- -,- -,- -,- -,- -,200000,1300000,1200000,- -,- -,- -,- -,789422,789422,789422,789422,- -,356792,631181,541870,452558,369352,324715,280078,235440,190803,160123,2754118,7131758,6407374,5682991,4928875
41,Intangible Assets,- -,- -,- -,- -,- -,- -,200000,1300000,1200000,1200000,1100000,968020,876637,789422,789422,789422,789422,789422,3115364,631181,541870,452558,369352,324715,280078,235440,190803,160123,7056604,14248372,13523988,12799605,12045489
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,928051,833941,151897,- -,131440,197441,303644,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,500000,700000,700000,500000,600000,258974,275629,289624,296457,310863,372778,457520,346830,359748,359171,314790,294269,482719,422672,396456,623342,580161,562873,532872,516841,433109,403916
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3400000,4600000,4500000,5500000,5400000,4564918,4429724,4424105,4288432,4410368,4384144,4918158,6915689,5446133,5084221,4480516,4386370,4616772,4225138,3916217,5839221,5517849,12592954,20632143,19718248,21521609,18234129
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,7200000,8500000,9600000,11600000,13800000,12595581,13560347,12508202,12713029,14272579,13459723,14523655,18567616,18427819,17087289,15090329,14819181,15270930,15104587,14295144,19152230,15272698,26063877,42053934,39631945,37596317,39139995
48,Accounts Payable,- -,- -,- -,- -,- -,- -,100000,500000,700000,500000,800000,739990,407727,318905,597111,681335,605788,593016,1241030,1423839,1795520,1404022,2127163,2413201,2751894,2433534,2520327,1914342,2334563,3412960,3989546,3013949,3737930
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,500000,700000,1400000,2900000,2134717,3110175,1661293,1580701,1811554,485830,831750,521979,6115733,4926364,3150333,2952072,3892652,3818963,3823483,2205160,320585,2517561,6676767,6998341,2290169,1212973
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55936,- -,- -,21369,30452,- -,2895,8438,- -,16751,29196,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150448,150448,150448,150448,150448,150448,150448
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,300000,300000,700000,700000,500000,605209,640775,619732,730065,1068740,940107,790584,1772527,1121231,1063997,1131925,800845,782447,763004,774315,695824,1548975,2634794,4345070,3136946,2224131,3371335
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,500000,1300000,2100000,2600000,4200000,3479916,4158677,2599930,2907877,3561629,2031725,2215350,3535536,8660803,7785881,5686280,5880080,7088300,7333861,7031332,5571759,3934350,7637366,14585245,14275281,7678697,8472686
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2100000,2500000,2100000,2800000,2400000,2073894,1834903,1950309,1754066,1553832,1330325,2023410,3251631,3046000,2881659,2604772,2238417,1916315,1561776,1255133,651118,553191,461806,303348,129428,3496222,3871654
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1980897,1830449,1680001,1529553,1379105,1228658,1078210
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23209,78846,99160,144059,150000,223647,225603,289335,- -,- -,- -,85525,- -,- -,- -,136128,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,300000,300000,400000,500000,500000,233398,260599,282229,305654,331022,360518,388250,420470,455377,- -,- -,- -,- -,- -,- -,3506000,3366698,3960314,4259006,3092422,5296859,203920
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2400000,2800000,2500000,3300000,2900000,2330501,2174348,2331698,2203779,2034854,1914490,2637263,3961436,3501377,2881659,2604772,2323942,1916315,1561776,1255133,6274143,5750338,6102121,6091907,4600955,10021739,5153784
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3638207,3464849,3281547,3199267,3199022,6271279,5065817
61,Total Liabilities,- -,- -,- -,- -,- -,- -,2900000,4100000,4600000,5900000,7100000,5810417,6333025,4931628,5111656,5596483,3946215,4852613,7496972,12162180,10667540,8291052,8204022,9004615,8895637,8286465,11845902,9684688,13739487,20677152,18876236,17700436,13626470
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3087554,3708152,8501295,11641816,11641816,8770798,7980788
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2400000,2457947,2565926,2638677,2478981,2670404,2779000,- -,- -,- -,- -,- -,- -,7091935,- -,- -,- -,- -,- -,20225107,21320106,27474411,32621471
64,Retained Earnings,- -,- -,- -,- -,- -,- -,2600000,2400000,3000000,3700000,4400000,4447313,4781492,5097593,5122392,6005692,6734508,6928539,6843497,-1600274,-1496950,-1072973,-802085,-825620,-869991,-1141133,-3391470,-5666022,-8014927,-10490141,-12206213,-16349328,-15088734
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-600000,-700000,-900000,-1100000,-1300000,-1308351,-1566129,-1899206,-2258579,-2579586,-2719327,-4000,-3269020,-3644025,-4003695,-3843169,-4129302,-4403016,-4821122,-5215656,-4732411,-5174462,-5617172,-4642610,-5523539,-6494176,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2300000,2700000,2900000,1100000,1200000,1188255,1446033,1739510,2258579,2579586,2719327,5651868,7496167,11509938,11920394,11715419,11546546,4403016,11900063,12365468,15430209,16428494,25956489,4642610,5523539,6494176,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,4300000,4400000,5000000,5700000,6700000,6785164,7227322,7576574,7601373,8676096,9513508,9671042,11070644,6265639,6419749,6799277,6615159,6266315,6208950,6008679,7306328,5588010,12324390,21376782,20755709,19895881,25513525
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,7200000,8500000,9600000,11600000,13800000,12595581,13560347,12508202,12713029,14272579,13459723,14523655,18567616,18427819,17087289,15090329,14819181,15270930,15104587,14295144,19152230,15272698,26063877,42053934,39631945,37596317,39139995
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,7200000,8500000,9600000,11600000,13800000,12595581,13560347,12508202,12713029,14272579,13459723,14523655,18567616,18427819,17087289,15090329,14819181,15270930,15104587,14295144,19152230,15272698,26063877,42053934,39631945,37596317,39139995
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/720875/000072087596000007/0000720875-96-000007-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720875/000109690608001995/0001096906-08-001995-index.htm,https://www.sec.gov/Archives/edgar/data/720875/000109690609001157/0001096906-09-001157-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690610001204/0001096906-10-001204-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690611002274/0001096906-11-002274-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690612002461/0001096906-12-002461-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690613001538/0001096906-13-001538-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690614001367/0001096906-14-001367-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690615001028/0001096906-15-001028-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690616001922/0001096906-16-001922-index.html,https://www.sec.gov/Archives/edgar/data/720875/000109690617000628/0001096906-17-000628-index.html,https://www.sec.gov/Archives/edgar/data/720875/000165495418010537/0001654954-18-010537-index.html,https://www.sec.gov/Archives/edgar/data/720875/000165495419011076/dynt_10k2019.htm,https://www.sec.gov/Archives/edgar/data/720875/000165495420010386/0001654954-20-010386-index.htm,https://www.sec.gov/Archives/edgar/data/720875/000165495421010323/0001654954-21-010323-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,300000,300000,300000,300000,200000,-200000,600000,700000,700000,35910,334179,316101,24799,883300,728816,194031,-85042,-8443771,103324,423977,270888,-23535,-44371,-271142,-2250337,-1902261,-1866395,-1602256,-921722,-3425483,2001249
74,Depreciation and Amortization,- -,100000,- -,100000,100000,200000,200000,200000,300000,300000,400000,374483,410292,427616,382189,328331,379656,361544,373371,467016,452938,374384,453932,449011,553701,580915,395596,311982,337547,1311926,1611397,1737896,1606787
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,200000,-100000,100000,- -,- -,- -,28162,12144,9257,-16512,24570,-1797,-62033,-1473718,104627,758317,- -,- -,-86754,-126021,848691,-136128,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60924,51591,56098,76099,86639,70871,66372,203889,419925,254758,300649,278716,154200
77,Change in Working Capital,- -,-1000000,- -,- -,- -,- -,3300000,-700000,400000,500000,700000,350747,421199,512221,32553,783862,743272,346293,726244,-3795508,-103696,706346,-370802,-986873,-20270,-197993,4393655,-1920751,13058,1002989,-1198130,2757595,4037169
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-292090,646380,2506235,-963329
79,Inventory,- -,-300000,-100000,-100000,-100000,-500000,-100000,100000,-700000,-700000,-1800000,185433,-911478,705572,-1047738,-319308,-300726,-522467,203763,-64445,85619,312451,28985,-570782,-515416,129705,712871,367320,-269977,491356,-458936,2726150,492197
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72639,-379506,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1383936,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,3300000,2600000,3000000,3500000,4200000,4550747,4971946,5484167,5516720,6300582,7043854,7390147,8116391,4320883,4217187,4923533,4552731,3565858,3545588,3347595,7741250,5820499,5833557,6836546,5638416,8396011,12433180
82,Other Non-Cash Items,- -,- -,- -,- -,-300000,-700000,-3600000,1600000,-700000,-1500000,-2800000,-127121,-1670454,575227,67868,-1516762,-196819,-1141647,-710963,10105892,856295,570760,1198253,521110,154161,449892,-4519485,2908292,-432463,-205615,533482,1740989,-7416442
83,Cash Provided by Operating Activities,- -,-400000,300000,400000,100000,-200000,300000,800000,700000,- -,-1000000,634019,-476622,1843309,516666,462219,1679495,-241576,241577,-3140089,1474412,2885375,1608369,35812,643106,506522,-1065508,-534977,-1528328,761802,325676,3089713,382963
84,CAPEX,- -,- -,- -,-100000,-500000,-200000,-100000,-100000,-400000,-100000,-100000,-138436,-254807,-400678,-232358,-428537,-284162,-804992,-128560,-335899,-186130,-376161,-534001,-328707,-100438,-176958,-66333,-195946,-117876,-242911,-224111,-292359,-146871
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67839,-2852664,- -,- -,- -,- -,- -,- -,- -,- -,-9116089,-9063017,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,300000,- -,200000,700000,-200000,-1200000,- -,- -,- -,89250,- -,- -,- -,- -,-31,1500,- -,- -,-183530,-373431,-531501,-328707,345,- -,3800000,- -,32000,12160,- -,- -,1678072
89,Cash Used for Investing Activites,- -,-100000,300000,-100000,-300000,500000,-300000,-1300000,-400000,-100000,-100000,-49186,-254807,-400678,-232358,-428537,-284193,-803492,-60721,-3188563,-183530,-373431,-531501,-328707,-100093,-176958,3733667,-195946,-9201965,-9293768,-224111,-292359,1531201
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1456983,-2173862,-380061,-371339,-418386,-323633,-946198,-298996,-335970,-341218,-416740,-473729,-426082
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,100000,60183,20090,28764,- -,193451,53801,15797,23297,208345,- -,1338,7949,- -,364,- -,- -,- -,- -,- -,- -,2286939,3462195
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,- -,-59449,-244682,-280440,-10138,-97378,-519053,-401408,-99997,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16241,-104884,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,-200000,-100000,200000,-100000,400000,900000,-1039609,736467,-1333476,-276835,30618,-1549231,1039005,918450,5388123,29472,- -,-184555,959001,-1207,24819,1871206,-1929865,10371026,10419479,-1124911,-2550293,-1012934
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-100000,-100000,-100000,200000,-100000,400000,1000000,-979426,756557,-1304712,-276835,135069,-1495430,995353,697065,5316028,-1437649,-2269902,-1075720,186254,-519226,-298814,925008,-2228861,10018815,9973377,-1541651,-737083,2023179
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,200000,-100000,-394593,25128,137919,7473,168751,-100128,-49715,877921,-1012624,-146767,242042,1148,-106641,23787,30750,3593167,-2959784,-711478,1441411,-1440086,2060271,3937343
