,https://roic.ai/company/PGAI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),2698000,2149000,1847000,1989000,2108000,2249000,2445000,2676000,2957000,3285000,3623000,3956000,4360000,4854000,5417000,6059000,6792000,7619000,8542000,5156000,1360000,1388000,1412000,- -,- -
14,Depreciation and Amortization,14000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-641000,5889000,-402000,139000,-42000,9000,31000,493000,320000,247000,-104000,-55000,-60000,-76000,-66000,-187000,-112000,1107000,83000,8048000,-149000,652000,-156000,-1105000,-39000
16,EBITDA ratio,-1.2569,0.4229,-2.9559,0.7898,-0.2642,0.0288,0.0871,0.6857,0.6852,0.5881,-0.8889,-0.7746,-0.9375,-76.0000,-4.1250,-Infinity,-Infinity,69.1875,10.3750,0.8935,-11.4615,130.4000,-52.0000,-552.5000,-Infinity
17,Operating Income,-655000,5011000,-402000,139000,-42000,9000,31000,493000,320000,247000,-104000,-55000,-60000,-121000,-106000,-216000,-128000,-206000,-126000,8046000,-151000,-225000,-157000,-1105000,-39000
18,Operating Income ratio,-1.2843,0.3598,-2.9559,0.7898,-0.2642,0.0288,0.0871,0.6857,0.6852,0.5881,-0.8889,-0.7746,-0.9375,-121.0000,-6.6250,-Infinity,-Infinity,-12.8750,-15.7500,0.8933,-11.6154,-45.0000,-52.3333,-552.5000,-Infinity
19,Total Other Income Expenses (Gains),- -,870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4809000,-5377000,-6030000,-6776000,-6306000,-8333000,-5154000,-1358000,-511000,-1411000,- -,-1373000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4930000,-5483000,-6246000,-6904000,-6512000,-8459000,2892000,-1509000,-736000,-1568000,-1105000,-1412000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4930.0000,-342.6875,-Infinity,-Infinity,-407.0000,-1057.3750,0.3211,-116.0769,-147.2000,-522.6667,-552.5000,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000,- -,- -,- -,- -
23,Net Income,-3353000,3732000,-2249000,-1850000,-2150000,-2240000,-2414000,-2183000,-2637000,-3038000,-3727000,-4011000,-4420000,-4930000,-5483000,-6246000,-6904000,-6512000,-8459000,2892000,-1566000,-736000,-1568000,-1105000,-1412000
24,Net Income ratio,-6.5745,0.2680,-16.5368,-10.5114,-13.5220,-7.1565,-6.7809,-3.0362,-5.6467,-7.2333,-31.8547,-56.4930,-69.0625,-4930.0000,-342.6875,-Infinity,-Infinity,-407.0000,-1057.3750,0.3211,-120.4615,-147.2000,-522.6667,-552.5000,-Infinity
25,EPS,-0.87,0.58,-0.54,-0.47,-0.52,-0.54,-0.57,-0.53,-0.62,-0.69,-0.82,-0.87,-0.95,-1.05,-1.15,-1.29,-1.42,-1.34,-1.71,0.42,-0.41,-0.26,-0.42,-0.33,-0.27
26,EPS Diluted,-0.87,0.36,-0.54,-0.47,-0.52,-0.54,-0.57,-0.53,-0.62,-0.69,-0.82,-0.87,-0.95,-1.05,-1.15,-1.29,-1.42,-1.34,-1.71,0.35,-0.41,-0.26,-0.42,-0.33,-0.27
27,Weighted Average Shares Outstanding,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758
28,Weighted Average Shares Outstanding Diluted,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,5317758,9950176,5317758,5317758,5317758,5317758,5317758
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81157/000106880012000043/0001068800-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448813001603/0001354488-13-001603-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448814001496/0001354488-14-001496-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448815001482/pgai_10k.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448816006641/0001354488-16-006641-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495417002938/0001654954-17-002938-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495418003025/0001654954-18-003025-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495419001940/0001654954-19-001940-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495420002544/0001654954-20-002544-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495421003578/0001654954-21-003578-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000165495422004355/0001654954-22-004355-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,93000,250000,201000,147000,3000,16000,6000,1000,1000,1000,1000,1000,1000,1000,958000,159000,526000,309000,81000,58000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,93000,250000,201000,147000,3000,16000,6000,1000,1000,1000,1000,1000,1000,1000,958000,159000,526000,309000,81000,58000
34,Net Receivables,- -,- -,- -,- -,- -,580000,21000,368000,633000,926000,878000,831000,785000,705000,631000,543000,440000,332000,178000,- -,573000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,639000,- -,- -,- -,- -,639000,639000,14000,14000,14000,14000,14000,10000
36,Other Current Assets,- -,- -,- -,- -,- -,1000,1000,252000,255000,5000,5000,5000,5000,5000,5000,7000,5000,5000,5000,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,674000,272000,821000,1035000,934000,899000,842000,1430000,711000,637000,551000,446000,977000,823000,972000,746000,540000,323000,95000,68000
38,PP&E,- -,- -,- -,- -,- -,718000,670000,637000,637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,160000,524000,181000,178000,840000,825000,827000,5000,828000,832000,824000,825000,51000,44000,42000,42000,13000,13000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,878000,1194000,818000,815000,840000,825000,827000,189000,828000,832000,824000,825000,51000,44000,42000,42000,13000,13000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,1552000,1466000,1639000,1850000,1774000,1724000,1669000,1619000,1539000,1469000,1375000,1271000,1028000,867000,1014000,788000,553000,336000,95000,68000
48,Accounts Payable,- -,- -,- -,- -,- -,27000,24000,12000,12000,12000,9000,14000,13000,121000,9000,- -,- -,6000,7000,26000,15000,18000,- -,160000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49434000,- -,- -,- -,- -,- -,- -,- -,- -,1198000,3512000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,19690000,22021000,24589000,27437000,30399000,34079000,38030000,42401000,47143000,3234000,58829000,65629000,3659000,3734000,3354000,3416000,212000,169000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,19717000,22045000,24601000,27449000,30411000,34088000,38044000,42414000,47264000,52677000,58829000,65629000,3665000,3741000,3380000,3431000,230000,169000,1358000,3512000
54,Long-Term Debt,- -,- -,- -,- -,- -,12457000,12457000,12257000,12257000,12257000,12257000,12257000,12257000,11757000,12257000,12257000,11757000,80490000,88712000,86328000,87617000,91319000,92731000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,12457000,12457000,12257000,12257000,12257000,12257000,12257000,12257000,12257000,12257000,12257000,12257000,80490000,88712000,86328000,87617000,91319000,92731000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,32174000,34502000,36858000,39706000,42668000,46345000,50301000,54671000,59521000,64934000,71086000,77886000,84155000,92453000,89708000,91048000,91549000,92900000,- -,- -
62,Preferred Stock,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -
63,Common Stock,- -,- -,- -,- -,- -,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,532000,- -,532000
64,Retained Earnings,- -,- -,- -,- -,- -,-46652000,-49066000,-51249000,-53886000,-56924000,-60651000,-64662000,-69082000,-74012000,-79495000,-85741000,-92645000,-99157000,-107616000,-104724000,-106290000,-107026000,-108594000,- -,-111111000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,13498000,- -,110579000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,-30622000,-33036000,-35219000,-37856000,-40894000,-44621000,-48632000,-53052000,-57982000,-63465000,-69711000,-76615000,-83127000,-91586000,-88694000,-90260000,-90996000,-92564000,-93669000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1552000,1466000,1639000,1850000,1774000,1724000,1669000,1619000,1539000,1469000,1375000,1271000,1028000,867000,1014000,788000,553000,336000,95000,68000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1552000,1466000,1639000,1850000,1774000,1724000,1669000,1619000,1539000,1469000,1375000,1271000,1028000,867000,1014000,788000,553000,336000,95000,68000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81157/000106880012000043/0001068800-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448813001603/0001354488-13-001603-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448814001496/0001354488-14-001496-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448815001482/pgai_10k.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448816006641/0001354488-16-006641-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495417002938/0001654954-17-002938-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495418003025/0001654954-18-003025-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495419001940/0001654954-19-001940-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495420002544/0001654954-20-002544-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495421003578/0001654954-21-003578-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000165495422004355/0001654954-22-004355-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3353000,3732000,-2249000,-1850000,-2150000,-2240000,-2414000,-2183000,-2637000,-3038000,-3727000,-4011000,-4420000,-4930000,-5483000,-6246000,-6904000,-6512000,-8459000,2892000,-1566000,-736000,-1568000,-1105000,- -
74,Depreciation and Amortization,14000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,3327000,18000,- -,- -,- -,-19043000,-2730000,-2007000,-2634000,-3063000,-3712000,-4013000,-3782000,-5569000,-5487000,-6238000,-6905000,62495000,-230000,510000,-277000,2995000,-156000,-1417000,-2181000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-18000,- -,- -,- -,- -,-19043000,-21773000,-23780000,-26414000,-29477000,-33189000,-37202000,-40984000,-46553000,-52040000,-58278000,-65183000,-2688000,-2918000,-2408000,-2685000,310000,154000,-1263000,-3444000
82,Other Non-Cash Items,-116000,5996000,2027000,1282000,2036000,21342000,5103000,4608000,5483000,5994000,7446000,7970000,8153000,10423000,10896000,12396000,13706000,-55983000,8689000,-3402000,1843000,-2259000,1724000,2294000,2158000
83,Cash Provided by Operating Activities,-128000,9754000,-222000,-568000,-114000,59000,-41000,418000,212000,-107000,7000,-54000,-48000,-76000,-74000,-88000,-103000,- -,- -,- -,- -,- -,- -,-228000,-23000
84,CAPEX,-2000,- -,-11000,-24000,-11000,-7000,-6000,-17000,-6000,-16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-700000,381000,1033000,-95000,-193000,204000,-250000,-260000,-21000,6000,44000,43000,76000,74000,88000,103000,108000,154000,183000,-560000,560000,- -,- -,- -
89,Cash Used for Investing Activites,-2000,-700000,370000,1009000,-106000,-200000,198000,-267000,-266000,-37000,6000,44000,43000,76000,74000,88000,103000,108000,154000,183000,-560000,560000,- -,- -,- -
90,Debt Repayment,-137000,-8896000,-300000,-15000,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,257000,1000,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,120000,-8895000,-281000,-15000,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,159000,-133000,426000,-220000,-141000,157000,-49000,-54000,-144000,13000,-10000,-5000,- -,- -,- -,- -,- -,- -,957000,-799000,367000,-217000,-228000,-23000
98,Cash at the End of Period,2000,161000,28000,454000,234000,93000,250000,201000,147000,3000,16000,6000,1000,1000,1000,1000,1000,1000,1000,958000,159000,526000,309000,81000,58000
99,Cash at the Beginning of Period,12000,2000,161000,28000,454000,234000,93000,250000,201000,147000,3000,16000,6000,1000,1000,1000,1000,1000,1000,1000,958000,159000,526000,309000,81000
100,Free Cash Flow,-130000,9754000,-233000,-592000,-125000,52000,-47000,401000,206000,-123000,7000,-54000,-48000,-76000,-74000,-88000,-103000,-108000,-154000,2774000,-239000,-193000,-217000,-228000,-23000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81157/000106880012000043/0001068800-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448813001603/0001354488-13-001603-index.html,https://www.sec.gov/Archives/edgar/data/81157/000135448814001496/0001354488-14-001496-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448815001482/pgai_10k.htm,https://www.sec.gov/Archives/edgar/data/81157/000135448816006641/0001354488-16-006641-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495417002938/0001654954-17-002938-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495418003025/0001654954-18-003025-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495419001940/0001654954-19-001940-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495420002544/0001654954-20-002544-index.html,https://www.sec.gov/Archives/edgar/data/81157/000165495421003578/0001654954-21-003578-index.htm,https://www.sec.gov/Archives/edgar/data/81157/000165495422004355/0001654954-22-004355-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
