,https://roic.ai/company/EXEL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,5700000,18857000,15208000,16702000,17745000,17494000,17755000,16910000,11332000,- -,12595000,10543000,6822000,5717000,3147000,2391000,1406000,1002000,1187000,7769000,8348000,9141000,13630000
15,EBITDA,-15666000,-13000000,-56454000,-55978000,-69083000,-77374000,-119751000,-66649000,-84582000,-75049000,- -,-111239000,-72519000,100073000,-114733000,-196362000,-217726000,-119603000,-36160000,168443000,459861000,406457000,139978000,307784000
16,EBITDA ratio,-6.8952,-1.2381,-2.2801,-1.3651,-1.5587,-1.5012,-2.2656,-0.8774,-0.8572,-0.6614,- -,-0.7330,-0.3919,0.3455,-2.4180,-6.2659,-8.6705,-3.2176,-0.1889,0.3723,0.5386,0.4200,0.1417,0.2145
17,Operating Income,-15296000,-18800000,-42864000,-75314000,-87824000,-96259000,-135202000,-93991000,-126754000,-157047000,- -,-121907000,-91397000,89535000,-122436000,-200732000,-224458000,-121421000,-28124000,165910000,438855000,369470000,110060000,286666000
18,Operating Income ratio,-6.7324,-1.7905,-1.7312,-1.8367,-1.9815,-1.8677,-2.5579,-1.2374,-1.2846,-1.3840,- -,-0.8033,-0.4939,0.3091,-2.5803,-6.4054,-8.9386,-3.2665,-0.1469,0.3667,0.5140,0.3818,0.1114,0.1998
19,Total Other Income Expenses (Gains),-370000,- -,-38094000,-9364000,3290000,1140000,-2043000,-819000,- -,36936000,- -,-18936000,-1005000,-12543000,-25102000,-44124000,-44266000,-48261000,-42098000,-7333000,13237000,28639000,20777000,7488000
20,Income Before Tax,-15666000,- -,- -,- -,-84534000,-95119000,-137245000,-94810000,- -,- -,- -,-140843000,-92402000,76992000,-147538000,-244856000,-268724000,-169682000,-70222000,158577000,452092000,398109000,130837000,294154000
21,Income Before Tax Ratio,-6.8952,- -,- -,- -,-1.9073,-1.8455,-2.5965,-1.2481,- -,- -,- -,-0.9281,-0.4993,0.2658,-3.1093,-7.8134,-10.7014,-4.5648,-0.3668,0.3505,0.5295,0.4114,0.1325,0.2050
22,Income Tax expense (Gain),- -,- -,- -,- -,345000,-345000,- -,- -,- -,- -,- -,-1286000,-72000,1295000,107000,-96000,-182000,55000,- -,4350000,-237978000,77097000,19056000,63091000
23,Net Income,-15666000,-18700000,-75311000,-71186000,-86130000,-94774000,-137245000,-84404000,-101492000,-86381000,- -,-135220000,-92330000,75697000,-147645000,-244760000,-268542000,-169737000,-70222000,154227000,690070000,321012000,111781000,231063000
24,Net Income ratio,-6.8952,-1.7810,-3.0418,-1.7360,-1.9433,-1.8388,-2.5965,-1.1111,-1.0286,-0.7613,- -,-0.8910,-0.4990,0.2614,-3.1116,-7.8103,-10.6942,-4.5663,-0.3668,0.3409,0.8082,0.3317,0.1132,0.1610
25,EPS,-7.88,-0.67,-2.43,-1.53,-1.52,-1.45,-1.89,-1.07,-1.17,-0.87,- -,-1.26,-0.85,0.60,-0.92,-1.33,-1.38,-0.81,-0.28,0.52,2.32,1.06,0.36,0.73
26,EPS Diluted,-7.88,-0.67,-2.43,-1.53,-1.52,-1.45,-1.89,-1.07,-1.17,-0.87,- -,-1.26,-0.85,0.58,-0.92,-1.33,-1.38,-0.81,-0.28,0.49,2.21,1.02,0.35,0.72
27,Weighted Average Shares Outstanding,1988000,42766000,31031000,46485000,56615000,65387000,72504000,78810000,86602000,99147000,- -,107073000,108522000,126018000,160138000,184062000,194299000,209227000,250531000,293588000,297892000,302584000,308271000,315380000
28,Weighted Average Shares Outstanding Diluted,1988000,42766000,31031000,46485000,56615000,65387000,72504000,78810000,86602000,99147000,- -,107073000,108522000,130479000,160138000,184062000,194299000,209227000,250531000,312003000,312803000,315009000,318001000,322022000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/939767/000162828021001852/0001628280-21-001852-index.htm,https://www.sec.gov/Archives/edgar/data/939767/000093976722000026/0000939767-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,19552000,35584000,84522000,111828000,78105000,96471000,123400000,135500000,- -,86796000,97440000,74257000,170069000,103978000,80395000,141634000,151686000,183164000,314775000,266501000,319217000,647169000
32,Short-Term Investments,- -,- -,93000000,192116000,131704000,125264000,77078000,67307000,110600000,136100000,- -,116290000,65224000,120005000,241371000,138475000,63890000,25426000,268117000,204607000,378559000,585742000,887319000,819905000
33,Cash and Short-Term Investments,- -,- -,112552000,227700000,216226000,237092000,155183000,163778000,234000000,271600000,- -,203086000,162664000,194262000,411440000,242453000,144285000,167060000,419803000,387771000,693334000,852243000,1206536000,1467074000
34,Net Receivables,- -,- -,1493000,4026000,3325000,3846000,4424000,7102000,22200000,6100000,- -,11864000,5896000,30190000,2751000,3941000,4882000,5183000,- -,81192000,178827000,119073000,160875000,282650000
35,Inventory,- -,- -,3612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2890000,2381000,2616000,3338000,6657000,9838000,12886000,20973000,27493000
36,Other Current Assets,- -,- -,1987000,2873000,3841000,3156000,4350000,39481000,6100000,6100000,- -,15050000,14926000,4372000,18350000,17325000,15693000,3806000,47662000,9254000,15017000,26988000,57011000,57530000
37,Total Current Assets,- -,- -,119644000,234599000,223392000,244094000,163957000,210361000,262300000,283800000,- -,230000000,183486000,228824000,432541000,266609000,167241000,178665000,470803000,484874000,897016000,1011190000,1445395000,1834747000
38,PP&E,- -,- -,23480000,36500000,32406000,33500000,35463000,35577000,32300000,34700000,- -,29392000,15811000,8506000,6059000,4910000,2432000,1434000,2071000,25743000,56764000,90727000,67384000,104031000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,67400000,63700000,- -,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000
40,Intangible Assets,- -,- -,58674000,69483000,72166000,71500000,71876000,70789000,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,58674000,69483000,72166000,71500000,71876000,70789000,70000000,63700000,- -,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000,63684000
42,Investments,- -,- -,- -,- -,- -,- -,- -,15000000,19600000,20700000,- -,17907000,93713000,89459000,182311000,144299000,81579000,83600000,55601000,64255000,157187000,536385000,332306000,371112000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244111000,172374000,156711000,111663000
44,Other Non-Current Assets,- -,- -,3116000,6032000,11149000,8700000,20044000,985000,11200000,9200000,- -,2427000,4096000,2789000,36502000,23785000,13024000,4959000,-55601000,16738000,3524000,11310000,71853000,131002000
45,Total Non-Current Assets,- -,- -,85270000,112015000,115721000,113700000,127383000,122351000,133100000,128300000,- -,113410000,177304000,164438000,288556000,236678000,160719000,153677000,65755000,170420000,525270000,874480000,691938000,781492000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,204914000,346614000,339113000,357794000,291340000,332712000,395400000,412100000,- -,343410000,360790000,393262000,721097000,503287000,327960000,332342000,536558000,655294000,1422286000,1885670000,2137333000,2616239000
48,Accounts Payable,- -,- -,10050000,10837000,4717000,6151000,5931000,1689000,3700000,9300000,- -,7403000,2046000,1957000,4398000,9345000,6413000,6401000,6565000,9575000,10901000,11581000,23632000,24258000
49,Short-Term Debt,- -,- -,6974000,5947000,8680000,9857000,10859000,41991000,13579000,15767000,- -,39254000,37748000,4870000,13170000,11762000,99261000,- -,189122000,- -,- -,2728000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,12237000,23790000,21579000,28697000,43484000,63476000,64105000,- -,103385000,100297000,41920000,16321000,1450000,2583000,- -,19665000,31984000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,7101000,11336000,13052000,16539000,18309000,21591000,30645000,43728000,- -,57076000,59850000,43578000,47815000,65296000,63603000,45850000,55236000,73611000,94571000,128437000,181026000,313332000
53,Total Current Liabilities,- -,- -,24125000,40357000,50239000,54126000,63796000,108755000,111400000,132900000,- -,207118000,199941000,92325000,81704000,87853000,171860000,52251000,270588000,115170000,105472000,142746000,204658000,337590000
54,Long-Term Debt,- -,- -,7976000,30652000,58973000,99437000,136398000,106858000,108100000,105700000,- -,40363000,170710000,176645000,322566000,335475000,262395000,381435000,- -,- -,12178000,48011000,49086000,51272000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242329000,202472000,16321000,- -,- -,- -,- -,- -,238520000,15897000,6596000,3755000,8739000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,9035000,38385000,53981000,42749000,40475000,59804000,123400000,101400000,- -,17325000,15992000,17339000,20393000,13721000,8534000,2960000,541000,16643000,1286000,2347000,721000,8023000
58,Total Non-Current Liabilities,- -,- -,17011000,69037000,112954000,142186000,176873000,166662000,231500000,207100000,- -,300017000,389174000,210305000,342959000,349196000,270929000,384395000,541000,255163000,29361000,56954000,53562000,68034000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238176000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6280000,1790000,98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12178000,50739000,49086000,51272000
61,Total Liabilities,- -,- -,41136000,109394000,163193000,196312000,240669000,275417000,342900000,340000000,- -,507135000,589115000,302630000,424663000,437049000,442789000,436646000,508223000,370333000,134833000,199700000,258220000,405624000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,47000,56000,59000,71000,75000,84000,100000,100000,- -,108000,109000,135000,183000,184000,196000,228000,290000,296000,300000,305000,312000,319000
64,Retained Earnings,- -,- -,-130038000,-201224000,-287354000,-382128000,-519373000,-603777000,-705300000,-791700000,- -,-1089724000,-1182054000,-1106357000,-1254002000,-1498762000,-1767304000,-1937041000,- -,-1829172000,-880363000,-559351000,-447570000,-216507000
65,Other Comprehensive Income/Loss,- -,- -,-12702000,-21950000,-549000,1622000,624000,973000,1145000,499000,- -,155000,12000,-138000,-92000,146000,-121000,-232000,-416000,-347000,-701000,3069000,4476000,-758000
66,Other Total Stockholders Equity,- -,- -,306471000,460338000,463764000,541917000,569345000,636263000,756595000,863182000,- -,925736000,953608000,1196992000,1550345000,1564670000,1652400000,1832741000,89444000,2114184000,2168217000,2241947000,2321895000,2427561000
67,Total Stockholders Equity,- -,- -,163778000,237220000,175920000,161482000,50671000,33543000,52540000,72081000,- -,-163725000,-228325000,90632000,296434000,66238000,-114829000,-104304000,89318000,284961000,1287453000,1685970000,1879113000,2210615000
68,Total Liabilities And Stockholders Equity,- -,- -,204914000,346614000,339113000,357794000,291340000,308960000,395440000,412081000,- -,343410000,360790000,393262000,721097000,503287000,327960000,332342000,597541000,655294000,1422286000,1885670000,2137333000,2616239000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,23752000,-40000,19000,- -,- -,- -,- -,- -,- -,- -,- -,-60983000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,204914000,346614000,339113000,357794000,291340000,332712000,395400000,412100000,- -,343410000,360790000,393262000,721097000,503287000,327960000,332342000,536558000,655294000,1422286000,1885670000,2137333000,2616239000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/939767/000162828021001852/0001628280-21-001852-index.htm,https://www.sec.gov/Archives/edgar/data/939767/000093976722000026/0000939767-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-18700000,-75311000,-71186000,-86130000,-94774000,-137245000,-84404000,-101492000,-86381000,- -,-135220000,-92330000,75697000,-147645000,-244760000,-268542000,-169737000,-70222000,154227000,690070000,321012000,111781000,231063000
74,Depreciation and Amortization,- -,5700000,18857000,15208000,16702000,17745000,17494000,17755000,16910000,11332000,- -,12595000,10543000,6822000,5717000,3147000,2391000,1406000,1002000,1187000,7769000,8348000,9141000,13630000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244111000,71002000,15265000,46529000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22906000,21112000,12099000,8833000,12031000,10006000,21977000,22912000,23938000,44322000,56602000,105070000,119820000
77,Change in Working Capital,- -,5700000,95519000,98723000,-21089000,16815000,-89807000,1445000,49294000,- -,- -,-59218000,-39337000,152954000,214338000,-172081000,-183375000,131033000,73801000,169489000,421840000,76900000,372293000,-39013000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-941000,-646000,-37002000,-40839000,-85471000,43716000,-42470000,-122324000
79,Inventory,- -,- -,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2890000,509000,-235000,-722000,-3319000,-3181000,-5731000,-21897000,-13209000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6318000,8691000,-13213000,-1276000,164000,3010000,856000,44124000,51109000,55090000
81,Other Working Capital,- -,- -,95519000,194242000,173153000,189968000,100161000,101606000,150900000,150900000,- -,22882000,-16455000,136499000,350837000,178756000,-4619000,126414000,200215000,369704000,791544000,868444000,1240737000,11008000
82,Other Non-Cash Items,- -,- -,-51932000,-66513000,59593000,-19023000,115722000,18843000,-10051000,6310000,- -,144346000,-1036000,-406805000,-204389000,202890000,204115000,-126264000,178803000,-183230000,-504170000,-6908000,-404568000,28775000
83,Cash Provided by Operating Activities,- -,-7300000,-12867000,-23768000,-30924000,-79237000,-93836000,-46361000,-45339000,-68739000,- -,-14591000,-101048000,-159233000,-123146000,-198773000,-235405000,-141585000,206296000,165611000,415720000,526956000,208982000,400804000
84,CAPEX,- -,-5000000,-15386000,-9094000,-5851000,-14248000,-12338000,-14357000,-11610000,-17399000,- -,-5908000,-1811000,-991000,-2717000,-2171000,-474000,-447000,-1703000,-21143000,-33297000,-12834000,-30345000,-64225000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,35309000,- -,2200000,9000000,3010000,- -,- -,838000,95000,2494000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1500000,-135821000,-150844000,-147889000,-218221000,-93472000,-104815000,-134080000,-206097000,- -,-161215000,-167317000,-237213000,-533475000,-189975000,-119528000,-143992000,-369187000,-319090000,-557832000,-1182682000,-1070269000,-1357168000
87,Sales/Maturities of Investments,- -,- -,44689000,156515000,206309000,222707000,139075000,113598000,120931000,182772000,- -,55030000,140394000,182205000,310765000,325171000,252891000,178936000,153751000,376864000,292971000,608269000,969399000,1378509000
88,Other Investing Activites,- -,- -,10081000,8828000,-5761000,-4838000,-11201000,-30495000,3058000,2396000,- -,-2429000,165000,1526000,-34043000,11326000,12603000,15485000,-1403000,-836000,308000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-6500000,-96437000,5405000,46808000,-14600000,20464000,-36069000,-21701000,-3019000,- -,-112322000,-19569000,-51463000,-259470000,144351000,146330000,50077000,-216048000,35795000,-297850000,-587247000,-131215000,-42884000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43065000,-39563000,-8621000,-4870000,-13170000,-11709000,-4381000,-7710000,-185788000,-13000,- -,- -,- -
91,Common Stock Issued,- -,8900000,125931000,12927000,9155000,76835000,5059000,62440000,96540000,83758000,- -,3826000,3132000,181109000,203479000,- -,75643000,145649000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,8200000,-2475000,21428000,23478000,37831000,34594000,38493000,12804000,490000,- -,5250000,167692000,15025000,279819000,1501000,1558000,11479000,27514000,15860000,9704000,12553000,-25132000,-14801000
95,Cash Used/Provided by Financing Activities,- -,17100000,123456000,34355000,32633000,114666000,39653000,100933000,109344000,84248000,- -,-33989000,131261000,187513000,478428000,-11669000,65492000,152747000,19804000,-169928000,9691000,12553000,-25132000,-14801000
96,Effect of Forex Changes on Cash,- -,- -,- -,40000,421000,716000,-4000,-137000,-263000,-402000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,3300000,14152000,16032000,48938000,21545000,-33723000,18366000,42041000,12088000,- -,-160902000,10644000,-23183000,95812000,-66091000,-23583000,61239000,10052000,31478000,127561000,-47738000,52635000,343119000
98,Cash at the End of Period,- -,5400000,19552000,35584000,84522000,111828000,78105000,96471000,123369000,135457000,- -,86796000,97440000,74257000,170069000,103978000,80395000,141634000,151686000,183164000,315875000,268137000,320772000,663891000
99,Cash at the Beginning of Period,- -,2100000,5400000,19552000,35584000,90283000,111828000,78105000,81328000,123369000,- -,247698000,86796000,97440000,74257000,170069000,103978000,80395000,141634000,151686000,188314000,315875000,268137000,320772000
100,Free Cash Flow,- -,-12300000,-28253000,-32862000,-36775000,-93485000,-106174000,-60718000,-56949000,-86138000,- -,-20499000,-102859000,-160224000,-125863000,-200944000,-235879000,-142032000,204593000,144468000,382423000,514122000,178637000,336579000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/939767/000162828021001852/0001628280-21-001852-index.htm,https://www.sec.gov/Archives/edgar/data/939767/000093976722000026/0000939767-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
