,https://roic.ai/company/SHLS,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,559897000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-10661000,-13989000,-376046000,- -
94,Other Financing Activites,10000000,2500000,374441000,-372545000
95,Cash Used/Provided by Financing Activities,-19161000,-27489000,-47855000,20602000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-17565000,6974000,2991000,-516000
98,Cash at the End of Period,108000,7082000,10073000,9557000
99,Cash at the Beginning of Period,17673000,108000,7082000,10073000
100,Free Cash Flow,1596000,34463000,50846000,-8209000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1831651/000183165121000003/0001831651-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1831651/000183165122000008/0001831651-22-000008-index.htm
102,false,,,,
