,https://roic.ai/company/BKGM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527383/000119312513118128/0001193125-13-118128-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000119312514100977/0001193125-14-100977-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459015001766/0001564590-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459016014637/0001564590-16-014637-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459017004193/0001564590-17-004193-index.html,- -,https://www.sec.gov/Archives/edgar/data/1527383/000156459019007926/0001564590-19-007926-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459020011686/0001564590-20-011686-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459021014469/0001564590-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459022011871/0001564590-22-011871-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,125959000,69189000,91583000,100908000,100799000,176651000,126127000,155095000,131716000,287628000,36660000
32,Short-Term Investments,- -,- -,- -,273522000,182832000,230557000,227535000,419880000,460788000,381042000,377130000,510111000,499366000
33,Cash and Short-Term Investments,- -,- -,125959000,342711000,274415000,331465000,328334000,596531000,586915000,536137000,508846000,797739000,536026000
34,Net Receivables,- -,- -,3418000,3599000,4013000,3764000,4098000,4758000,5728000,6221000,21596000,11176000,6715000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,176886000,5000000,5000000,5000000,- -,- -,- -,- -,-16015000,-766040000,- -
37,Total Current Assets,- -,- -,306263000,351310000,283428000,340229000,332432000,601289000,592643000,542358000,514427000,42875000,542741000
38,PP&E,- -,- -,18103000,17712000,18249000,18586000,17876000,17825000,17842000,18471000,49652000,46034000,- -
39,Goodwill,- -,- -,783000,783000,783000,783000,783000,783000,783000,783000,783000,783000,13014000
40,Intangible Assets,- -,- -,- -,1285000,1354000,1405000,1462000,1527000,1903000,1778000,1704000,1683000,10720000
41,Intangible Assets,- -,- -,783000,2068000,2137000,2188000,2245000,2310000,2686000,2561000,2487000,2466000,23734000
42,Investments,- -,- -,219353000,331647000,271821000,335837000,328054000,519072000,553632000,452421000,434557000,564414000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,595462000,508644000,707373000,768899000,863677000,781056000,799143000,875891000,951939000,- -,- -
45,Total Non-Current Assets,- -,- -,833701000,860071000,999580000,1125510000,1211852000,1320263000,1373303000,1349344000,1438635000,612914000,23734000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2922400000,2272581000
47,Total Assets,- -,- -,1139964000,1211381000,1283008000,1465739000,1544284000,1921552000,1965946000,1891702000,1953062000,2352361000,2791588000
48,Accounts Payable,- -,- -,164000,161000,164000,134000,113000,122000,131000,137000,118000,77000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,10036000,- -,- -,- -,- -,- -,- -,- -,14633000,14700000,- -
53,Total Current Liabilities,- -,- -,10200000,- -,- -,- -,- -,- -,- -,- -,14751000,14777000,34400000
54,Long-Term Debt,- -,- -,10200000,10145000,- -,- -,- -,- -,- -,- -,14751000,14777000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2576439000
58,Total Non-Current Liabilities,- -,- -,10200000,10145000,- -,- -,- -,- -,- -,- -,14751000,14777000,2576439000
59,Other Liabilities,- -,- -,1050928000,1127102000,1189153000,1363556000,1432142000,1789350000,1827799000,1743407000,1788819000,2175305000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,1050928000,1116957000,1189153000,1363556000,1432142000,1789350000,1827799000,1743407000,1788819000,2175305000,2610839000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,980000,980000,980000,980000,980000,- -
63,Common Stock,- -,- -,1843000,1844000,1840000,1867000,1933000,1938000,1969000,2017000,2023000,2029000,26943000
64,Retained Earnings,- -,- -,71861000,76092000,81570000,87154000,94823000,104626000,108900000,117339000,129576000,137646000,153740000
65,Other Comprehensive Income/Loss,- -,- -,346000,1474000,-4700000,-3204000,-3983000,-3772000,-3687000,-4768000,-1327000,3111000,-16721000
66,Other Total Stockholders Equity,- -,- -,14986000,15014000,15145000,16366000,19369000,28430000,29985000,32727000,32991000,33290000,16787000
67,Total Stockholders Equity,- -,- -,89036000,94424000,93855000,102183000,112142000,132202000,138147000,148295000,164243000,177056000,180749000
68,Total Liabilities And Stockholders Equity,- -,- -,1139964000,1211381000,1283008000,1465739000,1544284000,1921552000,1965946000,1891702000,1953062000,2352361000,2791588000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1139964000,1211381000,1283008000,1465739000,1544284000,1921552000,1965946000,1891702000,1953062000,2352361000,2791588000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527383/000119312513118128/0001193125-13-118128-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000119312514100977/0001193125-14-100977-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459015001766/0001564590-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459016014637/0001564590-16-014637-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459017004193/0001564590-17-004193-index.html,- -,https://www.sec.gov/Archives/edgar/data/1527383/000156459019007926/0001564590-19-007926-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459020011686/0001564590-20-011686-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459021014469/0001564590-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459022011871/0001564590-22-011871-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,5501000,7092000,5734000,8620000,9868000,9560000,11290000,13553000,8544000,12839000,16151000,12492000,20999000
74,Depreciation and Amortization,3250000,3040000,2864000,3037000,3101000,3450000,3563000,3397000,3401000,3640000,3905000,3945000,4640000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-17641000,23000,296040000,55247000,-67882000,56801000,-7797000,268857000,-8646000,-50285000,-42682000,-471578000,480243000
78,Accounts Receivable,-1324000,-1266000,3305000,-181000,-414000,249000,-334000,-659000,-970000,-493000,640000,-2487000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-554000,-185000,-69000,-3000,3000,-30000,-21000,9000,9000,6000,-19000,-41000,- -
81,Other Working Capital,- -,23000,296063000,351310000,283428000,340229000,332432000,601289000,592643000,542358000,499676000,28098000,508341000
82,Other Non-Cash Items,26504000,3937000,-265552000,-45278000,73906000,-52359000,8598000,-271040000,9267000,72635000,44144000,484140000,-487348000
83,Cash Provided by Operating Activities,17614000,14092000,39086000,21626000,18993000,17452000,15654000,14767000,12566000,38829000,21518000,28999000,18534000
84,CAPEX,-1318000,50000,-2622000,687000,902000,830000,1095000,1517000,768000,280000,390000,-4117000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3075000,- -,- -,-4773000,-1131000,- -
86,Purchases of Investments,-451913000,-231476000,-280090000,-306405000,-130101000,-276167000,-180121000,-266028000,-141364000,-88496000,-145068000,-431100000,-388872000
87,Sales/Maturities of Investments,383054000,289990000,280889000,194063000,182174000,211948000,185624000,77179000,105664000,186894000,170063000,304996000,58605000
88,Other Investing Activites,-67362000,-60882000,-148083000,-26565000,-116112000,-114080000,-94271000,-110709000,-62936000,-19620000,-77452000,-126806000,152245000
89,Cash Used for Investing Activites,-137539000,-2318000,-149906000,-138220000,-63137000,-177469000,-87673000,-301116000,-97868000,79058000,-56840000,-258158000,-178022000
90,Debt Repayment,-15000000,-30000000,-6000000,-215000,-10145000,- -,- -,-93000,- -,- -,- -,- -,- -
91,Common Stock Issued,267000,336000,442000,28000,106000,1218000,3069000,263000,1586000,2790000,270000,305000,353000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-4328000,-4349000,-4405000,-4389000,-4390000,-3976000,-3621000,-3751000,-4270000,-4400000,-4410000,-4422000,-1154000
94,Other Financing Activites,97231000,77381000,150264000,64400000,80967000,172100000,67462000,365782000,37462000,-87309000,16083000,388938000,430064000
95,Cash Used/Provided by Financing Activities,78170000,43368000,140301000,59824000,66538000,169342000,66910000,362201000,34778000,-88919000,11943000,384821000,429263000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-41755000,55142000,29481000,-56770000,22394000,9325000,-5109000,75852000,-50524000,28968000,-23379000,155662000,269775000
98,Cash at the End of Period,46336000,101478000,130959000,74189000,96583000,105908000,100799000,176651000,126127000,155495000,132116000,287778000,557553000
99,Cash at the Beginning of Period,88091000,46336000,101478000,130959000,74189000,96583000,105908000,100799000,176651000,126527000,155495000,132116000,287778000
100,Free Cash Flow,16296000,12978000,36464000,18942000,15352000,13657000,12802000,11420000,9133000,34550000,16286000,24882000,18534000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527383/000119312513118128/0001193125-13-118128-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000119312514100977/0001193125-14-100977-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459015001766/0001564590-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459016014637/0001564590-16-014637-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459017004193/0001564590-17-004193-index.html,- -,https://www.sec.gov/Archives/edgar/data/1527383/000156459019007926/0001564590-19-007926-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459020011686/0001564590-20-011686-index.html,https://www.sec.gov/Archives/edgar/data/1527383/000156459021014469/0001564590-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1527383/000156459022011871/0001564590-22-011871-index.htm
102,false,,,,,,,,,,,,,
