,https://roic.ai/company/TRX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,-1182169,-2298780,-3380998,-918804,-1112952,-325817,-1175789,1635825,1147146,162434,-1457216,-2134599,-2836930,940446,-3690622,-7276506,-6810420,-4779418,-3543582,-5515618,-5444128,-5739485,-11466777,-11152000
16,EBITDA ratio,- -,-1182169.0000,-1149390.0000,-1690499.0000,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-803782,-570125,-468165,-593173,-907431,-2200086,-1096010,-2779610,-3785841,-3634574,-3431020,- -,-3034804,-4893855,-5480738,-5013443,-4665125,-3984398,-2924047,-5105862,- -,- -,- -,- -
18,Operating Income ratio,- -,-803781.9539,-285062.7279,-234082.6691,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,106534,-1512305,-2638555,36987,-143811,-1254692,-520354,-233337,-540881,-286895,-267025,-1240944,-178947,-5268116,-3417105,1787445,2248860,-5011299,-9857855,-1328250,-1885484,-24213447,-5590525,4558000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-3454778,-1616364,-3012947,-4326722,-3921469,-3698045,- -,- -,- -,-8897843,-3225998,-2416265,-8995697,-12781902,-6434112,-6897397,-29317517,-16221757,-5283000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-440000,- -,-545204,- -,- -,- -,- -,- -,- -,- -,-76411,-262116,38770,45543,41916,- -,- -,- -,- -
23,Net Income,- -,-1222232,-2336587,-3411602,-792773,-1343958,-3014778,-1616364,-2467745,-4326722,-3921469,-3698045,-4731836,-3427655,-10221226,-8897843,-3018990,-1978386,-8875306,-12629864,-5965758,-6697382,-29198724,-15278608,-4004000
24,Net Income ratio,- -,-1222232.0000,-1168293.5000,-1705801.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.02,-0.04,-0.06,-0.01,-0.01,-0.03,-0.02,-0.03,-0.05,-0.05,-0.04,-0.05,-0.04,-0.11,-0.09,-0.03,-0.02,-0.07,-0.09,-0.04,-0.05,-0.16,-0.08,-0.22
26,EPS Diluted,- -,-0.02,-0.04,-0.06,-0.01,-0.01,-0.03,-0.02,-0.03,-0.05,-0.05,-0.04,-0.05,-0.04,-0.11,-0.09,-0.03,-0.02,-0.07,-0.09,-0.04,-0.05,-0.16,-0.08,-0.22
27,Weighted Average Shares Outstanding,- -,36451086,36681929,40026971,50760978,74714203,78839344,81056126,83387939,85666361,86486098,87372662,89041180,90892870,93839466,100151347,100735972,101051691,103241433,108200190,117699647,122905190,136050492,166510691,232208260
28,Weighted Average Shares Outstanding Diluted,- -,36451086,36681929,40026971,50760978,74714203,78839344,82226243,83650038,86196411,86486098,87372662,89041180,90892870,93839466,100151347,100735972,101051691,103241433,108200190,117699647,122905190,136050492,166510691,232208260
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717105000166/main20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717106002157/treck20f113006.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717107001596/0001137171-07-001596-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717108001098/0001137171-08-001098-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717109000953/0001137171-09-000953-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717110000713/0001137171-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717111000640/ex151.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717112000449/0001137171-12-000449-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717113000367/0001137171-13-000367-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351114000115/0001273511-14-000115-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351115000141/tnxform20f20150831final.htm,https://www.sec.gov/Archives/edgar/data/1173643/000127351116000254/0001273511-16-000254-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184317007355/0001171843-17-007355-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184318008233/0001171843-18-008233-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351119000112/form20-f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1343179,314201,1444730,2564793,2030000,1550072,1067448,1174884,3174549,1602270,1195237,1165746,1325708,32428471,20058678,10679516,1829661,767826,84913,1011293,426062,3389319,5293766,13447000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,926192,415201,- -,- -,- -,- -,- -,40425,29400,17850,5250,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1343179,314201,1444730,2564793,2030000,2476264,1482649,1174884,3174549,1602270,1195237,1165746,1366133,32457871,20076528,10684766,1829661,767826,84913,1011293,426062,3389319,5293766,13447000
34,Net Receivables,- -,88288,186234,72695,171181,60000,44288,61035,65398,18824,71776,75021,43516,79073,157134,62139,512369,691799,216172,254389,329008,264803,625519,714245,460000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,42041,158380,373528,452339,347407,229196,223518,248395,11849,24230,487575,539608,507489,515391,- -,948072,1179000
36,Other Current Assets,- -,38476,11418,19872,15251,50000,31360,521889,61691,80457,101479,88340,70720,60362,83855,96762,80761,68882,80843,153409,74298,116051,120478,101364,332000
37,Total Current Assets,- -,1469943,511853,1537297,2751225,2140000,2551912,2065573,1344014,3432210,2149053,1810937,1627389,1734764,32922378,20483824,11289745,2614572,1552416,1032319,1922088,1322307,4135316,7057447,15418000
38,PP&E,- -,159255,119945,104627,9188555,18770000,18872653,20026800,17395353,21459757,23272419,25154357,27657816,31048796,35191608,42772706,46903595,50178329,51556443,48853226,49431000,51912833,33460830,42753307,41100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9141076,8108140,7393957,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522779,- -,- -
45,Total Non-Current Assets,- -,9300331,8228085,7498584,9688555,18770000,18872653,20026800,17395353,21459757,23272419,25154357,27657816,31048796,35191608,42772706,46903595,50178329,51556443,48853226,49431000,51912833,33983609,42753307,41100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10770274,8739938,9035881,12439780,20910000,21424565,22092373,18739367,24891967,25421472,26965294,29285205,32783560,68113986,63256530,58193340,52792901,53108859,49885545,51353088,53235140,38118925,49810754,56518000
48,Accounts Payable,- -,69593,279995,490839,564854,- -,459000,146672,145495,559312,566183,502777,- -,- -,- -,2318393,1264420,1288905,3683129,4827508,5216703,5767402,6225131,6375882,5263000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,29159,34625,36795,43626,39693,- -,- -,- -,1085221,- -,1702540,2660910,3257761,7565590,7006155,6735207,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,14666,23667,17900,- -,1310000,- -,- -,- -,- -,- -,- -,644477,620795,2471199,- -,3524000,- -,851000,5380115,- -,- -,- -,720000,2149000
53,Total Current Liabilities,- -,84259,303662,508739,564854,1310000,459000,146672,174655,593937,602978,546403,684170,620795,2471199,2318393,5873641,1288905,6236669,12868533,8474464,13332992,13231286,13831089,7412000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,147347,121739,75912,38435,- -,1841226,2958039,2073286,- -,- -,- -,941406,1059524,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,647565,647566,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-2,- -,1,- -,- -,- -,- -,- -,8114000,- -,- -,800000,919123,5565057,5576143,5223848,3500000,2681000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,647565,647564,147347,121740,75912,38435,- -,1841226,2958039,10187286,- -,- -,800000,1860529,6624581,5576143,5223848,3500000,2681000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1295129,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,147347,121739,75912,38435,39693,- -,- -,- -,- -,- -,496559,370103,56631,67819,78784,88207,- -
61,Total Liabilities,- -,84259,303662,508739,564854,1310000,1106565,794237,322001,715677,678890,584838,684170,2462021,5429238,12505679,5873641,1288905,7036669,14729062,15099045,18909135,18455134,17331089,10093000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,35820000,- -,- -,- -,- -,- -,- -,- -,72855310,- -,- -,115614202,117153440,120532634,122380723,125174377,127003132,142251909,178396820,158129000
64,Retained Earnings,- -,-8331273,-10667860,-14079462,-14872235,-16220000,-19230971,-20847335,-20019699,-28105120,-32026589,-35724634,-40456470,-43884125,-54105351,-64266823,-67117263,-69095649,-77970955,-90600819,-96566577,-103263959,-132462683,-149041291,-117457000
65,Other Comprehensive Income/Loss,- -,-310593,-318797,-356627,-407913,-410000,125000,-200000,685185,750000,2344971,-500000,-600000,-660000,-990000,-1270000,873736,935060,1048757,2007900,-2176352,-755909,-114030,-996538,- -
66,Other Total Stockholders Equity,- -,19327881,19422933,22963231,27155074,420000,- -,- -,- -,- -,- -,- -,- -,2010354,- -,- -,870037,870037,941037,- -,8922270,10642431,9407078,4482306,- -
67,Total Stockholders Equity,- -,10686015,8436276,8527142,11874926,19610000,20318000,21298136,18417366,24176291,24742581,26380456,28601035,30321539,62684748,50750851,50240712,49862888,44551473,33787804,35353718,33625695,19082274,32841297,47958000
68,Total Liabilities And Stockholders Equity,- -,10770274,8739938,9035881,12439780,20920000,21424565,22092373,18739367,24891968,25421471,26965294,29285205,32783560,68113986,63256530,56114353,51151793,51588142,48516866,50452763,52534830,37537408,50172386,58051000
69,Minority Interest,- -,- -,- -,- -,- -,-10000,- -,- -,- -,-1,1,- -,- -,- -,- -,- -,2078987,1641108,1520717,1368679,900325,700310,581517,-361632,-1533000
70,Total Liabilities & Equity,- -,10770274,8739938,9035881,12439780,20910000,21424565,22092373,18739367,24891967,25421472,26965294,29285205,32783560,68113986,63256530,58193340,52792901,53108859,49885545,51353088,53235140,38118925,49810754,56518000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717105000166/main20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717106002157/treck20f113006.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717107001596/0001137171-07-001596-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717108001098/0001137171-08-001098-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717109000953/0001137171-09-000953-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717110000713/0001137171-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717111000640/ex151.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717112000449/0001137171-12-000449-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717113000367/0001137171-13-000367-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351114000115/0001273511-14-000115-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351115000141/tnxform20f20150831final.htm,https://www.sec.gov/Archives/edgar/data/1173643/000127351116000254/0001273511-16-000254-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184317007355/0001171843-17-007355-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184318008233/0001171843-18-008233-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351119000112/form20-f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1222232,-2336587,-3411602,-792773,-1343958,-3014778,-1616364,-2467745,-4326722,-3921469,-3698045,-4731836,-3427655,-10221226,-8897843,-3018990,-1978386,-8875306,-12629864,-5965758,-6697382,-29198724,-15278608,-4004000
74,Depreciation and Amortization,- -,40063,37807,30604,37406,92227,63509,54643,74915,96694,104511,101597,100563,202229,463169,379603,288519,258068,384708,478699,421984,386845,353115,295858,286000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-440000,- -,-545204,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62401,283450,368161,827989,1053509,1106517,506747,-38996,1772663,1598883,236000,4340710,2933000
77,Change in Working Capital,- -,-170676,160114,338429,42867,-285389,277498,-819604,-64658,329723,-282251,-132324,295757,69330,1754527,-1142280,-432105,-555016,2393210,546300,-1164859,701095,-24619,1015232,-936000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31505,-35557,-78062,85909,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-42041,-108446,-215148,-78812,104932,118211,5678,-24877,-10002,-12381,-463345,-52033,32119,-7902,-7388,-425293,-453000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-170676,160114,338429,42867,-285389,- -,- -,- -,- -,- -,1,- -,- -,- -,-24877,-10002,-12381,-463345,-52033,32119,-7902,-7388,-425293,- -
82,Other Non-Cash Items,- -,81153,1505725,2751845,7553,65151,1067538,1948,1370081,1824535,1618724,1095338,1531031,357313,4491510,4118912,-2028886,-2316773,4689579,9729366,652481,1659359,23816305,1062585,-5796000
83,Cash Provided by Operating Activities,- -,-1271692,-632941,-290724,-704947,-1471969,-2046233,-2379377,-1632611,-2075770,-2480485,-2633434,-2742084,-2515333,-3143859,-4713619,-4137953,-3485590,-901062,-1914495,-4283489,-2351200,-4817923,-8564223,-7517000
84,CAPEX,- -,-1844269,-485023,-1512948,-2274930,-1558018,-1195938,-1221510,-1648078,-2905543,-2668413,-3013225,-4124563,-3920819,-8580299,-8706288,-5282995,-4279932,-3194347,-776635,-1568614,-1312170,-3051549,-9612012,-9147000
85,Acquisitions Net,- -,- -,- -,- -,- -,-95229,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-962294,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,521763,351697,- -,173472,- -,- -,285885,279244,50114,41786,5667,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,79617,13737,-540000,40000,513150,- -,- -,251548,320021,292583,390246,416313,- -,- -,- -,- -,- -,- -,- -,13803,- -,- -,495573,2524000
89,Cash Used for Investing Activites,- -,-1764652,-471286,-2052948,-2234930,-1140097,-2158232,-699747,-1044834,-2585522,-2202358,-2622979,-3708250,-3634934,-8301055,-8656174,-5241209,-4274265,-3194347,-776635,-1554811,-1312170,-3051549,-9116439,-6623000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42368,-39693,- -,- -,- -,-1090000,-933825,-75530,-32686,- -,- -,-283393,-27000
91,Common Stock Issued,- -,1768573,66248,3479968,4059940,2074545,3602265,2596501,2953612,5743654,809250,4880026,5990000,3511268,13742177,1000000,- -,- -,- -,- -,5589501,- -,8937563,4634051,24400000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,14666,9001,-5767,- -,- -,125000,- -,- -,696719,2301314,-30646,473211,2838654,28805500,- -,- -,- -,3967399,2083747,1207865,3078139,1895166,15234451,-839000
95,Cash Used/Provided by Financing Activities,- -,1783239,75249,3474201,4059940,2074545,3727265,2596501,2953612,6440373,3110564,4849380,6420843,6310229,42547677,1000000,- -,-1090000,3033574,2008217,6764680,3078139,10832729,19585109,23534000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1253105,-1028978,1130529,1120063,-537521,-477200,-482624,276169,1779081,-1572279,-407033,-29491,159962,31102763,-12369793,-9379162,-8849855,-1061835,-682913,926380,-585231,2963257,1904447,9394000
98,Cash at the End of Period,- -,1343179,314201,1444730,2564793,2027272,1550072,1067448,1174884,3174549,1602270,1195237,1165746,1325708,32428471,20058678,10679516,1829661,767826,84913,1011293,426062,3389319,5293766,13447000
99,Cash at the Beginning of Period,- -,2596284,1343179,314201,1444730,2564793,2027272,1550072,898714,1395468,3174549,1602270,1195237,1165746,1325708,32428471,20058678,10679516,1829661,767826,84913,1011293,426062,3389319,4053000
100,Free Cash Flow,- -,-3115961,-1117964,-1803672,-2979877,-3029987,-3242171,-3600887,-3280690,-4981313,-5148898,-5646659,-6866647,-6436152,-11724158,-13419907,-9420948,-7765522,-4095409,-2691130,-5852103,-3663370,-7869472,-18176235,-16664000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717105000166/main20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1173643/000113717106002157/treck20f113006.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717107001596/0001137171-07-001596-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717108001098/0001137171-08-001098-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717109000953/0001137171-09-000953-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717110000713/0001137171-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717111000640/ex151.htm,https://www.sec.gov/Archives/edgar/data/1173643/000113717112000449/0001137171-12-000449-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000113717113000367/0001137171-13-000367-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351114000115/0001273511-14-000115-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351115000141/tnxform20f20150831final.htm,https://www.sec.gov/Archives/edgar/data/1173643/000127351116000254/0001273511-16-000254-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184317007355/0001171843-17-007355-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000117184318008233/0001171843-18-008233-index.html,https://www.sec.gov/Archives/edgar/data/1173643/000127351119000112/form20-f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
