,https://roic.ai/company/DXPE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,4700000,6000000,10400000,2431000,-3339000,5461000,3694000,5432000,6300000,10605000,23101000,33231000,59406000,-37761000,46908000,65595000,108651000,122659000,22319000,5789000,55783000,62091000,95918000,91601000,-3913000,68069000
16,EBITDA ratio,0.0375,0.0354,0.0511,0.0135,-0.0183,0.0313,0.0249,0.0360,0.0392,0.0572,0.0826,0.0748,0.0806,-0.0647,0.0715,0.0813,0.0990,0.0988,0.0149,0.0046,0.0580,0.0617,0.0789,0.0723,-0.0039,0.0611
17,Operating Income,2785000,6500000,7400000,2151000,3039000,4034000,4117000,4309000,5209000,9404000,20678000,31892000,48191000,-49332000,37091000,55485000,90522000,100924000,-12628000,-27916000,19332000,33490000,68451000,66122000,-26870000,39857000
18,Operating Income ratio,0.0222,0.0383,0.0364,0.0120,0.0166,0.0231,0.0278,0.0286,0.0324,0.0507,0.0739,0.0717,0.0654,-0.0846,0.0565,0.0688,0.0825,0.0813,-0.0084,-0.0224,0.0201,0.0333,0.0563,0.0522,-0.0267,0.0358
19,Total Other Income Expenses (Gains),-1150000,-1800000,-2500000,-1736000,-12070000,-2434000,-1484000,-1112000,-825000,-789000,-1274000,-2995000,-5907000,-5150000,-4959000,-3490000,-5513000,-6207000,-12928000,-11004000,-9658000,-16598000,-19745000,-19453000,-20645000,-20675000
20,Income Before Tax,1635000,4700000,4900000,415000,-9031000,1600000,2633000,3197000,4384000,8615000,19404000,28897000,42284000,-54482000,32132000,51995000,85009000,94717000,-25556000,-38920000,9674000,16892000,48706000,46669000,-47515000,19182000
21,Income Before Tax Ratio,0.0131,0.0277,0.0241,0.0023,-0.0494,0.0092,0.0178,0.0212,0.0273,0.0465,0.0693,0.0650,0.0574,-0.0934,0.0490,0.0644,0.0775,0.0763,-0.0170,-0.0312,0.0101,0.0168,0.0400,0.0368,-0.0473,0.0172
22,Income Tax expense (Gain),745000,1900000,2100000,533000,-1673000,671000,1014000,1128000,1604000,3148000,7482000,11550000,16397000,-12070000,12751000,20558000,34024000,34480000,19682000,150000,2523000,363000,13185000,10894000,-18441000,3431000
23,Net Income,890000,2800000,2800000,-118000,-7358000,929000,-110000,2069000,2780000,5467000,11922000,17347000,25887000,-42412000,19381000,31437000,50985000,60237000,-45238000,-38536000,7702000,16888000,35632000,36035000,-28726000,16406000
24,Net Income ratio,0.0071,0.0165,0.0138,-0.0007,-0.0403,0.0053,-0.0007,0.0137,0.0173,0.0295,0.0426,0.0390,0.0351,-0.0727,0.0295,0.0390,0.0465,0.0485,-0.0302,-0.0309,0.0080,0.0168,0.0293,0.0284,-0.0286,0.0147
25,EPS,0.08,0.33,0.34,-0.03,-0.92,0.10,-0.03,0.24,0.34,0.62,1.17,1.48,2.02,-3.24,1.40,2.19,3.54,4.17,-3.15,-2.68,0.44,0.97,2.04,2.04,-1.50,0.85
26,EPS Diluted,0.08,0.24,0.26,-0.03,-0.92,0.10,-0.03,0.21,0.25,0.47,1.04,1.35,1.89,-3.24,1.32,2.08,3.35,3.94,-3.15,-2.68,0.44,0.93,1.94,1.96,-1.62,0.85
27,Weighted Average Shares Outstanding,8621000,8163000,8318000,8150000,8144000,8144000,8144000,8144000,8054000,8698000,11464000,11698000,12739000,13117000,13821000,14301000,14374000,14439000,14375161,14423000,17197380,17315573,17401297,17604092,19208067,19208067
28,Weighted Average Shares Outstanding Diluted,8621000,11405000,11192000,8150000,8144000,9006000,8144000,9840000,11018000,11578000,11464000,12782000,13649206,13117000,14821000,15141000,15214000,15279000,15479000,14423000,17197380,18240000,18393000,18432000,19208067,19208067
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012999001288/0000950129-99-001288-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012900001506/0000950129-00-001506-index.html,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012902001586/0000950129-02-001586-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012903001506/0000950129-03-001506-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000102071004000006/0001020710-04-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071005000018/0001020710-05-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071006000014/0001020710-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071007000013/0001020710-07-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071008000010/0001020710-08-000010-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000114036117014211/0001140361-17-014211-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1020710/000102071019000023/0001020710-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071020000015/0001020710-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071021000026/0001020710-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071022000033/0001020710-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,876000,700000,1600000,2991000,2744000,2260000,1171000,636000,2303000,570000,2544000,3978000,5698000,2344000,770000,1507000,10455000,5469000,47000,1693000,1590000,22047000,40304000,54203000,117353000,48989000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,876000,700000,1600000,2991000,2744000,2260000,1171000,636000,2303000,570000,2544000,3978000,5698000,2344000,770000,1507000,10455000,5469000,47000,1693000,1590000,22047000,40304000,54203000,117353000,48989000
34,Net Receivables,17125000,25700000,24400000,21268000,24377000,18757000,17560000,19412000,19126000,29279000,41537000,79969000,101191000,77301000,100183000,137024000,174832000,192003000,259319000,186809000,169898000,195627000,225303000,220567000,187520000,218137000
35,Inventory,17175000,26000000,28900000,24238000,23504000,22922000,20392000,19145000,16995000,22811000,37310000,84196000,119097000,72581000,75887000,93901000,101422000,105271000,115658000,103819000,83699000,91413000,114830000,129364000,97071000,100894000
36,Other Current Assets,1050000,1800000,2300000,1544000,1886000,2055000,1328000,1238000,1272000,3542000,1739000,3441000,6714000,11366000,8469000,6769000,8993000,10406000,11254000,11640000,11611000,8828000,5153000,4347000,4639000,36554000
37,Total Current Assets,36226000,54200000,57200000,50041000,52511000,45994000,40451000,40431000,39696000,56202000,83130000,171584000,232700000,163592000,185309000,239201000,295702000,313149000,386278000,303961000,266798000,317915000,385590000,408481000,406583000,404574000
38,PP&E,7818000,10400000,13200000,12931000,9314000,8820000,8034000,7395000,8261000,8752000,9944000,17119000,20331000,16955000,14917000,16911000,58713000,58253000,69979000,68503000,60807000,53337000,51330000,129894000,112087000,109101000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16964000,60849000,98718000,60542000,84942000,101764000,145788000,188110000,253312000,197362000,187591000,187591000,194052000,194052000,248339000,308506000
40,Intangible Assets,673000,2700000,10400000,10068000,2547000,2469000,- -,- -,- -,7436000,6464000,35852000,45227000,25727000,32236000,43194000,63189000,69722000,130333000,112297000,94831000,78525000,67207000,52582000,80088000,79205000
41,Intangible Assets,673000,2700000,10400000,10068000,2547000,2469000,- -,- -,- -,7436000,23428000,96701000,143945000,86269000,117178000,144958000,208977000,257832000,383645000,309659000,282422000,266116000,261259000,246634000,328427000,387711000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,508000,403000,257000,- -,- -,- -,- -,3289000,2289000,1588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7516000
44,Other Non-Current Assets,325000,300000,500000,926000,2767000,1651000,255000,146000,69000,530000,305000,762000,880000,822000,931000,2680000,6340000,6043000,4444000,1857000,1498000,1715000,1783000,3211000,4764000,-2710000
45,Total Non-Current Assets,8816000,13400000,24100000,23925000,14628000,12940000,8797000,7944000,8587000,16718000,33677000,114582000,165156000,107335000,135315000,166137000,274030000,322128000,458068000,380019000,344727000,321168000,314372000,379739000,445278000,501618000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45042000,67600000,81300000,73966000,67139000,58934000,49248000,48375000,48283000,72920000,116807000,286166000,397856000,270927000,320624000,405338000,569732000,635277000,844346000,683980000,611525000,639083000,699962000,788220000,851861000,906192000
48,Accounts Payable,6963000,14400000,14800000,15570000,18498000,16979000,14057000,14559000,12905000,15919000,25706000,55020000,57539000,51185000,55019000,62123000,74356000,78853000,100774000,77108000,78698000,80303000,87407000,76438000,75744000,77842000
49,Short-Term Debt,1754000,1500000,3800000,3206000,9675000,7273000,1625000,1474000,1420000,1358000,2771000,4200000,13965000,12595000,10930000,694000,22057000,26213000,38608000,50829000,51354000,3381000,3407000,20103000,19191000,21503000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409000,1696000,853000,8130000,- -,- -,- -,- -,- -,- -,9748000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3767000,2996000,3720000,13102000,9097000,5254000,6438000,13919000,15279000,7749000,- -
52,Other Current Liabilities,1897000,2000000,1500000,1306000,1660000,1899000,1993000,5591000,5971000,10800000,15184000,21047000,32142000,14018000,26934000,67874000,29043000,39931000,54718000,43084000,31353000,34703000,38544000,36351000,41455000,81717000
53,Total Current Liabilities,10614000,17900000,20100000,20082000,29833000,26151000,17675000,21624000,20296000,28077000,43661000,80267000,103646000,77798000,92883000,134458000,128452000,148717000,207202000,180118000,166659000,124825000,143277000,148171000,144139000,181062000
54,Long-Term Debt,22300000,33400000,42900000,36780000,28476000,22864000,23486000,16675000,14925000,25109000,35174000,101989000,154591000,102916000,103621000,114205000,216339000,168372000,372908000,298680000,173331000,238643000,236979000,235419000,317139000,355319000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7516000
56,Deferred Tax Liabilities,330000,500000,600000,561000,- -,250000,- -,- -,- -,115000,2242000,2387000,9419000,- -,- -,- -,16448000,21938000,21284000,6312000,18986000,7069000,8633000,9872000,1777000,7516000
57,Other Non-Current Liabilities,1339000,700000,700000,890000,- -,112000,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2819000,49810000,40940000,- -
58,Total Non-Current Liabilities,23969000,34600000,44200000,38231000,28476000,23226000,23486000,16674000,14925000,25224000,37416000,104376000,164010000,102916000,103621000,114205000,232787000,190310000,394192000,304992000,192317000,245712000,248431000,295101000,359856000,370351000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66208000,53901000,- -
61,Total Liabilities,34583000,52500000,64300000,58313000,58309000,49377000,41161000,38298000,35221000,53301000,81077000,184643000,267656000,180714000,196504000,248663000,361239000,339027000,601394000,485110000,358976000,370537000,391708000,443272000,503995000,366438000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,19000,19000,19000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,- -
63,Common Stock,160000,- -,- -,41000,41000,41000,41000,41000,41000,48000,51000,63000,128000,129000,140000,141000,141000,144000,146000,146000,172000,174000,174000,174000,189000,195000
64,Retained Earnings,9994000,12700000,15400000,15235000,7786000,8625000,8425000,10404000,13094000,18471000,30303000,47560000,73838000,32057000,51348000,82695000,133590000,193737000,148409000,109783000,117396000,134193000,169735000,205680000,176637000,193133000
65,Other Comprehensive Income/Loss,- -,-9100000,-10500000,-10959000,-7081000,-4981000,-1346000,-1332000,-970000,-840000,-799000,-825000,- -,-26000,- -,64000,1059000,-2368000,-5700000,-10616000,-18274000,-19491000,-19267000,-19954000,-21842000,-17317000
66,Other Total Stockholders Equity,305000,11500000,12100000,11336000,8084000,5872000,948000,945000,692000,1894000,6147000,54697000,56206000,58037000,72616000,73759000,73687000,104721000,100081000,97729000,152313000,153087000,156190000,157886000,192068000,182628000
67,Total Stockholders Equity,10459000,15100000,17000000,15653000,8830000,9557000,8087000,10077000,12876000,19589000,35718000,101511000,130188000,90213000,124120000,156675000,208493000,296250000,242952000,197058000,251623000,267979000,306848000,343802000,347068000,358639000
68,Total Liabilities And Stockholders Equity,45042000,67600000,81300000,73966000,67139000,58934000,49248000,48375000,48097000,72890000,116795000,286154000,397844000,270927000,320624000,405338000,569732000,635277000,844346000,682168000,610599000,638516000,698556000,787074000,851063000,725077000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,186000,30000,12000,12000,12000,- -,- -,- -,- -,- -,- -,1812000,926000,567000,1406000,1146000,798000,181115000
70,Total Liabilities & Equity,45042000,67600000,81300000,73966000,67139000,58934000,49248000,48375000,48283000,72920000,116807000,286166000,397856000,270927000,320624000,405338000,569732000,635277000,844346000,683980000,611525000,639083000,699962000,788220000,851861000,906192000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012999001288/0000950129-99-001288-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012900001506/0000950129-00-001506-index.html,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012902001586/0000950129-02-001586-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012903001506/0000950129-03-001506-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000102071004000006/0001020710-04-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071005000018/0001020710-05-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071006000014/0001020710-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071007000013/0001020710-07-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071008000010/0001020710-08-000010-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000114036117014211/0001140361-17-014211-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1020710/000102071019000023/0001020710-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071020000015/0001020710-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071021000026/0001020710-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071022000033/0001020710-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,890000,2800000,2800000,-118000,-7358000,929000,-110000,2069000,2780000,5467000,11922000,17347000,25887000,-42412000,19381000,31437000,50985000,60237000,-45238000,-38536000,7702000,16888000,35632000,36035000,-28726000,16496000
74,Depreciation and Amortization,964000,1300000,1800000,2016000,1945000,1381000,1160000,1058000,992000,990000,1754000,990000,10992000,11476000,9568000,10082000,18082000,21660000,35078000,33243000,29994000,27786000,26164000,25174000,22683000,27143000
75,Deferred Income Tax,-216000,-100000,- -,-32000,-2622000,1232000,796000,128000,77000,306000,-103000,306000,143000,-16678000,2914000,1883000,550000,1876000,-13082000,-9024000,3306000,-3827000,1004000,1110000,-14771000,6140000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1555000,973000,1256000,1955000,2832000,3560000,2973000,3580000,1708000,2549000,1963000,3532000,1823000
77,Change in Working Capital,-592000,10688000,800000,-7141000,-7281000,-2835000,2933000,-3969000,593000,8725000,11344000,51848000,37737000,-43260000,6632000,12317000,62507000,-2818000,14644000,-55233000,-23704000,92951000,49223000,17997000,2134000,-38932000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24125000,-14528000,-21548000,-1978000,-1297000,-14407000,71261000,12080000,-20539000,-22487000,5560000,42909000,-43736000
79,Inventory,-469000,2900000,-100000,4688000,-413000,-700000,585000,1247000,2150000,-2574000,-11650000,-2574000,-11161000,32716000,2028000,-4258000,-3470000,3860000,-1913000,12724000,5453000,-7544000,-20838000,-14447000,22208000,-5290000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,25612000,36300000,37100000,29959000,22678000,19843000,22776000,18807000,19400000,28125000,39469000,91317000,129054000,85794000,92426000,104743000,167250000,164432000,179076000,123843000,100139000,193090000,242313000,260310000,262444000,223512000
82,Other Non-Cash Items,-593000,-14588000,300000,15803000,14993000,6432000,-2282000,7637000,685000,-16723000,-24932000,-71914000,-56301000,140894000,-15560000,-31147000,-82873000,-1589000,103710000,164566000,27128000,-122962000,-78732000,-40972000,122823000,24419000
83,Cash Provided by Operating Activities,453000,100000,5700000,10528000,-323000,7139000,2497000,6923000,5127000,-1235000,-15000,-1423000,18458000,51575000,23908000,25828000,51206000,82198000,98672000,97989000,48006000,12544000,35840000,41307000,107675000,37089000
84,CAPEX,-2271000,-800000,-16300000,-2226000,-1232000,-691000,-379000,-419000,-1866000,-6641000,-2363000,-572000,-5134000,-1593000,-1184000,-4096000,-14110000,-7745000,-11104000,-13992000,-4868000,-2811000,-9323000,-22120000,-6672000,-282000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12075000,-6069000,-73943000,-491000,-18394000,-18434000,-144879000,-61195000,-300844000,-15501000,31476000,- -,-10811000,- -,-115247000,-64693000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1572000,-105000,-68000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1688000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6000,-5200000,- -,850000,3232000,1172000,- -,2000,6000,937000,2181000,937000,158000,16000,1428000,- -,- -,- -,- -,- -,1206000,- -,2558000,35000,123000,-4048000
89,Cash Used for Investing Activites,-2277000,-6000000,-16300000,-1376000,2000000,481000,-379000,-417000,-1860000,-5704000,-12257000,-5704000,-78919000,-2068000,-18150000,-24102000,-159094000,-69008000,-310260000,-29493000,27814000,-2811000,-17576000,-22085000,-121796000,-69023000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186763000,-148798000,-223959000,-345231000,-501990000,-527030000,-453480000,-643568000,-702402000,-3381000,-4341000,-244375000,-3300000
91,Common Stock Issued,- -,- -,- -,99000,-181720000,- -,- -,- -,42000,- -,1008000,874000,105000,- -,- -,- -,- -,24358000,- -,- -,51889000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-600000,-200000,-1090000,-90000,- -,-36000,-4000,- -,- -,- -,- -,- -,- -,- -,-1445000,-3422000,-304000,-11855000,-8908000,- -,- -,- -,- -,- -,-33511000
93,Dividends Paid,-119000,-100000,-100000,-90000,- -,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000,-90000
94,Other Financing Activites,1327000,6400000,11800000,-6705000,179886000,-8014000,-3081000,-6947000,-1552000,5296000,13328000,4610000,62166000,133992000,141556000,224505000,465843000,459404000,745010000,395354000,515934000,716680000,550000,-1661000,321871000,-1592000
95,Cash Used/Provided by Financing Activities,1208000,5700000,11500000,-7786000,-1924000,-8104000,-3207000,-7041000,-1600000,5206000,14246000,5394000,62181000,-52861000,-7332000,-989000,117100000,-18622000,206035000,-67124000,-75835000,14188000,-2921000,-6092000,77406000,-38493000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264000,446000,131000,274000,-88000,68000,-403000,676000,-168000,- -
97,Net Change In Cash,-616000,5700000,11500000,1366000,-247000,-484000,-1089000,-535000,1667000,-1733000,1974000,-1733000,1720000,-3354000,-1574000,737000,8948000,-4986000,-5422000,1646000,-103000,23989000,14940000,13806000,63117000,-68364000
98,Cash at the End of Period,876000,- -,- -,2991000,2744000,2260000,1171000,636000,2303000,570000,2544000,570000,5698000,2344000,770000,1507000,10455000,5469000,47000,1693000,1590000,25579000,40519000,54325000,117444000,49080000
99,Cash at the Beginning of Period,1492000,900000,700000,1625000,2991000,2744000,2260000,1171000,636000,2303000,570000,2303000,3978000,5698000,2344000,770000,1507000,10455000,5469000,47000,1693000,1590000,25579000,40519000,54327000,117444000
100,Free Cash Flow,-1818000,-700000,-10600000,8302000,-1555000,6448000,2118000,6504000,3261000,-7876000,-2378000,-1995000,13324000,49982000,22724000,21732000,37096000,74453000,87568000,83997000,43138000,9733000,26517000,19187000,101003000,36807000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012999001288/0000950129-99-001288-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012900001506/0000950129-00-001506-index.html,- -,https://www.sec.gov/Archives/edgar/data/1020710/000095012902001586/0000950129-02-001586-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000095012903001506/0000950129-03-001506-index.html,https://www.sec.gov/Archives/edgar/data/1020710/000102071004000006/0001020710-04-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071005000018/0001020710-05-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071006000014/0001020710-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071007000013/0001020710-07-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071008000010/0001020710-08-000010-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1020710/000114036117014211/0001140361-17-014211-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1020710/000102071019000023/0001020710-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071020000015/0001020710-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071021000026/0001020710-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1020710/000102071022000033/0001020710-22-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
