,https://roic.ai/company/UUU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37228,32262,213086,56182,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32198,78451,4166,- -,-90434,-23316,-22826,29768,63252,213125,484953,409703,86841
14,Depreciation and Amortization,600000,200000,200000,200000,200000,100000,-100000,-100000,-100000,-200000,181781,165096,158051,141161,31736,45858,30483,38077,33218,34048,28338,150972,46503,49210,56361,61025,41522,40302,43943,46067,37534,29734,31286,20058,163940,166271
15,EBITDA,1200000,1400000,-300000,-400000,-500000,700000,500000,-900000,-800000,-1500000,-917036,-1318342,-287075,-665391,72792,-713082,292108,2438395,2628245,3170765,4532190,7005529,-5010176,5406147,2620141,736109,-851366,-448842,-2118782,-3706744,-2070490,-1965916,-2017899,-842975,-5240248,521455
16,EBITDA ratio,0.0670,0.0551,-0.0140,-0.0170,-0.0231,0.0338,0.0195,-0.0391,-0.0310,-0.0605,-0.0470,-0.0855,-0.0248,-0.0733,0.0095,-0.0922,0.0279,0.1528,0.1528,0.1351,0.1569,0.1956,-0.1479,0.2072,0.0991,0.0556,-0.0640,-0.0292,-0.1685,-0.3747,-0.1507,-0.1396,-0.1357,-0.0479,-0.3540,0.0298
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-778266,-1038460,-146158,-891006,-745803,-597121,-788012,648490,517629,851263,2433589,3060091,1381333,366936,-112773,-1229135,-1449572,-1211971,-2002778,-2624252,-1366178,-978140,-726235,186864,-1561913,133784
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0399,-0.0673,-0.0126,-0.0982,-0.0973,-0.0772,-0.0752,0.0406,0.0301,0.0363,0.0842,0.0854,0.0408,0.0141,-0.0043,-0.0928,-0.1090,-0.0788,-0.1592,-0.2653,-0.0994,-0.0695,-0.0488,0.0106,-0.1055,0.0076
19,Total Other Income Expenses (Gains),-100000,-100000,200000,100000,-100000,700000,600000,400000,1300000,900000,-307,111590,-292,-242,927193,40225,1237657,1904996,2077398,2285454,2070263,3794466,1955651,1534782,2598102,1900053,556684,813261,-136631,-1105733,-771614,-1080762,-1536075,-1534850,-4251978,134559
20,Income Before Tax,600000,1200000,- -,- -,- -,600000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2595027,3136717,4503852,6854557,3336984,1901718,2485329,670918,-892888,-398710,-2139409,-3729985,-2137792,-2058902,-2262310,-1347986,-5813891,268343
21,Income Before Tax Ratio,0.0335,0.0472,- -,- -,- -,0.0290,0.0195,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1509,0.1337,0.1559,0.1913,0.0985,0.0729,0.0940,0.0506,-0.0671,-0.0259,-0.1701,-0.3771,-0.1556,-0.1462,-0.1521,-0.0766,-0.3928,0.0153
22,Income Tax expense (Gain),300000,600000,- -,- -,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24001,-281137,-96500,1321299,512235,459382,217281,-146863,-389600,53851,2310835,-25000,- -,- -,- -,- -,- -,- -
23,Net Income,300000,600000,-500000,-600000,-700000,400000,500000,-800000,- -,-1300000,-1098817,-1483438,-445126,-806552,41056,-758940,261625,2400318,2571026,3417854,4600352,5533258,-5568914,4865357,2268048,817781,-503288,-452561,-4450244,-3704985,-2137792,-2058902,-2262310,-1347986,-5813891,268343
24,Net Income ratio,0.0168,0.0236,-0.0233,-0.0255,-0.0324,0.0193,0.0195,-0.0348,- -,-0.0524,-0.0563,-0.0962,-0.0385,-0.0889,0.0054,-0.0982,0.0250,0.1505,0.1495,0.1457,0.1592,0.1545,-0.1644,0.1864,0.0858,0.0617,-0.0378,-0.0294,-0.3538,-0.3746,-0.1556,-0.1462,-0.1521,-0.0766,-0.3928,0.0153
25,EPS,0.36,0.60,-0.52,-0.68,-0.80,0.48,0.56,-0.96,0.05,-1.60,-0.77,-1.04,-0.31,-0.52,0.03,-0.47,0.16,1.25,1.27,1.60,2.06,2.31,-2.24,1.97,0.95,0.34,-0.21,-0.20,-1.94,-1.60,-0.92,-0.89,-0.98,-0.58,-2.51,0.12
26,EPS Diluted,0.36,0.60,-0.52,-0.68,-0.80,0.48,0.56,-0.96,0.05,-1.60,-0.77,-1.04,-0.31,-0.52,0.02,-0.47,0.16,1.15,1.12,1.46,1.89,2.23,-2.24,1.96,0.95,0.34,-0.21,-0.20,-1.94,-1.60,-0.92,-0.89,-0.98,-0.58,-2.51,0.12
27,Weighted Average Shares Outstanding,833333,1000000,961538,882353,875000,833333,892857,833333,750000,812500,1442410,1442410,1442411,1535400,1606133,1621732,1668581,1911155,2022410,2136545,2228852,2398284,2484192,2466983,2387887,2387887,2374952,2311152,2290010,2312887,2312887,2312887,2312887,2312887,2312887,2312887
28,Weighted Average Shares Outstanding Diluted,833333,1000000,961538,882353,875000,833333,892857,833333,750000,812500,1442410,1442410,1442411,1535400,1668906,1621732,1681284,2082222,2300217,2352573,2432644,2484606,2502017,2471807,2398300,2395766,2374952,2311152,2290010,2312887,2312887,2312887,2312887,2312887,2312887,2312887
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210996000010/0000102109-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210998000002/0000102109-98-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210900000002/0000102109-00-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210902000004/0000102109-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/102109/000010210903000002/0000102109-03-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420405020164/0001144204-05-020164-index.htm,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420407036503/v080850_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420408039010/v119379_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420409033903/0001144204-09-033903-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420410034617/0001144204-10-034617-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420411037844/0001144204-11-037844-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420412036899/v314940_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420413036855/0001144204-13-036855-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420414046584/v381546_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420415051819/v412993_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420416125749/v442952_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420417036858/v470477_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420418038512/tv498410_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420419034727/tv524350_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465920093207/0001104659-20-093207-index.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465921090272/0001104659-21-090272-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106541,150452,133377,193107,92017,34642,19383,51112,188190,59287,3015491,240545,3863784,284030,2253631,6728593,3186274,2438892,2050993,49427,362728,262355,128161,374472,93794,160604
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4001890,- -,- -,- -,- -,631906,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106541,150452,133377,193107,92017,34642,19383,51112,188190,59287,3015491,240545,3863784,284030,6255521,6728593,3186274,2438892,2050993,681333,362728,262355,128161,374472,93794,160604
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2073770,1725524,1253538,549470,600725,907889,194603,847408,3225625,4430344,5387069,2577968,543761,5076217,4374224,2216635,2601582,2919431,2289122,1788323,1929604,2257152,2884798,3015412,2446533,2583463
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4252210,3028566,2311798,1799553,1938058,2143793,1557994,3224229,2867650,4834486,4062086,11318734,5357488,8997231,3439906,3534011,5398540,4341652,4194213,3852182,3883247,4700104,5491892,6852305,5123959,4181193
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484669,369439,142793,1387343,91754,57671,109238,136343,107052,145394,199016,7396263,8657336,458310,351192,519356,599876,598686,406012,438745,410166,491928,278100,145190,113145,336699
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6917190,5273981,3841506,3929473,2722554,3143995,1881218,4259092,6388517,9469511,12663662,21533510,18422369,14815788,14420843,12998595,11786272,10298661,8940340,6760583,6585745,7711539,8782951,10387379,7777431,7261959
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985790,1757488,1613222,225862,363920,329243,301082,279896,93431,81690,62212,3030060,130347,251366,199163,203440,176144,152201,146212,104618,71556,46293,35585,19998,346477,184678
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732562,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89434,84962,- -,76020,71547,67075,62604,58132,53660,49189,44717
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732562,- -,- -,- -,89434,84962,80491,76020,71547,67075,62604,58132,53660,49189,44717
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10550373,12153456,13149614,13083493,13530163,14144069,12943280,11779663,10562837,10023275,8441889,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56899,351780,476384,808566,1914136,2141702,1877156,2002561,2394801,2310835,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3773411,2525647,2250582,2246785,2390071,2434117,3000162,3843055,4847772,6146967,7156345,9090770,10002065,18449,20136,40134,40134,38134,38134,26000,6000,4000,4000,4000,4000,4000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5759201,4283135,3863804,2472647,2753991,2763360,3301244,4122951,4998102,6580437,7694941,14661958,12046548,12961890,14249911,15485183,15779534,16111824,14404435,13145445,11924294,10675734,10120992,8519547,399666,233395
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12676391,9557116,7705310,6402120,5476545,5907355,5182462,8382043,11386619,16049948,20358603,36195468,30468917,27777678,28670754,28483778,27565806,26410485,23344775,19906028,18510039,18387273,18903943,18906926,8177097,7495354
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1608557,1502193,583910,294618,399100,614280,787492,1173175,1517305,1725402,1604845,6777283,2465292,2761438,2162755,1247494,1122954,548388,606314,968831,1657446,1732369,4332880,5578467,772313,1264709
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3007173,1453296,1060516,2033457,833444,1807172,15730,23250,7224,- -,- -,2560985,- -,- -,- -,- -,- -,- -,- -,- -,313891,2264125,1611154,1851591,1720243,190026
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107352,64939,66672,86973,121497,137511,668051,684979,663818,1426878,1147189,2017257,8488530,955017,279035,210998,170811,179602,179247,180200,150807,158521,206573,603008,225377,242623
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4723082,3020428,1711098,2415048,1354041,2558963,1471273,1881404,2188347,3152280,2752034,11355525,10953822,3716455,2441790,1458492,1293765,727990,785561,1149031,2122144,4155015,6150607,8033066,2717933,1697358
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1277394,1344211,1246861,- -,60260,- -,- -,- -,- -,- -,- -,168062,- -,95324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45088,29916,7224,- -,- -,- -,- -,91160,- -,46459,25000,25000,25000,25000,- -,- -,- -,- -,- -,1010951,1081440
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1277394,1344211,1246861,- -,60260,45088,29916,7224,- -,- -,- -,168062,91160,95324,46459,25000,25000,25000,25000,- -,- -,- -,- -,- -,1010951,1081440
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7224,- -,- -,- -,- -,91160,- -,46459,25000,25000,- -,- -,- -,- -,- -,- -,- -,329698,171122
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000476,4364639,2957959,2415048,1414301,2604051,1501189,1888628,2188347,3152280,2752034,11523587,11044982,3811779,2488249,1483492,1318765,752990,810561,1149031,2122144,4155015,6150607,8033066,3728884,2778798
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32456,32456,8114,8871,9123,9123,10098,11220,15529,16530,16940,24756,24879,24083,23879,23879,23364,22879,23129,23129,23129,23129,23129,23129,23129,23129
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3786129,-5269567,-5714693,-6521245,-6480189,-7239129,-6977504,-4577186,-2006160,1411694,6012046,11545304,5890023,10755380,13023428,13841209,13337921,12885360,8435116,4588332,2450540,963430,-1298880,-2646866,-8460757,-8192414
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-328180,-374039,-404522,-360893,-394111,-428269,-456237,-112204,55655,-528135,-585196,-646222,-683530,1000000,1190128,1259695,1028385,359858,1143246,611756,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10429588,10429588,10453930,10499446,10861490,10907349,11053201,11420274,11583014,11897713,12033820,13214025,13453378,13714571,13720394,13781420,13569286,11749256,12885841,12885841,12885841,12885841,12885841,12885841,12885841,12885841
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6675915,5192477,4747351,3987072,4062244,3303304,3681273,6493415,9198272,12897668,17606569,24671881,19423935,23965899,26182505,27000286,26247041,25657495,22534214,18756997,16387895,14232258,12753336,10873860,4448213,4716556
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12676391,9557116,7705310,6402120,5476545,5907355,5182462,8382043,11386619,16049948,20358603,36195468,30468917,27777678,28670754,28483778,27565806,26410485,23344775,19906028,18510039,18387273,18903943,18906926,8177097,7495354
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12676391,9557116,7705310,6402120,5476545,5907355,5182462,8382043,11386619,16049948,20358603,36195468,30468917,27777678,28670754,28483778,27565806,26410485,23344775,19906028,18510039,18387273,18903943,18906926,8177097,7495354
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/102109/000010210996000010/0000102109-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210998000002/0000102109-98-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210900000002/0000102109-00-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210902000004/0000102109-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/102109/000010210903000002/0000102109-03-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420405020164/0001144204-05-020164-index.htm,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420407036503/v080850_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420408039010/v119379_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420409033903/0001144204-09-033903-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420410034617/0001144204-10-034617-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420411037844/0001144204-11-037844-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420412036899/v314940_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420413036855/0001144204-13-036855-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420414046584/v381546_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420415051819/v412993_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420416125749/v442952_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420417036858/v470477_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420418038512/tv498410_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420419034727/tv524350_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465920093207/0001104659-20-093207-index.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465921090272/0001104659-21-090272-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,500000,-800000,- -,-1300000,-1098817,-1483438,-445126,-806552,41056,-758940,261625,2400318,2571026,3417854,4600352,5533258,-5568914,4865357,2268048,817781,-503288,-452561,-4450244,-3704985,-2137792,-2058902,-2262310,-1347986,-5813891,268343
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-200000,181781,165096,158051,141161,31736,45858,30483,38077,33218,34048,28338,150972,46503,49210,56361,61025,41522,40302,43943,46067,37534,29734,31286,20058,163940,166271
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-294881,-124604,-318227,-1157711,-227566,264546,-125405,-392240,83966,2310835,-25000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11230,42762,- -,25939,88935,55585,- -,- -,- -,- -,- -,- -,-221400
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,2194108,59445,-123145,-615983,-145912,-783481,-175087,1967743,1822482,2117061,3594397,266357,-2709438,3630786,879720,-438950,-1047596,-921836,-1415892,-2543227,-1147951,-907077,-924180,-278031,2705185,505103
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1800000,1400000,-1100000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-384947,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,200000,-900000,-800000,1400000,- -,- -,- -,- -,-117840,-171652,472491,-1656235,354838,-1966836,772400,-5430731,3347828,-3639743,5557325,-94105,-1864529,1056888,147439,288131,-31065,-816857,-791788,-1360413,1728346,942766
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-200000,-100000,200000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2194108,2253553,2130408,1514425,1368513,585032,409945,2377688,4200170,6317231,9911628,10177985,7468547,11099333,11979053,11540103,10492507,9570671,8154779,5611552,4463601,3556524,2632344,2354313,5059498,5564601
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,200000,- -,-2300000,3100000,-1070324,2713528,897060,1597476,-832324,491814,-896761,-4468011,-4719442,-6372164,-6332186,-8802007,11739123,-10832976,1517289,-381619,-1947630,375464,2603832,4857485,2425252,783057,3690087,1611833,2954014,669855
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-1200000,-900000,-2400000,1600000,206748,1454631,486840,316102,-905444,-1004749,-779740,-61873,-292716,-1098082,1766297,-3169647,2349563,-2503959,5028726,-67168,-3823293,-785730,-851941,-1369660,-822957,-2153188,534883,5874,9248,1388172
84,CAPEX,- -,- -,- -,- -,- -,- -,-200000,-200000,-1500000,-100000,-93498,-7589,-13786,-28725,-88844,-11182,-2322,-16892,-20787,-22307,-8858,-1130474,-30778,-170229,-4233,-154736,-9752,-11889,-33483,- -,- -,- -,-16106,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1923623,- -,965958,1041281,694976,566622,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-426,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4001890,- -,- -,- -,- -,-631906,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631906,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,392177,- -,- -,2079785,- -,665631,- -,350000,727167,1100216,1914535,-513184,2590722,- -,3912456,- -,276157,416275,- -,190461,102581,- -,- -,- -,- -
