,https://roic.ai/company/FTAI-PB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590364/000159036419000002/0001590364-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036420000002/0001590364-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036421000002/0001590364-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036422000002/0001590364-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,2194000,24821000,7780000,-11826000,-20064000,134000,5882000,225108000,-87170000,-104234000
74,Depreciation and Amortization,1398000,3909000,18692000,52324000,65657000,96416000,163013000,176204000,202746000,229734000
75,Deferred Income Tax,- -,- -,626000,61000,-387000,227000,649000,- -,-5851000,-2057000
76,Stock Based Compensation,- -,- -,1265000,4662000,-3672000,1343000,901000,- -,2325000,4038000
77,Change in Working Capital,-638000,37812000,46251000,76794000,-117529000,-61432000,16161000,50066000,15724000,-93422000
78,Accounts Receivable,-23000,-2609000,-7212000,-5940000,-7980000,-12001000,-23340000,-22622000,-59734000,-88872000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-750000,892000,-45900000,3180000,7726000,10266000,30471000,31543000,-5258000,25079000
81,Other Working Capital,83004000,120816000,167067000,243861000,126332000,64900000,81061000,131127000,146851000,- -
82,Other Non-Cash Items,-4975000,-54629000,-106165000,-98487000,106898000,31809000,-52909000,-451378000,-64668000,-56103000
83,Cash Provided by Operating Activities,-2021000,11913000,-31551000,23528000,30903000,68497000,133697000,- -,63106000,-22044000
84,CAPEX,-95000000,-129853000,-469302000,-263564000,-276469000,-564248000,-749497000,-652286000,-594778000,-767631000
85,Acquisitions Net,-54779000,22000000,-47811000,3728000,-28784000,-30310000,-1115000,141491000,-4690000,-681745000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,22000000,- -,- -,- -,30238000,- -,- -,- -,- -
88,Other Investing Activites,225000,-1912000,-74738000,17469000,87628000,113941000,35683000,264013000,90345000,138401000
89,Cash Used for Investing Activites,-149554000,-87765000,-571416000,-239921000,-213098000,-440230000,-703533000,-495236000,-509123000,-1286958000
90,Debt Repayment,- -,-7377000,-31131000,-23761000,-160166000,-125223000,-218819000,383698000,-852197000,-1553231000
91,Common Stock Issued,- -,- -,- -,354057000,- -,- -,148318000,- -,- -,323124000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1979000,-39631000,-75999000,-81260000,-100027000,-100058000,-110584000,- -,-131441000,-142767000
94,Other Financing Activites,156578000,125972000,724986000,326935000,128740000,588359000,778952000,82175000,1348556000,2960519000
95,Cash Used/Provided by Financing Activities,154599000,78964000,617856000,575971000,-131453000,363078000,597867000,465873000,364918000,1587645000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3024000,3112000,14889000,359578000,-313648000,-8655000,28031000,121680000,-81099000,278643000
98,Cash at the End of Period,4124000,7236000,22125000,381703000,68055000,59400000,120837000,- -,161418000,440061000
99,Cash at the Beginning of Period,1100000,4124000,7236000,22125000,381703000,68055000,92806000,- -,242517000,161418000
100,Free Cash Flow,-97021000,-117940000,-500853000,-240036000,-245566000,-495751000,-615800000,- -,-531672000,-789675000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590364/000159036419000002/0001590364-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036420000002/0001590364-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036421000002/0001590364-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036422000002/0001590364-22-000002-index.htm
102,false,,,,,,,,,,
