,https://roic.ai/company/KALU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,157500000,263200000,67600000,-48100000,-836200000,-59000000,197200000,94900000,147900000,87200000,7000000,109700000,186100000,-358400000,-696000000,-712500000,-726600000,55600000,196400000,-75400000,135000000,60000000,84500000,195200000,207000000,175700000,-315300000,203500000,194900000,186600000,154100000,131900000,117000000
16,EBITDA ratio,0.0718,0.1256,0.0338,-0.0252,-0.4864,-0.0331,0.0881,0.0433,0.0623,0.0386,0.0034,0.0506,0.1074,-0.2439,-0.5099,-0.7560,-0.6668,0.0833,0.1305,-0.0500,0.1368,0.0556,0.0649,0.1435,0.1595,0.1296,-0.2265,0.1529,0.1395,0.1177,0.1018,0.1125,0.0446
17,Operating Income,465100000,376100000,216000000,89900000,-123400000,-56200000,210600000,97800000,168000000,90600000,-28900000,139300000,64900000,-406000000,-739000000,-817600000,59800000,48300000,182000000,-91000000,118700000,44400000,55000000,165900000,173300000,137900000,-345900000,177800000,150700000,143600000,125700000,81100000,64400000
18,Operating Income ratio,0.2121,0.1795,0.1080,0.0471,-0.0718,-0.0315,0.0941,0.0446,0.0708,0.0402,-0.0141,0.0642,0.0375,-0.2763,-0.5414,-0.8676,0.0549,0.0724,0.1210,-0.0603,0.1203,0.0411,0.0423,0.1220,0.1336,0.1017,-0.2485,0.1336,0.1078,0.0905,0.0830,0.0692,0.0246
19,Total Other Income Expenses (Gains),-153600000,-79000000,-75200000,-57700000,-86600000,-95900000,-108000000,-96100000,-107700000,-106500000,-61000000,-113900000,21800000,-53600000,-44000000,-44300000,-1169700000,1600000,400000,-300000,-100000,-16000000,-13700000,-26300000,-30100000,-30800000,-25900000,-30600000,-17700000,-23600000,-45300000,-42300000,-88400000
20,Income Before Tax,311500000,297100000,140800000,32200000,-210000000,-152100000,102600000,1700000,60300000,-15900000,-89900000,25400000,86700000,-459600000,-783000000,-861900000,-1109900000,49900000,182400000,-91300000,118600000,28400000,41300000,139600000,143200000,107100000,-371800000,147200000,133000000,120000000,80400000,38800000,-24000000
21,Income Before Tax Ratio,0.1421,0.1418,0.0704,0.0169,-0.1222,-0.0854,0.0458,0.0008,0.0254,-0.0070,-0.0440,0.0117,0.0500,-0.3127,-0.5736,-0.9146,-1.0185,0.0748,0.1212,-0.0605,0.1202,0.0263,0.0317,0.1026,0.1104,0.0790,-0.2671,0.1106,0.0952,0.0757,0.0531,0.0331,-0.0092
22,Income Tax expense (Gain),100100000,75600000,32400000,5300000,-86900000,-53800000,37200000,-9300000,8800000,-16400000,-32700000,11600000,550200000,14900000,14000000,6200000,2800000,23700000,81400000,-22800000,48100000,14300000,16200000,53800000,38400000,35300000,-135200000,55500000,87600000,28300000,18400000,10000000,-5500000
23,Net Income,202100000,213700000,108400000,26900000,-652200000,-106800000,60300000,8200000,48000000,600000,-54100000,16800000,-459400000,-468700000,-788000000,-746800000,-753700000,26200000,101000000,-68500000,70500000,14100000,25100000,85800000,104800000,71800000,-236600000,91700000,45400000,91700000,62000000,28800000,-18500000
24,Net Income ratio,0.0922,0.1020,0.0542,0.0141,-0.3794,-0.0599,0.0269,0.0037,0.0202,0.0003,-0.0265,0.0077,-0.2651,-0.3189,-0.5773,-0.7924,-0.6917,0.0393,0.0671,-0.0454,0.0714,0.0131,0.0193,0.0631,0.0808,0.0529,-0.1700,0.0689,0.0325,0.0578,0.0409,0.0246,-0.0071
25,EPS,4.04,4.27,2.03,0.47,-11.47,-2.18,0.69,0.11,0.57,0.01,-0.68,0.21,-5.73,-5.82,-9.83,-9.36,-9.46,40.73,5.05,-3.43,3.51,0.72,1.40,4.49,5.56,4.02,-13.76,5.15,2.67,5.53,3.88,1.82,-1.17
26,EPS Diluted,4.04,4.27,2.03,0.47,-11.47,-2.18,0.69,0.11,0.57,0.01,-0.68,0.21,-5.73,-5.82,-9.83,-9.36,-9.46,0.26,4.97,-3.43,3.51,0.72,1.40,4.45,5.44,3.86,-13.76,5.09,2.63,5.43,3.83,1.81,-1.17
27,Weighted Average Shares Outstanding,50000000,50000000,53399015,57234043,56861378,58139000,62264000,71644000,74221000,79115000,79336000,79520000,80235000,80578000,80175000,79815000,79675000,99675000,20014000,19980000,19639000,19377000,18979000,19115000,18827000,17818000,17201000,17813000,16996000,16585000,15997000,15802000,15802000
28,Weighted Average Shares Outstanding Diluted,50000000,50000000,53399015,57234043,56861378,58139000,71809000,71644000,74382000,79156000,79336000,79523000,80235000,80578000,80311000,79815000,79675000,99761000,20308000,19980000,19639000,19377000,18979000,19278000,19246000,18593000,17201000,18033000,17259000,16874000,16203000,15913000,15802000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811596/000095012905003087/0000950129-05-003087-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012906003420/0000950129-06-003420-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012907001735/0000950129-07-001735-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095013408003364/0000950134-08-003364-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000089256909000095/0000892569-09-000095-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012310015877/0000950123-10-015877-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012311015947/0000950123-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159612000020/0000811596-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159613000019/0000811596-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159614000008/0000811596-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159615000011/0000811596-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159616000073/0000811596-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159617000008/0000811596-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159618000011/0000811596-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159619000009/0000811596-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159620000010/0000811596-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459021009132/0001564590-21-009132-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459022008034/0001564590-22-008034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23900000,15800000,19100000,14700000,17600000,21900000,81300000,15800000,98300000,21200000,23400000,153300000,78700000,36000000,55400000,49500000,50000000,68700000,200000,30300000,135600000,49800000,273400000,169500000,177700000,72500000,55200000,51100000,125600000,264300000,780300000,303200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,129500000,114000000,30000000,231000000,183700000,36700000,78700000,- -,- -
33,Cash and Short-Term Investments,- -,23900000,15800000,19100000,14700000,17600000,21900000,81300000,15800000,98300000,21200000,23400000,153300000,78700000,36000000,55400000,49500000,50000000,68700000,200000,30300000,135600000,49800000,358400000,299000000,291700000,102500000,286200000,234800000,162300000,343000000,780300000,303200000
34,Net Receivables,- -,227500000,218800000,270000000,234700000,199200000,308600000,252400000,340200000,282700000,261000000,429800000,206400000,149500000,152000000,111000000,101500000,106000000,112300000,127800000,86100000,88200000,100100000,127200000,133200000,140200000,122800000,149600000,180500000,260300000,239800000,160500000,448900000
35,Inventory,- -,523900000,498600000,439900000,426900000,468000000,525700000,562200000,568300000,543500000,546100000,396200000,313300000,254900000,206000000,105300000,115300000,188100000,207600000,171500000,125200000,167500000,205700000,186000000,214400000,214700000,219600000,201600000,207900000,215100000,177600000,152000000,404600000
36,Other Current Assets,- -,36100000,84000000,37000000,60700000,158000000,76600000,127800000,121300000,105500000,145600000,162700000,86200000,33500000,32000000,50200000,21000000,40800000,66000000,129200000,59100000,80100000,78900000,70100000,44200000,178600000,56700000,18500000,33400000,18900000,19400000,28600000,48700000
37,Total Current Assets,- -,811400000,817200000,766000000,737000000,842800000,932800000,1023700000,1045600000,1030000000,973900000,1012100000,759200000,516600000,426000000,321900000,287300000,384900000,454600000,428700000,300700000,471400000,434500000,741700000,690800000,825200000,501600000,655900000,656600000,656600000,779800000,1121400000,1205400000
38,PP&E,- -,970300000,1014500000,1066800000,1163700000,1133200000,1109600000,1168700000,1171800000,1108700000,1053700000,1176100000,1215400000,1009900000,613000000,214600000,223400000,170300000,222700000,296700000,338900000,354100000,367800000,384300000,429300000,454900000,495100000,530600000,569500000,610200000,646200000,652000000,1001400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,- -,- -,- -,- -,3100000,37200000,37200000,37200000,37200000,37200000,37200000,18800000,44000000,18800000,18800000,39300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,76900000,35400000,33700000,32100000,30500000,29000000,25000000,32400000,29600000,26700000,67700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,- -,- -,- -,- -,7100000,114100000,72600000,70900000,69300000,67700000,66200000,43800000,76400000,48400000,45500000,107000000
42,Investments,- -,184500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,271200000,269100000,264500000,330600000,377900000,440000000,454200000,- -,- -,- -,- -,- -,- -,268600000,313300000,277200000,231100000,226900000,102000000,69100000,30900000,162600000,159700000,72000000,35900000,11800000,- -,3400000
44,Other Non-Current Assets,- -,152300000,302400000,266000000,627200000,450900000,501700000,477100000,465900000,474300000,731200000,700700000,769100000,629200000,584000000,1345900000,1016800000,100200000,219300000,106700000,168700000,278700000,177300000,446300000,510800000,363300000,23100000,33700000,43300000,40200000,40000000,45800000,105200000
45,Total Non-Current Assets,- -,1307100000,1316900000,1332800000,1790900000,1855300000,1880400000,1910300000,1968300000,1960900000,2224900000,2331000000,1984500000,1708800000,1197000000,1560500000,1251600000,270500000,710600000,716700000,784800000,871000000,886100000,1010800000,1080100000,918400000,748500000,790200000,728600000,762700000,746400000,743300000,1217000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2118500000,2134100000,2098800000,2527900000,2698100000,2813200000,2934000000,3013900000,2990900000,3198800000,3343100000,2743700000,2225400000,1623000000,1882400000,1538900000,655400000,1165200000,1145400000,1085500000,1342400000,1320600000,1752500000,1770900000,1743600000,1250100000,1446100000,1385200000,1419300000,1526200000,1864700000,2422400000
48,Accounts Payable,- -,226300000,141800000,136600000,126300000,152100000,184500000,189700000,176200000,173300000,231700000,236800000,167400000,130600000,136000000,51800000,51400000,73200000,70100000,52400000,49000000,50800000,62200000,62500000,62900000,81400000,76700000,75800000,90000000,121400000,92000000,86100000,351400000
49,Short-Term Debt,- -,- -,32600000,30700000,9200000,11500000,8900000,8900000,8800000,400000,300000,31600000,173500000,900000,1000000,1200000,1100000,- -,- -,- -,- -,1300000,1300000,- -,200000,172600000,100000,200000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,3100000,4300000,5200000,3100000,4300000,6800000,6500000,6200000,5200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,6700000,- -,200000,1200000,200000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,320700000,400600000,278400000,322900000,419500000,407700000,410800000,409100000,384700000,405900000,573000000,462500000,202100000,184000000,195900000,115100000,103200000,95300000,182600000,74200000,90200000,72800000,92400000,87500000,172200000,91300000,88800000,83100000,84100000,78400000,72200000,105300000
53,Total Current Liabilities,- -,547000000,575000000,445700000,458400000,583100000,601100000,609400000,594100000,558400000,637900000,841400000,803400000,333600000,321000000,248900000,167600000,176400000,165400000,235000000,123200000,142300000,149800000,161600000,150600000,426400000,169300000,165000000,173100000,205500000,170400000,158300000,456700000
54,Long-Term Debt,- -,781500000,681500000,765100000,720200000,751100000,749200000,953000000,962900000,962600000,972500000,957800000,700800000,42700000,24000000,2800000,1200000,50000000,- -,43000000,7100000,153200000,151400000,380300000,388500000,225000000,197800000,368700000,369600000,370400000,492600000,863700000,1077100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,300000,100000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,900000,2100000,3300000,4300000,4200000,4500000,13900000,10500000
57,Other Non-Current Liabilities,- -,434000000,321800000,396600000,1319900000,1230400000,1282500000,1180600000,1212200000,1227200000,1405400000,1360600000,1562100000,2812900000,2895000000,4014200000,4510600000,58300000,57000000,79300000,54000000,134700000,146600000,139800000,146400000,74900000,106200000,104300000,91900000,98800000,124800000,96400000,185600000
58,Total Non-Current Liabilities,- -,1215500000,1003300000,1161700000,2040100000,1981500000,2031700000,2133600000,2175100000,2189800000,2377900000,2318400000,2262900000,2855600000,2919000000,4017000000,4511800000,108300000,57000000,122300000,61100000,287900000,298000000,520100000,536100000,301300000,306400000,476400000,465800000,473400000,621900000,974000000,1273200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,200000,200000,400000,- -,- -,25200000,25600000,40800000
61,Total Liabilities,- -,1762500000,1469400000,1428700000,2393500000,2564600000,2632800000,2743000000,2769200000,2748200000,3015800000,3159800000,3066300000,3189200000,3240000000,4265900000,4679400000,284700000,222400000,357300000,184300000,430200000,447800000,681700000,686700000,727700000,475700000,641400000,638900000,678900000,792300000,1132300000,1729900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,- -,- -,- -,600000,700000,700000,800000,800000,800000,800000,800000,800000,1000000,800000,800000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
64,Retained Earnings,- -,214600000,267300000,276100000,-375700000,-502600000,-459900000,-460100000,-417600000,-417000000,-471100000,-454300000,-913700000,-1382400000,-2279000000,-2917500000,-3671200000,26200000,116100000,34100000,85000000,80100000,84400000,151200000,233800000,280400000,15900000,75200000,85500000,150200000,172800000,158200000,93000000
65,Other Comprehensive Income/Loss,- -,-148300000,-223000000,-302100000,-454100000,- -,- -,- -,- -,- -,- -,- -,- -,-243900000,-1061000000,-5500000,-8800000,-143200000,-122400000,-60300000,-7300000,1700000,-85000000,-26000000,-20700000,-96100000,-31700000,-36700000,-36700000,-48800000,-38600000,-18700000,-3700000
66,Other Total Stockholders Equity,- -,289200000,620400000,696100000,964200000,635500000,639600000,650400000,661500000,658900000,653300000,636800000,590300000,539900000,1600000000,538000000,538000000,487500000,948900000,814100000,823300000,830200000,873200000,945400000,870900000,831400000,790000000,766000000,697300000,638800000,599500000,592700000,603000000
67,Total Stockholders Equity,- -,356000000,664700000,670100000,134400000,133500000,180400000,191000000,244700000,242700000,183000000,183300000,-322600000,-1085600000,-1739000000,-2384200000,-3141200000,370700000,942800000,788100000,901200000,912200000,872800000,1070800000,1084200000,1015900000,774400000,804700000,746300000,740400000,733900000,732400000,692500000
68,Total Liabilities And Stockholders Equity,- -,2118500000,2134100000,2098800000,2527900000,2698100000,2813200000,2934000000,3013900000,2990900000,3198800000,3343100000,2743700000,2103600000,1501000000,1881700000,1538200000,655400000,1165200000,1145400000,1085500000,1342400000,1320600000,1752500000,1770900000,1743600000,1250100000,1446100000,1385200000,1419300000,1526200000,1864700000,2422400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121800000,122000000,700000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2118500000,2134100000,2098800000,2527900000,2698100000,2813200000,2934000000,3013900000,2990900000,3198800000,3343100000,2743700000,2225400000,1623000000,1882400000,1538900000,655400000,1165200000,1145400000,1085500000,1342400000,1320600000,1752500000,1770900000,1743600000,1250100000,1446100000,1385200000,1419300000,1526200000,1864700000,2422400000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811596/000095012905003087/0000950129-05-003087-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012906003420/0000950129-06-003420-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012907001735/0000950129-07-001735-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095013408003364/0000950134-08-003364-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000089256909000095/0000892569-09-000095-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012310015877/0000950123-10-015877-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012311015947/0000950123-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159612000020/0000811596-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159613000019/0000811596-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159614000008/0000811596-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159615000011/0000811596-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159616000073/0000811596-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159617000008/0000811596-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159618000011/0000811596-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159619000009/0000811596-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159620000010/0000811596-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459021009132/0001564590-21-009132-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459022008034/0001564590-22-008034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,202100000,213700000,108400000,26900000,-652200000,-106800000,60300000,8200000,48000000,600000,-54100000,16800000,-459400000,-468700000,-788000000,-746800000,-753700000,26200000,101000000,-68500000,70500000,14100000,25100000,85800000,104800000,71800000,-236600000,91700000,45400000,91700000,62000000,28800000,-18500000
74,Depreciation and Amortization,62300000,70500000,-73200000,-80300000,-97100000,101600000,99700000,96000000,91100000,103000000,93800000,81300000,95300000,95400000,78000000,28100000,24300000,5700000,14000000,14900000,16400000,19800000,25200000,26500000,28100000,31100000,32400000,36000000,39700000,43900000,49100000,52200000,91500000
75,Deferred Income Tax,- -,- -,- -,- -,-96400000,- -,-7400000,-36500000,- -,-26200000,-55200000,-10200000,- -,- -,- -,- -,- -,- -,- -,-31000000,47300000,14500000,17600000,52000000,55400000,34300000,-131700000,57400000,89000000,36700000,21100000,15200000,-11400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,9100000,4700000,5400000,5800000,6800000,7000000,9500000,11800000,- -,10300000,9800000,10000000,12900000
77,Change in Working Capital,-145000000,264400000,-47000000,-72000000,69700000,8300000,-42100000,-81900000,-126700000,44000000,-28200000,17000000,228300000,36700000,137000000,-62900000,-46700000,-20800000,-16000000,-48500000,35300000,-20800000,-31400000,400000,-33600000,-800000,36900000,-19400000,-32800000,-44500000,30100000,98200000,-40300000
78,Accounts Receivable,- -,- -,-2500000,-57800000,-6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-8300000,-27100000,- -,- -,- -,- -,- -,-22300000,20200000,60800000,-90300000
79,Inventory,- -,- -,-13000000,- -,13000000,-41100000,-57700000,-36500000,-9300000,24800000,-2600000,125800000,66700000,- -,42000000,-24500000,-9400000,-16100000,-5500000,-22700000,29100000,-56300000,-24500000,24600000,-4300000,-300000,-7500000,13100000,-6300000,-45000000,37500000,25600000,-43500000
80,Accounts Payable,- -,- -,-29600000,-93900000,47400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18900000,-2500000,4200000,10900000,-1300000,-1600000,20300000,-13600000,3400000,13000000,29200000,-24500000,-5900000,112500000
81,Other Working Capital,- -,264400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,-9800000,-25000000,-4600000,-18000000,- -,7300000,24700000,-2400000,-1100000,600000,-7200000,27300000,-27300000,-2200000,-4100000,5800000,6300000,-8300000
82,Other Non-Cash Items,187400000,-356000000,146800000,151700000,800200000,-44400000,8200000,36100000,32600000,49300000,-46900000,-20300000,385600000,287000000,485000000,743600000,793000000,7700000,30600000,169900000,-50900000,34000000,20900000,-18100000,-49800000,-19300000,448300000,-13200000,200000,12100000,60200000,2500000,45200000
83,Cash Provided by Operating Activities,306800000,192600000,135000000,26300000,24200000,-41300000,118700000,21900000,45000000,170700000,-90600000,84600000,249800000,-49600000,-88000000,-38000000,16900000,18800000,129600000,46900000,127700000,66300000,62800000,152400000,111700000,124100000,158800000,164300000,141500000,150200000,232300000,206900000,79400000
84,CAPEX,-116600000,-115100000,-118100000,-114400000,-67700000,-70000000,-79400000,-160300000,-128500000,-77600000,-68400000,-261900000,-148700000,-47600000,-37000000,-7600000,-31000000,-30000000,-61800000,-93200000,-59200000,-38900000,-32500000,-44100000,-70400000,-59400000,-63100000,-76100000,-75500000,-74100000,-60200000,-51900000,-58000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,-83200000,- -,- -,- -,- -,- -,- -,-43200000,- -,- -,-609200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,-300000,-85000000,-227800000,-93500000,-500000,-255300000,-247500000,-136100000,-132900000,-39600000,-400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183100000,108200000,84000000,55000000,296900000,283900000,91100000,118100000,- -
