,https://roic.ai/company/CDLX,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666071/000119312518087990/0001193125-18-087990-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607119000017/0001666071-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607120000054/0001666071-20-000054-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607121000029/0001666071-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607122000022/0001666071-22-000022-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,27323000,22838000,21262000,39623000,104458000,293239000,233467000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,27323000,22838000,21262000,39623000,104458000,293239000,233467000
34,Net Receivables,39126000,43816000,51246000,60542000,85360000,86555000,117182000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1631000,1670000,2121000,24203000,5912000,5797000,8076000
37,Total Current Assets,68080000,68324000,74629000,124368000,195730000,385591000,358725000
38,PP&E,9551000,8345000,7319000,10230000,14290000,24629000,21469000
39,Goodwill,- -,- -,- -,- -,- -,- -,742516000
40,Intangible Assets,1095000,476000,961000,1995000,4204000,6746000,125550000
41,Intangible Assets,1095000,476000,961000,1995000,4204000,6746000,868066000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3564000,9714000,17849000,17170000,10089000,5571000,15537000
45,Total Non-Current Assets,14210000,18535000,26129000,29395000,28583000,36946000,905072000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82290000,86859000,100758000,153763000,224313000,422537000,1263797000
48,Accounts Payable,4377000,2369000,1554000,2099000,1229000,1363000,4619000
49,Short-Term Debt,22382000,99000,44000,21000,24000,4731000,18084000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,566000,638000,132000,346000,1127000,349000,3280000
52,Other Current Liabilities,39938000,36498000,40409000,49456000,76021000,74831000,301367000
53,Total Current Liabilities,67263000,39604000,42139000,51922000,78401000,81274000,327350000
54,Long-Term Debt,9816000,111699000,56911000,46693000,13000,183392000,198000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,173000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,167372000,152391000,210394000,3173000,2632000,679000,47574000
58,Total Non-Current Liabilities,177188000,264090000,267305000,49866000,2645000,184071000,245747000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,414000,200000,101000,- -,37000,14112000,- -
61,Total Liabilities,244451000,303694000,309444000,101788000,81046000,265345000,573097000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,7000,8000,8000,9000
64,Retained Earnings,-173108000,-248804000,-268445000,-321487000,-338631000,-394053000,-522618000
65,Other Comprehensive Income/Loss,583000,2102000,1066000,1992000,1312000,-192000,486000
66,Other Total Stockholders Equity,16079000,38704000,69490000,371463000,480578000,551429000,1212823000
67,Total Stockholders Equity,-162161000,-216835000,-208686000,51975000,143267000,157192000,690700000
68,Total Liabilities And Stockholders Equity,82290000,86859000,100758000,153763000,224313000,422537000,1263797000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,82290000,86859000,100758000,153763000,224313000,422537000,1263797000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666071/000119312518087990/0001193125-18-087990-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607119000017/0001666071-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607120000054/0001666071-20-000054-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607121000029/0001666071-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607122000022/0001666071-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-40625000,-75696000,-19641000,-53042000,-17144000,-55422000,-128565000
74,Depreciation and Amortization,2194000,4219000,3028000,3282000,4535000,11592000,35654000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2453000,3447000,5147000,26790000,15851000,32396000,50264000
77,Change in Working Capital,6132000,27903000,3770000,39956000,44883000,186988000,-272942000
78,Accounts Receivable,-5476000,-5789000,-7503000,-9426000,-26018000,-2396000,-27936000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1972000,-1234000,-1907000,911000,-601000,16000,1260000
81,Other Working Capital,817000,28720000,32490000,72446000,117329000,304317000,31375000
82,Other Non-Cash Items,688000,7629000,-14406000,-35981000,-36668000,-183152000,277066000
83,Cash Provided by Operating Activities,-29158000,-32498000,-22102000,-18995000,11457000,-7598000,-38523000
84,CAPEX,-6301000,-2545000,-1647000,-7342000,-11020000,-10117000,-12431000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-494131000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-597000,-718000,-432000,-1422000,-2743000,-4709000,-9456000
89,Cash Used for Investing Activites,-6301000,-2545000,-1647000,-7342000,-11020000,-10117000,-506695000
90,Debt Repayment,-35900000,-32658000,-99000,-52581000,-46698000,-23000,- -
91,Common Stock Issued,464000,279000,230000,72334000,91216000,10185000,486388000
92,Common Stock Repurchased,-193000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,47556000,63188000,21630000,45438000,-339000,196268000,-390000
95,Cash Used/Provided by Financing Activities,11927000,30809000,21761000,65191000,44179000,206430000,485998000
96,Effect of Forex Changes on Cash,-57000,-407000,282000,-246000,101000,47000,-567000
97,Net Change In Cash,-23589000,-4641000,-1706000,38608000,44717000,188762000,-59787000
98,Cash at the End of Period,27609000,22968000,21262000,59870000,104587000,293349000,233562000
99,Cash at the Beginning of Period,51198000,27609000,22968000,21262000,59870000,104587000,293349000
100,Free Cash Flow,-35459000,-35043000,-23749000,-26337000,437000,-17715000,-50954000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666071/000119312518087990/0001193125-18-087990-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607119000017/0001666071-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607120000054/0001666071-20-000054-index.html,https://www.sec.gov/Archives/edgar/data/1666071/000166607121000029/0001666071-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1666071/000166607122000022/0001666071-22-000022-index.htm
102,false,,,,,,,
