,https://roic.ai/company/VYST,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308027/000114420412018536/0001144204-12-018536-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000114420413035749/0001144204-13-035749-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000151116414000329/0001511164-14-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713115001305/0001387131-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713116004992/0001387131-16-004992-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713117002072/0001387131-17-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713118001267/0001387131-18-001267-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000138713119002804/0001387131-19-002804-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315220012693/0001493152-20-012693-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315221008955/0001493152-21-008955-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,956655,780147,282625,16659,91919,56373,73770,29059,36282,13502,50053,72355,620539
32,Short-Term Investments,750000,- -,- -,73240,97755,- -,- -,- -,- -,- -,- -,149517,127910
33,Cash and Short-Term Investments,1706655,780147,282625,89899,189674,56373,73770,29059,36282,13502,50053,221872,748449
34,Net Receivables,60000,163627,31707,13247,246694,64351,64190,17606,17370,3963,19732,38526,236106
35,Inventory,- -,140827,189268,41239,3449,3449,3449,- -,- -,- -,570587,4114977,6546481
36,Other Current Assets,46155,128918,152294,5859,5357,93854,150761,216210,41300,166091,6683,781353,672504
37,Total Current Assets,1812810,1213519,655894,150244,445174,218027,292170,262875,94952,183556,647055,5156728,8203540
38,PP&E,15307,8104,2622,1113,220554,157977,4868,2979,- -,- -,291346,1879739,11562142
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147092,460301,460301
40,Intangible Assets,- -,- -,125260,162688,306176,186783,171103,155423,139562,123882,1383919,2489612,1835987
41,Intangible Assets,83570,115975,125260,162688,306176,186783,171103,155423,139562,123882,1531011,2949913,2296288
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,23631,5887,4421,534718,223266,- -,- -,- -,- -,- -,- -,-693217,598627
45,Total Non-Current Assets,122508,129966,132303,698519,749996,344760,175971,158402,139562,123882,1822357,4136435,14457057
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1935318,1343485,788197,848763,1195170,562787,468141,421277,234514,307438,2469412,9293163,22660597
48,Accounts Payable,140491,128888,210106,428521,472296,728557,667941,592739,488784,468906,538461,2846306,4830143
49,Short-Term Debt,- -,- -,- -,- -,192285,1606823,1499875,1499875,2095712,2174865,504149,4064239,3851459
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1677171,1904256
52,Other Current Liabilities,99615,127922,456051,151225,2233267,181681,192830,249623,233997,314350,1295965,3331683,7779052
53,Total Current Liabilities,240106,256810,666157,579746,2897848,2517061,2360646,2342237,2818493,2958121,2338575,11919399,18364910
54,Long-Term Debt,- -,- -,- -,489040,42287,73955,- -,700068,239231,206683,500000,500000,10531129
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523515
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12574,47399,- -,- -,- -,- -,- -,- -,- -,- -,1499875,11214941,- -
58,Total Non-Current Liabilities,12574,47399,- -,489040,42287,73955,- -,700068,239231,206683,1999875,11714941,11054644
59,Other Liabilities,- -,- -,- -,1916830,- -,1010478,662568,- -,- -,- -,- -,24755154,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9406918,8360695
61,Total Liabilities,252680,304209,666157,2007536,2940135,3453584,3023214,3042305,3057724,3164804,4338450,24959612,29419554
62,Preferred Stock,- -,- -,- -,- -,- -,3,3,1,1,1,1,1,1
63,Common Stock,1195,1304,1542,1641,2302,3916,6856,9644,11495,13280,45774,110573,119990
64,Retained Earnings,-8766475,-10872122,-14060217,-17661243,-20405547,-22919355,-24354473,-25593351,-26814649,-27999123,-33400345,-41104967,-48713184
65,Other Comprehensive Income/Loss,-23471,-30674,-36156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,10471389,11940768,14216871,16500829,18658280,20024639,21792541,22962678,23979943,25128476,31485532,38436577,41233441
67,Total Stockholders Equity,1682638,1039276,122040,-1158773,-1744965,-2890797,-2555073,-2621028,-2823210,-2857366,-1869038,-2557816,-7359752
68,Total Liabilities And Stockholders Equity,1935318,1343485,788197,848763,1195170,562787,468141,421277,234514,307438,2469412,22401796,22059802
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13108633,600795
70,Total Liabilities & Equity,1935318,1343485,788197,848763,1195170,562787,468141,421277,234514,307438,2469412,9293163,22660597
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308027/000114420412018536/0001144204-12-018536-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000114420413035749/0001144204-13-035749-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000151116414000329/0001511164-14-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713115001305/0001387131-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713116004992/0001387131-16-004992-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713117002072/0001387131-17-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713118001267/0001387131-18-001267-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000138713119002804/0001387131-19-002804-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315220012693/0001493152-20-012693-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315221008955/0001493152-21-008955-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-4640073,-2105647,-3188095,-3188095,-3601026,-2513808,-1435118,-1238878,-1221298,-1184474,-5401222,-7704622,-7608217
74,Depreciation and Amortization,1538231,110654,13802,949203,40423,65700,18546,17288,16139,15680,145046,444890,795241
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1660776,299084,1142234,1165539,519010,701204,834758,561086,242159,710348,1285938,2968898,1031850
77,Change in Working Capital,-3661,-615995,-966972,-419239,-2023172,153640,230558,-10886,-644179,-51024,1083045,-5071151,-3398699
78,Accounts Receivable,- -,-25678,-6029,-15285,21038,521,-43118,57241,40409,13407,-15769,-5131,-212710
79,Inventory,- -,-140827,-48441,148029,37790,- -,- -,3449,- -,- -,-330730,424988,-1934544
80,Accounts Payable,87124,-11603,81218,218415,23342,229072,-36795,-75202,-91020,-19878,539933,300000,28522
81,Other Working Capital,1572704,956709,-10263,-429502,-2452674,-2299034,-2068476,-2079362,-2723541,-2774565,-1691520,-6762671,-10161370
82,Other Non-Cash Items,54946,280798,1252540,159581,3484926,573292,-283029,14561,699738,10507,1379157,7847988,6916885
83,Cash Provided by Operating Activities,-1389781,-2031106,-1746491,-1333011,-1579839,-1019972,-634285,-656829,-907441,-498963,-1508036,-1513997,-2262940
84,CAPEX,-8320,- -,-17605,-48666,-75722,-8035,-282,- -,- -,- -,-3598,-9519,-133878
85,Acquisitions Net,42460,60000,137949,- -,-32702,-69524,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-15901,-18132,-17605,-48666,-45508,35044,- -,281,2701,- -,-3598,-9519,-3683
89,Cash Used for Investing Activites,-731761,791868,120344,-48666,-108424,-34480,-282,281,2701,- -,-3598,-9519,-133878
90,Debt Repayment,- -,- -,- -,- -,-43609,-34437,- -,- -,- -,- -,-83000,-207851,-967938
91,Common Stock Issued,2505020,1062730,1128625,41250,1196799,309944,699443,611837,776956,384500,149500,1000550,456490
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1074461,610333,743399,-47479,- -,135007,91683,1481685,753149,3456450
95,Cash Used/Provided by Financing Activities,2505020,1062730,1128625,1115711,1763523,1018906,651964,611837,911963,476183,1548185,1545818,2945002
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,383478,-176508,-497522,-265966,75260,-35546,17397,-44711,7223,-22780,36551,22302,548184
98,Cash at the End of Period,956655,780147,282625,16659,91919,56373,73770,29059,36282,13502,50053,72355,620539
99,Cash at the Beginning of Period,573177,956655,780147,282625,16659,91919,56373,73770,29059,36282,13502,50053,72355
100,Free Cash Flow,-1398101,-2031106,-1764096,-1381677,-1655561,-1028007,-634567,-656829,-907441,-498963,-1511634,-1523516,-2396818
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308027/000114420412018536/0001144204-12-018536-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000114420413035749/0001144204-13-035749-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000151116414000329/0001511164-14-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713115001305/0001387131-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713116004992/0001387131-16-004992-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713117002072/0001387131-17-002072-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000138713118001267/0001387131-18-001267-index.html,https://www.sec.gov/Archives/edgar/data/1308027/000138713119002804/0001387131-19-002804-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315220012693/0001493152-20-012693-index.htm,https://www.sec.gov/Archives/edgar/data/1308027/000149315221008955/0001493152-21-008955-index.htm
102,false,,,,,,,,,,,,,
