,https://roic.ai/company/OTRK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1939000,1142000,1025000,3189000,4811000,3069000,2778000,2590000,5354000,3409000,570000,3047000,7219000,7997000
14,Depreciation and Amortization,298,358,75000,653000,879000,1281000,3526000,2733000,1247000,882000,349000,289000,170000,113000,122000,141000,246000,288000,829000,1927000,4011000
15,EBITDA,15236,-340432,-3429000,-11121000,-23159000,-37015000,-41849000,-45719000,-6751000,-18067000,-4567000,-6548000,-1431000,-24446000,-4502000,-12432000,-9944000,-13353000,-21783000,-14209000,-24983000
16,EBITDA ratio,0.0098,-0.1274,-45.7200,-57.9219,-19.8960,-9.4764,-0.9511,-1.1089,-4.4124,-40.3281,-17.1049,-12.1035,-1.6524,-12.0424,-1.6643,-1.7572,-1.2886,-0.8798,-0.6207,-0.1715,-0.2969
17,Operating Income,13294,-348872,-3545000,-11945000,-24872000,-39926000,-47531000,-53603000,-19374000,-13473000,-12065000,-9561000,-7099000,-5686000,-8899000,-6574000,-10731000,-13625000,-20014000,-14923000,-27981000
18,Operating Income ratio,0.0086,-0.1306,-47.2667,-62.2135,-21.3677,-10.2217,-1.0802,-1.3001,-12.6627,-30.0737,-45.1873,-17.6728,-8.1975,-2.8010,-3.2898,-0.9292,-1.3906,-0.8977,-0.5703,-0.1801,-0.3326
19,Total Other Income Expenses (Gains),1644,8082,41000,171000,834000,1630000,2156000,3212000,-215000,-6501000,3960000,-2087000,2429000,-21438000,1685000,-11353000,-2868000,-586000,-5645000,-8432000,-9010000
20,Income Before Tax,14938,-340790,-3504000,-11774000,-24038000,-38296000,-45375000,-50391000,-19589000,-19974000,-8105000,-11648000,-4670000,-27124000,-7214000,-17927000,-13599000,-14211000,-25659000,-23355000,-36991000
21,Income Before Tax Ratio,0.0096,-0.1276,-46.7200,-61.3229,-20.6512,-9.8044,-1.0312,-1.2222,-12.8033,-44.5848,-30.3558,-21.5305,-5.3926,-13.3616,-2.6669,-2.5339,-1.7622,-0.9364,-0.7311,-0.2819,-0.4397
22,Income Tax expense (Gain),2236,- -,- -,1000,- -,2000,87000,27000,18000,22000,14000,-5000,9000,9000,9000,9000,6000,1000,- -,-645000,153000
23,Net Income,12702,-340790,-3504000,-11775000,-24038000,-38298000,-45462000,-50418000,-9158000,-19996000,-8119000,-11643000,-4679000,-27346000,-7223000,-17936000,-13605000,-14212000,-25659000,-22710000,-37144000
24,Net Income ratio,0.0082,-0.1276,-46.7200,-61.3281,-20.6512,-9.8049,-1.0332,-1.2228,-5.9856,-44.6339,-30.4082,-21.5213,-5.4030,-13.4709,-2.6702,-2.5351,-1.7630,-0.9364,-0.7311,-0.2742,-0.4415
25,EPS,11.96,-119.58,-504.00,-1128.00,-1848.00,-2304.00,-2376.00,-2208.00,-384.00,-552.00,-26.40,-12.00,-1.92,-7.32,-1.08,-1.98,-0.99,-0.89,-1.56,-1.44,-1.96
26,EPS Diluted,11.96,-119.58,-504.00,-1128.00,-1848.00,-2304.00,-2376.00,-2208.00,-384.00,-552.00,-26.40,-12.00,-1.92,-7.32,-1.08,-1.98,-0.99,-0.89,-1.56,-1.44,-1.96
27,Weighted Average Shares Outstanding,2863,2926,5744,10439,13008,16622,19039,22781,24144,36192,307317,963351,2434004,3725507,6728680,9179018,13751000,15955000,16418000,17112000,18915000
28,Weighted Average Shares Outstanding Diluted,2863,2926,5744,10439,13008,16622,19039,22781,24144,36192,307317,963351,2434004,3725507,6728680,9179018,13751000,15955000,16418000,17112000,18915000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000113617409000015/0001136174-09-000015-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774912003150/0001437749-12-003150-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774914005563/0001437749-14-005563-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774915006495/0001437749-15-006495-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774916028684/0001437749-16-028684-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774917003441/0001437749-17-003441-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774918004095/0001437749-18-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774919005535/0001437749-19-005535-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828020012033/0001628280-20-012033-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828021004260/0001628280-21-004260-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9976,14212,3444000,4000000,3417000,5701000,11149000,10893000,4595000,4605000,771000,3153000,1136000,708000,916000,851000,4779000,3162000,13610000,86907000,58824000
32,Short-Term Investments,- -,- -,13196000,23479000,43583000,37746000,35840000,146000,9468000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9976,14212,16640000,27479000,47000000,43447000,46989000,11039000,14063000,4605000,771000,3153000,1136000,708000,916000,851000,4779000,3162000,13610000,86907000,58824000
34,Net Receivables,120822,419174,455000,168000,249000,637000,1920000,2251000,308000,73000,180000,242000,288000,489000,590000,1052000,511000,1382000,5708000,21108000,9173000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,249000,446000,471000,465000,1433000,700000,989000,183000,408000,227000,275000,313000,575000,420000,366000,942000,1074000,15623000,12335000
37,Total Current Assets,130798,433386,17344000,28093000,47720000,44549000,50342000,13990000,15360000,4861000,1359000,3622000,1699000,1510000,2081000,2323000,5656000,5486000,20392000,123638000,80332000
38,PP&E,1492,1134,1981000,2424000,3498000,3711000,4291000,2860000,877000,194000,- -,- -,- -,- -,- -,- -,- -,- -,2943000,4232000,4441000
39,Goodwill,- -,- -,- -,- -,- -,- -,10557000,493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5727000,5713000
40,Intangible Assets,- -,- -,- -,- -,2733000,3397000,4836000,3899000,2658000,2423000,1920000,1048000,118000,101000,- -,- -,- -,- -,- -,3561000,2346000
41,Intangible Assets,- -,- -,- -,- -,2733000,3397000,15393000,4392000,2658000,2423000,1920000,1048000,118000,101000,- -,- -,- -,- -,- -,9288000,8059000
42,Investments,- -,22900,- -,- -,- -,- -,- -,10072000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22900,- -,3255000,3445000,511000,548000,620000,552000,- -,466000,301000,264000,806000,741000,799000,781000,948000,837000,520000,7543000,850000
45,Total Non-Current Assets,24392,24034,5236000,5869000,6742000,7656000,20304000,17876000,3745000,3083000,2221000,1312000,924000,842000,799000,781000,948000,837000,3463000,21063000,13350000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,155190,457420,22580000,33962000,54462000,52205000,70646000,31866000,19105000,7944000,3580000,4934000,2623000,2352000,2880000,3104000,6604000,6323000,23855000,144701000,93682000
48,Accounts Payable,5166,386858,1259000,609000,2652000,6114000,4038000,3784000,2266000,1665000,1527000,1642000,1148000,341000,753000,870000,980000,497000,1385000,1287000,1001000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9796000,- -,- -,519000,434000,595000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,278000,534000,354000,1683000,1525000,2914000,4195000,5803000,20954000,441000
52,Other Current Liabilities,4725,175991,769000,1155000,1583000,3337000,15190000,21680000,13015000,1742000,1944000,2078000,2451000,2265000,2385000,10786000,1755000,3038000,6391000,13735000,8296000
53,Total Current Liabilities,9891,562849,2028000,1764000,4235000,9451000,19228000,25464000,15281000,3407000,3530000,3998000,4133000,2960000,4821000,22977000,5649000,7730000,14098000,36410000,10333000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2057000,2341000,- -,5824000,- -,- -,- -,- -,3662000,- -,- -,7472000,33666000,47540000,36860000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1,64000,364000,488000,725000,6097000,2953000,1183000,8890000,4546000,14694000,16533000,40616000,3121000,5455000,57000,86000,- -,- -,934000
58,Total Non-Current Liabilities,- -,1,64000,364000,488000,725000,8154000,5294000,1183000,14714000,4546000,14694000,16533000,40616000,6783000,5455000,57000,7558000,33666000,47540000,37794000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,183000,331000,144000,48000,- -,- -,18000,26000,23000,66000,31000,2000,- -,2588000,2255000,1663000
61,Total Liabilities,9891,562850,2092000,2128000,4723000,10176000,27382000,30758000,16464000,18121000,8076000,18692000,20666000,43576000,11604000,28432000,5706000,15288000,47764000,83950000,48127000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3430,3568,3000,3000,4000,4000,5000,6000,7000,18000,83000,12000,2000,3000,6000,6000,2000,2000,2000,2000,2000
64,Retained Earnings,7139,-347113,-3628000,-15403000,-39441000,-77739000,-123201000,-173619000,-182777000,-202773000,-210892000,-222535000,-227214000,-254560000,-261783000,-279719000,-293324000,-305655000,-331314000,-354024000,-391168000
65,Other Comprehensive Income/Loss,-298,-656,-17000,-516000,-1172000,-2224000,-5630000,-6376000,-6697000,-5864000,-5717000,-4668000,-2001000,-2002000,-1491000,-1620000,-1542000,-1801000,- -,- -,- -
66,Other Total Stockholders Equity,135028,238771,24130000,47750000,90348000,121988000,172090000,181097000,192108000,198442000,212030000,213433000,211170000,215335000,254544000,256005000,295762000,298489000,307403000,414773000,436721000
67,Total Stockholders Equity,145299,-105430,20488000,31834000,49739000,42029000,43264000,1108000,2641000,-10177000,-4496000,-13758000,-18043000,-41224000,-8724000,-25328000,898000,-8965000,-23909000,60751000,45555000
68,Total Liabilities And Stockholders Equity,155190,457420,22580000,33962000,54462000,52205000,70646000,31866000,19105000,7944000,3580000,4934000,2623000,2352000,2880000,3104000,6604000,6323000,23855000,144701000,93682000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,155190,457420,22580000,33962000,54462000,52205000,70646000,31866000,19105000,7944000,3580000,4934000,2623000,2352000,2880000,3104000,6604000,6323000,23855000,144701000,93682000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000113617409000015/0001136174-09-000015-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774912003150/0001437749-12-003150-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774914005563/0001437749-14-005563-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774915006495/0001437749-15-006495-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774916028684/0001437749-16-028684-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774917003441/0001437749-17-003441-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774918004095/0001437749-18-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774919005535/0001437749-19-005535-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828020012033/0001628280-20-012033-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828021004260/0001628280-21-004260-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12702,-340790,-3504000,-11775000,-24038000,-38298000,-45462000,-50418000,-9158000,-19996000,-8119000,-11643000,-4679000,-27346000,-7223000,-17936000,-13605000,-14212000,-25659000,-22710000,-37144000
74,Depreciation and Amortization,298,358,75000,653000,879000,1281000,3526000,2733000,1247000,882000,349000,289000,170000,113000,122000,141000,246000,288000,829000,1927000,4011000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-654000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,9214000,4621000,4969000,4394000,2190000,213000,51000,1397000,697000,465000,2056000,5210000,8126000,11858000
77,Change in Working Capital,2166,15445463,11013000,17156000,-8387000,-3984000,-42588000,11553000,1375000,-3625000,1795000,-2058000,984000,-1290000,-17914000,20661000,-2251000,8538000,1137000,1625000,-13426000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2233000,-13014000,10744000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-728000,- -,- -,- -,- -,- -,- -,- -,- -,888000,-175000,-314000
81,Other Working Capital,-129463,15316000,26329000,43485000,35098000,31114000,-11474000,79000,1454000,-2171000,-376000,-2434000,-1450000,-2740000,-20654000,7000,-2244000,6294000,1608000,15057000,-20513000
82,Other Non-Cash Items,-118197,-15208729,-9259000,-16282000,12757000,12570000,45304000,-2528000,-12587000,9336000,-5258000,5071000,-2623000,23199000,18450000,-9289000,7777000,-5244000,1582000,5404000,8546000
83,Cash Provided by Operating Activities,-103031,-103698,-1675000,-10248000,-18789000,-28431000,-39220000,-29446000,-14502000,-8434000,-6839000,-6151000,-5935000,-5273000,-5168000,-5726000,-7368000,-8574000,-16901000,-6282000,-26155000
84,CAPEX,-1790,- -,-2009000,-626000,-1803000,-1100000,-1462000,-1193000,-20000,-1000,-18000,-11000,- -,-65000,-107000,-106000,-448000,-9000,- -,-1757000,-4480000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-5000000,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2881000,- -
86,Purchases of Investments,-22900,- -,-18240000,-31914000,-80704000,-47813000,-80168000,-76944000,- -,-246000,- -,- -,-265000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5044000,21631000,60600000,53650000,82104000,101165000,1420000,10225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,26480,- -,-1021000,297000,-329000,-75000,435000,80000,-408000,5000,-25000,-5000,- -,53000,- -,16000,35000,71000,- -,- -,- -
89,Cash Used for Investing Activites,1790,- -,-16226000,-10612000,-22236000,4662000,-4091000,23308000,2992000,9983000,-43000,-16000,-265000,-12000,-107000,-90000,-413000,62000,- -,-4638000,-4480000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-214000,-3114000,-10333000,- -,-12000,-14000,-20000,-2705000,-54000,-4382000,-30000,-16938000,- -,-10807000
91,Common Stock Issued,135000,103525,21345000,21416000,40442000,26062000,39470000,163000,7000000,3153000,803000,7586000,4174000,4800000,2463000,- -,16458000,- -,- -,- -,11142000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1241000,-8954000
94,Other Financing Activites,-20900,4409,- -,- -,- -,-9000,9289000,5933000,2015000,5641000,2245000,975000,23000,77000,5725000,5805000,-367000,7333000,44287000,101353000,1990000
95,Cash Used/Provided by Financing Activities,114100,107934,21345000,21416000,40442000,26053000,48759000,5882000,5212000,-1539000,3048000,8549000,4183000,4857000,5483000,5751000,11709000,7303000,27349000,100112000,-6629000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9279,4236,- -,556000,-583000,2284000,5448000,-256000,-6298000,10000,-3834000,2382000,-2017000,-428000,208000,-65000,3928000,-1209000,10448000,89192000,-37264000
98,Cash at the End of Period,9976,14212,3444000,4000000,3417000,5701000,11149000,10893000,4595000,4605000,771000,3153000,1136000,708000,916000,851000,4779000,3570000,14018000,103210000,65946000
99,Cash at the Beginning of Period,697,9976,- -,3444000,4000000,3417000,5701000,11149000,10893000,4595000,4605000,771000,3153000,1136000,708000,916000,851000,4779000,3570000,14018000,103210000
100,Free Cash Flow,-104821,-103698,-3684000,-10874000,-20592000,-29531000,-40682000,-30639000,-14522000,-8435000,-6857000,-6162000,-5935000,-5338000,-5275000,-5832000,-7816000,-8583000,-16901000,-8039000,-30635000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000113617409000015/0001136174-09-000015-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774912003150/0001437749-12-003150-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136174/000143774914005563/0001437749-14-005563-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774915006495/0001437749-15-006495-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774916028684/0001437749-16-028684-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774917003441/0001437749-17-003441-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774918004095/0001437749-18-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000143774919005535/0001437749-19-005535-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828020012033/0001628280-20-012033-index.htm,https://www.sec.gov/Archives/edgar/data/1136174/000162828021004260/0001628280-21-004260-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,
