,https://roic.ai/company/MDB,2016,2017,2018,2019,2020,2021,2022
90,Debt Repayment,- -,- -,- -,- -,-480985000,-4633000,-5572000
91,Common Stock Issued,- -,- -,205494000,- -,- -,- -,889184000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3087000,43114000,4398000,288236000,1070223000,32214000,7280000
95,Cash Used/Provided by Financing Activities,3087000,43114000,209892000,288236000,589238000,27581000,890892000
96,Effect of Forex Changes on Cash,-92000,7000,291000,-48000,306000,1264000,-1532000
97,Net Change In Cash,-124388000,36099000,-6985000,85920000,558359000,-276484000,44198000
98,Cash at the End of Period,33313000,69412000,62427000,148347000,706706000,430222000,474420000
99,Cash at the Beginning of Period,157701000,33313000,69412000,62427000,148347000,706706000,430222000
100,Free Cash Flow,-47429000,-39761000,-47016000,-48837000,-33104000,-54446000,-1092000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441816/000144181618000028/0001441816-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181619000067/0001441816-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181620000067/0001441816-20-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181621000051/0001441816-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1441816/000144181622000059/0001441816-22-000059-index.htm
102,false,,,,,,,
