,https://roic.ai/company/PALT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-229.2673,-522.0000,-6355.8696,-2.1582,0.3101,-0.0267,-0.1776,-0.1913,-0.1744,-0.4354,-0.1286,-0.1164,-0.0831,-0.2278,-0.0508,-0.1214,0.0968,0.0391
19,Total Other Income Expenses (Gains),-1825,-4561,-2044,2691,3181,33842,17359,32767,-674693,1484544,86225,101680,291072,-5216,-2454055,-7229167,128954,814567
20,Income Before Tax,-24981,-92779,-586784,-913622,937060,-50936,-1167070,-3631173,-4030641,-4006013,-1657877,-1297852,-1452776,-5665281,-3794216,-9084278,1371649,1334057
21,Income Before Tax Ratio,-247.3366,-548.9882,-6378.0870,-2.1519,0.3111,-0.0161,-0.1750,-0.1896,-0.2094,-0.3177,-0.1223,-0.1080,-0.0692,-0.2281,-0.1440,-0.5944,0.1069,0.1005
22,Income Tax expense (Gain),- -,- -,- -,1375,140100,50983,- -,- -,- -,- -,- -,- -,- -,228972,3001,-141593,-387,9951
23,Net Income,-24981,-92779,-586784,-914997,796960,-101919,-1167070,-3631173,-4030641,-4006013,-1657877,-1297852,-1452776,-5894253,-3797217,-8380060,1371262,1324106
24,Net Income ratio,-247.3366,-548.9882,-6378.0870,-2.1551,0.2646,-0.0321,-0.1750,-0.1896,-0.2094,-0.3177,-0.1223,-0.1080,-0.0692,-0.2373,-0.1441,-0.5483,0.1069,0.0998
25,EPS,-0.12,-0.12,-0.82,-1.05,0.93,-0.11,-1.40,-3.50,-3.50,-3.50,-1.40,-1.05,-0.26,-0.91,-0.56,-1.22,0.20,0.17
26,EPS Diluted,-0.12,-0.12,-0.82,-1.05,0.82,-0.11,-1.40,-3.50,-3.50,-3.50,-1.40,-1.05,-0.26,-0.91,-0.56,-1.22,0.20,0.17
27,Weighted Average Shares Outstanding,407993,642437,712635,828027,893187,927978,944358,1074818,1103176,1112475,1119103,1132190,5577855,6452581,6721633,6873652,6884690,7766111
28,Weighted Average Shares Outstanding Diluted,407993,642437,712635,828027,968202,927978,944358,1074818,1103176,1112475,1119103,1132190,5577855,6452581,6721633,6873652,6887808,7809132
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355839/000121390021017135/0001213900-21-017135-index.htm,https://www.sec.gov/Archives/edgar/data/1355839/000121390022014510/0001213900-22-014510-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3147,81666,215792,318143,1529354,1895449,3018876,2397828,5357596,1042456,1138385,2131262,4162596,4137050,6555376,3427058,5585420,21636860
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,6481205,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3147,81666,215792,318143,1529354,1895449,3018876,8879033,5357596,1042456,1138385,2131262,4162596,4137050,6555376,3427058,5585420,21636860
34,Net Receivables,- -,61,52,248902,386507,322351,425037,989509,607312,617634,869887,372400,1130864,619937,421284,142009,71410,153448
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,24904,398,238368,74260,96815,309824,490074,208646,108871,1047483,228296,288721,156118,236704,239258
37,Total Current Assets,3147,81727,215844,591949,1916259,2456168,3518173,9965357,6274732,2150164,2216918,2612533,6340943,4985283,7265381,3725185,5893534,22029566
38,PP&E,- -,- -,- -,16640,31297,86633,89506,578463,548549,522462,563123,387617,793305,622712,810334,1305101,324744,309090
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14304667,13086472,13086472,6326250,6326250,6326250
40,Intangible Assets,36688,28588,21437,- -,- -,- -,- -,- -,- -,- -,- -,- -,5605193,3920443,2320722,627891,381210,196543
41,Intangible Assets,36688,28588,21437,- -,- -,- -,- -,- -,- -,- -,- -,- -,19909860,17006915,15407194,6954141,6707460,6522793
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1210,18750,33435,18185,158323,165716,170566,213520,360533,480043,149537,949659,235105,663082,21199
45,Total Non-Current Assets,36688,28588,21437,17850,50047,120068,107691,736786,714265,793028,976643,948150,21183208,17779164,17167187,8494347,7695286,6853082
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39835,110315,237281,609799,1966306,2576236,3625864,10702143,6988997,2943192,3193561,3560683,27524151,22764447,24432568,12219532,13588820,28882648
48,Accounts Payable,2141,3001,856,26131,152316,552807,953651,1027841,799183,861730,1074345,1065662,1665831,2374253,2842947,1007851,742141,1332632
49,Short-Term Debt,- -,- -,- -,80937,35348,45486,45486,- -,- -,- -,400000,- -,- -,- -,114789,178479,68967,80309
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17672,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,281049,1937915,3138406,2524229,- -,1965502,1505862,2828827,2553826,5465416,1829493,2058721,1915493
52,Other Current Liabilities,62675,16832,22787,16039,221034,21423,24115,988195,240049,2797913,1062836,367018,472406,405646,737945,434739,716273,344441
53,Total Current Liabilities,64816,19833,23643,123107,408698,900765,2961167,5154442,3563461,3659643,4502683,2938542,4967064,5333725,9161097,3450562,3586102,3672875
54,Long-Term Debt,- -,92648,85348,55264,33376,- -,- -,- -,- -,- -,149055,1712145,- -,- -,117634,583075,437533,159182
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,48340,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1452339,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1,- -,- -,1616325,152608,23425,573020,261286,- -,- -,- -,-269825,- -
58,Total Non-Current Liabilities,- -,92648,85348,55264,33376,1,- -,- -,1664665,152608,172480,2285165,1713625,- -,117634,583075,167708,159182
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149055,75560,- -,- -,232423,761554,68967,- -
61,Total Liabilities,64816,112481,108991,178371,442074,900766,2961167,5154442,5228126,3812251,4675163,5223707,6680689,5333725,9278731,4033637,3753810,3832057
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7300,8227,9009,10334,10700,32629,33211,38580,38833,39133,39183,39693,6715,6882,6869,6879,6917,9864
64,Retained Earnings,-24981,-117760,-704544,-1619541,-822581,-924500,-2091570,-5722743,-7715384,-11721397,-13379274,-14677126,4971179,-923074,-4720291,-13100351,- -,-10404983
65,Other Comprehensive Income/Loss,-7300,-123456,-5250,-7890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,230823,829075,2048525,2336113,2567341,2723056,11231864,9437422,10813205,11858489,12974409,15865568,18346914,19867259,21279367,9828093,35445710
67,Total Stockholders Equity,-24981,-2166,128290,431428,1524232,1675470,664697,5547701,1760871,-869059,-1481602,-1663024,20843462,17430722,15153837,8185895,9835010,25050591
68,Total Liabilities And Stockholders Equity,39835,110315,237281,609799,1966306,2576236,3625864,10702143,6988997,2943192,3193561,3560683,27524151,22764447,24432568,12219532,13588820,28882648
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39835,110315,237281,609799,1966306,2576236,3625864,10702143,6988997,2943192,3193561,3560683,27524151,22764447,24432568,12219532,13588820,28882648
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355839/000121390021017135/0001213900-21-017135-index.htm,https://www.sec.gov/Archives/edgar/data/1355839/000121390022014510/0001213900-22-014510-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-24981,-92779,-586784,-914997,796960,-101919,-1167070,-3631173,-4030641,-4006013,-1657877,-1297852,-1452776,-5894253,-3797217,-8380060,1371262,1324106
74,Depreciation and Amortization,3812,8100,8100,6414,12632,19649,18674,51180,151007,174640,181675,167161,1402533,2132496,1987173,783572,325044,370845
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,320238,238300,156297,438395,1129960,1263633,1040585,1086430,353120,1579921,1592121,1385118,243197,-35653
77,Change in Working Capital,3966,130307,276641,1038719,47842,-998397,4253909,-2099644,-4220750,-776286,1959756,1699888,-1722321,-1547274,2170339,2032809,5195675,10853584
78,Accounts Receivable,- -,- -,- -,- -,-137605,64156,136766,-356177,160171,-65351,164242,14581,66433,341932,143810,196100,56042,-78803
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1257735,717223,800993,-2138302,- -,680848
81,Other Working Capital,61894,192201,468842,1507561,1555403,557006,4810915,2711271,-1509479,-2285765,-326009,1373879,-348442,-1895716,274623,2307432,7503107,18356691
82,Other Non-Cash Items,- -,-114795,193618,-487528,60828,1283593,-2116116,3785700,3569233,-830161,-1691713,-2867546,1012793,2998352,780351,-286802,-5699878,-11247418
83,Cash Provided by Operating Activities,-17203,-69167,-108425,-357392,1238500,441226,1145694,-1455542,-3401191,-4174187,-167574,-1211919,-406651,-730758,2732767,-4465363,1435300,1265464
84,CAPEX,-40500,- -,-949,-4257,-27289,-60135,-22267,-540591,-137978,-48553,-3731,-77283,-345070,-294227,-342651,-391230,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1739506,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-7128740,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,6448087,-4850,92046,59645,- -,75000,- -,1730290,225406,858848
89,Cash Used for Investing Activites,-40500,- -,-949,-4257,-27289,-60135,-22267,-7169331,6310109,-153403,-11685,-17638,-2084576,-219227,-342651,1339060,225406,858848
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9708,-463317,-22734,-75561,- -,- -,- -,- -
91,Common Stock Issued,- -,105750,243500,464000,- -,- -,- -,8003825,- -,- -,- -,- -,- -,- -,28210,- -,43500,13919126
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2015,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,60850,41936,- -,- -,- -,- -,- -,- -,50850,12450,400000,2685751,- -,1000000,- -,- -,454156,8002
95,Cash Used/Provided by Financing Activities,60850,147686,243500,464000,- -,- -,- -,8003825,50850,12450,390292,2222434,-22734,924439,28210,-2015,497656,13927128
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,60850,78519,134126,102351,1211211,381091,1123427,-621048,2959768,-4315140,211033,992877,-2513961,-25546,2418326,-3128318,2158362,16051440
98,Cash at the End of Period,3147,81666,215792,318143,1529354,1910445,3018876,2397828,5357596,1042456,1138385,2131262,4162596,4137050,6555376,3427058,5585420,21636860
99,Cash at the Beginning of Period,- -,3147,81666,215792,318143,1529354,1895449,3018876,2397828,5357596,927352,1138385,6676557,4162596,4137050,6555376,3427058,5585420
100,Free Cash Flow,-57703,-69167,-109374,-361649,1211211,381091,1123427,-1996133,-3539169,-4222740,-171305,-1289202,-751721,-1024985,2390116,-4856593,1435300,1265464
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355839/000121390021017135/0001213900-21-017135-index.htm,https://www.sec.gov/Archives/edgar/data/1355839/000121390022014510/0001213900-22-014510-index.htm
102,false,,,,,,,,,,,,,,,,,,
