,https://roic.ai/company/GMAB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,47468000,63670000,53663000,31775000,17500000,14253000,85092000,83783000,21033000,15047000,15111000,11664000,12331000,31822000,40956000,69751000,87597000,139000000,259000000,248000000
15,EBITDA,669752000,-179803000,-292968000,-360462000,-419703000,-367967000,-879414000,-896014000,-239901000,-532313000,-471918000,122599000,313731000,789467000,1171386000,1136273000,1699985000,3012000000,6173000000,4244000000
16,EBITDA ratio,Infinity,-2.6315,-71.4382,-3.6593,-3.0964,-0.6949,-1.1802,-1.5288,-0.4121,-1.5168,-0.9738,0.1848,0.3689,0.6968,0.6450,0.4804,0.5620,0.5613,0.6105,0.5004
17,Operating Income,-483081000,-342209000,441273000,-427924000,-472214000,-437133000,-869998000,-498034000,-160689000,-249422000,-116679000,69253000,265177000,730379000,1052833000,1344171000,1380283000,2638000000,6313000000,3018000000
18,Operating Income ratio,-Infinity,-5.0085,107.6013,-4.3442,-3.4838,-0.8255,-1.1676,-0.8498,-0.2761,-0.7107,-0.2408,0.1044,0.3118,0.6446,0.5797,0.5683,0.4563,0.4916,0.6244,0.3558
19,Total Other Income Expenses (Gains),962084000,669389000,-26061000,34334000,33978000,53764000,-94508000,156045000,38246000,39594000,2598000,-3851000,32169000,27148000,77384000,-280451000,231688000,221000000,-409000000,965000000
20,Income Before Tax,479003000,327180000,415212000,-393590000,-438236000,-383369000,-964506000,-341989000,-122443000,-209828000,-114081000,65402000,297346000,757527000,1130217000,1063720000,1611971000,2859000000,5904000000,3983000000
21,Income Before Tax Ratio,Infinity,4.7885,101.2465,-3.9956,-3.2331,-0.7240,-1.2944,-0.5835,-0.2104,-0.5979,-0.2354,0.0986,0.3497,0.6686,0.6223,0.4497,0.5329,0.5328,0.5839,0.4696
22,Income Tax expense (Gain),326000,-66000,- -,- -,- -,- -,583000,5909000,20874000,5920000,-2633000,-4753000,-3950000,-5986000,-56858000,-39831000,139830000,693000000,1146000000,975000000
23,Net Income,-479329000,-327114000,-415212000,-393590000,-438236000,-383369000,-965089000,-1010760000,-321456000,-596368000,-487118000,112362000,301296000,763513000,1187075000,1103551000,1472141000,2166000000,4758000000,3008000000
24,Net Income ratio,-Infinity,-4.7875,-101.2465,-3.9956,-3.2331,-0.7240,-1.2952,-1.7246,-0.5523,-1.6994,-1.0051,0.1693,0.3543,0.6739,0.6536,0.4665,0.4866,0.4037,0.4706,0.3546
25,EPS,-2.15,-1.43,-1.57,-1.26,-1.13,-0.87,-2.16,-2.25,-0.72,-1.33,-1.06,0.22,0.54,1.30,1.98,1.81,2.40,3.44,7.30,4.60
26,EPS Diluted,-2.15,-1.43,-1.57,-1.26,-1.13,-0.87,-2.16,-2.25,-0.72,-1.33,-1.06,0.22,0.53,1.26,1.92,1.78,2.37,3.40,7.22,4.55
27,Weighted Average Shares Outstanding,223361500,228308180,264700140,312549730,389267580,439445600,446418560,449037360,449071420,449071420,460433060,509770000,563150000,585210000,598760000,608340000,612680000,629628130,651790060,656343000
28,Weighted Average Shares Outstanding Diluted,223361500,228308180,264700140,312549730,389267580,439445600,446418560,449037360,449071420,449071420,460433060,519100000,572510000,607740000,617660000,620940000,620450000,636368430,658858750,660457510
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,252946000,308916000,419566000,381346000,429075000,131753000,70013000,460738000,100950000,65197000,66992000,168135000,359087000,873986000,307023000,1347545000,532907000,3552000000,7260000000,8957000000
32,Short-Term Investments,- -,- -,- -,871556000,1295258000,3561690000,- -,816910000,1548309000,1035422000,1436757000,1388844000,2301428000,2619243000,3614942000,4075192000,5573187000,7419000000,8819000000,10381000000
33,Cash and Short-Term Investments,252946000,308916000,419566000,1252902000,1724333000,3693443000,70013000,1277648000,1649259000,1100619000,1503749000,1556979000,2660515000,3493229000,3921965000,5422737000,6106094000,10971000000,16079000000,19338000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136692000,136004000,105839000,174660000,975674000,636690000,1326931000,2990000000,2712000000,3398000000
35,Inventory,- -,- -,- -,- -,- -,- -,34593000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1165676000,758533000,772588000,70270000,46579000,224572000,1862164000,878604000,770108000,416181000,13369000,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,1418622000,1067449000,1192154000,1323172000,1770912000,3918015000,1966770000,2156252000,2419367000,1516800000,1653810000,1692983000,2766354000,3667889000,4897639000,6059427000,7433025000,13961000000,18791000000,22736000000
38,PP&E,88244000,73160000,57353000,44193000,31264000,40155000,98011000,60180000,41430000,32395000,25960000,22662000,25684000,28812000,32194000,113415000,161545000,414000000,736000000,975000000
39,Goodwill,- -,- -,- -,- -,- -,- -,313829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,64600000,33773000,10725000,- -,- -,- -,- -,- -,- -,- -,- -,2541000,62530000,192642000,181895000,124395000,470359000,470000000,338000000,254000000
41,Intangible Assets,64600000,33773000,10725000,- -,- -,- -,313829000,- -,- -,- -,- -,2541000,62530000,192642000,181895000,124395000,470359000,470000000,338000000,254000000
42,Investments,- -,- -,- -,-868490000,-1292805000,-3561077000,- -,-816442000,-1547944000,- -,- -,- -,- -,- -,- -,- -,- -,149000000,1081000000,371000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,144000,4634000,13265000,5431000,3747000,7178000,5685000,6342000,125035000,296949000,386449000,139000000,177000000,264000000
44,Other Non-Current Assets,11670000,5726000,11676000,871556000,1295258000,3561690000,880199000,816910000,1555483000,9806000,9369000,6163000,6428000,6863000,1473000,8756000,9621000,11000000,20000000,27000000
45,Total Non-Current Assets,164514000,112659000,79754000,47259000,33717000,40768000,1292183000,65282000,62234000,47632000,39076000,38544000,100327000,234659000,340597000,543515000,1027974000,1183000000,2352000000,1891000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1583136000,1180108000,1271908000,1370431000,1804629000,3958783000,3258953000,2221534000,2481601000,1564432000,1692886000,1731527000,2866681000,3902548000,5238236000,6602942000,8460999000,15144000000,21143000000,24627000000
48,Accounts Payable,94640000,24033000,15768000,14494000,47352000,76917000,91049000,44808000,32761000,33510000,- -,- -,- -,31989000,22271000,- -,- -,- -,- -,- -
49,Short-Term Debt,3150000,5569000,8044000,8551000,6955000,7485000,5735000,7004000,121871000,5789000,3768000,2129000,237000,118000,- -,- -,- -,26000000,42000000,62000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61612000,- -,126964000,73000000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1090365000,817492000,550243000,282708000,228150000,150648000,- -,- -,26000000,26000000
52,Other Current Liabilities,62610000,45504000,46150000,214131000,131489000,982920000,964643000,842526000,1169979000,937429000,89517000,87881000,105488000,99580000,161119000,176473000,443349000,912000000,1185000000,1480000000
53,Total Current Liabilities,160400000,75106000,69962000,237176000,185796000,1067322000,1061427000,894338000,1324611000,976728000,1183650000,907502000,655968000,414395000,411540000,327121000,443349000,938000000,1253000000,1568000000
54,Long-Term Debt,10625000,18568000,20960000,14485000,11251000,8182000,8964000,17938000,11846000,6056000,1892000,356000,118000,- -,- -,- -,- -,155000000,277000000,363000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,487000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12942000,- -,- -,- -,- -,- -,- -,12066000,65077000,95230000,124157000,164146000,177656000,1433000,- -,3629000,3290000,3000000,5000000,13000000
58,Total Non-Current Liabilities,23567000,18568000,20960000,14485000,11251000,8182000,8964000,30004000,76923000,101286000,126049000,164502000,177774000,1433000,- -,3629000,3290000,158000000,769000000,863000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,13775000,24137000,29004000,23036000,18206000,15667000,14699000,24942000,17937000,11845000,5660000,2485000,355000,118000,- -,- -,- -,181000000,319000000,425000000
61,Total Liabilities,183967000,93674000,90922000,251661000,197047000,1075504000,1070391000,924342000,1401534000,1078014000,1309699000,1072004000,833742000,415828000,411540000,330750000,446639000,1096000000,2022000000,2431000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22717000,22981000,29752000,33108000,39648000,44520000,44889000,44907000,44907000,44907000,50308000,51756000,56967000,59531000,60350000,61186000,61498000,65000000,66000000,66000000
64,Retained Earnings,-702279000,-1029393000,-1444605000,-1847610000,-2213392000,-2505828000,-3315621000,-4174870000,-4429854000,-5006179000,-5481298000,-5357370000,-5028355000,-4228278000,-3106114000,-1854726000,-197459000,2130000000,7107000000,10020000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-136762000,-147820000,80322000,77180000,84101000,94476000,102883000,82080000,91707000,98000000,54000000,81000000
66,Other Total Stockholders Equity,2078731000,2092846000,2595839000,2933272000,3781326000,5344587000,5459294000,5427155000,5601776000,5595510000,5733855000,5887957000,6920226000,7560991000,7769577000,7983652000,8058614000,11755000000,11894000000,12029000000
67,Total Stockholders Equity,1399169000,1086434000,1180986000,1118770000,1607582000,2883279000,2188562000,1297192000,1080067000,486418000,383187000,659523000,2032939000,3486720000,4826696000,6272192000,8014360000,14048000000,19121000000,22196000000
68,Total Liabilities And Stockholders Equity,1583136000,1180108000,1271908000,1370431000,1804629000,3958783000,3258953000,2221534000,2481601000,1564432000,1692886000,1731527000,2866681000,3902548000,5238236000,6602942000,8460999000,15144000000,21143000000,24627000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1583136000,1180108000,1271908000,1370431000,1804629000,3958783000,3258953000,2221534000,2481601000,1564432000,1692886000,1731527000,2866681000,3902548000,5238236000,6602942000,8460999000,15144000000,21143000000,24627000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-479329000,-327114000,-415212000,-393590000,-438236000,-383369000,-965089000,-1010760000,-321456000,-596368000,-487118000,112362000,301296000,763513000,1187075000,1103551000,1472141000,2166000000,4758000000,3008000000
74,Depreciation and Amortization,47468000,63670000,53663000,31775000,17500000,14253000,85092000,83783000,21033000,15047000,15111000,11664000,12331000,31822000,40956000,69751000,87597000,139000000,259000000,248000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11999000,11566000,27719000,36564000,53188000,75985000,90759000,147000000,200000000,310000000
77,Change in Working Capital,-34607000,34607000,- -,127489000,-18821000,704583000,30999000,-29644000,378406000,-203027000,175452000,-240157000,-221757000,-538442000,-858871000,239646000,-634372000,-1218000000,987000000,-770000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,31955000,69087000,35304000,-1490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201742000,-273734000,-268110000,-267535000,-54558000,-77502000,- -,- -,513000000,- -
82,Other Non-Cash Items,158152000,-73527000,-6149000,25682000,59934000,170431000,335665000,386560000,190188000,347123000,355475000,-23434000,13082000,17992000,-94629000,100039000,-1339000,92000000,229000000,-568000000
83,Cash Provided by Operating Activities,-308316000,-302364000,-367698000,-208644000,-379623000,505898000,-513333000,-570061000,268171000,-437225000,70919000,-127999000,132671000,311449000,327719000,1588972000,1014786000,1326000000,6433000000,2228000000
84,CAPEX,-100821000,-14702000,-8266000,-2434000,-1939000,-12842000,-53016000,-16778000,-10110000,-7205000,-8998000,-10365000,-75442000,-135389000,-33109000,-88510000,-477366000,-111000000,-307000000,-252000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5039015000,-1678588000,-1163346000,-1072535000,-2448512000,-5138533000,-1775029000,-482764000,-1585038000,-1089957000,-1775458000,-974279000,-2679286000,-2075458000,-3008484000,-3425025000,-3521212000,-5812000000,-12414000000,-15616000000
87,Sales/Maturities of Investments,5364432000,2050130000,1152106000,940123000,1998457000,2788800000,3442335000,1473900000,855227000,1611295000,1367477000,999072000,1743990000,1729964000,2027054000,2845961000,2221025000,3940000000,10370000000,14907000000
88,Other Investing Activites,13956000,5065000,-5559000,7299000,621000,-359000,-1154186000,-16410000,1425000,617000,636000,49802000,-63177000,-125945000,-20855000,- -,-405672000,-32000000,- -,- -
89,Cash Used for Investing Activites,238552000,361905000,-25065000,-127547000,-451373000,-2362934000,460104000,974726000,-738496000,514750000,-416343000,66953000,-1010656000,-480883000,-1014539000,-667574000,-1777553000,-1983000000,-2351000000,-961000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6186000,-3887000,-2128000,-237000,-118000,- -,- -,-31000000,-44000000,-58000000
91,Common Stock Issued,159772000,801000,542344000,307037000,935315000,1569345000,34145000,1647000,- -,- -,366390000,- -,998200000,2564000,819000,836000,312000,3873000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118099000,- -,-146175000,- -,- -,-447000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2923000,-4372000,-38931000,-9680000,-56282000,-9118000,-8860000,-8290000,-7005000,-6091000,-2390000,155550000,39280000,640765000,208586000,214075000,74962000,-182000000,115000000,85000000
95,Cash Used/Provided by Financing Activities,156849000,-3571000,503413000,297357000,879033000,1560227000,25285000,-6643000,-7005000,-6091000,357814000,151663000,1035352000,643092000,91188000,214911000,-70901000,3660000000,71000000,-420000000
96,Effect of Forex Changes on Cash,- -,- -,- -,614000,-308000,-513000,-33796000,-3589000,10796000,62000,-2801000,-1479000,33585000,41241000,28669000,-95787000,19030000,16000000,-445000000,850000000
97,Net Change In Cash,87085000,55970000,110650000,-38220000,47729000,-297322000,-61740000,394433000,-466534000,71496000,9589000,89138000,190952000,514899000,-566963000,1040522000,-814638000,3019000000,3708000000,1697000000
98,Cash at the End of Period,252946000,308916000,419566000,381346000,429075000,131753000,70013000,464446000,-2088000,69408000,78997000,168135000,359087000,873986000,307023000,1347545000,532907000,3552000000,7260000000,8957000000
99,Cash at the Beginning of Period,165861000,252946000,308916000,419566000,381346000,429075000,131753000,70013000,464446000,-2088000,69408000,78997000,168135000,359087000,873986000,307023000,1347545000,533000000,3552000000,7260000000
100,Free Cash Flow,-409137000,-317066000,-375964000,-211078000,-381562000,493056000,-566349000,-586839000,258061000,-444430000,61921000,-138364000,57229000,176060000,294610000,1500462000,537420000,1215000000,6126000000,1976000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1414,0.1689,0.1823,0.1587,0.1769,0.1958,0.188,0.1925,0.1794,0.174,0.1768,0.1841,0.1625,0.1455,0.1415,0.1611,0.1536,0.1501,0.1641,0.1529
