,https://roic.ai/company/WINT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2900000,1400000,9900000,8000000,5377000,12762000,13074000,19805000,25472000,39115000,42642000,42102000,39947000,42994000,29197000,25528000,25094000,38014000,44379000,43422000,39892000,40078000,24033000,17983000,25091000,30317000,77280000
11,COGS and Expenses,2500000,2440000,9880000,16060000,5290000,12640000,13070000,19810000,25470000,47240000,59430000,46910000,39950000,42990000,29200000,25530000,25090000,38010000,44900000,46093000,52579000,40078000,18209000,21328000,26885000,30317000,- -
12,Interest Income ,- -,- -,- -,- -,- -,1042000,842000,724000,452000,711000,1345000,2072000,2029000,902000,39000,288000,13000,6000,3000,6000,237000,18000,12000,15000,153000,122000,91000
13,Interest Expense (Gain),400000,- -,- -,- -,- -,5000,26000,144000,297000,882000,954000,1498000,2087000,1614000,1082000,357000,26000,57000,1471000,4597000,4666000,2518000,1863000,1409000,495000,125000,114000
14,Depreciation and Amortization,400000,20000,40000,70000,90000,120000,210000,290000,420000,820000,790000,1060000,2060000,2220000,1990000,1550000,1230000,1150000,710000,818000,712000,255000,192000,159000,195000,165000,192000
15,EBITDA,-2000000,-2420000,-9840000,-15990000,-4870000,-10735000,-10914000,-17006000,-23563000,-44498000,-57156000,-45850000,-37890000,-35276000,-27210000,-23980000,-19714000,-36113000,-43039000,-38643000,-49792000,-36717000,-16391000,-18965000,-26785000,-32276000,-57343000
16,EBITDA ratio,-20.0000,-Infinity,-Infinity,-Infinity,-27.0556,-14.5068,-9.8324,-9.5539,-22.6567,-36.7752,-439.6615,-Infinity,-Infinity,-7.6687,-Infinity,-Infinity,-33.9897,-180.5650,-110.3564,-13.6307,-50.4478,-17.9809,-11.0377,-10.6068,-135.2778,-Infinity,-Infinity
17,Operating Income,-2400000,-2300000,-9200000,-7800000,-5112000,-11898000,-11962000,-18023000,-24435000,-46032000,-59295000,-46907000,-39947000,-38394000,-29197000,-25528000,-24512000,-37819000,-44508000,-43258000,-39834000,-38036000,-22548000,-16195000,-24893000,-30317000,- -
18,Operating Income ratio,-24.0000,-Infinity,-Infinity,-Infinity,-28.4000,-16.0784,-10.7766,-10.1253,-23.4952,-38.0430,-456.1154,-Infinity,-Infinity,-8.3465,-Infinity,-Infinity,-42.2621,-189.0950,-114.1231,-15.2586,-40.3587,-18.6268,-15.1838,-9.0576,-125.7222,-Infinity,- -
19,Total Other Income Expenses (Gains),100000,20000,40000,-7870000,152000,1038000,812000,583000,155000,-168000,395000,577000,-63000,-716000,-673000,6348000,3542000,499000,-712000,-800000,-15336000,-1454000,4102000,-4338000,-2582000,-2249000,- -
20,Income Before Tax,- -,-2280000,-9160000,-15670000,-4960000,-10860000,-11150000,-17440000,-24280000,-46200000,-58900000,-46330000,-40010000,-39110000,-29870000,-19180000,-20970000,-37320000,-45220000,-44058000,-55170000,-39490000,-18446000,-20533000,-27475000,-32566000,-77623000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-27.5556,-14.6757,-10.0450,-9.7978,-23.3462,-38.1818,-453.0769,-Infinity,-Infinity,-8.5022,-Infinity,-Infinity,-36.1552,-186.6000,-115.9487,-15.5407,-55.8967,-19.3389,-12.4215,-11.4838,-138.7626,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9987000
23,Net Income,-2800000,-2280000,-9160000,-15650000,-4960000,-10860000,-11150000,-17440000,-24280000,-46200000,-58900000,-46330000,-40010000,-39110000,-29870000,-19180000,-20970000,-37320000,-45220000,-44058000,-55170000,-39490000,-18446000,-20533000,-27475000,-32566000,-67636000
24,Net Income ratio,-28.0000,-Infinity,-Infinity,-Infinity,-27.5556,-14.6757,-10.0450,-9.7978,-23.3462,-38.1818,-453.0769,-Infinity,-Infinity,-8.5022,-Infinity,-Infinity,-36.1552,-186.6000,-115.9487,-15.5407,-55.8967,-19.3389,-12.4215,-11.4838,-138.7626,-Infinity,-Infinity
25,EPS,-258549.67,-74087.33,-109523.81,-49056.60,-6455.73,-7307.93,-6425.94,-8063.92,-8189.92,-12599.87,-13733.86,-9323.91,-6173.94,-5039.95,-3275.97,-1385.99,-781.20,-798.00,-688.80,-436.80,-478.80,-284.40,-72.42,-23.22,-2.52,-2.08,-4.32
26,EPS Diluted,-258549.67,-74087.33,-109523.81,-49056.60,-6455.73,-7307.93,-6425.94,-8063.92,-8189.92,-12599.87,-13733.86,-9323.91,-6173.94,-5039.95,-3275.97,-1385.99,-781.20,-798.00,-688.80,-470.40,-478.80,-284.40,-72.42,-23.22,-2.52,-2.08,-4.32
27,Weighted Average Shares Outstanding,73,75,84,318,768,1492,1749,2170,2970,3665,4293,4981,6486,7759,9142,13811,26976,46900,65783,101304,116116,138799,342666,1497665,10927989,15654000,15654000
28,Weighted Average Shares Outstanding Diluted,73,75,84,318,768,1492,1749,2170,2970,3665,4293,4981,6486,7759,9142,13811,26976,46900,65783,102411,116116,138799,342666,1497665,10927989,15654000,15654000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/946486/0000912057-97-011281-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946486/000114420405007865/v014358_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420406010327/v037760_10-k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420407013258/v068462_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420408015461/v106829_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420409013707/0001144204-09-013707-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420410012339/0001144204-10-012339-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420411019190/v216518_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036112018342/0001140361-12-018342-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036113012728/0001140361-13-012728-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036114013062/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036115011957/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036116059208/0001140361-16-059208-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774917005788/0001437749-17-005788-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774918007033/wint20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774919007339/wint20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774920006970/wint20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774921007493/0001437749-21-007493-index.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774922007757/0001437749-22-007757-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,6300000,1500000,3500000,7300000,3800000,8500000,29400000,29300000,47000000,26200000,36900000,22700000,15700000,10200000,10200000,26900000,86300000,44711000,38722000,5588000,1815000,11187000,22578000,16930000,22348000
32,Short-Term Investments,- -,1500000,5000000,2500000,- -,11600000,12900000,10700000,- -,2700000,3300000,- -,16100000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13959000,- -,- -,- -
33,Cash and Short-Term Investments,- -,1700000,11300000,4000000,3500000,18900000,16700000,19200000,29400000,32000000,50300000,26200000,53000000,24700000,15700000,10200000,10200000,26900000,86300000,44711000,38722000,5588000,1815000,25146000,22578000,16930000,22348000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,100000,100000,200000,100000,100000,1600000,300000,700000,1300000,1200000,1400000,600000,700000,300000,300000,400000,700000,700000,848000,2072000,1606000,422000,507000,1283000,1188000,1143000
37,Total Current Assets,- -,1800000,11400000,4200000,4200000,19000000,18300000,19500000,30100000,33300000,51500000,27600000,53600000,25400000,16000000,10500000,10600000,27800000,87200000,45559000,40794000,7194000,2237000,25653000,23861000,18118000,23491000
38,PP&E,- -,100000,200000,300000,400000,700000,800000,1200000,2400000,4100000,4300000,4800000,7100000,6000000,4700000,3500000,2300000,1700000,1700000,1637000,1039000,1054000,885000,802000,2188000,1841000,3392000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15682000,15682000,15682000,15682000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77090000,77090000,77090000,32070000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92772000,92772000,92772000,47752000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15476000,15821000,- -,- -
44,Other Non-Current Assets,- -,- -,100000,100000,- -,- -,1000000,400000,200000,200000,200000,2000000,2000000,1500000,700000,500000,400000,400000,400000,303000,2544000,1451000,225000,-15305000,-15667000,154000,154000
45,Total Non-Current Assets,- -,100000,300000,400000,400000,700000,1800000,1600000,2600000,4300000,4500000,6800000,9100000,7500000,5400000,4000000,2700000,2100000,2100000,1940000,3583000,2505000,1110000,93745000,95114000,94767000,51298000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1900000,11700000,4600000,4600000,19700000,20100000,21100000,32700000,37600000,56000000,34400000,62700000,32900000,21400000,14500000,13300000,29900000,89300000,47499000,44377000,9699000,3347000,119398000,118975000,112885000,74789000
48,Accounts Payable,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,2100000,1300000,1700000,1100000,1200000,1400000,350000,369000,1813000,3048000,3420000,1708000,1161000,693000
49,Short-Term Debt,- -,100000,- -,- -,- -,17000,44000,189000,383000,- -,1568000,2015000,2625000,2442000,11058000,136000,68000,69000,73000,62000,- -,- -,- -,7974000,911000,1157000,15528000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,- -,- -,- -,- -,- -,- -,- -,- -,139000,43000,- -,- -,884000,198000,- -,- -,- -
52,Other Current Liabilities,- -,- -,600000,1100000,1500000,2383000,1756000,3011000,6617000,-125200000,16032000,5985000,7075000,5358000,6642000,5764000,9932000,10431000,10288000,7374000,10699000,11578000,7828000,9041000,5198000,3813000,-11298000
53,Total Current Liabilities,- -,300000,600000,1100000,1500000,2400000,1800000,3200000,7000000,8800000,17600000,8000000,10500000,9900000,19000000,7600000,11100000,11700000,11900000,7829000,11068000,13391000,11760000,20633000,7817000,6131000,4923000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1700000,700000,7600000,3300000,11600000,12600000,11200000,400000,300000,200000,100000,18400000,20302000,25000000,25000000,15000000,15000000,19608000,2423000,2071000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15476000,15821000,16778000,7114000
57,Other Non-Current Liabilities,- -,- -,2200000,- -,- -,900000,600000,1400000,700000,100000,300000,500000,900000,900000,700000,600000,800000,500000,500000,169000,43000,138000,100000,175000,794000,18001000,18800000
58,Total Non-Current Liabilities,- -,- -,2200000,- -,- -,900000,600000,3100000,1400000,7700000,3600000,12100000,13500000,12100000,1100000,900000,1000000,600000,18900000,20471000,25043000,25138000,15507000,30651000,36223000,37202000,27985000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,256000,711000,1654000,3323000,2687000,2991000,- -,- -,437000,292000,217000,142000,- -,- -,- -,- -,- -,1544000,1006000,- -
61,Total Liabilities,- -,300000,2800000,1100000,1500000,3300000,2400000,6300000,8400000,16500000,21200000,20100000,24000000,22000000,20100000,8500000,12100000,12300000,30800000,28300000,36111000,38529000,27267000,51284000,44040000,43333000,32908000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10900000,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,- -,- -,- -,100000,86000,8000,9000,3000,32000,41000,17000,28000
64,Retained Earnings,- -,-9100000,-12700000,-28500000,-33100000,-44000000,-55100000,-72600000,-96900000,-143100000,-202000000,-248300000,-288300000,-327400000,-357300000,-376500000,-397400000,-434700000,-480000000,-524008000,-579178000,-618668000,-637114000,-657647000,-685122000,-717688000,-785324000
65,Other Comprehensive Income/Loss,- -,-400000,- -,-100000,-200000,200000,200000,82000,-2000,-464000,-232000,-3100000,42000,1000,- -,-7600000,-8800000,-9600000,-10300000,- -,-8466000,-6960000,- -,- -,-6374000,- -,- -
66,Other Total Stockholders Equity,- -,200000,23500000,32100000,36408000,60236000,72523000,87279000,121205000,164661000,236970000,265622000,326939000,338232000,361687000,390126000,407464000,461953000,548701000,543121000,595902000,596789000,613191000,725729000,766390000,787223000,827177000
67,Total Stockholders Equity,- -,1600000,10800000,3500000,3108000,16436000,17623000,14761000,24303000,21097000,34838000,14322000,38781000,10933000,4487000,6026000,1264000,17653000,58501000,19199000,8266000,-28830000,-23920000,68114000,74935000,69552000,41881000
68,Total Liabilities And Stockholders Equity,- -,1900000,13600000,4600000,4608000,19736000,20023000,21061000,32703000,37597000,56038000,34422000,62781000,32933000,24587000,14526000,13364000,29953000,89301000,47499000,44377000,9699000,3347000,119398000,118975000,112885000,74789000
69,Minority Interest,- -,- -,-1900000,- -,-8000,-36000,77000,39000,-3000,3000,-38000,-22000,-81000,-33000,-3187000,-26000,-64000,-53000,-1000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1900000,11700000,4600000,4600000,19700000,20100000,21100000,32700000,37600000,56000000,34400000,62700000,32900000,21400000,14500000,13300000,29900000,89300000,47499000,44377000,9699000,3347000,119398000,118975000,112885000,74789000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/946486/0000912057-97-011281-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946486/000114420405007865/v014358_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420406010327/v037760_10-k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420407013258/v068462_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420408015461/v106829_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420409013707/0001144204-09-013707-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420410012339/0001144204-10-012339-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420411019190/v216518_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036112018342/0001140361-12-018342-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036113012728/0001140361-13-012728-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036114013062/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036115011957/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036116059208/0001140361-16-059208-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774917005788/0001437749-17-005788-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774918007033/wint20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774919007339/wint20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774920006970/wint20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774921007493/0001437749-21-007493-index.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774922007757/0001437749-22-007757-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2800000,-2280000,-9160000,-15650000,-4960000,-10860000,-11150000,-17440000,-24280000,-46200000,-58900000,-46330000,-40010000,-39110000,-29870000,-19180000,-20970000,-37320000,-45220000,-44058000,-55170000,-39490000,-18446000,-20533000,-27475000,-32566000,-67636000
74,Depreciation and Amortization,400000,20000,40000,70000,90000,120000,210000,290000,420000,820000,790000,1060000,2060000,2220000,1990000,1550000,1230000,1150000,710000,818000,712000,255000,192000,159000,195000,165000,192000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9987000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264000000,382000,6326000,5613000,5007000,2973000,1634000,1364000,2411000,2210000,2941000,1696000,1685000,1561000,955000,6721000,5684000,7238000
77,Change in Working Capital,-100000,1500000,9300000,-7700000,-400000,13900000,-100000,-200000,6800000,1400000,9400000,-14300000,23500000,-27600000,-18500000,5900000,-3400000,16600000,59200000,-37570000,-8004000,-35923000,-3326000,14543000,11024000,-4057000,6581000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000,67000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-600000,600000,- -,- -,- -,-68000000,- -,- -,- -,- -,- -,- -,- -,195000,-431000,-1788000,201000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000,-817000,391000,-574000,55000,267000,-1083000,2913000,1444000,2433000,997000,-2468000,-547000,-468000
81,Other Working Capital,- -,1500000,10800000,3100000,2700000,16600000,16500000,16300000,23100000,24500000,33900000,19600000,43100000,15500000,-3000000,2900000,-500000,16100000,75300000,37730000,29726000,-6197000,-9523000,5020000,16044000,11987000,18568000
82,Other Non-Cash Items,- -,-1330000,-5160000,16510000,1130000,-9020000,-1660000,3910000,-6400000,-1253360000,-9342000,13414000,-20563000,27733000,15987000,-14174000,-924000,-15721000,-57350000,36700000,27262000,39884000,-1026000,-10905000,-15128000,5459000,39948000
83,Cash Provided by Operating Activities,-2500000,-2090000,-4980000,-6770000,-4140000,-5860000,-12700000,-13440000,-23460000,-33340000,-57670000,-39830000,-29400000,-31750000,-27420000,-24270000,-22700000,-32880000,-40450000,-41169000,-33504000,-33589000,-21045000,-15781000,-24663000,-25315000,-23664000
84,CAPEX,- -,-100000,-110000,-240000,-110000,-950000,-260000,-230000,-610000,-2207000000,-1063000,-1448000,-3765000,-632000,-147000,-101000,-106000,-636000,-608000,-780000,-458000,-281000,-24000,9000,-191000,-291000,-279000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000,- -,- -,- -
86,Purchases of Investments,-3800000,- -,- -,- -,- -,- -,- -,- -,- -,-18483000000,-33340000,-4631000,-38355000,-25765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13959000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,15465000000,32834000,7884000,22319000,39754000,2047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13988000,- -,- -
88,Other Investing Activites,- -,2300000,7000000,2200000,2525000,-10964000,-1551000,2393000,10591000,3014338000,2000,-182000,- -,- -,200000,- -,- -,- -,- -,- -,270000,27000,- -,9000,- -,- -,- -
89,Cash Used for Investing Activites,-3800000,2200000,6900000,2000000,2411000,-11912000,-1808000,2166000,9985000,-5869000,-1567000,1623000,-19801000,13357000,2100000,-101000,-106000,-636000,-608000,-780000,-188000,-254000,-24000,-13727000,13797000,-291000,-279000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-514000000,-933000,-1692000,- -,- -,- -,-636000,-145000,-75000,-75000,-80000,-5000000,- -,-2500000,-160000,-2063000,-3776000,- -
91,Common Stock Issued,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6741000,204000,457000,136000,- -,1036000,- -,- -,20246000,27390000
92,Common Stock Repurchased,- -,20000,- -,-60000,3810000,21520000,11010000,14670000,33670000,34150000,72030000,17550000,58810000,6290000,20820000,27980000,22930000,50300000,70980000,457000,32765000,709000,1036000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,80000,- -,-40000,-11000,-18000,-26000,1379000,728000,518903000,5884000,1508000,913000,-2080000,-2508000,-8503000,-3000,-6743000,29344000,-457000,-198000,- -,17724000,38898000,23831000,3488000,1971000
95,Cash Used/Provided by Financing Activities,6300000,100000,- -,-100000,3799000,21502000,10984000,16049000,34398000,39053000,76981000,17366000,59723000,4210000,18312000,18841000,22782000,50223000,100453000,377000,27703000,709000,17296000,38738000,21768000,19958000,29361000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000,472000,- -,- -
97,Net Change In Cash,6300000,200000,1960000,-4820000,2070000,3730000,-3520000,4780000,20920000,-160000,17750000,-20840000,10530000,-14190000,-7000000,-5530000,-20000,16700000,59390000,-41572000,-5989000,-33134000,-3773000,9318000,11374000,-5648000,5418000
98,Cash at the End of Period,- -,200000,2160000,1480000,3570000,7230000,3780000,8580000,29420000,29240000,47050000,26160000,36730000,22710000,15700000,10170000,10180000,26900000,86290000,44728000,38722000,5588000,1815000,11133000,22561000,17084000,22502000
99,Cash at the Beginning of Period,100000,- -,200000,6300000,1500000,3500000,7300000,3800000,8500000,29400000,29300000,47000000,26200000,36900000,22700000,15700000,10200000,10200000,26900000,86300000,44711000,38722000,5588000,1815000,11187000,22732000,17084000
100,Free Cash Flow,-2500000,-2190000,-5090000,-7010000,-4250000,-6810000,-12960000,-13670000,-24070000,-35550000,-58730000,-41280000,-33170000,-32380000,-27570000,-24370000,-22810000,-33520000,-41060000,-41949000,-33962000,-33870000,-21069000,-15781000,-24854000,-25606000,-23943000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/946486/0000912057-97-011281-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946486/000114420405007865/v014358_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420406010327/v037760_10-k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420407013258/v068462_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420408015461/v106829_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114420409013707/0001144204-09-013707-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420410012339/0001144204-10-012339-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114420411019190/v216518_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036112018342/0001140361-12-018342-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036113012728/0001140361-13-012728-index.html,https://www.sec.gov/Archives/edgar/data/946486/000114036114013062/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036115011957/form10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000114036116059208/0001140361-16-059208-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774917005788/0001437749-17-005788-index.html,https://www.sec.gov/Archives/edgar/data/946486/000143774918007033/wint20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774919007339/wint20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774920006970/wint20191231_10k.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774921007493/0001437749-21-007493-index.htm,https://www.sec.gov/Archives/edgar/data/946486/000143774922007757/0001437749-22-007757-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
