,https://roic.ai/company/MHPC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,7780542,2739597,10248665,-361904,-4675974,1064045,612543,1810057,- -,- -,-4448787,1071979,-3612285,34082257,-50421059
83,Cash Provided by Operating Activities,2018497,806132,-1530113,-392625,350901,-241254,90640,-552769,- -,- -,-151094,38475,-950236,1278907,2265991
84,CAPEX,-219748,-392698,-171920,-139633,-284152,-108548,-11299,-912475,- -,- -,- -,-210247,-22017784,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1001000,-6617000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-437780,11896300,1490063,1613637,2496200,819172,961657,- -,- -,- -,-23322,-210247,-22017784,800805,-2508195
89,Cash Used for Investing Activites,-657528,11503602,1318143,1474004,2212048,710624,950358,-912475,- -,- -,-23322,-210247,-22017784,-200195,-9125195
90,Debt Repayment,- -,-12021656,-284860,-2541573,-519778,-479699,-663579,-632256,- -,- -,- -,-236551,-8991585,- -,-1526376
91,Common Stock Issued,772500,- -,- -,- -,- -,- -,- -,600000,- -,- -,165437,- -,72875,4185,6809884
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119337,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148933,-811143,-964167
94,Other Financing Activites,-2156084,-323273,436333,1459727,-1347364,-235776,-14714,700000,- -,- -,343635,510659,35843140,-2430308,2657335
95,Cash Used/Provided by Financing Activities,-1383584,-12344929,151473,-1081846,-1867142,-715475,-678293,667744,- -,- -,509072,274108,26656160,-3237266,6976676
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-22615,-35195,-60497,-467,695807,-246105,362705,-797500,- -,- -,334656,102336,3688140,-2158554,117472
98,Cash at the End of Period,238395,203200,142703,142236,758940,512835,875540,80025,- -,- -,355935,458271,4146411,1988857,2106329
99,Cash at the Beginning of Period,261010,238395,203200,142703,63133,758940,512835,877525,- -,- -,21279,355935,458271,4147411,1988857
100,Free Cash Flow,1798749,413434,-1702033,-532258,66749,-349802,79341,-1465244,- -,- -,-151094,38475,-950236,1278907,2265991
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1277998/000110465908023043/0001104659-08-023043-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000110465909021714/0001104659-09-021714-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997410000191/0001079974-10-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997411000262/0001079974-11-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448812001315/0001354488-12-001315-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448813001350/0001354488-13-001350-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448814001387/0001354488-14-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448815001369/0001354488-15-001369-index.htm,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1277998/000165495419003817/0001654954-19-003817-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390020009162/0001213900-20-009162-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390021019353/0001213900-21-019353-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390022016309/0001213900-22-016309-index.htm
102,false,,,,,,,,,,,,,,,
