,https://roic.ai/company/EMX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3131547,2534458,12288419,10710552,8217542,6501886,4753324,1820307,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,311024,175512,218878,589740,833812,1035617,4232452,4136658,14107118,12094498,9205766,7303293,5671950,3379077,6346830,3732000,5183000,70808000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114414001,116151675,116766102,117000052,117504585,124062091,125231209,128776000,132678000,199656000
64,Retained Earnings,- -,- -,- -,- -,- -,-2187345,-4778279,-8185381,-754413,-7195132,-10191334,-14901448,-24442976,-55999368,-69981980,-87430021,-94305878,-96989360,-104382744,-41524458,-55344000,-61351000,-91947000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,254000,609234,-119532,-157481,439426,127209,864848,- -,8856844,11264150,15443247,20487524,21656380,22668535,24797941,25063000,26433000,31306000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544877,306999,139138,- -,23825,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,3738654,4197398,5483756,13401024,12233409,13158673,21455790,56501513,68368669,57978722,45086327,43320836,42171605,42371707,108504692,98495000,97760000,139015000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,4049678,4372910,5702634,13990764,13067221,14194290,25688242,60638171,82475787,70073220,54292093,50624129,47843555,45750784,114851522,102227000,102943000,209823000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,4049678,4372910,5702634,13990764,13067221,14194290,25688242,60638171,82475787,70073220,54292093,50624129,47843555,45750784,114851522,102227000,102943000,209823000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285786/000106299314001849/0001062993-14-001849-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299315002279/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299316008694/0001062993-16-008694-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299317001612/0001062993-17-001612-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299318001493/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299319001504/0001062993-19-001504-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299320001575/0001062993-20-001575-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-1932515,-2590934,-3407102,7430968,-6440719,-2996202,-4710114,-9541528,-20902053,-13982612,-17448041,-6875857,-2683482,-7393384,62117601,-13820000,-6007000,-29749000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,20669,53169,74901,100494,135592,103228,85191,141602,203121,262557,187714,150782,136200,39344,11736,21000,63000,102000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270420,-643315,-14677,-2392945,-3356471,-3431230,-1439332,-2489902,-3683267,-415000,2113000,-3898000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284491,479437,2119328,1464293,17500,857936,476424,943334,1415639,1820724,2240000,2784000,4601000
77,Change in Working Capital,- -,- -,- -,- -,- -,-49855,-385689,-28382,434481,-79706,-1214739,941678,366635,-1292661,-887995,727353,-85728,114724,2532391,6081650,-3081000,-13000,34000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67870,-544477,737698,101200,-6343,1908945,1280519,1139000,-1895000,1493000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60898,-954534,-90794,83056,-86317,172600,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145332,- -,-1333550,519781,19402,-291350,203536,467544,-193236,460000,-310000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,510366,383035,24545,-11826031,742611,-60212,-374458,537812,6172449,11197608,14249565,4683385,-2386987,2454488,-72304292,1579000,-7901000,19019000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-1451335,-2540419,-3336038,-3860088,-5642222,-3883434,-3848686,-7019466,-14369528,-5785887,-4781944,-5082224,-5315543,-3441424,-5955848,-13476000,-8961000,-9891000
84,CAPEX,- -,- -,- -,- -,- -,-88920,-197159,-323555,-429610,-272971,-1292280,-344505,-258341,-1364168,-200000,- -,- -,- -,-24784,- -,-759000,-5285000,-41902000
85,Acquisitions Net,- -,- -,- -,- -,- -,-283508,- -,- -,7728443,- -,- -,-202872,-91703,-6340984,-2774570,-1063036,- -,- -,-2059631,-1781642,- -,- -,-47970000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-125000,-279024,-786579,-128633,-773265,-1107609,-1197890,-1969705,-480000,-500000,- -,- -,-2059631,- -,-7116000,-4797000,-1616000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,5081318,245385,489690,1686700,3440659,768418,195559,242252,136263,148112,139365,1084980,67000,974000,643000
88,Other Investing Activites,- -,- -,- -,- -,- -,-64456,17693,-30137,-109575,105147,1216100,178257,803053,708685,-620767,29125,-876599,2533154,613362,85666701,5476000,1304000,230000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-436884,-304466,-632716,11483997,-51072,-359755,209971,2695778,-8197754,-3679778,-1291659,4557021,2681266,-3391319,84970039,-2332000,-7804000,-90615000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6553274,- -,- -,-1487000
91,Common Stock Issued,- -,- -,- -,- -,- -,3825699,2600270,4390535,56000,3706044,3688000,- -,40655000,- -,- -,- -,- -,- -,6907228,- -,- -,- -,21450000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,750000,- -,- -,- -,- -,- -,5934564,942893,2948665,361600,- -,- -,127800,85700,6484266,2103000,2156000,54822000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,4575699,2600270,4390535,56000,3706044,3688000,5934564,41597893,2948665,361600,- -,- -,127800,6992928,-69008,2103000,2156000,74785000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53368,87151,-159158,-290504,71562,173740,3696537,-3476000,-1967000,-1479000
97,Net Change In Cash,- -,- -,- -,- -,- -,2687480,-244615,421781,7679909,-1987250,-555189,2295849,37274205,-19671985,-9016914,-6232761,-815707,-2434915,333925,82641720,-17181000,-16576000,-27200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,3485314,3240699,3662480,11342389,9355139,8799950,11095799,48370004,21699983,12683069,6450308,5634601,3199686,3533611,86175331,68994000,52418000,25218000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,797834,3485314,3240699,3662480,11342389,9355139,8799950,11095799,41371968,21699983,12683069,6450308,5634601,3199686,3533611,86175000,68994000,52418000
100,Free Cash Flow,- -,- -,- -,- -,- -,-1540255,-2737578,-3659593,-4289698,-5915193,-5175714,-4193191,-7277807,-15733696,-5985887,-4781944,-5082224,-5315543,-3441424,-5955848,-14235000,-14246000,-51793000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285786/000106299314001849/0001062993-14-001849-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299315002279/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299316008694/0001062993-16-008694-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299317001612/0001062993-17-001612-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299318001493/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299319001504/0001062993-19-001504-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299320001575/0001062993-20-001575-index.html,- -,- -
102,Forex Rate,0.6631,0.6901,0.6343,0.6267,0.6808,0.7635,0.8268,0.8559,0.8671,0.9746,0.7926,0.9849,1.0308,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
