,https://roic.ai/company/OAS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,92215295,92215295,48395000,92056000,92180000,92867000,99677000,130186000,183615000,234986000,20000000,20000000,19991000,19792000
28,Weighted Average Shares Outstanding Diluted,92215295,92215295,48395000,92241000,92513000,93411000,100365000,130186000,183615000,237875000,20000000,20000000,19991000,20648000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1486159/000095012311024114/0000950123-11-024114-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000119312512085092/0001193125-12-085092-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000119312513087568/0001193125-13-087568-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615914000011/0001486159-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615915000009/oas-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615916000090/0001486159-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615917000009/0001486159-17-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1486159/000148615919000006/0001486159-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615920000018/0001486159-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615921000017/0001486159-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615922000014/0001486159-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,143520000,470872000,213447000,91901000,45811000,9730000,11226000,- -,22190000,20019000,15856000,172114000
32,Short-Term Investments,- -,- -,- -,19994000,25891000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,143520000,490866000,239338000,91901000,45811000,9730000,11226000,- -,22190000,20019000,15856000,172114000
34,Net Receivables,- -,- -,58100000,123367000,209535000,315112000,306471000,197409000,204335000,- -,387602000,371181000,206539000,377202000
35,Inventory,- -,- -,1323000,3543000,20707000,20652000,21354000,11072000,10648000,- -,33128000,35259000,33929000,28956000
36,Other Current Assets,- -,- -,2960000,5864000,23106000,19941000,322971000,147075000,12340000,- -,111235000,10892000,15293000,1037170000
37,Total Current Assets,- -,- -,205903000,623640000,492686000,447606000,696607000,365286000,238549000,- -,554155000,437351000,271617000,1615442000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1734870000,1336214000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70534000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43667000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114201000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,485949000,1103742000,2036108000,4264318000,5241805000,5284089000,5940083000,- -,7071987000,7061902000,38349000,75131000
45,Total Non-Current Assets,- -,- -,485949000,1103742000,2036108000,4264318000,5241805000,5284089000,5940083000,- -,7071987000,7061902000,1887420000,1411345000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,691852000,1727382000,2528794000,4711924000,5938412000,5649375000,6178632000,- -,7626142000,7499253000,2159037000,3026787000
48,Accounts Payable,- -,- -,8198000,12207000,84044000,155661000,230848000,142339000,144382000,- -,236861000,96898000,3242000,2136000
49,Short-Term Debt,- -,- -,- -,19994000,25891000,- -,- -,- -,- -,- -,- -,- -,- -,7893000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66602000,270306000
52,Other Current Liabilities,- -,- -,74065000,150383000,220850000,310757000,564280000,228229000,236733000,- -,374915000,505985000,271387000,944862000
53,Total Current Liabilities,- -,- -,82263000,182584000,330785000,466418000,795128000,370568000,381115000,- -,611776000,602883000,341231000,1225197000
54,Long-Term Debt,- -,- -,- -,800000000,1200000000,2535570000,2700000000,2302584000,2297214000,- -,2735276000,2711573000,710000000,399248000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,45432000,92983000,177671000,323147000,526770000,608155000,513529000,- -,300055000,267357000,984000,7000
57,Other Non-Current Liabilities,- -,- -,12363000,17577000,25333000,38240000,44213000,48726000,63617000,- -,60155000,80359000,94083000,180762000
58,Total Non-Current Liabilities,- -,- -,57795000,910560000,1403004000,2896957000,3270983000,2959465000,2874360000,- -,3095486000,3059289000,805067000,580017000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24097000,4969000,14617000
61,Total Liabilities,- -,- -,140058000,1093144000,1733789000,3363375000,4066111000,3330033000,3255475000,- -,3707262000,3662172000,1146298000,1805214000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33881000,- -,- -
63,Common Stock,- -,- -,920000,921000,925000,996000,1001000,1376000,2331000,- -,3157000,3189000,200000,200000
64,Retained Earnings,- -,- -,-92845000,-13455000,139933000,367892000,874769000,834521000,591505000,- -,682689000,554446000,-49912000,269690000
65,Other Comprehensive Income/Loss,- -,- -,-99255000,-176261000,-391260000,-637676000,-1092793000,-1509424000,-1995791000,- -,-3036852000,-3764915000,- -,- -
66,Other Total Stockholders Equity,- -,- -,742974000,823033000,1045407000,1617337000,2089324000,2992869000,4325112000,- -,6085582000,6877299000,965654000,- -
67,Total Stockholders Equity,- -,- -,551794000,634238000,795005000,1348549000,1872301000,2319342000,2923157000,- -,3734576000,3636138000,915942000,1032900000
68,Total Liabilities And Stockholders Equity,- -,- -,691852000,1727382000,2528794000,4711924000,5938412000,5649375000,6178632000,- -,7441838000,7298310000,2062240000,2838114000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184304000,200943000,96797000,188673000
70,Total Liabilities & Equity,- -,- -,691852000,1727382000,2528794000,4711924000,5938412000,5649375000,6178632000,- -,7626142000,7499253000,2159037000,3026787000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1486159/000095012311024114/0000950123-11-024114-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000119312512085092/0001193125-12-085092-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000119312513087568/0001193125-13-087568-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615914000011/0001486159-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615915000009/oas-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615916000090/0001486159-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615917000009/0001486159-17-000009-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1486159/000148615919000006/0001486159-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615920000018/0001486159-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615921000017/0001486159-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615922000014/0001486159-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,- -,-29695000,79390000,153388000,227959000,506877000,-40248000,-243016000,- -,-35296000,-128243000,-3690240000,319602000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,42962000,46789000,92479000,134583000,307457000,-16114000,-128538000,- -,-5866000,-32699000,-266373000,-977000
76,Stock Based Compensation,- -,- -,9970000,3656000,10333000,11982000,21302000,25272000,24103000,- -,29273000,33607000,31585000,15476000
77,Change in Working Capital,- -,- -,-31547000,317416000,-279155000,-180713000,-79709000,93239000,-137284000,- -,84945000,-107911000,95918000,6203000
78,Accounts Receivable,- -,- -,-44450000,-64900000,-90103000,-107473000,16702000,108461000,-11923000,- -,-23508000,13729000,164758000,-184605000
79,Inventory,- -,- -,-498000,-2550000,-29313000,-13941000,-3776000,6873000,254000,- -,-14346000,-5893000,-2103000,2168000
80,Accounts Payable,- -,- -,- -,36316000,76706000,- -,76723000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,123640000,441056000,161901000,-18812000,-98521000,-5282000,-142566000,- -,-57621000,-165532000,-69614000,-1482000
82,Other Non-Cash Items,- -,- -,57922000,-271227000,415341000,504045000,116589000,297666000,712753000,- -,923365000,1128099000,4127301000,573832000
83,Cash Provided by Operating Activities,- -,- -,49612000,176024000,392386000,697856000,872516000,359815000,228018000,- -,996421000,892853000,298191000,914136000
84,CAPEX,- -,- -,-312937000,-613223000,-1053315000,-2453596000,-1402865000,-848664000,-1208088000,- -,-1151811000,-869221000,-341812000,-215746000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-782000000,- -,-581650000,-21009000,- -,-590097000
86,Purchases of Investments,- -,- -,- -,-184907000,-126213000,-8133000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,164913000,126861000,25000000,6774000,370410000,121977000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,3522000,1625000,14062000,-8347000,-6213000,-1969000,2950000,- -,-1029036000,-807747000,-102284000,-327746000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1613536000,-828756000,-102284000,-920769000
90,Debt Repayment,- -,- -,-107000000,- -,- -,-264430000,-455570000,-992000000,-1617907000,- -,-3009340000,-2020672000,-870940000,-907661000
91,Common Stock Issued,- -,- -,399669000,- -,- -,314580000,- -,462833000,766670000,- -,- -,- -,- -,86467000
92,Common Stock Repurchased,- -,- -,- -,-602000,-3194000,-1566000,-5309000,-2949000,-2330000,- -,-6846000,-4856000,-2756000,-100000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111905000
94,Other Financing Activites,- -,- -,-1788000,-18680000,-8012000,-22910000,-275000,-14632000,-9127000,- -,3638771000,1959260000,677996000,1194289000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,622585000,-66268000,-195700000,161190000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,102958000,327352000,-257425000,-121546000,-46090000,-36081000,1496000,- -,5470000,-2171000,207000,154557000
98,Cash at the End of Period,- -,- -,143520000,470872000,213447000,91901000,45811000,9730000,11226000,- -,22190000,20019000,40780000,174783000
99,Cash at the Beginning of Period,- -,- -,40562000,143520000,470872000,213447000,91901000,45811000,9730000,- -,16720000,22190000,40573000,20226000
100,Free Cash Flow,- -,- -,-263325000,-437199000,-660929000,-1755740000,-530349000,-488849000,-980070000,- -,-155390000,23632000,-43621000,698390000
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1486159/000095012311024114/0000950123-11-024114-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000119312512085092/0001193125-12-085092-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000119312513087568/0001193125-13-087568-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615914000011/0001486159-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615915000009/oas-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615916000090/0001486159-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615917000009/0001486159-17-000009-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1486159/000148615919000006/0001486159-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615920000018/0001486159-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1486159/000148615921000017/0001486159-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1486159/000148615922000014/0001486159-22-000014-index.htm
102,false,,,,,,,,,,,,,,
