,https://roic.ai/company/HUSN,2014,2015,2016,2017,2018,2019,2020
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,213520,- -,959880,1127945
58,Total Non-Current Liabilities,- -,- -,- -,213520,- -,959880,1127945
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,469150,2319600,4463940,8087640,1963970,3048950,2951821
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,20000,20000,22110,22110,22110,32031
64,Retained Earnings,-164250,5447780,19336540,43384730,39565990,-22429770,-34537976
65,Other Comprehensive Income/Loss,-1260,-1101036,-1457513,1096492,-235499,-563356,2205962
66,Other Total Stockholders Equity,630,23958646,7490316,26612444,25528519,25491120,32931128
67,Total Stockholders Equity,-164880,28325390,25389343,71115776,64881120,2520104,631145
68,Total Liabilities And Stockholders Equity,304270,30644990,29853283,79203416,66845090,5569054,3582966
69,Minority Interest,- -,- -,-3,-6,- -,6,- -
70,Total Liabilities & Equity,304270,30644990,29853280,79203410,66845090,5569060,3582966
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-164250,5612030,13888770,24048180,-3818740,-61995760,-9075353
74,Depreciation and Amortization,- -,8613,9979,39314,59907,62358,1179
75,Deferred Income Tax,-54480,53748,- -,-38890,-1733152,1790260,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-92720,-4621951,572083,3554934,-21260206,2829165,455509
78,Accounts Receivable,- -,-5075469,-3689700,2265897,-13327901,-1450857,7264
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,66558,-70242,- -,- -
81,Other Working Capital,- -,- -,- -,- -,76203,-94688,- -
82,Other Non-Cash Items,- -,-454841,-3,4,9485809,56242598,4800000
83,Cash Provided by Operating Activities,-311450,597599,14470829,27603542,-17266382,-1071379,-3818665
84,CAPEX,-8090,-46433,- -,-191692,-175972,- -,-108095
85,Acquisitions Net,- -,- -,- -,-1473365,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-24095085,2491607,-20643150,-7547287,-200000,- -
89,Cash Used for Investing Activites,-8090,-24137400,2491607,-22308207,-7723259,-200000,-108095
90,Debt Repayment,- -,-1045554,-67434,- -,-128407,-31201,- -
91,Common Stock Issued,- -,- -,- -,18968888,- -,- -,4278000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,324200,25481927,-15678889,672241,- -,- -,- -
95,Cash Used/Provided by Financing Activities,324200,24436373,-15746323,19641129,-128407,-31201,4278000
96,Effect of Forex Changes on Cash,20,-446056,209111,348373,-468386,-262681,2909480
97,Net Change In Cash,4690,450516,1425224,25284837,-25586434,-1565261,3260720
98,Cash at the End of Period,4690,455201,1880425,27165262,1578828,13567,3274287
99,Cash at the Beginning of Period,- -,4685,455201,1880425,27165262,1578828,13567
100,Free Cash Flow,-319540,551166,14470829,27411850,-17442354,-1071379,-3926760
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
