,https://roic.ai/company/CTXRW,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9346796,68746796
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,135,- -,5401,5401,21053764,20988963,20988963,21043889,- -,38062
45,Total Non-Current Assets,- -,135,- -,5401,5401,21057506,20992199,20990446,21044479,9348373,69614709
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,23330358,142429059
48,Accounts Payable,906,- -,11474,106169,559150,909156,602431,1573444,2713542,1856235,1277095
49,Short-Term Debt,18493,17047,3209,600000,- -,672970,172970,172970,172970,331969,177237
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4654,- -,11,1593227,817601,3601832,1693764,1438426,1721210,1908929,2527960
53,Total Current Liabilities,24053,17047,14694,2299396,1376751,5183958,2469165,3184840,4607722,4097133,3982292
54,Long-Term Debt,18493,- -,- -,- -,- -,672970,- -,- -,- -,855471,678234
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4985800
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,18493,- -,- -,- -,- -,672970,- -,- -,- -,855471,5664034
59,Other Liabilities,- -,28935,- -,- -,- -,- -,- -,- -,- -,6861325,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014470,855471
61,Total Liabilities,24053,45982,14694,2299396,1376751,5183958,2469165,3184840,4607722,10102987,9646326
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18000,18000,18000,30025,34118,73138,8346,16199,28930,55577,145979
64,Retained Earnings,- -,- -,- -,-6138281,-9040549,-17336247,-27721200,-40257838,-55819982,- -,-96047821
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,-41841,-63847,-32694,5366321,8371218,34029492,49660242,68107323,80169724,33615091,228084195
67,Total Stockholders Equity,-23841,-45847,-14694,-741935,-635213,16766383,21947388,27865684,24378672,33670668,132182353
68,Total Liabilities And Stockholders Equity,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,43773655,141828679
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20443297,600380
70,Total Liabilities & Equity,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,23330358,142429059
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1506251/000118518512000067/0001185185-12-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-41841,-22006,-31369,- -,-2902268,-8295698,-8295698,-12536638,-15562144,-17548085,-23054434
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1343,1343,1753,893,152364,164868
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,486271,732151,986620,779701,715983,803261,1454979
77,Change in Working Capital,5560,- -,23841,-14694,-732642,106722,-3650509,5246312,5920049,-3541045,6550659
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,906,-906,11474,- -,452981,105230,-306725,971013,1140098,-857307,-579140
81,Other Working Capital,-23841,-23841,- -,-14694,-747336,-640614,-4291123,955189,6875238,3334193,9884852
82,Other Non-Cash Items,15500,1682,-13076,14694,763223,1555061,2987039,-4809266,-3512532,3202847,-9366486
83,Cash Provided by Operating Activities,-20781,-20324,-20604,- -,-2385416,-5900421,-7971205,-11318138,-12437751,-16930658,-24250414
84,CAPEX,- -,- -,- -,- -,- -,- -,-2126,- -,- -,-1831,-40006938
85,Acquisitions Net,- -,- -,- -,- -,- -,255748,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1552060,- -,- -,- -,- -,- -,- -,-40000000
89,Cash Used for Investing Activites,- -,- -,- -,1552060,- -,255748,-2126,- -,- -,-1831,-40006938
90,Debt Repayment,- -,- -,-30147,- -,- -,-600000,- -,- -,- -,- -,-172970
91,Common Stock Issued,- -,- -,- -,- -,1509493,5427688,6673048,16172885,11124336,15577301,89430752
92,Common Stock Repurchased,- -,- -,- -,-1552060,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18493,20247,50616,1552060,- -,435199,4210040,1125148,23216,7321132,31212768
95,Cash Used/Provided by Financing Activities,18493,20247,20469,- -,1509493,5262887,10883088,17298033,11147552,22898433,120470550
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2288,-77,20469,1552060,-875923,-381786,2909757,5979895,-1290199,5965944,56213198
98,Cash at the End of Period,212,135,- -,1552060,676137,294351,3204108,9184003,7893804,13859748,70072946
99,Cash at the Beginning of Period,2500,212,135,- -,1552060,676137,294351,3204108,9184003,7893804,13859748
100,Free Cash Flow,-20781,-20324,-20604,- -,-2385416,-5900421,-7973331,-11318138,-12437751,-16932489,-64257352
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1506251/000118518512000067/0001185185-12-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
102,false,,,,,,,,,,,
