,https://roic.ai/company/BBWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,Operating Income ratio,0.1157,0.1395,0.1159,0.1148,0.1345,0.1328,0.1159,0.1136,0.0965,0.1091,0.0777,0.0750,0.0755,0.0746,0.0923,0.0867,0.0980,0.0992,0.1078,0.1092,0.1017,0.1102,0.1095,0.0651,0.1006,0.1336,0.1195,0.1504,0.1618,0.1705,0.1804,0.1593,0.1368,0.0935,0.0200,0.1334,0.2549
19,Total Other Income Expenses (Gains),-37000000,-43500000,-30600000,-71300000,-51300000,-44100000,-52400000,-43200000,-53900000,-54700000,572500000,27100000,-292900000,1666100000,-65380000,-117111000,-14000000,-1000000,203000000,89000000,-29000000,-79000000,19000000,-136000000,-218000000,-33000000,-11000000,-292000000,-297000000,-317000000,-258000000,-307000000,-416000000,-380000000,-439000000,-488000000,-586000000
20,Income Before Tax,239300000,394800000,378200000,396100000,573900000,653400000,660300000,745500000,645000000,744300000,1184500000,675200000,400400000,2363600000,831759000,758905000,904000000,837000000,1166000000,1116000000,957000000,1097000000,1129000000,453000000,650000000,1251000000,1227000000,1281000000,1446000000,1636000000,1934000000,1696000000,1312000000,857000000,-181000000,1092000000,1423000000
21,Income Before Tax Ratio,0.1002,0.1256,0.1072,0.0973,0.1235,0.1244,0.1074,0.1074,0.0890,0.1017,0.1503,0.0781,0.0436,0.2529,0.0855,0.0751,0.0966,0.0991,0.1305,0.1186,0.0987,0.1028,0.1114,0.0501,0.0753,0.1301,0.1184,0.1225,0.1342,0.1428,0.1591,0.1349,0.1039,0.0647,-0.0140,0.0922,0.1805
22,Income Tax expense (Gain),94000000,167000000,143000000,151000000,227000000,255000000,257000000,290000000,254000000,296000000,223000000,241000000,183000000,310000000,371000000,331000000,385000000,341000000,449000000,411000000,291000000,422000000,411000000,233000000,202000000,446000000,377000000,528000000,543000000,594000000,681000000,538000000,329000000,213000000,185000000,248000000,90000000
23,Net Income,145300000,227800000,235200000,245100000,346900000,398400000,403300000,455500000,391000000,448300000,961500000,434200000,217400000,2053600000,460759000,427905000,519000000,502000000,717000000,705000000,683000000,676000000,718000000,220000000,448000000,805000000,850000000,753000000,903000000,1042000000,1253000000,1158000000,983000000,644000000,-366000000,844000000,1333000000
24,Net Income ratio,0.0609,0.0725,0.0667,0.0602,0.0746,0.0758,0.0656,0.0656,0.0540,0.0612,0.1220,0.0502,0.0237,0.2197,0.0474,0.0423,0.0554,0.0594,0.0803,0.0749,0.0704,0.0633,0.0709,0.0243,0.0519,0.0837,0.0820,0.0720,0.0838,0.0910,0.1031,0.0921,0.0778,0.0487,-0.0283,0.0712,0.1691
25,EPS,0.20,0.31,0.32,0.34,0.49,0.56,0.56,0.63,0.55,0.63,1.35,0.78,0.40,4.26,1.05,1.00,1.21,0.98,1.38,1.50,1.70,1.71,1.91,0.66,1.24,2.51,2.88,2.54,3.05,3.57,4.32,4.05,3.42,-1.33,-1.33,3.00,4.73
26,EPS Diluted,0.20,0.31,0.32,0.34,0.48,0.55,0.56,0.63,0.54,0.63,1.34,0.77,0.40,4.16,1.00,0.96,1.19,0.96,1.36,1.47,1.66,1.68,1.89,0.65,1.23,2.42,2.70,2.54,3.05,3.50,4.22,3.98,3.42,-1.33,-1.33,3.00,4.73
27,Weighted Average Shares Outstanding,726500000,734838710,735000000,720882353,707959184,711428571,720178571,723015873,710909091,717280000,712222222,556666667,543500000,482065728,429928000,427604000,427844000,510000000,519565217,470000000,403000000,395321637,375916230,335000000,322000000,321000000,295000000,296769000,296055000,292000000,290000000,286000000,287062000,276163000,276000000,281847000,281847000
28,Weighted Average Shares Outstanding Diluted,726500000,734838710,735000000,720882353,722708333,724363636,720178571,723015873,724074074,717386000,717537313,563896104,550379747,493653846,429928000,443048000,434901000,522000000,527205882,479000000,411000000,402380952,379894180,337000000,326765000,332874000,314311000,296769000,296072459,297960000,296788000,291065000,287422807,276163000,276000000,281847000,281847000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701985/000070198520000010/0000701985-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198521000011/0000701985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198522000009/0000701985-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262000000,3129000000,1161000000,1208000000,500000000,1018000000,1173000000,1804000000,1130000000,935000000,773000000,1519000000,1681000000,2548000000,1934000000,1515000000,1413000000,1499000000,3903000000,1979000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262000000,3129000000,1161000000,1208000000,500000000,1018000000,1173000000,1804000000,1130000000,935000000,773000000,1519000000,1681000000,2548000000,1934000000,1515000000,1413000000,1499000000,3903000000,1979000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,110000000,128000000,182000000,176000000,355000000,236000000,219000000,232000000,218000000,203000000,244000000,252000000,261000000,294000000,310000000,367000000,306000000,269000000,240000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000000,943000000,1142000000,1160000000,1770000000,1251000000,1182000000,1037000000,1032000000,997000000,1004000000,1165000000,1036000000,1122000000,1096000000,1240000000,1248000000,1287000000,1273000000,709000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000000,251000000,253000000,234000000,325000000,295000000,276000000,190000000,198000000,218000000,225000000,222000000,263000000,225000000,141000000,228000000,232000000,153000000,134000000,81000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3606000000,4433000000,2684000000,2784000000,2771000000,2919000000,2867000000,3250000000,2592000000,2368000000,2205000000,3150000000,3232000000,4156000000,3465000000,3293000000,3260000000,3245000000,5579000000,3009000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492000000,1449000000,1484000000,1615000000,1862000000,1862000000,1929000000,1723000000,1610000000,1644000000,1803000000,2045000000,2277000000,2330000000,2741000000,2893000000,2818000000,5539000000,4653000000,2030000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1676000000,1733000000,1426000000,1442000000,1451000000,1330000000,1318000000,1318000000,1318000000,1318000000,1348000000,1348000000,1348000000,628000000,628000000,628000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1758000000,1752000000,1800000000,1804000000,642000000,677000000,580000000,594000000,592000000,495000000,412000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1758000000,1752000000,1800000000,1804000000,2318000000,2410000000,2006000000,2036000000,2043000000,1825000000,1730000000,1729000000,1729000000,1729000000,1759000000,1759000000,1759000000,1039000000,1039000000,628000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,19000000,14000000,62000000,84000000,69000000,45000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000000,239000000,121000000,143000000,142000000,246000000,170000000,164000000,206000000,271000000,281000000,274000000,306000000,248000000,186000000,190000000,191000000,218000000,231000000,314000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3640000000,3440000000,3405000000,3562000000,4322000000,4518000000,4105000000,3923000000,3859000000,3740000000,3814000000,4048000000,4312000000,4337000000,4705000000,4856000000,4830000000,6880000000,5992000000,3017000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7246000000,7873000000,6089000000,6346000000,7093000000,7437000000,6972000000,7173000000,6451000000,6108000000,6019000000,7198000000,7544000000,8493000000,8170000000,8149000000,8090000000,10125000000,11571000000,6026000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456000000,453000000,496000000,535000000,593000000,517000000,494000000,488000000,545000000,540000000,541000000,599000000,613000000,668000000,683000000,717000000,711000000,647000000,683000000,435000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,7000000,- -,- -,- -,57000000,- -,215000000,- -,6000000,36000000,87000000,72000000,539000000,594000000,170000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000000,68000000,226000000,274000000,288000000,237000000,300000000,380000000,300000000,199000000,208000000,180000000,34000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,218000000,166000000,- -,191000000,196000000,202000000,207000000,227000000,243000000,259000000,267000000,316000000,330000000,361000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803000000,939000000,955000000,1040000000,835000000,632000000,595000000,834000000,768000000,733000000,795000000,805000000,839000000,958000000,1036000000,960000000,887000000,856000000,1188000000,685000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1259000000,1392000000,1451000000,1575000000,1709000000,1374000000,1255000000,1322000000,1504000000,1526000000,1538000000,1826000000,1679000000,1875000000,2014000000,2031000000,1986000000,2372000000,2826000000,1290000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,648000000,1646000000,1669000000,1665000000,2905000000,2897000000,2723000000,2507000000,3481000000,4477000000,4761000000,4765000000,5715000000,5700000000,5707000000,5739000000,8539000000,8861000000,5843000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,134000000,177000000,146000000,173000000,175000000,213000000,213000000,202000000,183000000,200000000,210000000,261000000,257000000,352000000,238000000,226000000,219000000,234000000,157000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000000,433000000,447000000,452000000,520000000,709000000,732000000,731000000,761000000,780000000,818000000,770000000,820000000,904000000,831000000,924000000,1004000000,490000000,311000000,96000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1127000000,1215000000,2270000000,2267000000,2358000000,3789000000,3842000000,3667000000,3470000000,4444000000,5495000000,5741000000,5846000000,6876000000,6883000000,6869000000,6969000000,9248000000,9406000000,6253000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3530000000,3089000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2386000000,2607000000,3721000000,3842000000,4067000000,5163000000,5097000000,4989000000,4974000000,5970000000,7033000000,7567000000,7525000000,8751000000,8897000000,8900000000,8955000000,11620000000,12232000000,7543000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,262000000,262000000,262000000,262000000,262000000,262000000,161000000,164000000,148000000,152000000,154000000,155000000,156000000,157000000,141000000,141000000,142000000,143000000,134000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2906000000,3417000000,3392000000,3833000000,4277000000,4758000000,4777000000,2037000000,1354000000,24000000,-672000000,-118000000,233000000,315000000,205000000,-1434000000,-1482000000,-2182000000,-1421000000,-1803000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2139000000,-2258000000,-2298000000,-2383000000,-17000000,31000000,-28000000,-15000000,1000000,- -,4000000,40000000,35000000,40000000,12000000,24000000,59000000,52000000,83000000,80000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3832000000,3845000000,979000000,759000000,-1567000000,-2832000000,-3137000000,- -,-43000000,-35000000,-499000000,-446000000,-405000000,-770000000,-1103000000,516000000,413000000,489000000,533000000,72000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4860000000,5266000000,2335000000,2471000000,2955000000,2219000000,1874000000,2183000000,1476000000,137000000,-1015000000,-370000000,18000000,-259000000,-729000000,-753000000,-869000000,-1499000000,-662000000,-1517000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7246000000,7873000000,6056000000,6313000000,7022000000,7382000000,6971000000,7172000000,6450000000,6107000000,6018000000,7197000000,7543000000,8492000000,8168000000,8147000000,8086000000,10121000000,11570000000,6026000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,33000000,71000000,55000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,4000000,4000000,1000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7246000000,7873000000,6089000000,6346000000,7093000000,7437000000,6972000000,7173000000,6451000000,6108000000,6019000000,7198000000,7544000000,8493000000,8170000000,8149000000,8090000000,10125000000,11571000000,6026000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701985/000070198520000010/0000701985-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198521000011/0000701985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198522000009/0000701985-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,346900000,398400000,403300000,455500000,391000000,448300000,961500000,434200000,217400000,2053600000,460759000,427905000,519000000,502000000,717000000,705000000,683000000,676000000,718000000,220000000,448000000,805000000,850000000,753000000,903000000,1042000000,1253000000,1158000000,983000000,644000000,-366000000,844000000,1333000000
74,Depreciation and Amortization,- -,- -,- -,- -,164700000,184400000,222700000,247000000,271400000,267800000,285900000,289600000,313300000,286000000,272443000,271146000,277000000,310000000,283000000,333000000,299000000,316000000,352000000,343000000,393000000,394000000,391000000,389000000,407000000,438000000,457000000,518000000,571000000,590000000,588000000,521000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,59000000,23000000,47000000,-76000000,-43000000,-5000000,46000000,49000000,-24000000,-37000000,11000000,18000000,50000000,11000000,110000000,-108000000,-52000000,-29000000,33000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,64000000,51000000,73000000,85000000,90000000,97000000,96000000,102000000,97000000,87000000,50000000,- -
77,Change in Working Capital,- -,- -,- -,- -,-107300000,- -,- -,- -,- -,-63500000,63500000,- -,- -,- -,- -,65048000,-69048000,2351000000,694000000,-1808000000,-24000000,-147000000,483000000,67000000,316000000,-840000000,-246000000,-175000000,657000000,229000000,728000000,-830000000,-189000000,12000000,-401000000,1880000000,-1034000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,-11000000,-152000000,5000000,-43000000,-9000000,-10000000,-44000000,-13000000,-63000000,31000000,38000000,- -
79,Inventory,- -,- -,- -,- -,-101600000,-101800000,-144900000,-73700000,70000000,-136700000,-70800000,-48400000,-5400000,-153700000,-54270000,-106227000,82000000,-144000000,23000000,-194000000,10000000,-545000000,337000000,45000000,156000000,9000000,-27000000,-7000000,-168000000,121000000,-92000000,30000000,-137000000,-40000000,-40000000,3000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,- -,-43000000,1000000,90000000,49000000,-27000000,50000000,29000000,-93000000,166000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63500000,- -,- -,- -,- -,- -,65048000,-4000000,2347000000,3041000000,1233000000,1209000000,1062000000,1545000000,1612000000,1928000000,1088000000,842000000,667000000,1324000000,1553000000,2281000000,1451000000,1262000000,1274000000,873000000,2753000000,1719000000
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,-158300000,-150400000,51600000,-214300000,-291500000,-954200000,-11700000,59300000,-1768600000,-146876000,4996000,166048000,-2427000000,-655000000,1656000000,199000000,-202000000,-783000000,278000000,-72000000,885000000,257000000,300000000,-822000000,-63000000,-677000000,838000000,47000000,86000000,1357000000,-1289000000,1193000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,404200000,424500000,475600000,754100000,448100000,361100000,356700000,712100000,590000000,571000000,586326000,769095000,969000000,795000000,1062000000,933000000,1081000000,600000000,765000000,954000000,1174000000,1284000000,1266000000,1351000000,1248000000,1786000000,1869000000,1890000000,1406000000,1377000000,1236000000,2039000000,1492000000
84,CAPEX,- -,- -,- -,- -,-318400000,-428800000,-523100000,-429500000,-295800000,-319700000,-374400000,-409300000,-404600000,-347400000,-375405000,-446176000,-337000000,-306000000,-293000000,-431000000,-480000000,-548000000,-749000000,-479000000,-202000000,-274000000,-426000000,-588000000,-691000000,-715000000,-727000000,-990000000,-707000000,-629000000,-458000000,-228000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,- -,-580000000,547000000,159000000,9000000,32000000,- -,- -,- -,- -,85000000,-33000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,- -,-10000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,8000000,206000000,- -,- -,- -,- -,- -,49000000,99000000,- -,- -,- -,50000000,10000000,- -,- -,- -,- -,- -
