,https://roic.ai/company/PLXS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,- -,- -,3600000,5100000,2600000,3100000,6300000,7431000,16400000,19235000,20311000,40196000,39150000,-4073000,-67978000,-31580000,-12400000,100025000,65700000,84100000,46300000,89500000,89300000,62100000,82300000,87200000,94332000,76427000,112062000,13040000,108616000,117479000,138912000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,2100000,2400000,2600000,3100000,3200000,3653000,4487000,6582000,9993000,16307000,29890000,36604000,27135000,25449000,23890000,23310000,26588000,29219000,34468000,40152000,47026000,49214000,49476000,47864000,48378000,47414000,45330000,48296000,52206000,56690000,61014000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-100000,- -,-200000,-200000,100000,-906000,-481000,-1071000,-1778000,-1924000,-1287000,-4352000,-27006000,46946000,4000,-18039000,14155000,562000,-1173000,-3189000,-3028000,23758000,-1773000,-1653000,-597000,-330000,-366000,20388000,-9764000,-3583000,-3388000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9421000,9536000,11041000,12535000,11782000,12970000,13252000,19341000,17411000,17981000,21335000,24280000,24763000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-6700000,7900000,13900000,17600000,8500000,-19875000,1833000,15038000,42115000,103185000,63459000,-57201000,-9539000,5045000,24040000,119668000,68132000,11900000,20000000,64400000,30400000,66000000,-12300000,75900000,71241000,28170000,-73047000,69624000,-106700000,102854000,-78174000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59137000,-117449000,28551000,-38577000,19657000,-19426000,-64876000,-36990000,53705000,-30706000,-96694000,8796000,-33477000
79,Inventory,- -,- -,- -,- -,- -,- -,-7300000,-2600000,-19900000,-10600000,11100000,-7377000,4298000,1704000,-25270000,-118102000,78455000,34414000,-48869000,-35700000,-6569000,-42712000,-50235000,-64159000,16904000,-169469000,38152000,24105000,55193000,-122611000,-48202000,-785000,-86072000,-140615000,18798000,-56420000,-206510000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4630000,122226000,-60705000,34314000,-28490000,90320000,5283000,5839000,6894000,93342000,-56724000,65097000,111781000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,23400000,31300000,45200000,62800000,71300000,51425000,53258000,68296000,110411000,213596000,277055000,219854000,210315000,215360000,239400000,359068000,427200000,439100000,459100000,523500000,553900000,619900000,607600000,683500000,754741000,782911000,709864000,779488000,672788000,775642000,44359000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,-13100000,-28400000,-34800000,-13900000,38940000,-1878000,-10039000,-55484000,-209156000,-34649000,159477000,57435000,-67212000,46433000,-141880000,-136062000,-61600000,61280000,-198437000,-13056000,-56104000,78162000,-133849000,-150034000,-43284000,70344000,-102498000,49607000,-87352000,-550000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-1100000,2300000,-9500000,-11200000,4200000,29243000,20361000,29745000,15157000,-51392000,96563000,130455000,-19953000,-21352000,81967000,83084000,38513000,64181000,170296000,1962000,161683000,157503000,207647000,88432000,76572000,127738000,171734000,66831000,115300000,210368000,142577000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3400000,-2000000,-8200000,-5300000,-2100000,-4144000,-10738000,-9376000,-18196000,-44228000,-54560000,-30760000,-22372000,-18086000,-21707000,-34865000,-47837000,-54329000,-57427000,-74674000,-74051000,-63697000,-108122000,-65284000,-35076000,-31123000,-38538000,-62780000,-90600000,-50088000,-57099000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73388000,-32600000,-41985000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34155000,- -,- -,- -,- -,- -,-12379000,1180000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244449000,-48042000,-57475000,-52550000,-105236000,-86903000,-19500000,-32500000,-63050000,-53400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232742000,65266000,36700000,20300000,138560000,102599000,13505000,12500000,38050000,106400000,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,- -,8000,724000,114000,213000,52000,48000,561000,2665000,- -,202000,608000,4460000,239000,342000,280000,2145000,3670000,873000,2717000,407000,4607000,704000,538000,61000,237000,126000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-3400000,-2000000,-8200000,3800000,-2100000,-4136000,-10014000,-9262000,-29690000,-100340000,-107887000,-104434000,13617000,-2390000,-27500000,-54257000,-68377000,-1090000,-57085000,-74394000,-71906000,-92182000,-107249000,-62567000,-34669000,-26516000,-37834000,-74621000,-89359000,-49851000,-56973000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20726000,-20899000,-17420000,-107354000,-41018000,-285263000,-487811000,-629571000,-302880000,-970258000,-993588000,-638298000,-466063000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,400000,- -,7000000,300000,93000,3504000,5963000,10027000,8347000,169382000,3670000,3710000,5209000,5500000,35975000,2195000,5595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3442000,-1160000,- -,- -,- -,- -,- -,- -,- -,- -,-200110000,- -,- -,-200000000,- -,-49858000,-30000000,-30000000,-30000000,-34136000,-137034000,-182109000,-41392000,-108452000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-516000,-338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,3500000,-200000,17700000,600000,600000,-26406000,-11705000,-3464000,-4561000,133064000,-78741000,-52360000,-2749000,-1001000,-1268000,-481000,13937000,144866000,3847000,23155000,180466000,96543000,33428000,294304000,491608000,638280000,338321000,841829000,1078478000,678232000,370630000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,3500000,200000,17700000,7600000,400000,-26829000,-8539000,-943000,4306000,141411000,90641000,-48690000,961000,4208000,4232000,35494000,16132000,-49649000,-16879000,2256000,-36954000,-10811000,-57448000,-20959000,-26203000,-21291000,1305000,-265463000,-97219000,-1458000,-203885000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-292000,-19000,1425000,1021000,1465000,-896000,1864000,2929000,-1581000,-3920000,38000,1040000,1002000,1296000,-180000,-5185000,-4073000,1085000,1685000,-154000,2581000,900000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,3500000,200000,17700000,7600000,400000,-1722000,1808000,19540000,-10227000,-10613000,79298000,-21244000,-4354000,-18069000,57803000,66185000,-10803000,11861000,92412000,-70138000,53863000,55512000,44246000,4726000,10515000,75858000,136290000,-271568000,-71432000,161640000,-117381000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1847000,3655000,23195000,15906000,5293000,84591000,63347000,58993000,40924000,98727000,164912000,154109000,165970000,258382000,188244000,242107000,297619000,341865000,346591000,357106000,432964000,569254000,297686000,226254000,387894000,270513000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1300000,300000,900000,800000,1100000,3569000,1847000,3655000,26133000,15906000,5293000,84591000,63347000,58993000,40924000,98727000,164912000,154109000,165970000,258382000,188244000,242107000,297619000,341865000,346591000,357106000,432964000,569254000,297686000,226254000,387894000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-4500000,300000,-17700000,-16500000,2100000,25099000,9623000,20369000,-3039000,-95620000,42003000,99695000,-42325000,-39438000,60260000,48219000,-9324000,9852000,112869000,-72712000,87632000,93806000,99525000,23148000,41496000,96615000,133196000,4051000,24700000,160280000,85478000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-96-000404-index.html,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-97-006656-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/000095013706013086/0000950137-06-013086-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013707017644/0000950137-07-017644-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013708013796/0000950137-08-013796-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012309063978/0000950123-09-063978-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012310107157/0000950123-10-107157-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000119312511315563/0001193125-11-315563-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578612000018/0000785786-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578613000043/0000785786-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578614000044/0000785786-14-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578615000044/0000785786-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578616000110/0000785786-16-000110-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578617000049/0000785786-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578618000051/0000785786-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578619000059/0000785786-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578620000102/0000785786-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/0000785786-21-000082-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
