,https://roic.ai/company/HCC,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1691303/000169130318000010/0001691303-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130319000007/0001691303-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130320000014/0001691303-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130321000010/0001691303-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130322000006/0001691303-22-000006-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,79762000,150045000,35470000,205577000,193383000,211916000,395839000
32,Short-Term Investments,- -,17501000,17501000,17501000,14675000,8504000,8505000
33,Cash and Short-Term Investments,79762000,167546000,52971000,223078000,208058000,220420000,404344000
34,Net Receivables,28426000,71797000,132228000,161440000,114243000,88440000,130141000
35,Inventory,51575000,39420000,54294000,56719000,97901000,118713000,59619000
36,Other Current Assets,34180000,12010000,29376000,27932000,23844000,39910000,33097000
37,Total Current Assets,193943000,290773000,268869000,469169000,444046000,467483000,627201000
38,PP&E,572889000,640190000,666749000,660742000,716330000,737963000,696592000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,222780000,154297000,174372000,125276000
44,Other Non-Current Assets,35305000,16668000,57697000,42349000,29591000,14118000,15142000
45,Total Non-Current Assets,608194000,656858000,724446000,925871000,900218000,926453000,837010000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,802137000,947631000,993315000,1395040000,1344264000,1393936000,1464211000
48,Accounts Payable,13773000,6043000,28076000,33588000,46436000,59110000,33829000
49,Short-Term Debt,- -,- -,2965000,760000,- -,14385000,23622000
50,Tax Payable,- -,- -,- -,- -,- -,3095000,3340000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50612000,58593000,77179000,90084000,82516000,96823000,64677000
53,Total Current Liabilities,64385000,64636000,108220000,124432000,128952000,170318000,122128000
54,Long-Term Debt,- -,3725000,342948000,468231000,339189000,403999000,368240000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2434000,1944000,258000,- -,- -,- -,- -
57,Other Non-Current Liabilities,1556179000,124359000,128866000,89765000,110541000,94378000,101860000
58,Total Non-Current Liabilities,1558613000,130028000,472072000,557996000,449730000,498377000,470100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,35674000,38476000,52056000
61,Total Liabilities,1622998000,194664000,580292000,682428000,578682000,668695000,592228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,802640000,534000,533000,533000,534000,537000
64,Retained Earnings,- -,-49673000,82496000,510282000,571693000,525537000,665963000
65,Other Comprehensive Income/Loss,-790601000,-45371000,-125949000,-208243000,-307639000,- -,- -
66,Other Total Stockholders Equity,- -,45371000,455942000,410040000,500995000,199170000,205483000
67,Total Stockholders Equity,-820861000,752967000,413023000,712612000,765582000,725241000,871983000
68,Total Liabilities And Stockholders Equity,802137000,947631000,993315000,1395040000,1344264000,1393936000,1464211000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,802137000,947631000,993315000,1395040000,1344264000,1393936000,1464211000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1691303/000169130318000010/0001691303-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130319000007/0001691303-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130320000014/0001691303-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130321000010/0001691303-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130322000006/0001691303-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-310581000,- -,455046000,696787000,301699000,-35761000,150881000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,118092000,- -
75,Deferred Income Tax,-40789000,- -,-1686000,-223038000,68483000,-20075000,49096000
76,Stock Based Compensation,4034000,- -,4181000,6405000,5820000,7602000,9370000
77,Change in Working Capital,91389000,- -,-65488000,184088000,-29643000,-17929000,-15663000
78,Accounts Receivable,46858000,- -,-51850000,-20653000,38928000,16173000,-38852000
79,Inventory,20604000,- -,-13732000,-1812000,-30491000,-13465000,45693000
80,Accounts Payable,16675000,- -,14388000,5060000,13409000,15361000,-20322000
81,Other Working Capital,226137000,- -,160649000,344737000,315094000,297165000,5724000
82,Other Non-Cash Items,124129000,- -,42459000,-104846000,186455000,60697000,157859000
83,Cash Provided by Operating Activities,-131818000,- -,434512000,559396000,532814000,112626000,351543000
84,CAPEX,-64971000,- -,-92625000,-101620000,-107278000,-87488000,-57893000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-24171000,-8500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,17501000,14733000,- -
88,Other Investing Activites,722000,- -,- -,-6009000,-20265000,-26934000,-13253000
89,Cash Used for Investing Activites,-64249000,- -,-92625000,-107629000,-134213000,-108189000,-71146000
90,Debt Repayment,-4610000,- -,-3565000,-3060000,-157545000,-44237000,-419326000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-38030000,-12546000,- -,- -
93,Dividends Paid,- -,- -,-796902000,-360635000,-240394000,-10395000,-10455000
94,Other Financing Activites,-142535000,- -,342188000,120099000,-1138000,68728000,333307000
95,Cash Used/Provided by Financing Activities,-147145000,- -,-458279000,-281626000,-411623000,14096000,-96474000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-343212000,- -,-116392000,170141000,-13022000,18533000,183923000
98,Cash at the End of Period,84462000,- -,36264000,206405000,193383000,211916000,395839000
99,Cash at the Beginning of Period,427674000,- -,152656000,36264000,206405000,193383000,211916000
100,Free Cash Flow,-196789000,- -,341887000,457776000,425536000,25138000,293650000
101,SEC Link,- -,undefined,https://www.sec.gov/Archives/edgar/data/1691303/000169130318000010/0001691303-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130319000007/0001691303-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130320000014/0001691303-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130321000010/0001691303-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1691303/000169130322000006/0001691303-22-000006-index.htm
102,false,,,,,,,
