,https://roic.ai/company/ENB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,200190885,201505501,199628813,83545181,- -,69764363,101977837,737251159,813210909,912508935,984055728,1205439815,1323800240,1131599809,1360700346,1243798789,1540000000,1632900337,1671599487,1760599861,1970600000,2194000000,2330000000,2657000000,2712000000,3375000000,3378000000,4225000000,4357000000,6442000000,6792000000,6991000000,6749000000,6712000000
11,COGS and Expenses,558458602,565257672,581255074,403281719,258741259,258803283,474680881,1860239978,1877483898,1948963545,1849071208,2108506945,2290299940,3334399873,3938700031,3963899266,5457000240,7361300151,9496199906,10770100308,14762600000,11205000000,13621000000,17511000000,23704000000,31552000000,34438000000,31490000000,30602000000,38242000000,39439000000,41386000000,31130000000,39266000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,27000000,23000000,24000000,26000000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550800000,597000000,687000000,711000000,803000000,907000000,1080000000,1624000000,1590000000,2826000000,2834000000,2730000000,2844000000,2705000000
14,Depreciation and Amortization,200190885,201505501,199628813,83545181,- -,69764363,101977837,221434415,236946690,274052895,308978328,383825231,453500300,392500796,403899906,443000129,525000000,575299453,587399814,596900387,658500000,764000000,864000000,937000000,1206000000,1370000000,1577000000,2024000000,2240000000,3163000000,3246000000,3391000000,3712000000,3852000000
15,EBITDA,390121689,394557035,440320148,609313612,107310871,189833201,141955394,426233978,555570782,645604003,645201238,771122685,866100780,942099650,1116098521,1331200567,1466399088,1359499941,1401999068,1513199920,3045900000,3229000000,2772000000,3220000000,2852000000,3029000000,4673000000,4069000000,6041000000,6151000000,9199000000,13534000000,10693000000,14161000000
16,EBITDA ratio,0.4545,0.4528,0.4645,0.9723,0.2735,0.4804,0.2400,0.1835,0.2260,0.2562,0.2755,0.2869,0.2941,0.2326,0.2454,0.2742,0.2242,0.1608,0.1317,0.1270,0.1888,0.2590,0.1832,0.1660,0.1127,0.0920,0.1241,0.1204,0.1748,0.1386,0.1983,0.2703,0.2736,0.3008
17,Operating Income,299809115,306079907,366778796,223364918,133630006,136351602,116846683,462503409,580375497,570979271,492569659,579137731,654700060,715700414,608800755,891400232,1083500120,1091800209,1148300326,1149299831,1368700000,1261000000,1506000000,1891000000,1512000000,1365000000,3200000000,1862000000,2581000000,1571000000,4816000000,8260000000,7957000000,7805000000
18,Operating Income ratio,0.3493,0.3513,0.3869,0.3564,0.3406,0.3451,0.1975,0.1991,0.2361,0.2266,0.2104,0.2155,0.2223,0.1767,0.1339,0.1836,0.1657,0.1292,0.1079,0.0964,0.0848,0.1012,0.0996,0.0975,0.0597,0.0415,0.0850,0.0551,0.0747,0.0354,0.1038,0.1650,0.2036,0.1658
19,Total Other Income Expenses (Gains),-109878311,-113028373,-126087461,309914491,-26319135,-16282764,-76869126,-257703846,-261751405,-199428163,-156346749,-191840277,-242099580,-211400828,-138901479,-3199794,-142099832,-307599721,-333699907,-233000298,467900000,644000000,-285000000,-263000000,-441000000,-752000000,-1027000000,-1851000000,-130000000,-1002000000,-1246000000,-725000000,-3767000000,-76000000
20,Income Before Tax,189930804,193051534,240691335,533279409,107310871,120068838,39977557,204799563,318624092,371551108,336222910,387297454,412600480,504299586,469899276,888200438,941400288,784200488,814600419,916299533,1836600000,1905000000,1221000000,1628000000,1071000000,613000000,2173000000,11000000,2451000000,569000000,3570000000,7535000000,4190000000,7729000000
21,Income Before Tax Ratio,0.2213,0.2216,0.2539,0.8510,0.2735,0.3039,0.0676,0.0882,0.1296,0.1474,0.1436,0.1441,0.1401,0.1245,0.1033,0.1829,0.1439,0.0928,0.0765,0.0769,0.1139,0.1528,0.0807,0.0839,0.0423,0.0186,0.0577,0.0003,0.0709,0.0128,0.0770,0.1505,0.1072,0.1642
22,Income Tax expense (Gain),86852780,76896352,96740517,188467761,31786395,39316918,-3647075,74447777,138276004,154253038,95356037,87528935,-1900120,66700096,102099465,187400490,289199664,221300151,192299627,209199523,508900000,306000000,251000000,568000000,128000000,123000000,611000000,170000000,142000000,-2697000000,237000000,1708000000,774000000,1415000000
23,Net Income,103078024,116155182,143950818,337300670,75524476,80751920,43624632,130351786,180348088,217298070,240866873,299768519,414500600,482898758,610099150,700799948,652199424,562900337,622299627,707100010,1327700000,1562000000,970000000,1004000000,715000000,629000000,1405000000,251000000,2069000000,2859000000,2882000000,5705000000,3363000000,6189000000
24,Net Income ratio,0.1201,0.1333,0.1518,0.5383,0.1925,0.2044,0.0737,0.0561,0.0734,0.0862,0.1029,0.1115,0.1407,0.1192,0.1342,0.1443,0.0997,0.0666,0.0585,0.0593,0.0823,0.1253,0.0641,0.0517,0.0283,0.0191,0.0373,0.0074,0.0599,0.0644,0.0621,0.1139,0.0860,0.1315
25,EPS,0.08,0.09,0.11,0.27,0.06,0.06,0.03,0.07,0.09,0.10,0.10,-0.33,-0.42,0.73,0.90,1.01,0.96,0.82,0.91,0.98,1.83,2.13,1.30,1.32,0.79,0.55,1.39,-0.04,1.95,1.66,1.46,2.64,1.48,3.06
26,EPS Diluted,0.08,0.09,0.11,0.27,0.06,0.06,0.03,0.07,0.09,0.10,0.10,-0.33,-0.42,0.72,0.89,1.00,0.96,0.81,0.90,0.97,1.82,2.13,1.28,1.30,0.78,0.55,1.39,-0.04,1.93,1.65,1.46,2.63,1.48,3.06
27,Weighted Average Shares Outstanding,633296000,633936000,634192000,635184000,810000000,638912000,649328000,973968000,1079840000,1186624000,1245680000,1201970471,1228800000,1259200000,640555381,662232790,641035971,673940240,679999537,710600000,718600000,728337237,740000000,751000000,772000000,806000000,829000000,847000000,911000000,1525000000,1724000000,2017000000,2020000000,2020000000
28,Weighted Average Shares Outstanding Diluted,633296000,633936000,634192000,635184000,810000000,638912000,649328000,973968000,1079840000,1186624000,1245680000,1201970471,1228800000,1259200000,647752633,667199536,646057140,682209445,687597297,716600000,724200000,731764706,748000000,761000000,785000000,817000000,840000000,858000000,918000000,1532000000,1727000000,2020000000,2021000000,2020000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000104746909001598/0001047469-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465910008190/0001104659-10-008190-index.html,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465912011714/0001104659-12-011714-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465913011253/0001104659-13-011253-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465916098507/0001104659-16-098507-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465917010184/0001104659-17-010184-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572818000008/0000895728-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572819000033/0000895728-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572820000009/0000895728-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/895728/000119312521073298/0001193125-21-073298-index.htm,https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,54000000,67000000,74000000,40700346,104100219,105500360,153900454,139699441,166699772,541700000,327000000,242000000,420000000,1776000000,756000000,1261000000,1015000000,2117000000,480000000,518000000,648000000,452000000,286000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,54000000,67000000,74000000,40700346,104100219,105500360,153900454,139699441,166699772,541700000,327000000,242000000,420000000,1776000000,756000000,1261000000,1015000000,2117000000,480000000,518000000,648000000,452000000,286000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611000000,679000000,748000000,1419000000,817500787,1138799433,1451899448,1900300035,2045599953,2388699970,2322500000,2484000000,2706000000,3136000000,3344000000,4339000000,4262000000,3882000000,4405000000,7100000000,6098000000,6523000000,5001000000,6181000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000,375000000,520000000,666000000,583800755,809800335,791599472,1021400163,868900280,709400139,844700000,784000000,813000000,739000000,779000000,1115000000,1148000000,1111000000,1233000000,1528000000,1339000000,1299000000,1536000000,1670000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,123000000,-1573,- -,1200,-1164,- -,- -,- -,- -,- -,- -,701000000,740000000,1530000000,1589000000,655000000,107000000,617000000,355000000,361000000,822000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094000000,1107000000,1334000000,2282000000,1442000315,2052699987,2349000480,3075599488,3054199674,3264799881,3708900000,3595000000,3761000000,4295000000,6600000000,6950000000,8201000000,7597000000,8410000000,9215000000,8572000000,8825000000,7350000000,8959000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6364000000,6771000000,7160000000,7547000000,6947599937,8530900425,9066499880,10466599605,11264699441,12597599563,16389600000,18850000000,20332000000,22623000000,33318000000,42279000000,53830000000,64434000000,64284000000,90711000000,94540000000,93723000000,94571000000,100067000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000000,- -,- -,- -,- -,394899814,387999801,389200000,372000000,385000000,1024000000,419000000,445000000,483000000,80000000,78000000,34457000000,34459000000,33153000000,32700000000,32775000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165399568,619799977,241500466,212000199,225300000,488000000,478000000,600000000,817000000,1004000000,1166000000,1348000000,1573000000,3267000000,2372000000,2173000000,2080000000,4008000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000000,- -,- -,165399568,619799977,636400280,600000000,614500000,860000000,863000000,1624000000,1236000000,1449000000,1649000000,1428000000,1651000000,37724000000,36831000000,35326000000,34780000000,36783000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,677000000,1052000000,1690000000,1773000000,- -,- -,- -,- -,- -,- -,2491800000,2312000000,2198000000,2540000000,3386000000,4212000000,5408000000,7008000000,6836000000,16644000000,16707000000,16528000000,13818000000,13324000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381000000,255000000,757000000,723000000,209000630,192500322,145000000,134900570,200100186,186699772,178200000,127000000,80000000,41000000,10000000,16000000,561000000,839000000,1170000000,1090000000,1374000000,1000000000,770000000,488000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169000000,23000000,-373000000,473000000,4388799181,3047199536,3179199664,2914000464,3223900279,3258300725,1318400000,2425000000,2886000000,3220000000,2622000000,2662000000,3208000000,3358000000,3481000000,6709000000,8881000000,7867000000,8999000000,9243000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7253000000,8101000000,9234000000,10846000000,11545399748,11770600283,12556099112,14135300616,15325100186,16642600060,20992500000,24574000000,26359000000,30048000000,40572000000,50618000000,64656000000,77067000000,77422000000,152878000000,158333000000,154444000000,152938000000,159905000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8347000000,9208000000,10568000000,13128000000,12987400063,13823300270,14905099592,17210900104,18379299860,19907399941,24701400000,28169000000,30120000000,34343000000,47172000000,57568000000,72857000000,84664000000,85832000000,162093000000,166905000000,163269000000,160276000000,168864000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,714099780,894100219,1275899928,1624800558,1723800093,2213799782,2411500000,2463000000,2688000000,153000000,123000000,300000000,414000000,561000000,328000000,5135000000,4604000000,4536000000,3497000000,4470000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400464396,155381944,261300240,2221099968,899800126,1358700245,1384700024,1544200488,1405000000,1211899891,1593100000,1222000000,550000000,1024000000,1714000000,3523000000,2552000000,2950000000,5074000000,4315000000,4283000000,5302000000,4078000000,7679000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,206000000,176000000,555000000,376000000,321000000,- -,801000000,890000000,622000000,478000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,886535604,755618056,998699760,978900032,102599937,96999871,83800096,81699035,95100187,89100208,101900000,104000000,117000000,3683000000,5232000000,6905000000,6535000000,7303000000,7426000000,5174000000,5968000000,6172000000,6404000000,6080000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287000000,911000000,1260000000,3200000000,1716499843,2349800335,2744400048,3250700081,3223900280,3514799881,4106500000,3789000000,3355000000,4860000000,7069000000,10728000000,9501000000,10814000000,12966000000,14624000000,14855000000,16010000000,13979000000,18229000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4502000000,5285000000,5593000000,5923000000,6040300598,5995500451,6718500120,7898999884,8675999534,9237399940,11628900000,12974000000,14622000000,15208000000,20203000000,22357000000,33423000000,39540000000,36494000000,60865000000,60327000000,59661000000,62819000000,67961000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,837400063,829000386,797300216,1008999884,1062500000,975600358,1290800000,2211000000,2447000000,2696000000,2601000000,2925000000,4842000000,5915000000,6036000000,9295000000,9454000000,9867000000,10332000000,11689000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497000000,512000000,952000000,973000000,- -,-1288,151798656,91699034,91099720,253900089,259000000,1207000000,1473000000,1892000000,3541000000,4048000000,6290000000,8197000000,8373000000,11577000000,8834000000,8324000000,8783000000,7617000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4999000000,5797000000,6545000000,6896000000,6877700661,6824499549,7667598992,8999698802,9829599254,10466900387,13178700000,16392000000,18542000000,19796000000,26345000000,29330000000,44555000000,53652000000,50903000000,81737000000,78615000000,77852000000,81934000000,87267000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17999397605,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6286000000,6708000000,7805000000,10096000000,8594200504,9174299884,10411999040,12250398884,13053499534,13981700268,17285200000,20181000000,21897000000,24656000000,33414000000,40058000000,54056000000,64466000000,63869000000,96361000000,93470000000,93862000000,95913000000,105496000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658700031,657400490,125000000,125000581,125000000,125000497,125000000,125000000,125000000,1056000000,3707000000,5141000000,6515000000,6515000000,7255000000,7747000000,7747000000,7747000000,7747000000,7747000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660000000,1677000000,1853000000,1876000000,- -,- -,- -,- -,- -,- -,3194000000,- -,- -,- -,4732000000,5744000000,6669000000,7391000000,10492000000,50737000000,64677000000,64746000000,64768000000,64799000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000000,503000000,581000000,812000000,1128100409,1511400232,1840899928,2098199791,2322700373,2537299633,3383400000,4400000000,4734000000,4991000000,3464000000,2550000000,1571000000,142000000,-716000000,-2468000000,-5538000000,-6314000000,-9995000000,-10989000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-262000000,-292000000,-272000000,-242000000,-123401007,-282699987,-270099592,-297499709,-271500466,-439300824,32800000,-543000000,-882000000,-1094000000,-1799000000,-599000000,-435000000,1632000000,1058000000,-973000000,2672000000,-272000000,-1401000000,-1096000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255455108,712549769,727800540,717201210,- -,- -,- -,- -,- -,- -,-116400000,- -,- -,- -,396000000,660000000,2466000000,3218000000,3297000000,3092000000,-88000000,136000000,248000000,365000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2061455108,2600549769,2889800540,3163201210,3832400063,4126000258,3978200144,4269501105,4610599953,5275200119,6618800000,7261000000,7565000000,8841000000,10500000000,13496000000,16786000000,18898000000,21386000000,58135000000,69470000000,66043000000,61367000000,60826000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8347455108,9308549769,10694800540,13259201210,12426600567,13300300142,14390199184,16519899989,17664099487,19256900387,23904000000,27442000000,29462000000,33497000000,43914000000,53554000000,70842000000,83364000000,85255000000,154496000000,162940000000,159905000000,157280000000,166322000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-455108,-100549769,-126800540,-131201210,560799496,523000128,514900408,691000115,715200373,650499554,797400000,727000000,658000000,846000000,3258000000,4014000000,2015000000,1300000000,577000000,7597000000,3965000000,3364000000,2996000000,2542000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8347000000,9208000000,10568000000,13128000000,12987400063,13823300270,14905099592,17210900104,18379299860,19907399941,24701400000,28169000000,30120000000,34343000000,47172000000,57568000000,72857000000,84664000000,85832000000,162093000000,166905000000,163269000000,160276000000,168864000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000104746909001598/0001047469-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465910008190/0001104659-10-008190-index.html,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465912011714/0001104659-12-011714-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465913011253/0001104659-13-011253-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465916098507/0001104659-16-098507-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465917010184/0001104659-17-010184-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572818000008/0000895728-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572819000033/0000895728-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572820000009/0000895728-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/895728/000119312521073298/0001193125-21-073298-index.htm,https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,337300670,75524476,80751920,43624632,130351786,180348088,217298070,240866873,299768519,414500600,482898758,610099150,700799948,652199424,562900337,622299627,707100010,1327700000,1562000000,970000000,1004000000,715000000,629000000,1405000000,251000000,2069000000,2859000000,2882000000,5705000000,3363000000,6189000000
74,Depreciation and Amortization,- -,- -,- -,83545181,- -,69764363,101977837,221434415,236946690,274052895,308978328,383825231,453500300,392500796,403899906,443000129,525000000,575299453,587399814,596900387,658500000,764000000,864000000,937000000,1206000000,1370000000,1577000000,2024000000,2240000000,3163000000,3246000000,3391000000,3712000000,3852000000
75,Deferred Income Tax,- -,- -,- -,107349203,- -,- -,- -,-14862285,12607921,-142959,-26160991,5497685,-157099580,-54000318,-64699402,85800593,12699784,108099779,-20999534,40800477,258100000,218000000,238000000,415000000,-40000000,131000000,587000000,7000000,43000000,-2877000000,-148000000,1156000000,447000000,1091000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-693321,- -,- -,- -,-1,1,-1,-192999999,389000000,-122000000,-992000000,643500472,-22600820,-98299220,220298975,5399987,-80299394,-147600000,203600000,600000000,-971000000,96000000,-3309000000,2478000000,-1917000000,-1339000000,-853000000,-874000000,-902000000,93000000,-1616000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201600000,76000000,-478000000,-94000000,-79000000,-842000000,-267000000,766000000,-444000000,-759000000,911000000,-653000000,1554000000,-1266000000
79,Inventory,- -,- -,- -,4391033,- -,- -,- -,58631034,13841305,-30736240,-47832817,-17361111,- -,-145800700,75999370,-224799691,35299976,-215699500,134099487,159500447,-135300000,99000000,-42000000,54000000,42000000,-315000000,-186000000,-315000000,-371000000,-289000000,164000000,-24000000,-254000000,-118000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181400000,134000000,283000000,504000000,-367000000,878000000,-795000000,-1480000000,467000000,224000000,-273000000,151000000,-769000000,-11000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-1,- -,-1,-193000000,196000000,74000000,-918000000,-274499528,-297100348,-395399568,-175100593,-169700606,-250000000,-397600000,-194000000,406000000,-565000000,-469000000,-3778000000,-1300000000,-3217000000,-4556000000,-5409000000,-6283000000,-7185000000,-469000000,-195000000
82,Other Non-Cash Items,- -,- -,- -,-347007164,35982199,-17077046,54145041,139214618,108126627,-59185132,-14430341,-583010416,-324901620,304500796,-682200504,-811799541,-204899724,-563098137,103600479,114198490,-709000000,-730600000,-821000000,1318000000,897000000,4520000000,-3500000000,4206000000,2198000000,4292000000,5396000000,48000000,2166000000,-260000000
83,Cash Provided by Operating Activities,- -,- -,- -,180494569,111506675,133439237,199747510,476138533,538029327,432022873,316253870,495081019,263999700,133900032,910599622,395200309,886700264,903500407,1297700373,1378699970,1387700000,2017000000,1851000000,2703000000,2874000000,3341000000,2547000000,4571000000,5211000000,6584000000,10502000000,9398000000,9781000000,9256000000
84,CAPEX,- -,- -,- -,-118095678,-116083916,-82870003,-376630663,-428688301,-560504317,-651465332,-1464551084,-800347222,-364299640,-683299904,-729899276,-391299755,-496400288,-680600070,-1185300559,-2299199523,-3635700000,-3320000000,-2407000000,-2681000000,-5631000000,-8447000000,-10732000000,-7374000000,-5255000000,-8864000000,-7346000000,-5692000000,-5620000000,-8093000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16499700,-599100605,-289299654,-78299626,-833899688,-88599837,-101400280,- -,-47000000,-145000000,-196000000,-1208000000,-340000000,- -,-394000000,-106000000,-645000000,657000000,- -,- -,-24000000,-3785000000
86,Purchases of Investments,- -,- -,- -,- -,-103623649,-21048451,- -,- -,- -,- -,- -,- -,- -,-41800382,-1282700661,-50499807,-16599472,-89899988,-362299627,-20299930,-659300000,-359000000,-121000000,-217000000,-531000000,-1018000000,-854000000,-622000000,-467000000,-4190000000,-1312000000,-1159000000,-487000000,-640000000
