,https://roic.ai/company/ASND,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1612042/000119312516543253/d163051d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312517092073/0001193125-17-092073-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312518099514/0001193125-18-099514-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312519096759/d654369d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312520096870/d841629d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312521076349/0001193125-21-076349-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,1250000,4079000,-9658000,-32922000,-68505000,-123897000,-130097000,-218016000,-418955000,-383577000
74,Depreciation and Amortization,- -,425000,405000,504000,558000,677000,734000,880000,6689000,9448000,15391000
75,Deferred Income Tax,- -,35000,626000,-682000,-652000,-227000,-477000,-394000,-234000,-219000,-367000
76,Stock Based Compensation,- -,125000,671000,1274000,1713000,7321000,9709000,19652000,37486000,53170000,66830000
77,Change in Working Capital,- -,-2452000,525000,-7404000,-4659000,4067000,5020000,1706000,4070000,-964000,-48914000
78,Accounts Receivable,- -,-4476000,4013000,413000,228000,777000,99000,182000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75405000
80,Accounts Payable,- -,13000,-12000,2622000,3403000,4711000,10755000,8262000,- -,- -,- -
81,Other Working Capital,- -,1418000,-3616000,-9673000,-4963000,-2976000,-119000,-865000,-6349000,-495000,5202000
82,Other Non-Cash Items,- -,-35000,4000,-2437000,-7504000,-3512000,13812000,-30549000,-5931000,85972000,-67012000
83,Cash Provided by Operating Activities,- -,-652000,6310000,-18403000,-43466000,-60179000,-95099000,-138802000,-175936000,-271548000,-417649000
84,CAPEX,- -,-291000,-1195000,-405000,-1039000,-672000,-941000,-2648000,-5159000,-21552000,-24234000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10187000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-537752000,-226038000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,263051000,149880000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,3362000,-530000
89,Cash Used for Investing Activites,- -,-291000,-1195000,-405000,-1039000,-672000,-941000,-2648000,-5159000,-291199000,-110579000
90,Debt Repayment,- -,-205000,-220000,- -,- -,- -,- -,- -,- -,-4774000,-6429000
91,Common Stock Issued,- -,- -,- -,47907000,114138000,125966000,133109000,216385000,529332000,638797000,367884000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-8396000,-8504000,-8388000,-13118000,-35739000,-31373000,-10068000
95,Cash Used/Provided by Financing Activities,- -,-205000,-220000,47907000,105742000,117462000,124721000,203267000,493593000,602650000,351387000
96,Effect of Forex Changes on Cash,- -,- -,- -,1638000,8245000,4069000,-13659000,20694000,7746000,-53492000,38591000
97,Net Change In Cash,- -,-1148000,4895000,30737000,69482000,60680000,15022000,82511000,320244000,-13589000,-138250000
98,Cash at the End of Period,- -,14535000,19430000,50167000,119649000,180329000,195351000,277862000,598106000,584517000,446267000
99,Cash at the Beginning of Period,- -,15683000,14535000,19430000,50167000,119649000,180329000,195351000,277862000,598106000,584517000
100,Free Cash Flow,- -,-943000,5115000,-18808000,-44505000,-60851000,-96040000,-141450000,-181095000,-293100000,-441883000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1612042/000119312516543253/d163051d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312517092073/0001193125-17-092073-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312518099514/0001193125-18-099514-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312519096759/d654369d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312520096870/d841629d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312521076349/0001193125-21-076349-index.htm,- -
102,Forex Rate,undefined,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
