,https://roic.ai/company/SELF,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1770000,1540000,980000,790000,830000,870000,960000,1380000,1520000,1470000,1390000,90000,-680000,1126340,1539660,65702,677471,1425572,1400824,1220212,2684960
18,Operating Income ratio,0.7729,0.7897,0.6853,0.6031,0.6014,0.5878,0.6194,0.7150,0.7638,0.6837,0.6205,0.0865,-1.5111,0.4621,0.5637,0.0132,0.0907,0.1758,0.1616,0.1327,0.2555
19,Total Other Income Expenses (Gains),-170000,-980000,1690000,2170000,-3490000,1550000,2340000,-6700000,6040000,4410000,-2450000,4450000,2040000,4962450,4574310,318433,-823761,-806124,-810205,337166,- -
20,Income Before Tax,1600000,560000,2670000,2960000,-2660000,2420000,3300000,-5320000,7560000,5880000,-1060000,4540000,1360000,6088790,6113970,384135,-146290,619448,590619,- -,- -
21,Income Before Tax Ratio,0.6987,0.2872,1.8671,2.2595,-1.9275,1.6351,2.1290,-2.7565,3.7990,2.7349,-0.4732,4.3654,3.0222,2.4981,2.2384,0.0772,-0.0196,0.0764,0.0681,- -,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1600000,560000,2670000,2960000,-2660000,2420000,3300000,-5320000,7560000,5880000,-1060000,4540000,1360000,6088790,6113970,384135,-146290,619448,590619,- -,- -
24,Net Income ratio,0.6987,0.2872,1.8671,2.2595,-1.9275,1.6351,2.1290,-2.7565,3.7990,2.7349,-0.4732,4.3654,3.0222,2.4981,2.2384,0.0772,-0.0196,0.0764,0.0681,- -,- -
25,EPS,0.30,0.10,0.48,0.40,-0.36,0.33,0.45,-0.72,1.02,0.79,-0.14,0.61,0.18,0.82,0.82,0.05,-0.02,0.08,0.08,0.03,- -
26,EPS Diluted,0.30,0.10,0.48,0.40,-0.36,0.33,0.45,-0.72,1.02,0.79,-0.14,0.61,0.18,0.82,0.82,0.05,-0.02,0.08,0.08,0.03,- -
27,Weighted Average Shares Outstanding,5350000,5470000,5570000,7380000,7380000,7390000,7400000,7400000,7410000,7410000,7420000,7420000,7420000,7416770,7416770,7417320,7619469,7622287,7699966,9273554,9273554
28,Weighted Average Shares Outstanding Diluted,5350000,5470000,5570000,7380000,7380000,7390000,7400000,7400000,7410000,7410000,7420000,7420000,7420000,7416770,7416770,7417320,7619469,7624122,7702117,9282687,9282687
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031235/000156459017005791/0001564590-17-005791-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459018007439/0001564590-18-007439-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459019010411/0001564590-19-010411-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459020014271/0001564590-20-014271-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000156459021017086/0001564590-21-017086-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000095017022005191/0000950170-22-005191-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10000,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,30000,30000,2911640,2147460,1526203,3990160,1614771,2899701
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3483182
33,Cash and Short-Term Investments,- -,- -,10000,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,30000,30000,2911640,2147460,1526203,3990160,1614771,6382883
34,Net Receivables,450000,370000,640000,810000,680000,800000,900000,790000,480000,660000,2460000,120000,110000,20000,14403,157607,103289,67604,164078,106521,120641
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237,319099,330785,449830,588855,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44166,3388346,2581534,2043637,4743093,1721292,6503524
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694121,694121,694121,694121,694121,694121
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317140,- -,- -,398795,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011261,694121,694121,1092916,694121,694121
42,Investments,28750000,27320000,28070000,36000000,31410000,31640000,33260000,29180000,33310000,37140000,31750000,35840000,35700000,38210000,42433710,1473950,1552090,1567607,1761312,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12320,55775068,55045563,54282933,60064022,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42446030,58260279,57291774,56544661,62918250,694121,694121
46,Other Assets,29210000,27690000,28780000,36830000,32140000,32450000,34160000,29990000,33800000,38030000,34230000,35970000,35820000,38270000,- -,- -,- -,- -,- -,- -,60739838
47,Total Assets,29210000,27690000,28780000,36830000,32140000,32450000,34160000,29990000,33800000,38030000,34230000,35970000,35820000,38270000,42490196,61648625,59873308,58588298,67661343,2415413,66549241
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,70000,40000,- -,- -,- -,- -,- -,1373308,- -
49,Short-Term Debt,- -,30000,- -,- -,- -,- -,- -,2910000,900000,850000,- -,600000,1720000,- -,- -,- -,- -,- -,4914000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20000,- -,20000,100000,100000,20000,30000,- -,- -,- -,30000,- -,- -,- -,203674,1723458,1954919,2113172,1841640,- -,- -
53,Total Current Liabilities,- -,30000,- -,100000,100000,- -,- -,2910000,900000,850000,- -,640000,1790000,- -,203674,1723458,1954919,2113172,6755640,1373308,- -
54,Long-Term Debt,- -,- -,- -,60000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19374971,19417405,19269250,18839787,- -,254004
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,60000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19374971,19417405,19269250,18839787,- -,254004
59,Other Liabilities,100000,70000,70000,- -,- -,90000,110000,100000,90000,110000,120000,170000,90000,170000,- -,- -,- -,- -,- -,23533176,19685148
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,100000,100000,70000,160000,160000,90000,110000,3010000,990000,960000,120000,810000,1880000,170000,203674,21098429,21372324,21382422,25595427,24906484,19431144
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76195,76195,76926,93303,93431,107086
64,Retained Earnings,-7400000,-8360000,-8130000,-6940000,-5810000,-4710000,-3000000,-1880000,-3710000,-1420000,1610000,1960000,740000,4940000,593521,5873675,3746323,3167047,1643111,-509949,159651
65,Other Comprehensive Income/Loss,100000,90000,1540000,2890000,-1230000,450000,2470000,-4370000,3270000,5220000,-740000,- -,- -,- -,- -,1000000,1000000,- -,- -,- -,- -
66,Other Total Stockholders Equity,36410000,35860000,35300000,40720000,39020000,36620000,34590000,33230000,33250000,33270000,33230000,33190000,33200000,33160000,41693001,33600326,33678466,33961903,40329502,40455409,46851360
67,Total Stockholders Equity,29110000,27590000,28710000,36670000,31980000,32360000,34060000,26980000,32810000,37070000,34100000,35150000,33940000,38100000,42286522,40550196,38500984,37205876,42065916,40038891,47118097
68,Total Liabilities And Stockholders Equity,29210000,27690000,28780000,36830000,32140000,32450000,34170000,29990000,33800000,38030000,34220000,35960000,35820000,38270000,42490196,61648625,59873308,58588298,67661343,64945375,66549241
69,Minority Interest,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,-62529962,- -
70,Total Liabilities & Equity,29210000,27690000,28780000,36830000,32140000,32450000,34160000,29990000,33800000,38030000,34230000,35970000,35820000,38270000,42490196,61648625,59873308,58588298,67661343,2415413,66549241
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031235/000156459017005791/0001564590-17-005791-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459018007439/0001564590-18-007439-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459019010411/0001564590-19-010411-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459020014271/0001564590-20-014271-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000156459021017086/0001564590-21-017086-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000095017022005191/0000950170-22-005191-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,560000,2670000,2960000,-2660000,2420000,3300000,-5320000,7560000,5880000,-1060000,4540000,1360000,6088790,6113970,384135,-146290,619448,590619,- -,3
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,952507,1699555,1398358,1438908,1989761,2
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80771,102989,126035,194372000
77,Change in Working Capital,- -,30000,-100000,- -,100000,- -,-2910000,2010000,50000,850000,-640000,-1150000,1790000,-159508,1824396,-1038273,-696150,-1943012,2360531,4993175,1162365
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-50000,-10000,-130000,-130000,230000,10000,90000,10000,15416,54318,35685,-96474,57557,-14120000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,30000,-20000,- -,- -,- -,- -,-468710,- -
81,Other Working Capital,-30000,- -,-100000,-100000,- -,- -,-2910000,-900000,-850000,- -,-640000,-1790000,- -,-159508,1664888,626615,-69535,-2012547,347984,5341159,6503524
82,Other Non-Cash Items,- -,-30000,100000,- -,-100000,- -,2910000,2160000,-3870000,-4850000,640000,1150000,-1690000,-2254132,-6009996,1009911,1012677,2125684,-2785717,-5111643,3447217630
83,Cash Provided by Operating Activities,1600000,560000,2670000,2960000,-2660000,2420000,3300000,-1150000,3740000,1880000,-1060000,4540000,1460000,3675150,1928370,1308280,1869792,2281249,1707330,1997328,3642752000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21576484,-652910,-164532,-7782687,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,- -,- -,-6000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5724686,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,-652910,-164532,-1782687,-1607346,-253142000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15851798,-652910,-164532,-7782687,-1607346,-253142000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190488,-470955,- -,-5144000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6280987,- -,6215234000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2990000,-2700000,-1980000,-2180000,-2070000,-2070000,-1630000,-1760000,-1720000,-1620000,-1930000,-3490000,-2570000,-1928360,-1928360,-1928359,-1981062,-1992397,-2107376,-2427023,-0
94,Other Financing Activites,720000,620000,440000,7180000,30000,40000,20000,2910000,-2020000,-40000,20000,10000,1110000,-1717040,- -,19353754,- -,-477981,4914000,-261081,-3352588000
95,Cash Used/Provided by Financing Activities,-2270000,-2080000,-1540000,5000000,-2040000,-2030000,-1610000,1150000,-3740000,-1660000,-1910000,-3480000,-1460000,-3645400,-1928360,17425395,-1981062,-2660866,8616656,-2688104,-2281354000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-670000,-1520000,1120000,7960000,-4700000,390000,1700000,- -,- -,220000,-2970000,1050000,- -,29750,10,2881877,-764180,-544149,2541299,-2298122,3061743557
98,Cash at the End of Period,-670000,-1520000,1120000,7970000,-4700000,390000,1700000,- -,- -,220000,-2750000,1050000,- -,29750,30010,2911640,2147460,1712266,4253565,1955443,3063699000
99,Cash at the Beginning of Period,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,30000,29763,2911640,2256415,1712266,4253565,1955443
100,Free Cash Flow,1600000,560000,2670000,2960000,-2660000,2420000,3300000,-1150000,3740000,1880000,-1060000,4540000,1460000,3675150,1928370,-20268204,1869792,2281249,1707330,1997328,3642752000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031235/000156459017005791/0001564590-17-005791-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459018007439/0001564590-18-007439-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459019010411/0001564590-19-010411-index.html,https://www.sec.gov/Archives/edgar/data/1031235/000156459020014271/0001564590-20-014271-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000156459021017086/0001564590-21-017086-index.htm,https://www.sec.gov/Archives/edgar/data/1031235/000095017022005191/0000950170-22-005191-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
