,https://roic.ai/company/ATER,2017,2018,2019,2020,2021
37,Total Current Assets,30225000,57402000,73019000,75158000,124874000
38,PP&E,494000,268000,175000,169000,1254000
39,Goodwill,- -,- -,- -,47318000,119941000
40,Intangible Assets,- -,- -,- -,31460000,64955000
41,Intangible Assets,- -,- -,1055000,78778000,184896000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,452000,337000,175000,3349000,2546000
45,Total Non-Current Assets,946000,605000,1405000,82296000,188696000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,31171000,58007000,74424000,157454000,313570000
48,Accounts Payable,7984000,15404000,21064000,14856000,21716000
49,Short-Term Debt,5520000,14451000,24657000,50021000,- -
50,Tax Payable,405000,707000,507000,457000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,4694000,9708000,7505000,9855000,62026000
53,Total Current Liabilities,18198000,39563000,53226000,74732000,83742000
54,Long-Term Debt,4732000,13049000,10467000,36483000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,87000,26000,4000,22857000,5600000
58,Total Non-Current Liabilities,4819000,13075000,10471000,59340000,5600000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,23017000,52638000,63697000,134072000,89342000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,3000,5000
64,Retained Earnings,-39197000,-71020000,-129809000,-192935000,-428959000
65,Other Comprehensive Income/Loss,-43000,40000,57000,9000,-468000
66,Other Total Stockholders Equity,47393000,76348000,140477000,216305000,653650000
67,Total Stockholders Equity,8154000,5369000,10727000,23382000,224228000
68,Total Liabilities And Stockholders Equity,31171000,58007000,74424000,157454000,313570000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31171000,58007000,74424000,157454000,313570000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459020014235/0001564590-20-014235-index.html,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459022010668/0001564590-22-010668-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-23067000,-31823000,-58789000,-63126000,-236024000
74,Depreciation and Amortization,258000,253000,183000,552000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1046000,619000,34681000,22716000,- -
77,Change in Working Capital,-7260000,5812000,1954000,-19367000,40706000
78,Accounts Receivable,-526000,-70000,309000,-4703000,- -
79,Inventory,-15646000,-9974000,-5360000,18659000,- -
80,Accounts Payable,10942000,10871000,3334000,-6991000,- -
81,Other Working Capital,12027000,17839000,19793000,426000,41132000
82,Other Non-Cash Items,264000,-5206000,-3229000,65316000,153349000
83,Cash Provided by Operating Activities,-28759000,-30345000,-25200000,6091000,-41969000
84,CAPEX,-125000,-61000,-114000,-89000,- -
85,Acquisitions Net,- -,- -,- -,-38965000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,35000,-1170000,- -,-44905000
89,Cash Used for Investing Activites,-125000,-26000,-1284000,-39054000,-44905000
90,Debt Repayment,-8170000,-57614000,-92220000,-150011000,- -
91,Common Stock Issued,- -,- -,36000000,23416000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,36766000,102907000,92786000,158914000,95569000
95,Cash Used/Provided by Financing Activities,28596000,45293000,36566000,32319000,95569000
96,Effect of Forex Changes on Cash,-34000,-11000,-1000,-48000,-477000
97,Net Change In Cash,-322000,14911000,10081000,-692000,- -
98,Cash at the End of Period,5797000,20708000,30789000,30097000,- -
99,Cash at the Beginning of Period,6119000,5797000,20708000,30789000,30097000
100,Free Cash Flow,-28884000,-30406000,-25314000,6002000,-41969000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459020014235/0001564590-20-014235-index.html,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459022010668/0001564590-22-010668-index.htm
102,false,,,,,
