,https://roic.ai/company/LAC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-63495,-2100000,-5300000,-10600000,-15700000,-40000000,-39500000,-40792000,-48347000,-76071000,-109321000,-137588000,-65829000,-140166000,-178654000
65,Other Comprehensive Income/Loss,- -,- -,664624,- -,- -,- -,254000,-29000,-337000,-903000,-2124000,-114000,-4293000,-3867000,-3487000,-3487000
66,Other Total Stockholders Equity,- -,- -,1178933,3398409,5866956,7485429,7858000,7997000,9176000,10847000,- -,20812000,26172000,28404000,27204000,28463000
67,Total Stockholders Equity,- -,-63495,7043557,10598409,24366956,35585429,12912000,13568000,21083000,60915000,42423000,108767000,82282000,159621000,190703000,536315000
68,Total Liabilities And Stockholders Equity,- -,156974,7143557,11298409,24966956,36285429,13212000,15568000,24354000,68541000,45301000,113491000,103939000,293799000,326723000,817342000
69,Minority Interest,- -,63495,-43557,1591,33044,-485429,-12000,32000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,220469,7100000,11300000,25000000,35800000,13200000,15600000,24354000,68541000,45301000,113491000,103939000,293799000,326723000,817342000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440972/000156459018007027/0001564590-18-007027-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459019010471/0001564590-19-010471-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459020010927/0001564590-20-010927-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-63495,-2130000,-2900000,-5040000,-5650000,-8090000,-1300000,-7555000,-7555000,-22127000,-33250000,-28267000,51665000,-36234000,-38488000
74,Depreciation and Amortization,- -,282,- -,- -,- -,- -,6000,9000,22000,151000,617000,939000,1364000,1062000,687000,925000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1495800,2213909,2074781,873000,225000,1154000,567000,2687000,11566000,4731000,4128000,6626000,5754000
77,Change in Working Capital,- -,- -,30040,-28466,-65715,-201407,-132000,59000,-64000,-857000,-1484000,-1843000,320000,2568000,5206000,1894000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000,-596000,-264000,2011000,134000,-754000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-40000,-382000,-591000,-2092000,443000,343000,1072000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-282,1592029,-488449,89604,108899,3000,-3411000,1022000,981000,10271000,9674000,3308000,-77070000,-7166000,-23266000
83,Cash Provided by Operating Activities,- -,-63495,-507931,-1921114,-2802203,-3667727,-7340000,-4418000,-5421000,-6713000,-10036000,-12914000,-18544000,-17647000,-30881000,-53181000
84,CAPEX,- -,- -,-2245030,-2216298,-5430222,-7904982,-477000,-4045000,-11757000,-4360000,-1489000,-1685000,-2002000,-29850000,-61770000,-1877000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14661000,-13700000,-11337000,-1019000,-695000,-34758000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13700000,- -,- -,- -,-2309000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,310000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-220469,- -,- -,- -,- -,- -,- -,-150000,66000,-2500000,3534000,2666000,22512000,19868000,-76886000
89,Cash Used for Investing Activites,- -,-220469,-2245030,-2216298,-5430222,-7904982,-477000,-4045000,-11597000,-4294000,10672000,-25551000,-10673000,-8357000,-42597000,-115830000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-18000,-119000,-147000,-158000,-171000,-181000,-404000,-487000,-205000000
91,Common Stock Issued,- -,- -,7661062,5624637,17319429,8051460,- -,- -,- -,- -,3484000,79244000,- -,- -,100000000,400000000
92,Common Stock Repurchased,- -,- -,- -,-295843,-1034705,- -,- -,- -,- -,- -,-1653000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,283965,25599,-24067,- -,- -,- -,16771000,13139000,10132000,1940000,6352000,15959000,68318000,38311000,336410000
95,Cash Used/Provided by Financing Activities,- -,283965,7686661,5304727,16284724,8051460,- -,16753000,13020000,9985000,3613000,85425000,15778000,67914000,137824000,531410000
96,Effect of Forex Changes on Cash,- -,- -,-105133,186579,-135839,170570,441000,-283000,-206000,-586000,208000,378000,-351000,100000,110000,138000
97,Net Change In Cash,- -,283965,7686661,1353894,7916460,-3350679,-7376000,8007000,-4204000,-1608000,4457000,47338000,-13790000,42010000,64456000,362537000
98,Cash at the End of Period,- -,- -,4828566,6135931,14273018,10841284,3357000,11364000,7160000,5552000,10009000,55394000,41604000,83614000,148070000,510607000
99,Cash at the Beginning of Period,- -,- -,- -,4782038,6356558,14191963,10733000,3357000,11364000,7160000,5552000,8056000,55394000,41604000,83614000,148070000
100,Free Cash Flow,- -,-63495,-2752961,-4137412,-8232425,-11572709,-7817000,-8463000,-17178000,-11073000,-11525000,-14599000,-20546000,-47497000,-92651000,-55058000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440972/000156459018007027/0001564590-18-007027-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459019010471/0001564590-19-010471-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459020010927/0001564590-20-010927-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,
