,https://roic.ai/company/MYO,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,490237,52000,219582,294240,- -,- -
45,Total Non-Current Assets,511800,129150,407095,449212,263807,- -
46,Other Assets,- -,- -,- -,- -,- -,19820123
47,Total Assets,1658252,13974992,8281572,6598693,14709782,19820123
48,Accounts Payable,311085,264890,426727,450101,180499,- -
49,Short-Term Debt,- -,- -,- -,1763887,1763887,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,67263,168006,108599,2953,2512,- -
52,Other Current Liabilities,2622947,1052276,1320361,1666588,922807,- -
53,Total Current Liabilities,3001295,1485172,1855687,3883529,2869705,- -
54,Long-Term Debt,3384235,- -,- -,888961,155148,- -
55,Deferred Revenue,- -,44042,- -,1495,1495,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12803178,- -,- -,- -,118060,- -
58,Total Non-Current Liabilities,16187413,44042,- -,890456,274703,- -
59,Other Liabilities,- -,- -,- -,- -,- -,4686281
60,Capital Lease Obligations,- -,- -,- -,- -,173437,- -
61,Total Liabilities,19188708,1529214,1855687,4773985,3144408,4686281
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,112,1114,1245,57,457,- -
64,Retained Earnings,-22875308,-34972787,-45289526,-56125982,-67689893,- -
65,Other Comprehensive Income/Loss,-20345,-31760,-100118,-192277,-12690,-60677
66,Other Total Stockholders Equity,5365085,47449211,51814284,58142910,79267500,- -
67,Total Stockholders Equity,-17530456,12445778,6425885,1824708,11565374,15409131
68,Total Liabilities And Stockholders Equity,1658252,13974992,8281572,6598693,14709782,20095412
69,Minority Interest,- -,- -,- -,- -,- -,-275289
70,Total Liabilities & Equity,1658252,13974992,8281572,6598693,14709782,19820123
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1369290/000119312518079222/0001193125-18-079222-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459019007350/0001564590-19-007350-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459020010809/0001564590-20-010809-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459021012068/0001564590-21-012068-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459022009827/0001564590-22-009827-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-3617022,-12097479,-10316739,-10713009,-11563911,- -
74,Depreciation and Amortization,7731,11415,69682,95124,108670,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,94094,279508,814666,907993,614302,- -
77,Change in Working Capital,307180,-1415420,14215513,-6341880,-3752838,- -
78,Accounts Receivable,1136,-182533,-101494,-42028,-522944,- -
79,Inventory,120588,-161075,-140817,-213562,-271545,-118222
80,Accounts Payable,364165,563225,466191,60742,1217929,- -
81,Other Working Capital,-439423,-1854843,12360670,6018790,2265952,- -
82,Other Non-Cash Items,5347,7068557,-14389432,5709955,5560881,-9547695
83,Cash Provided by Operating Activities,-3202670,-6153419,-9606310,-10341817,-9032896,-9547695
84,CAPEX,-1865,-67002,-126867,-51991,-45752,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1865,-67002,-126867,-51991,-45752,- -
90,Debt Repayment,- -,-1215900,- -,- -,-1959085,- -
91,Common Stock Issued,- -,17698906,- -,5603829,18554363,1099801
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2959091,1899614,3337598,2714640,185298,- -
95,Cash Used/Provided by Financing Activities,2959091,18382620,3337598,8318469,16780576,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1122,- -
97,Net Change In Cash,-245444,12162199,-6395579,-2075339,7700806,- -
98,Cash at the End of Period,797174,12959373,6615794,4540455,12241261,- -
99,Cash at the Beginning of Period,1042618,797174,13011373,6615794,4540455,- -
100,Free Cash Flow,-3204535,-6220421,-9733177,-10393808,-9078648,-9874157
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1369290/000119312518079222/0001193125-18-079222-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459019007350/0001564590-19-007350-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459020010809/0001564590-20-010809-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459021012068/0001564590-21-012068-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459022009827/0001564590-22-009827-index.htm
102,false,,,,,,
