,https://roic.ai/company/LSPD,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,81486896,81486896,81486896,33203567,85890314,105221907
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,15309000,24651000,207703000,210969000,807150000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15309000,24651000,207703000,210969000,807150000
34,Net Receivables,- -,4350000,7124000,8424000,10879000,24771000
35,Inventory,- -,266000,238000,269000,932000,1573000
36,Other Current Assets,- -,1849000,1800000,5204000,10427000,24171000
37,Total Current Assets,- -,21774000,33813000,221600000,233207000,857665000
38,PP&E,- -,5012000,4731000,5372000,23946000,29548000
39,Goodwill,- -,20404000,20404000,22536000,146598000,971939000
40,Intangible Assets,- -,7470000,4087000,2618000,134721000,234493000
41,Intangible Assets,- -,27874000,24491000,25154000,- -,1206432000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,453000,276000,186000,- -,170000
44,Other Non-Current Assets,- -,338000,714000,4005000,221275000,11504000
45,Total Non-Current Assets,- -,33677000,30212000,34717000,245221000,1247654000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,55451000,64025000,256317000,478428000,2105319000
48,Accounts Payable,- -,3376000,3418000,7706000,12325000,65052000
49,Short-Term Debt,- -,- -,- -,- -,3301000,5120000
50,Tax Payable,- -,600000,580000,1496000,1246000,114000
51,Deferred Revenue,- -,16220000,25211000,32317000,44485000,43116000
52,Other Current Liabilities,- -,4635000,5679000,8612000,10698000,114000
53,Total Current Liabilities,- -,24231000,34308000,48635000,70809000,113402000
54,Long-Term Debt,- -,- -,- -,- -,29687000,29770000
55,Deferred Revenue,- -,13916000,11793000,8025000,- -,2796000
56,Deferred Tax Liabilities,- -,16933000,30893000,706000,- -,1356000
57,Other Non-Current Liabilities,- -,172219000,252592000,1779000,- -,23712000
58,Total Non-Current Liabilities,- -,203068000,295278000,10510000,29687000,57634000
59,Other Liabilities,- -,- -,- -,- -,93168000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,16847000,25678000
61,Total Liabilities,- -,227299000,329586000,59145000,134290000,171036000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12938000,14325000,652336000,852115000,2526448000
64,Retained Earnings,- -,-186511000,-282690000,-459948000,-513479000,-637757000
65,Other Comprehensive Income/Loss,- -,-2903000,-4001000,-5390000,-6271000,9715000
66,Other Total Stockholders Equity,- -,4628000,6805000,9668000,11773000,35877000
67,Total Stockholders Equity,- -,-171848000,-265561000,196666000,344138000,1934283000
68,Total Liabilities And Stockholders Equity,- -,55451000,64025000,255811000,478428000,2105319000
69,Minority Interest,- -,- -,- -,506000,- -,- -
70,Total Liabilities & Equity,- -,55451000,64025000,256317000,478428000,2105319000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-51119000,-58404000,-96179000,-183525000,-53531000,-124278000
74,Depreciation and Amortization,4396000,5807000,5119000,4537000,8846000,36483000
75,Deferred Income Tax,2531000,4100000,14133000,-30788000,- -,-5958000
76,Stock Based Compensation,471000,1028000,1160000,1693000,- -,33859000
77,Change in Working Capital,7717000,13092000,5075000,7987000,-3993000,-38361000
78,Accounts Receivable,-874000,-842000,-2796000,-727000,2071000,-9177000
79,Inventory,-84000,-40000,28000,31000,- -,-256000
80,Accounts Payable,1151000,1284000,1016000,5647000,-1329000,-15333000
81,Other Working Capital,7333000,12857000,6556000,3640000,-433000,-3991000
82,Other Non-Cash Items,21115000,23442000,60669000,192540000,48678000,5191000
83,Cash Provided by Operating Activities,-14889000,-10935000,-10023000,-7556000,- -,-93064000
84,CAPEX,-2485000,-2435000,-1485000,-2030000,-3609000,-1794000
85,Acquisitions Net,-20424000,- -,- -,-1389000,-120164000,-235576000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,8000,-17000,-542000,- -,3480000,2322000
89,Cash Used for Investing Activites,-22844000,-2435000,-1479000,-3419000,-120293000,-235048000
90,Debt Repayment,-1705000,- -,- -,- -,26599000,-4351000
91,Common Stock Issued,58364000,- -,20000000,207547000,- -,952534000
92,Common Stock Repurchased,- -,- -,- -,-792000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,275000,90000,490000,-11836000,126933000,-25868000
95,Cash Used/Provided by Financing Activities,56934000,90000,20490000,194919000,153532000,922315000
96,Effect of Forex Changes on Cash,-129000,-194000,354000,-892000,-1423000,1978000
97,Net Change In Cash,19072000,-13474000,9342000,183052000,3266000,596181000
98,Cash at the End of Period,28783000,15309000,24651000,207703000,- -,807150000
99,Cash at the Beginning of Period,9711000,28783000,15309000,24651000,- -,210969000
100,Free Cash Flow,-17374000,-13370000,-11508000,-9586000,- -,-94858000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,false,,,,,,
