,https://roic.ai/company/NVOS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,942632,- -,- -,- -,13750,13750,13750,- -,- -,22358567,26623448,32436468
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,942632,- -,- -,- -,13750,13750,13750,399400,604113,22981648,27260390,41518347
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,110213,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1162009,1169756,1778929,671475,692738
45,Total Non-Current Assets,- -,112931,1809,2602,31057,13001,8199,949917,7056,17538,12711,20761,13750,13750,1864360,2174190,28174782,31096081,50824772
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,112958,15296,3684,36209,20158,621800,1187072,25812,34536,357719,22592,27873,69830,5514390,4743099,32273369,35390618,61958281
48,Accounts Payable,- -,55620,49908,54690,40060,145579,139520,162281,116290,118098,146143,82550,13120,19658,1703342,1307599,1144812,883773,1449784
49,Short-Term Debt,- -,1901,- -,- -,- -,- -,- -,- -,8315,97267,385492,215451,- -,- -,13171,382350,- -,83292,5518550
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38631
52,Other Current Liabilities,- -,110519,426920,407429,646522,875217,66080,919853,16484,26196,26112,42663,- -,- -,2557389,1656380,1882754,1632978,1456958
53,Total Current Liabilities,- -,168040,476828,462119,686582,1020796,205600,1082134,141089,241561,557747,340664,13120,19658,4273902,3346329,3027566,2600043,8463923
54,Long-Term Debt,- -,250000,- -,- -,- -,49456,86,- -,- -,3331,119941,307598,- -,- -,5528678,1224000,1201591,952058,8189831
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500372
57,Other Non-Current Liabilities,- -,- -,1901,1901,342075,388747,1301829,1597027,2212834,587000,627898,- -,- -,- -,- -,- -,2500004,2266887,- -
58,Total Non-Current Liabilities,- -,250000,1901,1901,342075,438203,1301915,1597027,2212834,590331,747839,307598,- -,- -,5528678,1224000,3701595,3218945,9690203
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008309,2830680,2628003
61,Total Liabilities,- -,418040,478729,464020,1028657,1458999,1507515,2679161,2353923,831892,1305586,648262,13120,19658,9802580,4570329,6729161,5818988,18154126
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,500,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,11281,11715,13287,17347,21858,39692,45842,56503,69168,268464,367274,22058,22718,201837,207882,223691,234662,26610
64,Retained Earnings,- -,-3305162,-4373900,-5838977,-8309329,-9292006,-11563923,-14133147,-16371158,-17531408,-18419080,-19452612,-22223326,-22388213,-9091977,-11199989,-11591973,-16507127,-20969274
65,Other Comprehensive Income/Loss,- -,-2477,-3386,- -,-17665,- -,-42271,-44025,-47863,-52381,-57208,-29521,-1118,- -,-268105,-328344,-418973,-506444,991077
66,Other Total Stockholders Equity,- -,2991276,3902138,5365354,7317199,7831307,10680787,12639241,14034407,16716765,17259457,18489189,22217139,22415667,4890592,11521842,37371095,46400398,63816003
67,Total Stockholders Equity,- -,-305082,-463433,-460336,-992448,-1438841,-885715,-1492089,-2328111,-797356,-947867,-625670,14753,50172,-4267653,201391,25583840,29621489,43864416
68,Total Liabilities And Stockholders Equity,- -,112958,15296,3684,36209,20158,621800,1187072,25812,34536,357719,22592,27873,69830,5534927,4771720,32313001,35440477,62018542
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20537,-28621,-39632,-49859,-60261
70,Total Liabilities & Equity,- -,112958,15296,3684,36209,20158,621800,1187072,25812,34536,357719,22592,27873,69830,5514390,4743099,32273369,35390618,61958281
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000118811212000996/0001188112-12-000996-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000147793215001936/0001477932-15-001936-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793216009169/0001477932-16-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793217001082/0001477932-17-001082-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315217014422/0001493152-17-014422-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315218015238/0001493152-18-015238-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315219018107/0001493152-19-018107-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315220023201/0001493152-20-023201-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315221031449/0001493152-21-031449-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-282009,-1068738,-1465077,-2470352,-982677,-2271917,-2569223,-2238011,-1160250,-887672,-1033532,-2770714,-164887,-738384,-2108012,-391984,-4915154,-4462147
74,Depreciation and Amortization,- -,25216,909,2301,11978,18056,6550,4837,3838,4518,4827,5700,1011,- -,67776,73447,97143,1445076,1724122
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21608,- -,- -,327604,50306,252428,1306467,70846,2328033,155496
77,Change in Working Capital,- -,82356,-295328,2304,-220393,-332209,1421640,-1252980,722646,-102230,11824,-126094,339836,7432280,-660294,-153548,1848441,623473,-29100
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-289316,-263152,-151254,-229015,1103800
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147814
80,Accounts Payable,- -,- -,- -,- -,- -,105519,28941,77886,72722,1808,28045,67658,-35430,6538,-412877,-331870,-140093,-275895,-45228
81,Other Working Capital,- -,-168013,-463341,-461037,-681430,-1013639,408001,-844979,-122333,-224563,-212739,-338833,1003,36422,-623872,-777420,1071021,1694494,- -
82,Other Non-Cash Items,- -,98644,1239332,1004819,2191874,989241,-108063,2263052,1059690,929445,621700,1008900,1926641,-7427472,267787,-52855,-2446714,76878,1586827
83,Cash Provided by Operating Activities,- -,-75793,-123825,-455653,-486893,-307589,-951790,-1554314,-451837,-350125,-249321,-145026,-175622,-109773,-810687,-934501,-822268,-441694,-1024802
84,CAPEX,- -,- -,- -,-3094,-35433,- -,-1747,-104459,-3609,-15000,- -,-1000,- -,- -,-38238,-178626,-107635,-12110,-255949
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1101639,- -,-509355,- -,3728171
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197500,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,19095,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-97500,- -,- -,- -,-1000,- -,- -,390347,-38604,-225924,669240,-473100
89,Cash Used for Investing Activites,- -,19095,- -,-3094,-35433,- -,-1747,-101959,-3609,-212500,- -,-1000,- -,- -,-749530,-217230,-842914,657130,2999122
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-23000,- -,- -,- -,-43200,-1430,- -,- -,-131454,-6997,- -,-267696,-2776391
91,Common Stock Issued,- -,65050,113700,328475,520954,227770,1225885,930936,241320,373350,138766,72849,170000,150000,3386560,15564,3250366,113399,7327580
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-10838,23585,117867,3112,79854,351396,250000,97500,183930,150885,73015,17914,- -,-147567,-20141,-176655,-117390,-234327
95,Cash Used/Provided by Financing Activities,- -,54212,137285,446342,524066,307624,1554281,1180936,338820,557280,246451,144434,187914,150000,3107539,-11574,3073711,-271687,4316862
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238935,-57562,-568,40303,-65738
97,Net Change In Cash,- -,-2486,13460,-12405,1740,35,600744,-475337,-116626,-5345,-2870,-1592,12292,40227,1786257,-1220867,1407961,-15948,6225444
98,Cash at the End of Period,- -,27,13487,1082,2822,2857,603601,128264,11638,6293,3423,1831,14123,54350,1896572,675705,2083666,2067718,8293162
99,Cash at the Beginning of Period,- -,2513,27,13487,1082,2822,2857,603601,128264,11638,6293,3423,1831,14123,110315,1896572,675705,2083666,2067718
100,Free Cash Flow,- -,-75793,-123825,-458747,-522326,-307589,-953537,-1658773,-455446,-365125,-249321,-146026,-175622,-109773,-848925,-1113127,-929903,-453804,-1280751
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000118811212000996/0001188112-12-000996-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000147793215001936/0001477932-15-001936-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793216009169/0001477932-16-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793217001082/0001477932-17-001082-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315217014422/0001493152-17-014422-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315218015238/0001493152-18-015238-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315219018107/0001493152-19-018107-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315220023201/0001493152-20-023201-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315221031449/0001493152-21-031449-index.htm
102,false,,,,,,,,,,,,,,,,,,,
