,https://roic.ai/company/SLS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.6068,-5.6038,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8937.8947,-Infinity
19,Total Other Income Expenses (Gains),- -,448000,180000,-867000,4627000,9302000,-13178000,-41786000,15616000,-4371000,21009000,-462000,2041000,668000,16965226,4358000
20,Income Before Tax,-2405000,-10965000,-14373000,-18387000,- -,-11485000,-34377000,-75626000,-36606000,-38591000,-10858000,-23501000,-29048000,-19373000,-16774,-20936000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-30.4085,-3.9281,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.8284,-Infinity
22,Income Tax expense (Gain),- -,25000,- -,- -,- -,- -,-1052000,1052000,- -,365000,243000,253000,-1378000,-81000,- -,-237000
23,Net Income,-2405000,-10990000,-14373000,-18387000,-11993000,-11485000,-34969000,-76678000,-36606000,-63902000,-23549000,-23754000,-27670000,-19292000,-16757,-20699000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.8315,-3.9281,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.8195,-Infinity
25,EPS,-5726.19,-26042.65,-31382.10,-34050.00,-19596.41,-9600.10,-16800.17,-25500.26,-9300.09,-12300.12,-3540.04,-522.00,-157.50,-10.92,-2.11,-2.60
26,EPS Diluted,-5726.19,-26042.65,-31382.10,-34050.00,-19596.41,-9600.10,-16800.17,-25500.26,-9300.09,-12300.12,-3540.04,-522.00,-157.50,-10.92,-2.11,-2.60
27,Weighted Average Shares Outstanding,420,422,458,540,612,1211,2082,3006,3979,5175,6639,46807,261542,2558755,7977104,7977104
28,Weighted Average Shares Outstanding Diluted,420,422,458,540,612,1211,2082,3006,3979,5175,6639,46807,261542,2558755,7977104,7977104
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1390478/000095013509001826/0000950135-09-001826-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012310031025/0000950123-10-031025-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012311036134/0000950123-11-036134-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312512137599/0001193125-12-137599-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312513103307/0001193125-13-103307-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047814000016/0001390478-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047815000012/0001390478-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047816000088/0001390478-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047817000020/0001390478-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312518117053/0001193125-18-117053-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047819000017/0001390478-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047820000007/0001390478-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047821000007/0001390478-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047822000006/0001390478-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2000,1763000,9856000,5684000,6891000,11433000,32807000,47787000,23650000,29730000,18083000,2319000,5337000,7277000,35302000,21355000
32,Short-Term Investments,- -,9952000,- -,- -,- -,- -,2678000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2000,11715000,9856000,5684000,6891000,11433000,35485000,47787000,23650000,29730000,18083000,2319000,5337000,7277000,35302000,21355000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,3683000,1839000,- -,- -,- -,- -,308000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,386000,655000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,22000,73000,120000,150000,377000,636000,1599000,2880000,23891000,19416000,10768000,501000,657000,1623000,1689000
37,Total Current Assets,2000,11737000,9929000,5804000,7041000,11810000,36121000,53455000,29024000,53621000,37499000,13087000,5838000,8242000,36925000,23044000
38,PP&E,- -,344000,414000,432000,419000,393000,29000,665000,555000,335000,199000,- -,- -,217000,- -,723000
39,Goodwill,- -,- -,- -,- -,- -,5898000,5898000,5898000,6069000,5898000,5898000,1914000,1914000,1914000,1914000,1914000
40,Intangible Assets,- -,- -,- -,- -,- -,12864000,12864000,27843000,44753000,22119000,22119000,17600000,8500000,5700000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,18762000,18762000,33741000,50822000,28017000,28017000,19514000,10414000,7614000,1914000,1914000
42,Investments,- -,- -,- -,- -,- -,3000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,66000,16000,16000,16000,- -,- -,115000,87000,171000,96000,925000,663000,536000,- -,594000
45,Total Non-Current Assets,- -,410000,430000,448000,435000,19158000,18865000,34521000,51464000,28523000,28312000,20439000,11077000,8367000,1914000,3231000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2000,12147000,10359000,6252000,7476000,30968000,54986000,87976000,80488000,82144000,65811000,33526000,16915000,16609000,38839000,26275000
48,Accounts Payable,- -,55000,394000,625000,724000,2155000,1976000,2660000,2271000,1597000,840000,11691000,3755000,3902000,4657000,2144000
49,Short-Term Debt,- -,- -,17000,- -,- -,500000,- -,2149000,3910000,4739000,16397000,8377000,- -,- -,825000,198000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,816000,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -
52,Other Current Liabilities,- -,1269000,976000,4850000,4302000,7731000,13943000,57638000,21052000,50735000,13161000,4501000,2219000,1388000,1254000,2640000
53,Total Current Liabilities,- -,1324000,1387000,5475000,5026000,11202000,15919000,62447000,27233000,57071000,30398000,24569000,5974000,5290000,12336000,4982000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,7743000,4492000,- -,- -,2611000,- -,- -,825000,610000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,5053000,5053000,5053000,5053000,5418000,5661000,1673000,357000,262000,- -,- -
57,Other Non-Current Liabilities,- -,- -,4000,36000,20000,4601000,6258000,6847000,6651000,6142000,1095000,2603000,5339000,4964000,- -,336000
58,Total Non-Current Liabilities,- -,- -,4000,36000,20000,9654000,11311000,19643000,16196000,11560000,6756000,6887000,5696000,5226000,825000,946000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6577000,- -
60,Capital Lease Obligations,- -,- -,4000,88000,71000,67000,57000,32000,- -,- -,- -,- -,- -,217000,991000,- -
61,Total Liabilities,- -,1324000,1391000,5511000,5046000,20856000,27230000,82090000,43429000,68631000,37154000,31456000,11670000,10516000,18088000,5928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,2000,2000,5000,8000,10000,12000,15000,15000,1000,2000,5000,1000,2000
64,Retained Earnings,- -,-10990000,-25363000,-43750000,-55743000,-67228000,-102197000,-178875000,-215481000,-279383000,-302932000,-54185000,-81855000,-101147000,- -,-138603000
65,Other Comprehensive Income/Loss,- -,- -,-158000,-320000,-491000,-657000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2000,21812000,34488000,44809000,58662000,77992000,127945000,184751000,252528000,292881000,331574000,56254000,87098000,107235000,27960000,158948000
67,Total Stockholders Equity,2000,10823000,8968000,741000,2430000,10112000,27756000,5886000,37059000,13513000,28657000,2070000,5245000,6093000,27961000,20347000
68,Total Liabilities And Stockholders Equity,- -,12147000,10359000,6252000,7476000,30968000,54986000,87976000,80488000,82144000,65811000,33526000,16915000,16609000,46049000,26275000
69,Minority Interest,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7210000,- -
70,Total Liabilities & Equity,2000,12147000,10359000,6252000,7476000,30968000,54986000,87976000,80488000,82144000,65811000,33526000,16915000,16609000,38839000,26275000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1390478/000095013509001826/0000950135-09-001826-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012310031025/0000950123-10-031025-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012311036134/0000950123-11-036134-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312512137599/0001193125-12-137599-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312513103307/0001193125-13-103307-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047814000016/0001390478-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047815000012/0001390478-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047816000088/0001390478-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047817000020/0001390478-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312518117053/0001193125-18-117053-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047819000017/0001390478-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047820000007/0001390478-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047821000007/0001390478-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047822000006/0001390478-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2405000,-10990000,-14373000,-18387000,-11993000,-11485000,-34969000,-76678000,-36606000,-63902000,-23549000,-23754000,-27670000,-19292000,-16757,-20699
74,Depreciation and Amortization,- -,36000,131000,162000,172000,163000,49000,452000,889000,355000,142000,- -,- -,- -,282000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1052000,1052000,- -,365000,243000,- -,-1316000,-95000,-23000,-239
76,Stock Based Compensation,- -,- -,- -,4202000,4368000,3001000,1394000,2530000,5387000,1931000,2264000,3169000,395000,573000,578000,1011
77,Change in Working Capital,-181000,10411000,-1871000,-8213000,1686000,-1407000,19594000,-29194000,10783000,-5241000,10551000,-18583000,11346000,3088000,21637000,-6527000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-3683000,1644000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-386000,-269000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,231000,99000,500000,641000,684000,-389000,-289000,-757000,8366000,-7936000,12000,-836000,-2513
81,Other Working Capital,2000,10413000,8542000,329000,2015000,608000,20202000,-8992000,1791000,-3450000,7101000,-11482000,-136000,2952000,24589000,18062000
82,Other Non-Cash Items,474000,-5504000,6684000,10467000,-4490000,-4940000,-5979000,72930000,-23322000,18332000,-34566000,28179000,-13177000,-1917000,-32874243,6520906
83,Cash Provided by Operating Activities,-2112000,-6047000,-9429000,-11769000,-10257000,-14668000,-20963000,-28908000,-42869000,-48160000,-44915000,-10989000,-30422000,-17643000,-10417000,-26021
84,CAPEX,- -,-229000,-166000,-83000,-106000,-53000,- -,-15848000,-5528000,-153000,-6000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,168000,-87000,- -,- -,- -,- -,1812000,- -,- -,- -,- -
86,Purchases of Investments,- -,-11757000,-19785000,- -,-5990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1977000,29530000,- -,5990000,- -,- -,3911000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-16000,21000,- -,- -,-101000,- -,-15242000,-5471000,10548000,-1050000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-10025000,9600000,-83000,-106000,14000,-87000,-12036000,-5528000,10395000,-1056000,1812000,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-34000,-70000,-84000,-10000,-25000,-1766000,-3911000,-5579000,-473000,-7601000,- -,- -,- -
91,Common Stock Issued,- -,15828000,7944000,7714000,- -,18630000,36471000,37702000,10967000,47725000,33629000,6007000,21564000,15971000,29599000,9005
92,Common Stock Repurchased,- -,- -,- -,- -,-3849000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-487000,- -,- -,- -
94,Other Financing Activites,2112000,2005000,-22000,- -,15489000,650000,5963000,18247000,15059000,31000,6274000,- -,9647000,3598000,8843000,3069
95,Cash Used/Provided by Financing Activities,2112000,17833000,7922000,7680000,11570000,19196000,42424000,55924000,24260000,43845000,34324000,5534000,23123000,19569000,38442000,12074
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2112000,1761000,8093000,-4172000,1207000,4542000,21374000,14980000,-24137000,6080000,-11647000,-3643000,-7299000,1926000,28025000,-35380545
98,Cash at the End of Period,- -,1763000,9856000,5684000,6891000,11433000,32807000,47787000,23650000,29730000,18083000,2319000,5451000,7377000,35402000,21455
99,Cash at the Beginning of Period,- -,2000,1763000,9856000,5684000,6891000,11433000,32807000,47787000,23650000,29730000,5962000,12750000,5451000,7377000,35402000
100,Free Cash Flow,-2112000,-6276000,-9595000,-11852000,-10363000,-14721000,-20963000,-44756000,-48397000,-48313000,-44921000,-10989000,-30422000,-17643000,-10417000,-26021
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1390478/000095013509001826/0000950135-09-001826-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012310031025/0000950123-10-031025-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000095012311036134/0000950123-11-036134-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312512137599/0001193125-12-137599-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312513103307/0001193125-13-103307-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047814000016/0001390478-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047815000012/0001390478-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047816000088/0001390478-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047817000020/0001390478-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000119312518117053/0001193125-18-117053-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047819000017/0001390478-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047820000007/0001390478-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047821000007/0001390478-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1390478/000139047822000006/0001390478-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,
