,https://roic.ai/company/NVMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.1956,-0.0016,-0.9192,-0.6431,-0.1737,0.0230,-0.2999,-0.0519,-0.0543,-0.1786,0.0628,0.2525,0.2404,0.1101,0.1106,0.1402,0.0780,0.0620,0.2605,0.2407,0.1619,0.2063,0.2701
19,Total Other Income Expenses (Gains),-150000,- -,-1025000,-1478000,- -,- -,- -,- -,-5197000,733000,163000,305000,901000,1368000,693000,563000,643000,1216000,2276000,2984000,3078000,926000,-3133000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2631000,22175000,25618000,11952000,13026000,17474000,12224000,11382000,60095000,63426000,39486000,56496000,109253000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0669,0.2560,0.2491,0.1243,0.1168,0.1449,0.0823,0.0694,0.2707,0.2526,0.1756,0.2097,0.2626
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,124000,2511000,-1178000,-3501000,1738000,13636000,9051000,4315000,8589000,16152000
23,Net Income,-5035000,2781000,-16874000,-12957000,-4212000,1467000,-8414000,-1934000,-3917000,-5421000,2631000,22175000,28118000,11828000,10515000,18652000,15725000,9644000,46459000,54375000,35171000,47907000,93101000
24,Net Income ratio,-0.1826,0.0574,-0.7970,-0.6361,-0.1578,0.0359,-0.2791,-0.0400,-0.0674,-0.1391,0.0669,0.2560,0.2734,0.1230,0.0943,0.1546,0.1059,0.0588,0.2093,0.2165,0.1564,0.1778,0.2237
25,EPS,-0.49,0.20,-1.16,-0.88,-0.28,0.10,-0.55,-0.12,-0.21,-0.28,0.14,0.91,1.07,0.44,0.39,0.68,0.58,0.35,1.68,1.94,1.26,1.71,3.31
26,EPS Diluted,-0.49,0.19,-1.16,-0.88,-0.28,0.09,-0.55,-0.12,-0.21,-0.28,0.13,0.86,1.04,0.43,0.38,0.67,0.57,0.35,1.63,1.89,1.23,1.65,3.31
27,Weighted Average Shares Outstanding,10332000,13580000,14578000,14786000,14994000,15259000,15437000,15976000,18606000,19369000,19473000,24448000,26232000,26619000,27091000,27447000,27185000,27175000,27696000,28022000,27895000,28097000,28097000
28,Weighted Average Shares Outstanding Diluted,10332000,14691000,15126000,14904000,14994000,16234000,15437000,15976000,18606000,19369000,20089000,25692000,26931000,27277000,27373000,27807000,27510000,27503000,28524000,28765000,28574000,28950000,28097000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891304000854/0001178913-04-000854-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891306001193/zk62588.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891309000699/0001178913-09-000699-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891310000880/0001178913-10-000880-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891311000939/0001178913-11-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891312000851/0001178913-12-000851-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891313000647/0001178913-13-000647-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891314000768/zk1414463.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891315000703/zk1516283.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891316004563/0001178913-16-004563-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891317000686/0001178913-17-000686-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891318000711/0001178913-18-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891319000711/0001178913-19-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891320000800/0001178913-20-000800-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,36964000,26634000,12171000,5776000,4176000,15324000,19325000,9861000,25394000,18716000,15963000,17542000,13649000,27733000,20406000,27697000,22877000,31748000,232304000,126698000
32,Short-Term Investments,- -,- -,- -,994000,5007000,10499000,9094000,6131000,2251000,97000,8607000,35562000,1582000,75039000,81397000,109284000,69298000,70546000,121390000,152951000,154533000,191567000,283465000
33,Cash and Short-Term Investments,- -,- -,- -,37958000,31641000,22670000,14870000,10307000,17575000,19422000,18468000,60956000,20298000,91002000,98939000,122933000,97031000,90952000,149087000,175828000,186281000,423871000,410163000
34,Net Receivables,- -,- -,- -,2663000,5804000,7461000,6841000,10252000,9146000,2783000,11545000,13162000,13402000,17362000,27947000,15566000,19046000,42626000,40949000,53531000,51603000,63314000,68446000
35,Inventory,- -,- -,- -,3150000,4152000,5239000,6606000,8968000,8524000,6862000,3949000,10849000,9608000,17827000,18118000,16107000,27683000,29260000,34921000,41786000,48362000,61734000,78665000
36,Other Current Assets,- -,- -,- -,1759000,1244000,1169000,1141000,1917000,1703000,1086000,1728000,1736000,69920000,4399000,4059000,3070000,6217000,4838000,6951000,10432000,16685000,9782000,9242000
37,Total Current Assets,- -,- -,- -,45530000,42841000,36539000,29458000,31444000,36948000,30153000,35690000,86703000,113228000,130590000,149063000,157676000,149977000,167676000,231908000,281577000,302931000,558701000,566516000
38,PP&E,- -,- -,- -,- -,- -,2119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63277000,65087000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,792000,- -,- -,- -,- -,- -,- -,- -,- -,20114000,20114000,20114000,20114000,20114000,20114000,20114000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2235000,- -,- -,- -,- -,- -,- -,- -,- -,17906000,15361000,12800000,10187000,7562000,5059000,2601000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3027000,- -,- -,- -,- -,- -,- -,- -,- -,38020000,35475000,32914000,30301000,27676000,25173000,22715000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000,561000,631000,545000,405000,750000,750000,750000,750000,750000,2000000,2813000,2547000,141087000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654000,5735000,3020000,1957000,3873000,4554000,2869000,6161000
44,Other Non-Current Assets,- -,- -,- -,3478000,5077000,10804000,12881000,9948000,11437000,5094000,4673000,6043000,9174000,11049000,12464000,13199000,12787000,11672000,15756000,15679000,62469000,3219000,3588000
45,Total Non-Current Assets,- -,- -,- -,3478000,5077000,12923000,12881000,12975000,11437000,5638000,5234000,6674000,9719000,11454000,13214000,15603000,57292000,50917000,51377000,51853000,97512000,97085000,238638000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,49008000,47918000,49462000,42339000,44419000,48385000,35791000,40924000,93377000,122947000,142044000,162277000,173279000,207269000,218593000,283285000,333430000,400443000,655786000,805154000
48,Accounts Payable,- -,- -,- -,3340000,5389000,5016000,5744000,6424000,7482000,3480000,3715000,9956000,8305000,10819000,15599000,11568000,14378000,16501000,15754000,19015000,20706000,24096000,36218000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187489000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3852000,3048000,1496000,2385000,1671000,3397000,2172000,4775000,3420000,3022000,5828000,4072000,10334000,3984000,2256000,4717000,15338000
52,Other Current Liabilities,- -,- -,- -,7616000,7102000,6389000,5028000,6099000,7310000,4042000,5237000,7908000,8082000,8444000,11448000,12606000,16952000,18461000,26038000,25079000,23987000,32121000,48885000
53,Total Current Liabilities,- -,- -,- -,10956000,12491000,11405000,14624000,15571000,16288000,9907000,10623000,21261000,18559000,24038000,30467000,27196000,37158000,39034000,52126000,48078000,46949000,60934000,287930000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178808000,33450000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000,183000,- -,611000,159000,341000,36000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5760000,1094000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2375000,3091000,3589000,4271000,4273000,4513000,3192000,3203000,3732000,3871000,3076000,2805000,2465000,3291000,3748000,4423000,4612000,38955000,44506000,10020000
58,Total Non-Current Liabilities,- -,- -,- -,2375000,3091000,3589000,4271000,4273000,4513000,3543000,3386000,3732000,4482000,3235000,3146000,2501000,9051000,4842000,4423000,4612000,38955000,223314000,43470000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33313000,35608000,37902000
61,Total Liabilities,- -,- -,- -,13331000,15582000,14994000,18895000,19844000,20801000,13450000,14009000,24993000,23041000,27273000,33613000,29697000,46209000,43876000,56549000,52690000,85904000,284248000,331400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,46000,46000,46000,46000,50000,55000,55000,56000,71000,72000,72000,72000,73000,73000,74000,74000,74000,74000,74000,- -
64,Retained Earnings,- -,- -,- -,-36174000,-40386000,-38919000,-50220000,-52154000,-56071000,-61492000,-58861000,-36686000,-8568000,3260000,13775000,32427000,48152000,57665000,104124000,158542000,193713000,241620000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-3625000,-4242000,-4569000,-5463000,-5265000,-6553000,-7516000,-8703000,-9918000,-11358000,-13688000,-12484000,-1000000,-21607000,-25222000,-28829000,-32301000,-37549000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,75430000,76918000,77910000,79081000,81944000,90153000,91294000,94423000,114917000,119760000,125127000,127301000,112082000,134442000,142200000,151367000,154425000,158301000,129844000,- -
67,Total Stockholders Equity,- -,- -,- -,35677000,32336000,34468000,23444000,24575000,27584000,22341000,26915000,68384000,99906000,114771000,128664000,143582000,161060000,174717000,226736000,280740000,314539000,371538000,473754000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,49008000,47918000,49462000,42339000,44419000,48385000,35791000,40924000,93377000,122947000,142044000,162277000,173279000,207269000,218593000,283285000,333430000,400443000,655786000,805154000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,49008000,47918000,49462000,42339000,44419000,48385000,35791000,40924000,93377000,122947000,142044000,162277000,173279000,207269000,218593000,283285000,333430000,400443000,655786000,805154000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891304000854/0001178913-04-000854-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891306001193/zk62588.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891309000699/0001178913-09-000699-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891310000880/0001178913-10-000880-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891311000939/0001178913-11-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891312000851/0001178913-12-000851-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891313000647/0001178913-13-000647-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891314000768/zk1414463.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891315000703/zk1516283.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891316004563/0001178913-16-004563-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891317000686/0001178913-17-000686-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891318000711/0001178913-18-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891319000711/0001178913-19-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891320000800/0001178913-20-000800-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5035000,2781000,-16874000,-12957000,-4212000,1467000,-8414000,-1934000,-3917000,-5421000,2631000,22175000,28118000,11828000,10515000,18652000,15725000,9644000,46459000,54375000,35171000,47907000,93101000
74,Depreciation and Amortization,1998000,3045000,2714000,1875000,1256000,670000,894000,2075000,2795000,1320000,1254000,1260000,1700000,2783000,3522000,3951000,9620000,6594000,6179000,7684000,10398000,8378000,8933000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,1898000,- -,-5046000,633000,-31000,-1916000,-681000,-193000,-2989000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,- -,- -,1927000,2095000,2124000,2674000,2735000,2779000,4326000,5092000,6949000,10488000
77,Change in Working Capital,1584000,-9316000,8548000,1081000,-2719000,-3976000,557000,-5027000,187000,895000,-6126000,1579000,-3695000,-9329000,-5289000,8641000,2826000,-23355000,6394000,-30276000,-9459000,-2072000,17537000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6363000,-8762000,-1617000,-240000,-3960000,-10585000,12381000,-1959000,-23580000,1677000,-12539000,1928000,-11711000,-5132000
79,Inventory,-601000,-1202000,776000,1163000,-1002000,-1087000,-252000,-786000,-1890000,1330000,2695000,-7526000,-1056000,-10513000,-1783000,2226000,-1949000,-1670000,-6858000,-8123000,-7518000,-16271000,-18457000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4013000,234000,6242000,-1639000,2510000,4517000,-4038000,1604000,2123000,-747000,3261000,1691000,3255000,11697000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-482000,-1101000,586000,-1041000,1740000,-919000,2818000,742000,-2400000,1431000,-1085000,6325000,-8493000,-2359000,4166000,10621000
82,Other Non-Cash Items,129000,-164000,76000,2090000,168000,310000,-418000,-226000,5509000,-68000,- -,818000,1478000,509000,-1750000,175000,-10000,-411000,31000,1916000,681000,-716000,5192000
83,Cash Provided by Operating Activities,-1324000,-3654000,-5536000,-7911000,-5507000,-1529000,-7381000,-5112000,4574000,-3274000,-1787000,25832000,25101000,7718000,10991000,33543000,25789000,-4160000,61811000,36109000,41202000,60253000,132262000
84,CAPEX,-760000,-1170000,-1141000,-601000,-364000,-1242000,-1282000,-1233000,-1183000,-944000,-403000,-1565000,-2307000,-3660000,-4119000,-5234000,-4373000,-3133000,-6295000,-3678000,-21269000,-6443000,-4816000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-14722000,-8947000,-4777000,-12240000,-4550000,-689000,-3583000,-97000,-8510000,-27025000,-32267000,-8792000,-6358000,-29679000,- -,-1248000,-50844000,-31561000,-4395000,-36016000,-246547000
87,Sales/Maturities of Investments,- -,- -,- -,21811000,- -,- -,6543000,6928000,5671000,8304000,- -,- -,- -,1582000,- -,1617000,39996000,- -,- -,- -,- -,- -,12862000
88,Other Investing Activites,- -,-44000000,44410000,-1887000,- -,- -,- -,-1577000,- -,- -,-17000,- -,86000,140000,-126000,- -,-344000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-760000,-45170000,28547000,10376000,-5141000,-13482000,711000,3429000,905000,7263000,-8930000,-28590000,-34488000,-10730000,-10603000,-33296000,-9721000,-4381000,-57139000,-35239000,-25664000,-42459000,-238501000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1502000,49200000,8000,31000,318000,548000,275000,83000,5669000,- -,- -,16968000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6726000,-4303000,-937000,- -,-4801000,-7159000,-12549000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,1253000,1323000,2709000,259000,1191000,2586000,2319000,2151000,2619000,361000,492000,193955000,11000
95,Cash Used/Provided by Financing Activities,1502000,49200000,8000,31000,318000,548000,275000,83000,5669000,12000,1253000,18291000,2709000,259000,1191000,-4140000,-1984000,1214000,2619000,-4440000,-6667000,181406000,11000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356000,622000
97,Net Change In Cash,-582000,376000,23019000,2496000,-10330000,-14463000,-6395000,-1600000,11148000,4001000,-9464000,15533000,-6678000,-2753000,1579000,-3893000,14084000,-7327000,7291000,-3570000,8871000,200556000,-105606000
98,Cash at the End of Period,11073000,11449000,34468000,36964000,26634000,12171000,5776000,4176000,15324000,19325000,9861000,25394000,18716000,15963000,17542000,13649000,27733000,20406000,27697000,24877000,31748000,232304000,126698000
99,Cash at the Beginning of Period,11655000,11073000,11449000,34468000,36964000,26634000,12171000,5776000,4176000,15324000,19325000,9861000,25394000,18716000,15963000,17542000,13649000,27733000,20406000,28447000,22877000,31748000,232304000
100,Free Cash Flow,-2084000,-4824000,-6677000,-8512000,-5871000,-2771000,-8663000,-6345000,3391000,-4218000,-2190000,24267000,22794000,4058000,6872000,28309000,21416000,-7293000,55516000,32431000,19933000,53810000,127446000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891304000854/0001178913-04-000854-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891306001193/zk62588.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1109345/000117891309000699/0001178913-09-000699-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891310000880/0001178913-10-000880-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891311000939/0001178913-11-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891312000851/0001178913-12-000851-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891313000647/0001178913-13-000647-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891314000768/zk1414463.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891315000703/zk1516283.htm,https://www.sec.gov/Archives/edgar/data/1109345/000117891316004563/0001178913-16-004563-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891317000686/0001178913-17-000686-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891318000711/0001178913-18-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891319000711/0001178913-19-000711-index.html,https://www.sec.gov/Archives/edgar/data/1109345/000117891320000800/0001178913-20-000800-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
