,https://roic.ai/company/BNFT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11450000,2851000,15465000,34343000,33619000,60990000,58406000,59691000,88664000,160945000,76071000
58,Total Non-Current Liabilities,- -,47194000,52767000,86285000,126126000,94536000,121648000,110550000,245706000,281692000,349675000,185729000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,12066000,1721000,18551000,36437000,34831000,60538000,59020000,61602000,95443000,85241000,- -
61,Total Liabilities,- -,69809000,81691000,128179000,182841000,200128000,213721000,204440000,324149000,357327000,410967000,257965000
62,Preferred Stock,- -,135478000,135478000,- -,- -,- -,- -,- -,- -,- -,79193000,- -
63,Common Stock,- -,4923000,6109000,24000,26000,29000,30000,31000,32000,33000,32000,33000
64,Retained Earnings,- -,-157368000,-171357000,-203079000,-266258000,-328342000,-368400000,-394663000,-413873000,-451702000,-476058000,-508224000
65,Other Comprehensive Income/Loss,- -,-25446000,-28487000,-36474000,-45188000,-56405000,-67606000,-82910000,-98056000,-105584000,- -,- -
66,Other Total Stockholders Equity,- -,25446000,28487000,250961000,268597000,366709000,402665000,438211000,501687000,531609000,427431000,431874000
67,Total Stockholders Equity,- -,-16967000,-29770000,11432000,-42823000,-18009000,-33311000,-39331000,-10210000,-25644000,30598000,-76317000
68,Total Liabilities And Stockholders Equity,- -,52842000,51921000,139611000,140018000,182119000,180410000,165109000,313939000,331683000,441565000,181648000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79193000,79193000
70,Total Liabilities & Equity,- -,52842000,51921000,139611000,140018000,182119000,180410000,165109000,313939000,331683000,362372000,260841000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1576169/000119312514108654/0001193125-14-108654-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312515070241/d861802d10k.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312516478532/0001193125-16-478532-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459017002411/0001564590-17-002411-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459018005797/0001564590-18-005797-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459019004453/0001564590-19-004453-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459020008764/0001564590-20-008764-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459021011839/0001564590-21-011839-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000156459022008597/0001564590-22-008597-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-2475000,-15064000,-14738000,-30361000,-63179000,-62084000,-40058000,-25872000,-52627000,-45515000,-24297000,-32166000
74,Depreciation and Amortization,6609000,7306000,8294000,8172000,9493000,11664000,13073000,15906000,15815000,22351000,25014000,25581000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3067000
76,Stock Based Compensation,1035000,721000,712000,1202000,5588000,10454000,18088000,16137000,28868000,19572000,14537000,13905000
77,Change in Working Capital,-434000,5310000,1241000,59275000,-39862000,-6694000,-14151000,-8264000,154291000,-39611000,57475000,-128173000
78,Accounts Receivable,-1141000,-2029000,-4411000,-10264000,2357000,-7800000,-3936000,2735000,8650000,-11875000,11412000,8615000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,98000,-304000,862000,2625000,-199000,3418000,-1849000,-1372000,6566000,426000,-11468000,11226000
81,Other Working Capital,-917000,4393000,5634000,64909000,25047000,18353000,4202000,-4062000,150229000,110618000,168093000,39920000
82,Other Non-Cash Items,2450000,7609000,15113000,-37221000,69082000,15115000,222000,-3844000,-137366000,24828000,-45078000,157422000
83,Cash Provided by Operating Activities,7185000,5882000,10622000,1067000,-18878000,-31545000,-22826000,-5937000,8981000,-18375000,27651000,33502000
84,CAPEX,-3336000,-5747000,-6308000,-8918000,-9824000,-14727000,-12705000,-8279000,-8290000,-13248000,-13085000,-11776000
85,Acquisitions Net,-6395000,- -,- -,- -,- -,- -,- -,- -,- -,-20914000,- -,- -
86,Purchases of Investments,- -,- -,- -,-13168000,-12959000,-68185000,-2004000,- -,- -,- -,-104125000,-91361000
87,Sales/Maturities of Investments,- -,- -,- -,- -,20830000,32667000,40225000,2000000,- -,- -,9000000,-46364000
88,Other Investing Activites,6000,- -,- -,9000,- -,- -,- -,- -,- -,- -,- -,166596000
89,Cash Used for Investing Activites,-9725000,-5747000,-6308000,-22077000,-1953000,-50245000,25516000,-6279000,-8290000,-34162000,-108210000,17095000
90,Debt Repayment,-5664000,-3791000,-2433000,-15790000,-10331000,-54787000,-84200000,-98017000,-181786000,-7511000,-36031000,-5125000
91,Common Stock Issued,- -,- -,- -,70132000,- -,74538000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-30960000,-814000,-599000,- -,- -,- -,- -,- -,- -,- -,-9667000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3662000,-6400000
94,Other Financing Activites,31305000,2160000,2565000,12610000,16591000,59039000,90289000,108715000,316688000,96000,89649000,-98777000
95,Cash Used/Provided by Financing Activities,-5319000,-2445000,-467000,66952000,6260000,78790000,6089000,10698000,134902000,-7415000,40289000,-110302000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-7859000,-2310000,3847000,45942000,-14571000,-3000000,8779000,-1518000,135593000,-59952000,-40270000,-59705000
98,Cash at the End of Period,18166000,15856000,19703000,65645000,51074000,48074000,56853000,55335000,190928000,130976000,90706000,31001000
99,Cash at the Beginning of Period,26025000,18166000,15856000,19703000,65645000,51074000,48074000,56853000,55335000,190928000,130976000,90706000
100,Free Cash Flow,3849000,135000,4314000,-7851000,-28702000,-46272000,-35531000,-14216000,691000,-31623000,14566000,21726000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576169/000119312514108654/0001193125-14-108654-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312515070241/d861802d10k.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312516478532/0001193125-16-478532-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459017002411/0001564590-17-002411-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459018005797/0001564590-18-005797-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459019004453/0001564590-19-004453-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459020008764/0001564590-20-008764-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459021011839/0001564590-21-011839-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000156459022008597/0001564590-22-008597-index.htm
102,false,,,,,,,,,,,,
