,https://roic.ai/company/STG,2015,2016,2017,2018,2019,2020
36,Other Current Assets,27716000,33436000,101021000,290047000,418224000,250031000
37,Total Current Assets,92249000,219937000,1266691000,2582939000,2044194000,1554254000
38,PP&E,3668000,16448000,525288000,559511000,1144666000,999969000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,696000,1043000,1552000,1369000,1176000,14775000
41,Intangible Assets,696000,1043000,1552000,1369000,1176000,14775000
42,Investments,- -,- -,3300000,30009000,40026000,64093000
43,Tax Assets,- -,- -,- -,- -,85513000,13015000
44,Other Non-Current Assets,3485000,7563000,172828000,565310000,653127000,614788000
45,Total Non-Current Assets,7849000,25054000,702968000,1156199000,1924508000,1706640000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,100098000,244991000,1969659000,3739138000,3968702000,3260894000
48,Accounts Payable,17324000,7075000,246084000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,32500000,72736000,63202000
50,Tax Payable,1546000,- -,9915000,29872000,15263000,15537000
51,Deferred Revenue,248501000,518334000,1332035000,1771735000,1681757000,1483302000
52,Other Current Liabilities,40030000,61705000,224125000,510174000,485084000,649192000
53,Total Current Liabilities,305855000,587114000,1802244000,2314409000,2239577000,2195696000
54,Long-Term Debt,- -,- -,- -,225625000,809371000,693163000
55,Deferred Revenue,165987000,211832000,784474000,1520940000,1558694000,1561278000
56,Deferred Tax Liabilities,- -,- -,- -,- -,87954000,15220000
57,Other Non-Current Liabilities,- -,335000000,- -,17147000,11469000,7664000
58,Total Non-Current Liabilities,165987000,546832000,784474000,1763712000,2467488000,2277325000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,656482000,563240000
61,Total Liabilities,471842000,1133946000,2586718000,4078121000,4707065000,4473021000
62,Preferred Stock,- -,335000000,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,2000,2000,2000
64,Retained Earnings,-372656000,-919867000,-1922748000,-2849770000,-3244587000,-3675129000
65,Other Comprehensive Income/Loss,- -,- -,-8759000,118827000,142435000,96490000
66,Other Total Stockholders Equity,911000,-304089000,1314383000,2391822000,2363999000,2367168000
67,Total Stockholders Equity,-371744000,-888955000,-617123000,-339119000,-738151000,-1211469000
68,Total Liabilities And Stockholders Equity,100098000,244991000,1969595000,3739002000,3968914000,3261552000
69,Minority Interest,- -,- -,64000,136000,-212000,-658000
70,Total Liabilities & Equity,100098000,244991000,1969659000,3739138000,3968702000,3260894000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-318302000,-253567000,-918578000,-927022000,-394817000,-430542000
74,Depreciation and Amortization,3752000,5470000,8109000,25778000,37223000,40267000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,23657000,- -,288763000,3851000,2970000,29748000
77,Change in Working Capital,291338000,337369000,1436370000,1079574000,-180535000,165177000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,272817000,299434000,1309827000,946590000,-176482000,-83880000
82,Other Non-Cash Items,- -,- -,4874000,-1638000,1612000,6709000
83,Cash Provided by Operating Activities,445000,89272000,819538000,180543000,-533547000,-188641000
84,CAPEX,-5778000,-16695000,-398936000,-518428000,-25536000,-26964000
85,Acquisitions Net,- -,- -,-8889000,-25000000,-10153000,-23600000
86,Purchases of Investments,-148600000,-858500000,-2139097000,-4352103000,-2108820000,-2195567000
87,Sales/Maturities of Investments,127870000,757500000,1931027000,3708810000,2905788000,1895897000
88,Other Investing Activites,-115000,-824000,-746000,-665000,-32513000,-13607000
89,Cash Used for Investing Activites,-26508000,-117695000,-615895000,-1186721000,729546000,-349306000
90,Debt Repayment,- -,- -,- -,-1875000,-32500000,-32500000
91,Common Stock Issued,- -,- -,- -,1109517000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-33971000,-31650000,-26579000
93,Dividends Paid,- -,- -,-43000000,- -,- -,- -
94,Other Financing Activites,21771000,47080000,384472000,513672000,- -,- -
95,Cash Used/Provided by Financing Activities,21771000,47080000,341472000,1587343000,-64150000,-59079000
96,Effect of Forex Changes on Cash,- -,- -,-8759000,108186000,21567000,-44490000
97,Net Change In Cash,-4292000,18657000,536356000,689351000,153416000,-641516000
98,Cash at the End of Period,4446000,23103000,559459000,1248810000,1402226000,760710000
99,Cash at the Beginning of Period,8738000,4446000,23103000,559459000,1248810000,1402226000
100,Free Cash Flow,-5333000,72577000,420602000,-337885000,-559083000,-215605000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
