,https://roic.ai/company/BTCS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436229/000121390012001644/f10k2011_touchit.htm,https://www.sec.gov/Archives/edgar/data/1436229/000121390013001383/0001213900-13-001383-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000141588914000991/btcs10k_dec312013.htm,https://www.sec.gov/Archives/edgar/data/1436229/000141588915001341/btcs10k_dec312014.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315216007517/0001493152-16-007517-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315217007086/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315218003362/0001493152-18-003362-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315219001464/0001493152-19-001464-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315220004512/0001493152-20-004512-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315221001796/0001493152-21-001796-index.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315222006666/0001493152-22-006666-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19281,50556,70289,6412,20778,5403,124535,95068,303334,52117,143098,524135,1400867
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,199,616352,- -,252903,995652,3741114
33,Cash and Short-Term Investments,- -,19281,50556,70289,6412,20778,5403,124535,95267,919686,52117,396001,1519787,5141981
34,Net Receivables,- -,- -,1619205,240867,64170,68364,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,365643,55689,111461,56249,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1106,- -,- -,28552,62694,25938,- -,67736,8333,24008,31875,324551
37,Total Current Assets,- -,19281,2036510,366845,182043,173943,68097,150473,95267,987422,60450,420009,1551662,5466532
38,PP&E,- -,- -,64495,1027,6076,27180,190190,489420,- -,1235,2703,1344,230,9783
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,10700,6075,919,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,25145,- -,- -,- -,10700,6075,919,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,2250000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3555,- -,400000,400000,4815,336885,1885,- -,- -,- -,- -,8625678
45,Total Non-Current Assets,- -,- -,93195,1027,406076,427180,205705,3082380,2804,1235,2703,1344,230,8635461
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19281,2129705,367872,588119,601123,273802,3232853,98071,988657,63153,421353,1551892,14101993
48,Accounts Payable,- -,- -,124745,181984,274352,265648,- -,- -,770497,75997,119146,- -,26288,- -
49,Short-Term Debt,- -,- -,2351,- -,- -,- -,7990,1826156,3328034,- -,200000,159854,131941,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,35826,1266482,292708,272809,196475,258130,4196617,41250107,- -,- -,445259,350376,1998550
53,Total Current Liabilities,- -,35826,1393578,474692,547161,462123,266120,6022773,45348638,75997,319146,605113,508605,1998550
54,Long-Term Debt,- -,- -,- -,250000,- -,629856,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,743131,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,743131,250000,- -,629856,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,35826,2136709,724692,547161,1091979,266120,6022773,45348638,75997,319146,605113,508605,1998550
62,Preferred Stock,- -,- -,- -,- -,- -,- -,2200,- -,- -,75,29,29,29,- -
63,Common Stock,- -,7000,127570,127570,544303,544303,153187,170480,16097,363044,375456,19830,42010,10529
64,Retained Earnings,- -,-42774,-308463,-484390,-521403,-1133518,-14739891,-24786927,-69052203,-114117539,-115343192,-116983793,-119539887,-135589470
65,Other Comprehensive Income/Loss,- -,- -,173899,- -,18058,98359,-22359,-316531,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,14614545,22143058,23785539,114667080,114711714,116780174,120541135,147682384
67,Total Stockholders Equity,- -,-16545,-7004,-356820,40958,-490856,7682,-2789920,-45250567,912660,-255993,-183760,1043287,12103443
68,Total Liabilities And Stockholders Equity,- -,19281,2129705,367872,588119,601123,273802,3232853,98071,988657,63153,421353,1551892,14101993
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,19281,2129705,367872,588119,601123,273802,3232853,98071,988657,63153,421353,1551892,14101993
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436229/000121390012001644/f10k2011_touchit.htm,https://www.sec.gov/Archives/edgar/data/1436229/000121390013001383/0001213900-13-001383-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000141588914000991/btcs10k_dec312013.htm,https://www.sec.gov/Archives/edgar/data/1436229/000141588915001341/btcs10k_dec312014.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315216007517/0001493152-16-007517-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315217007086/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315218003362/0001493152-18-003362-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315219001464/0001493152-19-001464-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315220004512/0001493152-20-004512-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315221001796/0001493152-21-001796-index.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315222006666/0001493152-22-006666-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,-42774,105115,-346692,18059,88671,-14757016,-10047036,-44265276,-45065336,-826420,-1640601,-2556094,-16049583
74,Depreciation and Amortization,- -,- -,17516,- -,427,2627,26683,298797,182037,1169,1130,1359,1114,939
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,13126445,6383772,- -,- -,- -,- -,-66559,15669832
77,Change in Working Capital,- -,35826,718640,-750779,-257271,76938,90157,-5674277,-39381071,46164796,-1170121,73592,1228161,-523290
78,Accounts Receivable,- -,- -,-430428,1378337,176698,-32746,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-17620,309953,-58640,55212,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,35826,54126,- -,-172949,-8704,246740,391258,140233,-673729,43149,- -,- -,- -
81,Other Working Capital,- -,-16545,642932,-107847,-365118,-288180,-198023,-5872300,-45253371,911425,-258696,-185104,1043057,-343042
82,Other Non-Cash Items,- -,- -,-774074,1527905,168905,84693,452428,8242211,82635851,-2588883,1489792,441240,-1579625,-3959553
83,Cash Provided by Operating Activities,- -,-6948,67197,430434,-69880,252929,-1061303,-796533,-828459,-1488254,-505619,-1124410,-2973003,-4861655
84,CAPEX,- -,- -,-62304,- -,-5495,-23721,-360823,-553069,-14582,-1485,-2598,- -,- -,-10491
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-400004,-2350000,- -,- -,- -,-374979,- -,-9462279
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-62304,91141,-5495,- -,-20283,-323777,401807,1885,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-62304,91141,-5495,-23721,-765642,-3226846,387225,400,-2598,-374979,- -,-9472770
90,Debt Repayment,- -,- -,- -,-501842,- -,- -,- -,-27990,- -,-54000,- -,- -,- -,-2000000
91,Common Stock Issued,- -,20500,- -,- -,- -,- -,- -,2745500,- -,- -,- -,1162000,1854040,14711157
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2491,-2500,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5729,-8931,- -,11499,-214843,1825787,1427500,411767,1750120,257000,428370,1500000,2500000
95,Cash Used/Provided by Financing Activities,- -,26229,-8931,-501842,11499,-214843,1823296,4142510,411767,1696120,257000,1590370,3354040,15211157
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,26229,-4289,19733,-63876,14365,-3649,119132,-29467,208266,-251217,90981,381037,876732
98,Cash at the End of Period,- -,19281,50556,70289,6413,20778,5403,124535,95068,303334,52117,143098,524135,1400867
99,Cash at the Beginning of Period,- -,- -,54845,50556,70289,6413,9052,5403,124535,95068,303334,52117,143098,524135
100,Free Cash Flow,- -,-6948,4893,430434,-75375,229208,-1422126,-1349602,-843041,-1489739,-508217,-1124410,-2973003,-4872146
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436229/000121390012001644/f10k2011_touchit.htm,https://www.sec.gov/Archives/edgar/data/1436229/000121390013001383/0001213900-13-001383-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000141588914000991/btcs10k_dec312013.htm,https://www.sec.gov/Archives/edgar/data/1436229/000141588915001341/btcs10k_dec312014.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315216007517/0001493152-16-007517-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315217007086/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315218003362/0001493152-18-003362-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315219001464/0001493152-19-001464-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315220004512/0001493152-20-004512-index.html,https://www.sec.gov/Archives/edgar/data/1436229/000149315221001796/0001493152-21-001796-index.htm,https://www.sec.gov/Archives/edgar/data/1436229/000149315222006666/0001493152-22-006666-index.htm
102,false,,,,,,,,,,,,,,
