,https://roic.ai/company/BURL,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
38,PP&E,- -,865215000,878305000,902700000,970419000,1018570000,1049447000,1134772000,1253705000,3800284000,3908229000,4190710000
39,Goodwill,- -,47064000,47064000,47100000,47064000,47064000,47064000,47064000,47064000,47064000,47064000,47064000
40,Intangible Assets,- -,597903000,560081000,530600000,504397000,476753000,451180000,426947000,402324000,238731000,238000000,- -
41,Intangible Assets,- -,644967000,607145000,577700000,551461000,523817000,498244000,474011000,449388000,285795000,285064000,285064000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,242700000,- -,201695000,207935000,6952000,178779000,182288000,4422000,3959000
44,Other Non-Current Assets,- -,112973000,112978000,-118500000,115206000,-105251000,-109467000,96661000,-74600000,-91879000,72761000,62136000
45,Total Non-Current Assets,- -,1623155000,1598428000,1604600000,1637086000,1638831000,1646159000,1712396000,1807272000,4176488000,4270476000,4541869000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2501143000,2478082000,2621100000,2624569000,2571813000,2574483000,2812829000,3079172000,5593859000,6781092000,7089513000
48,Accounts Payable,- -,276285000,500406000,543000000,621682000,598199000,640326000,736252000,848561000,759107000,862638000,1080802000
49,Short-Term Debt,- -,7659000,784000,59026000,1167000,1403000,1638000,13164000,2924000,305762000,308528000,1090736000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,221343000,238865000,301774000,310268000,286986000,354870000,370215000,396257000,397032000,512830000,-223891000
53,Total Current Liabilities,- -,505287000,740055000,903800000,933117000,886588000,996834000,1119631000,1247742000,1461901000,1683996000,1947647000
54,Long-Term Debt,- -,1605464000,1335532000,1369200000,1249276000,1295163000,1128843000,1113808000,983643000,1001723000,4328552000,6619942000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,276985000,253339000,242708000,234360000,201695000,207935000,179486000,178779000,182288000,199850000,- -
57,Other Non-Current Liabilities,- -,1109297000,1258614000,255892000,273767000,287389000,290683000,313130000,346298000,2419798000,103940000,- -
58,Total Non-Current Liabilities,- -,2991746000,2847485000,1867800000,1757403000,1784247000,1627461000,1606424000,1508720000,3603809000,4632342000,6619942000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2624185000,2705411000,- -
61,Total Liabilities,- -,3497033000,3587540000,2771600000,2690520000,2670835000,2624295000,2726055000,2756462000,5065710000,6316338000,6329096000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,46000,47000,- -,7000,7000,7000,7000,7000,7000,7000,- -
64,Retained Earnings,- -,-995932000,-1109501000,-1492400000,-1426454000,-1275972000,-1060099000,-675664000,-260919000,204797000,-11702000,414292000
65,Other Comprehensive Income/Loss,- -,-616947000,-722870000,-825300000,-1744000,-8992000,-7191000,-1887000,-3613000,-18960000,-23015000,-4441000
66,Other Total Stockholders Equity,- -,616943000,722866000,2167200000,1362240000,1185935000,1017471000,764318000,587235000,342305000,499464000,350566000
67,Total Stockholders Equity,- -,-995890000,-1109458000,-150468000,-65951000,-99022000,-49812000,86774000,322710000,528149000,464754000,760417000
68,Total Liabilities And Stockholders Equity,- -,2501143000,2478082000,2621132000,2624569000,2571813000,2574483000,2812829000,3079172000,5593859000,6781092000,7089513000
69,Minority Interest,- -,- -,- -,-32000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2501143000,2478082000,2621100000,2624569000,2571813000,2574483000,2812829000,3079172000,5593859000,6781092000,7089513000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1579298/000119312514124097/d667477d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000119312515105212/d846695d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000156459016014854/0001564590-16-014854-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459017004636/0001564590-17-004636-index.html,- -,https://www.sec.gov/Archives/edgar/data/1579298/000156459019008656/0001564590-19-008656-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459020010835/0001564590-20-010835-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459021013162/0001564590-21-013162-index.htm,https://www.sec.gov/Archives/edgar/data/1579298/000095017022003963/0000950170-22-003963-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,30998000,-6272000,25301000,16200000,65955000,150482000,215873000,384852000,414745000,465116000,-216499000,408839000
74,Depreciation and Amortization,146759000,153070000,166786000,168195000,167580000,172099000,183586000,201103000,217884000,210720000,220390000,271132000
75,Deferred Income Tax,886000,-701000,-6536000,-17973000,-30940000,5909000,-2919000,-30727000,2519000,9070000,-24959000,- -
76,Stock Based Compensation,2230000,5797000,2747000,10203000,6264000,11161000,15953000,27034000,35485000,43928000,55845000,- -
77,Change in Working Capital,-14169000,358973000,-233102000,-26899000,-58334000,-7972000,-114904000,49312000,43356000,-68688000,871150000,-226623000
78,Accounts Receivable,-1168000,-1650000,-7814000,1573000,-8616000,1263000,-3489000,-19983000,3482000,-8816000,26858000,- -
79,Inventory,-30933000,-38033000,2070000,-39862000,-68658000,5180000,81048000,-50671000,-201621000,176430000,36459000,- -
80,Accounts Payable,50659000,85824000,224121000,42581000,78695000,-23483000,41543000,97003000,111023000,-90899000,104607000,- -
81,Other Working Capital,13728000,372701000,139599000,112700000,54366000,46394000,-68510000,-19198000,24158000,-44530000,826620000,599997000
82,Other Non-Cash Items,42000000,-260884000,497313000,139625000,151810000,-4218000,304857000,-24324000,-74336000,231579000,-686746000,-453348000
83,Cash Provided by Operating Activities,208704000,249983000,452509000,289351000,302335000,327461000,602446000,607250000,639653000,891725000,219181000,- -
84,CAPEX,-132591000,-153930000,-167251000,-168267000,-220980000,-201787000,-187507000,-268197000,-304315000,-330340000,-273282000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-27611000,-4843000,1435000,3473000,4474000,7055000,7156000,5989000,5807000,5742000,-850000,- -
89,Cash Used for Investing Activites,-159962000,-158773000,-165816000,-164794000,-216506000,-194732000,-180351000,-262208000,-298508000,-324598000,-274132000,- -
90,Debt Repayment,-246000000,-2274544000,-856317000,-1066030000,-2345870000,-1553300000,-2677100000,-2335293000,-1372993000,-1294400000,-400000000,- -
91,Common Stock Issued,- -,- -,- -,260667000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-251000,-6000,-7000,- -,-3933000,-201670000,-202371000,-289777000,-228874000,-323080000,-65526000,- -
93,Dividends Paid,- -,-297917000,-1711000,-336000000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,202973000,2486707000,579014000,1106454000,2156339000,1617807000,2518058000,2331717000,1233792000,1325853000,1497679000,- -
95,Cash Used/Provided by Financing Activities,-43278000,-85760000,-279021000,-34909000,-193464000,-137163000,-361413000,-293353000,-368075000,-291627000,1032153000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5464000,5450000,7672000,89648000,-107635000,-4434000,60682000,51689000,-26930000,275500000,977202000,- -
98,Cash at the End of Period,30214000,35664000,43336000,132984000,25349000,20915000,81597000,133286000,134156000,409656000,1386858000,- -
99,Cash at the Beginning of Period,24750000,30214000,35664000,43336000,132984000,25349000,20915000,81597000,161086000,134156000,409656000,1386858000
100,Free Cash Flow,76113000,96053000,285258000,121084000,81355000,125674000,414939000,339053000,335338000,561385000,-54101000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579298/000119312514124097/d667477d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000119312515105212/d846695d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000156459016014854/0001564590-16-014854-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459017004636/0001564590-17-004636-index.html,- -,https://www.sec.gov/Archives/edgar/data/1579298/000156459019008656/0001564590-19-008656-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459020010835/0001564590-20-010835-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459021013162/0001564590-21-013162-index.htm,https://www.sec.gov/Archives/edgar/data/1579298/000095017022003963/0000950170-22-003963-index.htm
102,false,,,,,,,,,,,,
