,https://roic.ai/company/ARES,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,97348000,1235688000,966383000,34988000,19378000,111808000,76178000,57020000,148884000,152142000,408837000
24,Net Income ratio,0.4704,3.6992,2.0190,0.0579,0.0238,0.0932,0.0538,0.0595,0.0843,0.0862,0.0971
25,EPS,1.29,13.12,1.00,0.43,0.24,1.22,0.62,0.30,1.11,0.89,2.24
26,EPS Diluted,1.22,13.12,0.95,0.43,0.24,1.20,0.62,0.30,1.06,0.87,2.15
27,Weighted Average Shares Outstanding,75459813,94168582,75459813,80358036,80679600,80749671,81838007,96023147,107914953,135065436,163703626
28,Weighted Average Shares Outstanding Diluted,80098497,94168582,80098497,80358036,80679600,82937030,81838007,96023147,119877429,149508498,180112271
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1176948/000104746915002528/a2223704z10-k.htm,https://www.sec.gov/Archives/edgar/data/1176948/000155837016003647/0001558370-16-003647-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828017001756/0001628280-17-001756-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828018002576/0001628280-18-002576-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828019001988/0001628280-19-001988-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/0001628280-20-002489-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828021003314/0001628280-21-003314-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/0001628280-22-004289-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1561293000,1776097000,1677805000,1463255000,280990000,798141000,675429000,494891000,744705000,1062189000,1392846000
32,Short-Term Investments,- -,21840736000,20912776000,19113201000,2559783000,3330203000,647335000,- -,- -,- -,- -
33,Cash and Short-Term Investments,1561293000,23616833000,22590581000,20576456000,2840773000,4128344000,1322764000,494891000,744705000,1062189000,1392846000
34,Net Receivables,471536000,680476000,827419000,643618000,722446000,959633000,1360525000,344169000,439580000,625280000,1157936000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,14174000,-21826685000,-20899432000,-19080467000,-2559549000,-3330203000,-647335000,- -,- -,- -,- -
37,Total Current Assets,2047003000,2470624000,2518568000,2139607000,1003670000,1757774000,2035954000,839060000,1184285000,1687469000,2550782000
38,PP&E,19808000,18778000,27852000,34055000,38147000,40759000,61151000,65069000,206289000,215616000,238912000
39,Goodwill,8364000,8185000,58159000,85582000,144067000,143724000,143895000,143786000,143855000,371047000,787972000
40,Intangible Assets,66942000,68068000,68742000,40948000,84971000,58315000,40465000,31578000,7975000,222088000,1422818000
41,Intangible Assets,75306000,76253000,126901000,126530000,229038000,202039000,184360000,175364000,151830000,593135000,2210790000
42,Investments,21473234000,21840736000,20912776000,19294274000,3028070000,3798674000,6230177000,8999302000,10391611000,12559856000,16500942000
43,Tax Assets,- -,- -,- -,- -,- -,6731000,8326000,42137000,46364000,70026000,39398000
44,Other Non-Current Assets,119584000,89486000,69287000,46787000,22483000,23735000,43554000,33760000,33817000,42890000,64340000
45,Total Non-Current Assets,21687932000,22025253000,21136816000,19501646000,3317738000,4071938000,6527568000,9315632000,10829911000,13481523000,19054382000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23734935000,24495877000,23655384000,21641253000,4321408000,5829712000,8563522000,10154692000,12014196000,15168992000,21605164000
48,Accounts Payable,121260000,126248000,163325000,169899000,112249000,104392000,146271000,167097000,150030000,162113000,382931000
49,Short-Term Debt,110000000,81271000,1172526000,- -,- -,42128000,- -,43624000,71500000,71500000,71500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,608151000,1350773000,1276478000,1020641000,464656000,824356000,1211413000,1195538000,1401355000,1428510000,3507361000
53,Total Current Liabilities,839411000,1558292000,2612329000,1190540000,576905000,970876000,1357684000,1406259000,1622885000,1662123000,3961792000
54,Long-Term Debt,14013052000,14702794000,13248512000,13450887000,2575206000,3349838000,5717568000,7324703000,8326101000,10651483000,12422716000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5494000,3997000,56906000,42075000,21288000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1184298000,1238983000,1347093000,1259816000,179602000,131736000,27978000,29389000,206612000,383612000,1406230000
58,Total Non-Current Liabilities,15202844000,15945774000,14652511000,14752778000,2776096000,3481574000,5745546000,7354092000,8532713000,11035095000,13828946000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,5579370000,- -,168817000,180236000,205075000
61,Total Liabilities,16042255000,17504066000,17264840000,15943318000,3353001000,4452450000,7103230000,8760351000,10155598000,12697218000,17790738000
62,Preferred Stock,- -,- -,- -,- -,- -,298761000,298761000,298761000,298761000,298761000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1016000,1152000,2596000,2905000
64,Retained Earnings,-64316000,-101107000,- -,- -,- -,- -,-4208000,-29336000,-50820000,-151824000,-89382000
65,Other Comprehensive Income/Loss,-916000,-59000,- -,-1386000,-4619000,-8939000,-4208000,-8524000,-6047000,483000,-1855000
66,Other Total Stockholders Equity,7772727000,7113353000,6425627000,5698935000,973407000,1386262000,1468500000,326007000,525244000,1043669000,1913559000
67,Total Stockholders Equity,354555000,493685000,- -,- -,- -,- -,- -,587924000,768290000,1193685000,1825227000
68,Total Liabilities And Stockholders Equity,16396810000,17997751000,23655384000,21641253000,4321408000,5829712000,8563522000,9348275000,10923888000,13890903000,19615965000
69,Minority Interest,7338125000,6498126000,- -,- -,- -,- -,- -,806417000,1090308000,1278089000,1989199000
70,Total Liabilities & Equity,23734935000,24495877000,23655384000,21641253000,4321408000,5829712000,8563522000,10154692000,12014196000,15168992000,21605164000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1176948/000104746915002528/a2223704z10-k.htm,https://www.sec.gov/Archives/edgar/data/1176948/000155837016003647/0001558370-16-003647-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828017001756/0001628280-17-001756-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828018002576/0001628280-18-002576-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828019001988/0001628280-19-001988-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/0001628280-20-002489-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828021003314/0001628280-21-003314-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/0001628280-22-004289-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,97348000,1235688000,966383000,34988000,19378000,111808000,76178000,57020000,148884000,152142000,408837000
74,Depreciation and Amortization,19568000,14177000,49532000,36129000,55275000,37455000,32809000,28517000,39459000,41248000,113293000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,20949000,51987000,28836000,83230000,32244000,39065000,69711000,89724000,97691000,122986000,237191000
77,Change in Working Capital,-534957000,-295260000,-1006093000,1042828000,-522302000,360133000,-108628000,-1245469000,128599000,463946000,-467832000
78,Accounts Receivable,-13548000,-71284000,32825000,38079000,20611000,-28306000,-90444000,29578000,-103962000,-24351000,-745021000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2262000,- -,- -,125168000
81,Other Working Capital,1207592000,912332000,-93761000,949067000,426765000,786898000,678270000,-567199000,-438600000,25346000,-38113000
82,Other Non-Cash Items,2886384000,1741329000,2136234000,335413000,-112581000,-1174116000,-1933165000,-346894000,-2497654000,-1205981000,-2887534000
83,Cash Provided by Operating Activities,2489292000,2747921000,2174892000,1532588000,-527986000,-625655000,-1863095000,-1417102000,-2083021000,-425659000,-2596045000
84,CAPEX,-31867000,-12913000,-12055000,-16664000,-10676000,-11913000,-33160000,-18419000,-16796000,-15942000,-27226000
85,Acquisitions Net,-10557000,- -,-50317000,-60000000,-64437000,- -,- -,- -,- -,-120822000,-1057407000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-278798000,-90851000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,278798000,90851000,- -
89,Cash Used for Investing Activites,-42424000,-12913000,-62372000,-76664000,-75113000,-11913000,-33160000,-18419000,-16796000,-136764000,-1084633000
90,Debt Repayment,-1979816000,-3687891000,-5326205000,-4482773000,-504119000,-973468000,-1685010000,-1888738000,-1535710000,-1050055000,-548752000
91,Common Stock Issued,- -,- -,- -,209189000,- -,- -,- -,105333000,206705000,383154000,827430000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-10449000,- -,-310000000
93,Dividends Paid,-258949000,-230612000,-420189000,-329893000,-217760000,-212839000,-283356000,-334346000,-345367000,-468480000,-604356000
94,Other Financing Activites,-247386000,1210401000,3632469000,3239371000,1303416000,2067071000,3623324000,3523090000,3807151000,2079276000,4139303000
95,Cash Used/Provided by Financing Activities,-2486151000,-2708102000,-2113925000,-1364106000,581537000,880764000,1654958000,1405339000,2122330000,943895000,3503625000
96,Effect of Forex Changes on Cash,-14756000,7129000,22750000,-32762000,-5813000,-21818000,17365000,21500000,5624000,19956000,-19104000
97,Net Change In Cash,-54039000,34035000,21345000,59056000,-27375000,221378000,-223932000,-8682000,28137000,401428000,-196157000
98,Cash at the End of Period,34422000,68457000,89802000,148858000,121483000,342861000,118929000,110247000,138384000,539812000,343655000
99,Cash at the Beginning of Period,88461000,34422000,68457000,89802000,148858000,121483000,342861000,118929000,110247000,138384000,539812000
100,Free Cash Flow,2457425000,2735008000,2162837000,1515924000,-538662000,-637568000,-1896255000,-1435521000,-2099817000,-441601000,-2623271000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1176948/000104746915002528/a2223704z10-k.htm,https://www.sec.gov/Archives/edgar/data/1176948/000155837016003647/0001558370-16-003647-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828017001756/0001628280-17-001756-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828018002576/0001628280-18-002576-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828019001988/0001628280-19-001988-index.html,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/0001628280-20-002489-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828021003314/0001628280-21-003314-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/0001628280-22-004289-index.htm
102,false,,,,,,,,,,,
