,https://roic.ai/company/LMNR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,2657000,-1068000,5506000,1008000,581000,-2914000,7944000,-3510000,-7255000,-2958000,-7591000,-1779000,-2543000,-2476000
83,Cash Provided by Operating Activities,6916000,-997000,7144000,6000000,6328000,5254000,15652000,7695000,14304000,18482000,18397000,1365000,-11317000,9605000
84,CAPEX,-29206000,-7159000,-5502000,-6359000,-8467000,-10734000,-25609000,-34643000,-31350000,-12901000,99000,2886000,- -,-9834000
85,Acquisitions Net,- -,- -,- -,4867000,-2910000,-5513000,-2458000,2703000,15110000,-13156000,-28500000,-19000000,-2800000,- -
86,Purchases of Investments,-657000,-405000,-227000,-242000,- -,-319000,-300000,-300000,-296000,-359000,-343000,-472000,- -,-653000
87,Sales/Maturities of Investments,- -,6079000,147000,330000,220000,4788000,- -,6433000,4019000,- -,4721000,4785000,- -,- -
88,Other Investing Activites,-28694000,-7154000,-2655000,-6425000,-8583000,-9929000,-25425000,-31254000,-15257000,-12901000,-13574000,-8570000,6646000,-9584000
89,Cash Used for Investing Activites,-29351000,-1480000,-2735000,-1470000,-11273000,-11348000,-28183000,-25807000,-11522000,-26416000,-50807000,-23654000,3846000,-10237000
90,Debt Repayment,-34986000,-23787000,-35917000,-34689000,-33280000,-85976000,-111543000,-99014000,-156403000,-168932000,-193723000,-93994000,- -,-95158000
91,Common Stock Issued,- -,- -,- -,- -,- -,35897000,- -,- -,- -,- -,64097000,- -,- -,- -
92,Common Stock Repurchased,-1146000,-5000,- -,-42000,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3881000,-963000,-1665000,-1662000,-1732000,-2206000,-2751000,-3174000,-3462000,-3715000,-4526000,-5832000,- -,-5804000
94,Other Financing Activites,62093000,27755000,32828000,31622000,39953000,58450000,126835000,120247000,157082000,181027000,166700000,122259000,7361000,101496000
95,Cash Used/Provided by Financing Activities,22080000,3000000,-4754000,-4771000,4935000,6165000,12541000,18059000,-2783000,8380000,32548000,22433000,7361000,534000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,-21000,-137000,-5000,36000
97,Net Change In Cash,-396000,513000,-345000,-241000,-10000,71000,10000,-53000,-1000,454000,117000,7000,- -,-62000
98,Cash at the End of Period,90000,603000,258000,21000,11000,82000,92000,39000,38000,492000,609000,616000,- -,439000
99,Cash at the Beginning of Period,486000,90000,603000,262000,21000,11000,82000,92000,39000,38000,492000,609000,- -,501000
100,Free Cash Flow,-22290000,-8156000,1642000,-359000,-2139000,-5480000,-9957000,-26948000,-17046000,5581000,-8587000,-14899000,-11317000,-229000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342423/000114420411004189/v209038_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420412002609/0001144204-12-002609-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420413002202/0001144204-13-002202-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420414002164/v364243_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420415001805/v397403_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420416075110/0001144204-16-075110-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420417001591/0001144204-17-001591-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420418001288/0001144204-18-001288-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242319000005/0001342423-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242320000006/0001342423-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242321000006/0001342423-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1342423/000134242322000009/0001342423-22-000009-index.htm
102,false,,,,,,,,,,,,,,
