,https://roic.ai/company/VIRX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1061027/000095013406006172/0000950134-06-006172-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000110465907019563/0001104659-07-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000104746908002920/0001047469-08-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000114420409018808/0001144204-09-018808-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312510073272/0001193125-10-073272-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312511081250/0001193125-11-081250-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312512114990/0001193125-12-114990-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312513105232/0001193125-13-105232-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312514086649/0001193125-14-086649-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459015001589/0001564590-15-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459016014612/0001564590-16-014612-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459017003862/0001564590-17-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459018005146/0001564590-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459019006828/0001564590-19-006828-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459020009783/0001564590-20-009783-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459021007784/0001564590-21-007784-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000095017022003991/0000950170-22-003991-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-27498957,-31237261,-38760920,-37185627,-40226046,-24587485,-20141000,-43951000,-34598000,-43002000,-36676000,-38023000,-35458000,-26615000,-23330000,-21610000,- -
74,Depreciation and Amortization,1683821,1582315,1728714,1103848,341576,150227,56000,31000,20000,29000,27000,11000,9000,9000,-70000,-41000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1910755,1340353,877224,1388000,2724000,3885000,6219000,6345000,4791000,3033000,2637000,1749000,1324000,- -
77,Change in Working Capital,-4397519,15121737,-15571173,-34335896,-3564508,40311372,-4836345,3909000,-34671000,9803000,11666000,4303000,-12037000,-16378000,23029000,-8072000,77355000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-430246,55502,242000,-580000,875000,2224000,-724000,-582000,-174000,-304000,-602000,-312000,- -
81,Other Working Capital,40156813,55278550,39707377,5371481,1806973,42118345,37282000,41191000,6520000,16323000,27989000,32292000,20255000,3877000,26906000,18834000,96189000
82,Other Non-Cash Items,9266918,-12551426,18147733,33045961,21925596,-36130759,697345,26645000,27941000,-16230000,-20093000,-8044000,8311000,15943000,-23563000,6960000,-96206000
83,Cash Provided by Operating Activities,-20945737,-27084635,-34455646,-35460959,-20183029,-19379421,-22836000,-10642000,-37423000,-43181000,-38731000,-36962000,-36142000,-24404000,-22185000,-21439000,-18851000
84,CAPEX,-1702356,-2304717,-1511425,-179148,-6140,-64191,-15000,- -,- -,-48000,- -,- -,-26000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-36577611,-68035554,-92679521,-25902749,-503107,-46636773,-52082000,-67608000,-26894000,-42463000,-35683000,-35530000,- -,- -,-20035000,-747000,- -
87,Sales/Maturities of Investments,35187756,41669113,113841425,57477417,4817110,7512533,56241000,46226000,59110000,45836000,36930000,20531000,29774000,4780000,3750000,17154000,- -
88,Other Investing Activites,86715,- -,5119,876303,391174,104255,34000,11000,- -,- -,- -,- -,- -,- -,- -,- -,12891000
89,Cash Used for Investing Activites,-3005496,-28671158,19655598,32271823,4699037,-39084176,4178000,-21371000,32216000,3325000,1247000,-14999000,29748000,4780000,-16285000,16407000,12891000
90,Debt Repayment,- -,- -,- -,-2306624,- -,- -,- -,- -,-7182000,-9356000,-1642000,-7983000,-7615000,- -,-7500000,-5500000,- -
91,Common Stock Issued,37424432,44659356,19985069,66576,12704,68418837,4053000,17620000,11986000,54316000,26834000,20636000,28056000,6040000,32486000,12633000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3356246,-532579,465656,- -,13433061,9433,9693000,20022000,584000,1961000,16992000,20478000,4874000,303000,18049000,48000,62425000
95,Cash Used/Provided by Financing Activities,34068186,44126777,20450725,-2240048,13445765,68428270,13746000,37642000,5388000,46921000,42184000,33131000,25315000,6343000,43035000,7181000,62425000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-82000,-142000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10116953,-11629016,5650677,-5429184,-2038227,9964673,-4912000,5629000,181000,7065000,4700000,-18830000,18921000,-13281000,4565000,2149000,56465000
98,Cash at the End of Period,17704465,6075449,11726126,6296942,4258715,14223388,9311000,14940000,15121000,22186000,26886000,8056000,26977000,13696000,18261000,20410000,- -
99,Cash at the Beginning of Period,7587512,17704465,6075449,11726126,6296942,4258715,14223000,9311000,14940000,15121000,22186000,26886000,8056000,26977000,13696000,18261000,20410000
100,Free Cash Flow,-22648093,-29389352,-35967071,-35640107,-20189169,-19443612,-22851000,-10642000,-37423000,-43229000,-38731000,-36962000,-36168000,-24404000,-22185000,-21439000,-18851000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1061027/000095013406006172/0000950134-06-006172-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000110465907019563/0001104659-07-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000104746908002920/0001047469-08-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000114420409018808/0001144204-09-018808-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312510073272/0001193125-10-073272-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312511081250/0001193125-11-081250-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312512114990/0001193125-12-114990-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312513105232/0001193125-13-105232-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312514086649/0001193125-14-086649-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459015001589/0001564590-15-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459016014612/0001564590-16-014612-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459017003862/0001564590-17-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459018005146/0001564590-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459019006828/0001564590-19-006828-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459020009783/0001564590-20-009783-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459021007784/0001564590-21-007784-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000095017022003991/0000950170-22-003991-index.htm
102,false,,,,,,,,,,,,,,,,,
