,https://roic.ai/company/ESPR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6549,-0.6309,-3.4304
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,- -,-10817341,-11741736,-26088133,-36375000,-49784000,-74978000,-166988000,-201810000,-97165000,-143551000,-269108000
24,Net Income ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6549,-0.6309,-3.4304
25,EPS,- -,- -,- -,- -,-14.97,-21.87,-3.31,-2.22,-2.26,-3.33,-6.98,-7.54,-3.59,-5.23,-10.17
26,EPS Diluted,- -,- -,- -,- -,-14.97,-21.87,-3.31,-2.22,-2.26,-3.33,-6.98,-7.54,-3.59,-5.23,-10.17
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,722499,537537,7885921,16374102,22019818,22544475,23933273,26754308,27090284,27473873,26455209
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,722499,537537,7885921,16374102,22019818,22544475,23933273,26754308,27090284,27473873,26455209
29,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1434868/000104746914002320/0001047469-14-002320-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746915001908/0001047469-15-001908-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746916010437/0001047469-16-010437-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746917000831/0001047469-17-000831-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746918000899/0001047469-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746919000791/0001047469-19-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000110465920026203/0001104659-20-026203-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828021002865/0001628280-21-002865-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828022003263/0001628280-22-003263-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1571084,6511521,56537361,85038000,77336000,38165000,34468000,36973000,166130000,304962000,208892000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,3525123,20803000,134925000,173418000,165731000,99050000,34651000,- -,50441000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1571084,6511521,60062484,105841000,212261000,211583000,200199000,136023000,200781000,304962000,259333000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22934000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16136000,34394000
36,Other Current Assets,- -,- -,- -,- -,292962,626885,557165,926000,2133000,1994000,3725000,6609000,10933000,24798000,12311000
37,Total Current Assets,- -,- -,- -,- -,1864046,7138406,60619649,106767000,214394000,213577000,203924000,142632000,211714000,345896000,328972000
38,PP&E,- -,- -,- -,- -,251527,120210,80808,780000,807000,674000,435000,520000,2677000,7306000,2562000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,53825,53825,55740,56000,56000,56000,56000,56000,56000,56000,- -
41,Intangible Assets,- -,- -,- -,- -,53825,53825,55740,56000,56000,56000,56000,56000,56000,56000,56000
42,Investments,- -,- -,- -,- -,- -,- -,17537663,35741000,80315000,30906000,73420000,243000,- -,- -,50441000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,10352,- -,- -,- -,- -,- -,- -,- -,- -,- -,-441000
45,Total Non-Current Assets,- -,- -,- -,- -,315704,174035,17674211,36577000,81178000,31636000,73911000,819000,2733000,7362000,52618000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,2179750,7312441,78293860,143344000,295572000,245213000,277835000,143451000,214447000,353258000,381590000
48,Accounts Payable,- -,- -,- -,- -,691180,476277,2231890,2040000,707000,4595000,20375000,44893000,28856000,51975000,17559000
49,Short-Term Debt,- -,- -,- -,- -,- -,15241007,- -,638000,1604000,1709000,1045000,- -,454000,2587000,1392000
50,Tax Payable,- -,- -,- -,- -,3220,12697,94600,107000,37000,40000,38000,44000,37000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2152000,1662000,5683000
52,Other Current Liabilities,- -,- -,- -,- -,648048,1456015,1970601,2813000,3314000,9285000,11724000,19440000,34618000,37845000,48718000
53,Total Current Liabilities,- -,- -,- -,- -,1339228,17173299,4202491,5491000,5625000,15589000,33144000,64333000,66080000,94069000,73352000
54,Long-Term Debt,- -,- -,- -,- -,6897328,7528845,- -,4299000,2688000,1022000,- -,- -,- -,182821000,258804000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128417000,172502000,245744000
58,Total Non-Current Liabilities,- -,- -,- -,- -,6897328,7528845,- -,4299000,2688000,1022000,- -,- -,128417000,355323000,505182000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1563000,6041000,1916000
61,Total Liabilities,- -,- -,- -,- -,8236556,24702144,4202491,9790000,8313000,16611000,33144000,64333000,194497000,449392000,578534000
62,Preferred Stock,- -,- -,- -,- -,23975000,23975000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,308,346,15357,20000,23000,23000,26000,27000,27000,26000,61000
64,Retained Earnings,- -,- -,- -,- -,-30233289,-41975025,-68063158,-104438000,-154222000,-229200000,-396291000,-598101000,-695266000,-838817000,-1106377000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1037491,-1165836,-3034,-59000,-482000,-172000,-845000,-319000,23000,- -,-31000
66,Other Total Stockholders Equity,- -,- -,- -,- -,1238666,1775812,142142204,238031000,441940000,457951000,641801000,677511000,715166000,742657000,909403000
67,Total Stockholders Equity,- -,- -,- -,- -,-6056806,-17389703,74091369,133554000,287259000,228602000,244691000,79118000,19950000,-96134000,-196944000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,2179750,7312441,78293860,143344000,295572000,245213000,277835000,143451000,214447000,353258000,381590000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,2179750,7312441,78293860,143344000,295572000,245213000,277835000,143451000,214447000,353258000,381590000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1434868/000104746914002320/0001047469-14-002320-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746915001908/0001047469-15-001908-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746916010437/0001047469-16-010437-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746917000831/0001047469-17-000831-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746918000899/0001047469-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746919000791/0001047469-19-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000110465920026203/0001104659-20-026203-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828021002865/0001628280-21-002865-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828022003263/0001628280-22-003263-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-10817341,-11741736,-26088133,-36375000,-49784000,-74978000,-166988000,-201810000,-97165000,-143551000,-269108000
74,Depreciation and Amortization,- -,- -,- -,- -,178471,139433,70551,160000,236000,252000,258000,265000,319000,547000,612000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,78451,79861,1226988,3679000,12726000,15957000,18605000,23968000,25884000,28385000,24306000
77,Change in Working Capital,- -,- -,- -,- -,-39805182,-10559711,66452051,44858842,107493000,-10781000,-27208000,-92481000,67335000,106193000,-52513000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10546000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16136000,-18258000
80,Accounts Payable,- -,- -,- -,- -,619238,-214903,1755613,-299000,-1333000,3888000,15758000,24446000,-16055000,23106000,-34099000
81,Other Working Capital,- -,- -,- -,- -,524818,-10034893,56417158,101276000,208769000,197988000,170780000,78299000,145634000,251827000,4655000
82,Other Non-Cash Items,- -,- -,- -,- -,41296876,11273586,-59774818,-44343842,-108827000,21820000,44031000,121420000,-66714000,-76751000,32894000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-9068725,-10808567,-18113361,-32021000,-38156000,-47730000,-131302000,-148638000,-70341000,-85177000,-263809000
84,CAPEX,- -,- -,- -,- -,-33635,-6783,-31373,-873000,-325000,-94000,-19000,-151000,-953000,-13369000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-24676822,-48088000,-280559000,-197230000,-219577000,-25481000,-34326000,-4420000,-50484000
87,Sales/Maturities of Investments,- -,- -,- -,- -,500350,- -,3504791,12351000,120792000,207442000,183743000,166081000,99510000,39145000,- -
88,Other Investing Activites,- -,- -,- -,- -,42312,5100,201265,12000,24000,- -,- -,- -,- -,-12500000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,509027,-1683,-21002139,-36598000,-160068000,10118000,-35853000,140449000,64231000,21356000,-50484000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-638000,-1604000,-1709000,-1049000,- -,- -,-755000
91,Common Stock Issued,- -,- -,- -,- -,- -,40987,72193831,91731000,189983000,- -,164000000,- -,- -,- -,218688000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,6715886,15709700,16947509,5389000,1177000,45000,1167000,11743000,136195000,256725000,50290000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,6715886,15750687,89141340,97120000,190522000,-1559000,163458000,10694000,136195000,201725000,268223000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-1843812,4940437,50025840,28501000,-7702000,-39171000,-3697000,2505000,130085000,137904000,-46070000
98,Cash at the End of Period,- -,- -,- -,- -,1571084,6511521,56537361,85038000,77336000,38165000,34468000,36973000,167058000,304962000,258892000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3414896,1571084,6511521,56537000,85038000,77336000,38165000,34468000,36973000,167058000,304962000
100,Free Cash Flow,- -,- -,- -,- -,-9102360,-10815350,-18144734,-32894000,-38481000,-47824000,-131321000,-148789000,-71294000,-98546000,-263809000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1434868/000104746914002320/0001047469-14-002320-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746915001908/0001047469-15-001908-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746916010437/0001047469-16-010437-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746917000831/0001047469-17-000831-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746918000899/0001047469-18-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000104746919000791/0001047469-19-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000110465920026203/0001104659-20-026203-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828021002865/0001628280-21-002865-index.htm,https://www.sec.gov/Archives/edgar/data/1434868/000162828022003263/0001628280-22-003263-index.htm
102,false,,,,,,,,,,,,,,,
