,https://roic.ai/company/XOMA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392000,681000,1693000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,1100000,800000,500000,2600000,2100000,100000,200000,100000,1500000,5200000,4600000,4600000,4600000,4500000,169000,194000,362000,279000,347000,3233000,3156000,1124000,1626000,402000,503000,2632000,1696000,1266000,669000,664000,481000,657000,15708000,34526000,35147000,69376000
45,Total Non-Current Assets,5900000,5600000,4300000,7500000,11800000,11800000,14800000,18700000,17600000,16900000,11400000,9700000,9200000,8500000,8200000,8590000,14839000,23012000,21616000,19653000,22289000,25590000,26727000,28469000,20672000,15372000,15341000,9839000,7722000,5789000,2661000,1517000,740000,16159000,35751000,37220000,69589000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14900000,47400000,66500000,55000000,110500000,97000000,154300000,109300000,94100000,62400000,40900000,57700000,64800000,37300000,28300000,45212000,86107000,71782000,118850000,46260000,72577000,91478000,84815000,67173000,52824000,74252000,78036000,105676000,134782000,89631000,74880000,28677000,44935000,63785000,95724000,125285000,166562000
48,Accounts Payable,- -,- -,- -,- -,2100000,6600000,5000000,1000000,500000,1400000,2100000,1800000,1600000,3500000,3900000,2515000,3520000,3201000,5058000,1919000,5648000,4186000,6995000,9977000,2942000,3581000,2128000,3867000,9616000,5990000,6831000,5689000,1679000,1244000,614000,456000,1072000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,700000,300000,- -,185000,5686000,6576000,19147000,353000,- -,- -,- -,- -,- -,- -,- -,3391000,5835000,19247000,5910000,17855000,- -,789000,5347000,8267000,195000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637000,- -,- -,- -,91000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5017000,1729000,90000,2000000,3527000,9601000,8017000,9105000,2114000,17044000,5695000,3409000,2218000,1089000,3198000,899000,1413000,1288000,1894000,1452000,1641000
52,Other Current Liabilities,1300000,3100000,3300000,3500000,4600000,5100000,13300000,8900000,6300000,9000000,4300000,6400000,6500000,6700000,6500000,7644000,4422000,7096000,6163000,19331000,7369000,8880000,8588000,7910000,13622000,14903000,13187000,13166000,11976000,10149000,7356000,8063000,4330000,2382000,1020000,2127000,10059000
53,Total Current Liabilities,1300000,3100000,3300000,3500000,6700000,11700000,18300000,9900000,6800000,10400000,6400000,8700000,8800000,10500000,10400000,10344000,18645000,18602000,30458000,23603000,16544000,22667000,23600000,26992000,18678000,35528000,21010000,23833000,29645000,36475000,23295000,32506000,7422000,5703000,8875000,12302000,12967000
54,Long-Term Debt,200000,32200000,24700000,- -,76700000,58900000,1500000,1100000,400000,100000,7700000,14200000,24800000,26500000,34700000,39849000,50980000,63016000,39906000,- -,60000000,46823000,- -,- -,13341000,13694000,33524000,37653000,35150000,16290000,42757000,25312000,14572000,21690000,27093000,12764000,34000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2894000,1086000,7539000,6315000,4105000,1939000,- -,18000000,17123000,17017000,15317000,13516000,11685000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,100000,- -,21700000,- -,- -,- -,9800000,8500000,8400000,- -,100000,- -,100000,100000,3609000,2863000,1529000,272000,47267000,16704000,60161000,60897000,71582000,385000,353000,952000,16408000,69869000,31828000,11137000,69000,32000,590000,451000,279000,- -
58,Total Non-Current Liabilities,500000,32300000,24700000,21700000,76700000,58900000,1500000,10900000,8900000,8500000,7700000,14300000,24800000,26600000,34800000,43458000,53843000,64545000,40178000,47267000,76704000,106984000,60897000,71582000,16620000,15133000,42015000,60376000,109124000,50057000,53894000,43381000,31727000,39297000,42861000,26559000,11719000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729000,272000,- -,- -,51393000,50850000,63274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571000,408000,229000
61,Total Liabilities,1800000,35400000,28000000,25200000,83400000,70600000,19800000,20800000,15700000,18900000,14100000,23000000,33600000,37100000,45200000,53802000,72488000,83147000,70636000,70870000,93248000,129651000,84497000,98574000,35298000,50661000,63025000,84209000,138769000,86532000,77189000,75887000,39149000,45000000,51736000,38861000,24686000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,49000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,35000,36000,42000,43000,43000,53000,66000,70000,101000,214000,263000,615000,787000,869000,893000,46000,62000,65000,73000,84000,85000
64,Retained Earnings,-16000000,-62600000,-74800000,-86800000,-113000000,-136700000,-171000000,-218100000,-249400000,-284800000,-307900000,-337200000,-354500000,-404300000,-450200000,-479589000,-507629000,-540876000,-599529000,-678471000,-675692000,-727533000,-739859000,-785104000,-784554000,-853310000,-886053000,-957118000,-1081176000,-1119477000,-1140083000,-1193613000,-1179059000,-1192402000,-1194384000,-1181086000,-1165288000
65,Other Comprehensive Income/Loss,-2500000,-4400000,-6200000,-5700000,-11900000,-13400000,-15000000,-17900000,-20700000,-22700000,-22200000,-24100000,-25900000,-27200000,-28400000,-29391000,-30151000,121000,166000,280000,-66000,-9000,-9000,-2000,- -,-38807000,-43547000,8000,-1000,- -,-15453000,-13541000,-41000,-70000,- -,- -,- -
66,Other Total Stockholders Equity,31600000,79000000,119500000,122300000,152000000,176500000,320500000,324500000,348500000,351000000,356900000,396000000,411600000,431700000,461700000,500357000,551364000,529354000,647534000,653537000,655043000,689315000,740119000,753634000,801978000,915493000,944348000,977962000,1076403000,1121707000,1152334000,1159898000,1184824000,1211192000,1238299000,1267377000,1307030000
67,Total Stockholders Equity,13100000,12000000,38500000,29800000,27100000,26400000,134500000,88500000,78400000,43500000,26800000,34700000,31200000,200000,-16900000,-8590000,13619000,-11365000,48214000,-24610000,-20671000,-38173000,318000,-31401000,17526000,23591000,15011000,21467000,-3987000,3099000,-2309000,-47210000,5786000,18785000,43988000,86424000,141876000
68,Total Liabilities And Stockholders Equity,14900000,47400000,66500000,55000000,110500000,97000000,154300000,109300000,94100000,62400000,40900000,57700000,64800000,37300000,28300000,45212000,86107000,71782000,118850000,46260000,72577000,91478000,84815000,67173000,52824000,74252000,78036000,105676000,134782000,89631000,74880000,28677000,44935000,63785000,95724000,125285000,166562000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14900000,47400000,66500000,55000000,110500000,97000000,154300000,109300000,94100000,62400000,40900000,57700000,64800000,37300000,28300000,45212000,86107000,71782000,118850000,46260000,72577000,91478000,84815000,67173000,52824000,74252000,78036000,105676000,134782000,89631000,74880000,28677000,44935000,63785000,95724000,125285000,166562000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791908/000119312505050055/0001193125-05-050055-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312506048409/0001193125-06-048409-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312507049517/0001193125-07-049517-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312508052901/0001193125-08-052901-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312509051006/0001193125-09-051006-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312510053878/0001193125-10-053878-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036111015740/0001140361-11-015740-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036112015529/0001140361-12-015529-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036113012019/0001140361-13-012019-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036114012373/0001140361-14-012373-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036115011358/0001140361-15-011358-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459016014295/0001564590-16-014295-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459017004563/0001564590-17-004563-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459018004731/0001564590-18-004731-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459019006621/0001564590-19-006621-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837020002286/0001558370-20-002286-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837021002676/0001558370-21-002676-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837022003022/0001558370-22-003022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-18900000,-23700000,-34300000,-47100000,-31300000,-34600000,-22500000,-29100000,-15800000,-47200000,-45800000,-29412000,-28040000,-33247000,-58653000,-78942000,2779000,-51841000,-12326000,-45245000,550000,-68756000,-32743000,-71065000,-124058000,-38301000,-20606000,-53530000,14596000,-13343000,-1982000,13298000,15798000
74,Depreciation and Amortization,- -,- -,- -,- -,1400000,1800000,2000000,3000000,2800000,3300000,2900000,2100000,2000000,1600000,1200000,-1869000,1254000,2118000,3991000,4553000,5774000,6170000,6734000,8119000,6831000,5721000,5357000,4124000,2575000,1856000,1532000,769000,304000,30000,25000,22000,7000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4395000,4913000,7759000,4284000,5099000,10772000,9727000,7645000,7301000,3902000,4948000,3961000,6195000
77,Change in Working Capital,- -,- -,- -,- -,-1000000,-18500000,47700000,-40500000,-11000000,-34600000,-12000000,16200000,7500000,-28500000,-8600000,16578000,26345000,-22455000,36608000,-63772000,30740000,9477000,-8733000,-22776000,1762000,9878000,18333000,30319000,25411000,-50048000,1557000,-54270000,42119000,5150000,9175000,24665000,-886000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7387000,- -,- -,- -,- -,- -,- -,2670000,54000
79,Inventory,- -,- -,- -,- -,-1200000,-6900000,-2200000,4900000,400000,- -,- -,- -,- -,- -,- -,- -,-1299000,-7000,1306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4485000,2901000,-3774000,-1621000,-3938000,-6554000,-1161000,-242000,-542000,765000
81,Other Working Capital,- -,- -,- -,- -,92000000,73500000,121200000,80700000,69700000,35100000,23100000,39300000,46800000,18300000,9700000,26278000,52623000,30168000,66776000,3004000,33744000,43221000,34488000,11712000,13474000,23352000,41685000,72004000,97415000,47367000,48924000,-5346000,36773000,41923000,51098000,75763000,-1642000
82,Other Non-Cash Items,- -,- -,- -,- -,200000,17800000,-43000000,50400000,10600000,37400000,2700000,-11600000,-5700000,36400000,10100000,-7758000,-21981000,18743000,-29483000,93334000,-83483000,2924000,18868000,26927000,-6103000,-4293000,-27768000,-8427000,45058000,-2561000,-23102000,65697000,-61634000,-8383000,-12451000,-31854000,1564000
