,https://roic.ai/company/MIME,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1644675/000156459018014514/0001564590-18-014514-index.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459019020753/0001564590-19-020753-index.html,https://www.sec.gov/Archives/edgar/data/1644675/000156459020026744/mime-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459021030433/0001564590-21-030433-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,19158000,32890000,106140000,51319000,78339000,137576000,173958000,292949000
32,Short-Term Investments,- -,- -,- -,60347000,58871000,35941000,- -,- -
33,Cash and Short-Term Investments,19158000,32890000,106140000,111666000,137210000,173517000,173958000,292949000
34,Net Receivables,22874000,25267000,33738000,44358000,65392000,80953000,97659000,114280000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6152000,4982000,7362000,10054000,15302000,34011000,27278000,36196000
37,Total Current Assets,48184000,63139000,147240000,166078000,217904000,288481000,298895000,443425000
38,PP&E,24974000,23159000,24806000,32009000,123822000,- -,- -,220954000
39,Goodwill,- -,- -,- -,5363000,5631000,107575000,150525000,173952000
40,Intangible Assets,- -,- -,- -,1590000,9819000,30623000,38394000,43193000
41,Intangible Assets,- -,- -,- -,6953000,15450000,138198000,188919000,217145000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2625000,2531000,3081000,312000,1222000,127608000,242020000,53183000
45,Total Non-Current Assets,27599000,25690000,27887000,39274000,140494000,265806000,430939000,491282000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,75783000,88829000,175127000,205352000,358398000,554287000,729834000,934707000
48,Accounts Payable,6912000,4674000,2891000,3558000,6052000,9457000,14907000,10487000
49,Short-Term Debt,- -,- -,- -,- -,- -,4059000,6573000,42860000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,7587000
51,Deferred Revenue,38195000,45267000,60889000,84159000,123057000,163102000,194151000,237749000
52,Other Current Liabilities,12169000,16180000,20020000,22671000,35003000,45153000,73044000,54676000
53,Total Current Liabilities,57276000,66121000,83800000,110388000,164112000,221771000,288675000,345772000
54,Long-Term Debt,5975000,7086000,1981000,- -,- -,92797000,86258000,206987000
55,Deferred Revenue,7936000,8041000,9151000,11189000,18045000,12472000,12816000,12936000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,61346000,61432000,2121000,1783000,74549000,53612000,110030000,8143000
58,Total Non-Current Liabilities,75257000,76559000,13253000,12972000,92594000,158881000,209104000,228066000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,478000,73141000,41545000,137081000,146086000
61,Total Liabilities,132533000,142680000,97053000,123360000,256706000,380652000,497779000,573838000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,385000,395000,651000,671000,707000,734000,754000,775000
64,Retained Earnings,-85617000,-85332000,-88576000,-94017000,-106507000,-83632000,-83660000,-53915000
65,Other Comprehensive Income/Loss,-18920000,-27660000,-36315000,-45501000,-66027000,-7000000,-11000000,5760000
66,Other Total Stockholders Equity,47402000,58746000,202314000,220839000,273519000,263533000,325961000,408249000
67,Total Stockholders Equity,-56750000,-53851000,78074000,81992000,101692000,173635000,232055000,360869000
68,Total Liabilities And Stockholders Equity,75783000,88829000,175127000,205352000,358398000,554287000,729834000,934707000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75783000,88829000,175127000,205352000,358398000,554287000,729834000,934707000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1644675/000156459018014514/0001564590-18-014514-index.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459019020753/0001564590-19-020753-index.html,https://www.sec.gov/Archives/edgar/data/1644675/000156459020026744/mime-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459021030433/0001564590-21-030433-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-16890000,285000,-3244000,-5441000,-12386000,-7001000,-2200000,29745000
74,Depreciation and Amortization,8958000,11028000,10527000,11881000,18960000,29953000,64185000,68478000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-840000
76,Stock Based Compensation,1232000,5426000,7886000,10294000,11734000,25954000,39544000,53648000
77,Change in Working Capital,3286000,6110000,66422000,-7750000,-1898000,12918000,-56490000,87433000
78,Accounts Receivable,-6563000,-4334000,-9820000,-11750000,-18120000,-18771000,-20467000,-10538000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,144000,-38000,-542000,758000,-104000,2093000,4215000,-3669000
81,Other Working Capital,-9092000,-2982000,63440000,55690000,53792000,66710000,10220000,97653000
82,Other Non-Cash Items,2447000,398000,-56948000,23530000,30002000,4411000,45499000,-111430000
83,Cash Provided by Operating Activities,-967000,23247000,24643000,32514000,46412000,66235000,90538000,127034000
84,CAPEX,-17888000,-12583000,-14234000,-18491000,-34498000,-28795000,-53234000,-38597000
85,Acquisitions Net,- -,- -,- -,- -,- -,-116000000,-45000000,-16970000
86,Purchases of Investments,- -,- -,- -,-67550000,-76948000,-42856000,-3025000,- -
87,Sales/Maturities of Investments,- -,- -,- -,7000000,77808000,66000000,36000000,- -
88,Other Investing Activites,- -,- -,- -,-5574000,-1381000,327000,-280000,- -
89,Cash Used for Investing Activites,-17888000,-12583000,-14234000,-84615000,-35019000,-121324000,-65539000,-55567000
90,Debt Repayment,-252000,-3483000,-5412000,-4808000,-3883000,-5451000,-5219000,-7932000
91,Common Stock Issued,- -,- -,68328000,- -,17039000,24688000,25428000,34045000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30000,8914000,885000,4476000,- -,97748000,-2476000,12168000
95,Cash Used/Provided by Financing Activities,-222000,5431000,63801000,-332000,13156000,116985000,17733000,38281000
96,Effect of Forex Changes on Cash,1777000,-2363000,-960000,-2388000,2471000,-2659000,-6350000,9243000
97,Net Change In Cash,-17300000,13732000,73250000,-54821000,27020000,59237000,36382000,118991000
98,Cash at the End of Period,19158000,32890000,106140000,51319000,78339000,137576000,173958000,292949000
99,Cash at the Beginning of Period,36458000,19158000,32890000,106140000,51319000,78339000,137576000,173958000
100,Free Cash Flow,-18855000,10664000,10409000,14023000,11914000,37440000,37304000,88437000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1644675/000156459018014514/0001564590-18-014514-index.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459019020753/0001564590-19-020753-index.html,https://www.sec.gov/Archives/edgar/data/1644675/000156459020026744/mime-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1644675/000156459021030433/0001564590-21-030433-index.htm
102,false,,,,,,,,
