,https://roic.ai/company/CD,2018,2019,2020,2021
78,Accounts Receivable,4003000,-160595000,-121890000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-20424000,46274000,21236000,- -
81,Other Working Capital,3979000,12723000,- -,- -
82,Other Non-Cash Items,19254000,39135000,49902000,36260000
83,Cash Provided by Operating Activities,-25601000,40167000,664910000,1065505000
84,CAPEX,-1052317000,-1641599000,-2712277000,-3616858000
85,Acquisitions Net,- -,-1879040000,-56992000,- -
86,Purchases of Investments,- -,- -,- -,-435506000
87,Sales/Maturities of Investments,- -,- -,- -,99393000
88,Other Investing Activites,- -,-30346000,-287630000,-163896000
89,Cash Used for Investing Activites,-1052317000,-3520639000,-2769269000,-3952971000
90,Debt Repayment,-85413000,-472365000,-258360000,- -
91,Common Stock Issued,866323000,2274133000,6682004000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,396462000,2654560000,1765158000,1293061000
95,Cash Used/Provided by Financing Activities,1177372000,4456328000,8188802000,1293061000
96,Effect of Forex Changes on Cash,19891000,-719000,-292820000,-76056000
97,Net Change In Cash,119345000,975137000,5791623000,-1670461000
98,Cash at the End of Period,144703000,1119840000,6911463000,5241002000
99,Cash at the Beginning of Period,25358000,144703000,1119840000,6911463000
100,Free Cash Flow,-1077918000,-1601432000,-2047367000,-2551353000
101,SEC Link,- -,- -,- -,- -
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
